Author	Title	Publication date	publication place	word count (orig+norm)	line count	genre	form	paratext	Belles-lettres	Sub-corpus	link	file	Wikidata ID of author	image author	author genre	birth date	Death date	BNF ID of author	IdRef ID of author	ISNI of author
Honoré d'Urfé	L'Astrée	1607	Paris	1456	106	roman	vers	no	yes	1-standard	http://astree.huma-num.fr	Urfe1607_Astree_bpt6k87078660_numb_choice_replaceInside_l.tsv	http://www.wikidata.org/entity/Q358491	http://commons.wikimedia.org/wiki/Special:FilePath/Honor%C3%A9%20d%27Urf%C3%A9%2001.jpg	masculin	1568-02-21T00:00:00Z	1625-06-01T00:00:00Z	119273552	27172783	0000 0001 2100 8616
Jacques-Bénigne Bossuet	Oraison funebre de Marie Terese d'Austriche	1683	Paris	8843	199	théologie	prose	no	yes	1-standard	https://gallica.bnf.fr/ark:/12148/btv1b8606962m	Bossuet1683_OraisonAutriche_btv1b8606962m_numb_seg_replace.tsv	http://www.wikidata.org/entity/Q294100	http://commons.wikimedia.org/wiki/Special:FilePath/Jacques-B%C3%A9nigne%20Bossuet%201.PNG	masculin	1627-09-27T00:00:00Z	1704-04-12T00:00:00Z	118930724	26741059	0000 0001 2098 4244
Jean Chapelain	La Pucelle ou La France délivrée	1656	Paris	8237	540	poésie	vers	no	yes	1-standard	https://catalogue.bnf.fr/ark:/12148/cb365764947	Chapelain1656_Pucelle_bpt6k1048573c_corrected_numb_choice_replaceInside_numb_l.tsv	http://www.wikidata.org/entity/Q334978	http://commons.wikimedia.org/wiki/Special:FilePath/Jean%20Chapelain%20-%20Versailles%20MV%202888.jpg	masculin	1595-12-04T00:00:00Z	1674-02-22T00:00:00Z	123957150	33051534	0000 0001 2117 3232
Jean Chapelain	La Pucelle ou La France délivrée	1656	Paris	2160	36	poésie	prose	yes	yes	1-standard	https://catalogue.bnf.fr/ark:/12148/cb365764947	Chapelain1656_Pucelle_bpt6k1048573c_corrected_numb_choice_replaceInside_numb_seg_replace.tsv	http://www.wikidata.org/entity/Q334978	http://commons.wikimedia.org/wiki/Special:FilePath/Jean%20Chapelain%20-%20Versailles%20MV%202888.jpg	masculin	1595-12-04T00:00:00Z	1674-02-22T00:00:00Z	123957150	33051534	0000 0001 2117 3232
Jean de La Bruyère	Les caractères de Théophraste	1688	Paris	6530	249	Caractères	prose	no	yes	1-standard	https://gallica.bnf.fr/ark:/12148/btv1b86070385	Bruyere1688_Caracteres_btv1b86070385_corrected_numb_seg_origInReg_replace.tsv	http://www.wikidata.org/entity/Q314975	http://commons.wikimedia.org/wiki/Special:FilePath/Jean%20de%20La%20Bruy%C3%A8re.jpg	masculin	1645-08-16T00:00:00Z	1696-05-10T00:00:00Z	11910249z	26955865	0000 0001 2100 9707
Jean Galbert de Campistron	Achile et Polixene	1687	Paris	10773	864	tragédie	vers	no	yes	2-test	https://gallica.bnf.fr/ark:/12148/bpt6k3118700	Campistron1687_Achille_bpt6k3118700_numb_align_l.tsv	http://www.wikidata.org/entity/Q204908	http://commons.wikimedia.org/wiki/Special:FilePath/Jean-Galbert%20de%20Campistron%20-%20Versailles%20MV%202945.jpg	masculin	1656-08-03T00:00:00Z	1723-05-11T00:00:00Z	12001061w	28110919	0000 0001 1934 7758
Jean Galbert de Campistron	Achile et Polixene	1687	Paris	661	32	tragédie	prose	yes	yes	2-test	https://gallica.bnf.fr/ark:/12148/bpt6k3118700	Campistron1687_Achille_bpt6k3118700_numb_align_numb_seg_replace.tsv	http://www.wikidata.org/entity/Q204908	http://commons.wikimedia.org/wiki/Special:FilePath/Jean-Galbert%20de%20Campistron%20-%20Versailles%20MV%202945.jpg	masculin	1656-08-03T00:00:00Z	1723-05-11T00:00:00Z	12001061w	28110919	0000 0001 1934 7758
Jean Galbert de Campistron	Arminius	1690	Paris	24099	1603	tragédie	vers	no	yes	1-standard	https://archive.org/details/oeuvresdemrcapi00camp	campistron1690_arminius_oeuvresdemrcapi00camp_numb_align_l.tsv	http://www.wikidata.org/entity/Q204908	http://commons.wikimedia.org/wiki/Special:FilePath/Jean-Galbert%20de%20Campistron%20-%20Versailles%20MV%202945.jpg	masculin	1656-08-03T00:00:00Z	1723-05-11T00:00:00Z	12001061w	28110919	0000 0001 1934 7758
Jean Galbert de Campistron	Arminius	1690	Paris	97	10	tragédie	prose	yes	yes	1-standard	https://archive.org/details/oeuvresdemrcapi00camp	Campistron1690_arminius_oeuvresdemrcapi00camp_numb_align_numb_seg_replace.tsv	http://www.wikidata.org/entity/Q204908	http://commons.wikimedia.org/wiki/Special:FilePath/Jean-Galbert%20de%20Campistron%20-%20Versailles%20MV%202945.jpg	masculin	1656-08-03T00:00:00Z	1723-05-11T00:00:00Z	12001061w	28110919	0000 0001 1934 7758
Jean Racine	Andromaque	1668	Paris	27304	1756	tragédie	vers	no	yes	0-out	https://gallica.bnf.fr/ark:/12148/bpt6k1280589b	Racine1668_Andromaque_bpt6k1280589b.tsv	http://www.wikidata.org/entity/Q742	http://commons.wikimedia.org/wiki/Special:FilePath/Jean%20racine.jpg	masculin	1639-12-21T00:00:00Z	1699-04-21T00:00:00Z	120076761	28191730	0000 0001 2321 2338
Jean Racine	Andromaque	1676	Paris	26648	1715	tragédie	vers	no	yes	1-standard	https://gallica.bnf.fr/ark:/12148/bpt6k9905809	Racine1676_Oeuvres1_bpt6k9905809_corrected_numb_align_l.tsv	http://www.wikidata.org/entity/Q742	http://commons.wikimedia.org/wiki/Special:FilePath/Jean%20racine.jpg	masculin	1639-12-21T00:00:00Z	1699-04-21T00:00:00Z	120076761	28191730	0000 0001 2321 2338
Jean Racine	Andromaque	1676	Paris	1083	25	tragédie	prose	yes	yes	1-standard	https://gallica.bnf.fr/ark:/12148/bpt6k9905809	Racine1676_Oeuvres1_bpt6k9905809_corrected_numb_align_seg_replace.tsv	http://www.wikidata.org/entity/Q742	http://commons.wikimedia.org/wiki/Special:FilePath/Jean%20racine.jpg	masculin	1639-12-21T00:00:00Z	1699-04-21T00:00:00Z	120076761	28191730	0000 0001 2321 2338
Jean Racine	Les Plaideurs	1669	Paris	14787	1204	comédie	vers	no	yes	1-standard	https://gallica.bnf.fr/ark:/12148/btv1b8610811c	Racine1669_Plaideurs_btv1b8610811c_cropped_corrected_numb_align_numb_l.tsv	http://www.wikidata.org/entity/Q742	http://commons.wikimedia.org/wiki/Special:FilePath/Jean%20racine.jpg	masculin	1639-12-21T00:00:00Z	1699-04-21T00:00:00Z	120076761	28191730	0000 0001 2321 2338
Jean Racine	Les Plaideurs	1669	Paris	1804	47	comédie	prose	yes	yes	1-standard	https://gallica.bnf.fr/ark:/12148/btv1b8610811c	Racine1669_Plaideurs_btv1b8610811c_cropped_corrected_numb_align_numb_seg_replace.tsv	http://www.wikidata.org/entity/Q742	http://commons.wikimedia.org/wiki/Special:FilePath/Jean%20racine.jpg	masculin	1639-12-21T00:00:00Z	1699-04-21T00:00:00Z	120076761	28191730	0000 0001 2321 2338
Jean Racine	Bérénice	1676	Paris	23667	1589	tragédie	vers	no	yes	1-standard	https://gallica.bnf.fr/ark:/12148/bpt6k990581p	Racine1676_Berenice_bpt6k990581p_corrected_numb_align_numb_l.tsv	http://www.wikidata.org/entity/Q742	http://commons.wikimedia.org/wiki/Special:FilePath/Jean%20racine.jpg	masculin	1639-12-21T00:00:00Z	1699-04-21T00:00:00Z	120076761	28191730	0000 0001 2321 2338
Jean Racine	Bérénice	1676	Paris	2480	51	tragédie	prose	yes	yes	1-standard	https://gallica.bnf.fr/ark:/12148/bpt6k990581p	Racine1676_Berenice_bpt6k990581p_corrected_numb_align_numb_seg_replace.tsv	http://www.wikidata.org/entity/Q742	http://commons.wikimedia.org/wiki/Special:FilePath/Jean%20racine.jpg	masculin	1639-12-21T00:00:00Z	1699-04-21T00:00:00Z	120076761	28191730	0000 0001 2321 2338
Madame de La Fayette	La Princesse de Clèves	1678	Paris	7152	148	roman	prose	no	yes	1-standard	https://gallica.bnf.fr/ark:/12148/btv1b8610820b	LaFayette1678_Cleves_btv1b8610820b_corrected_numb_seg_replace.tsv	http://www.wikidata.org/entity/Q237090	http://commons.wikimedia.org/wiki/Special:FilePath/Madame%20de%20La%20Fayette.jpg	féminin	1634-03-18T00:00:00Z	1693-05-25T00:00:00Z	11910266j	26956071	0000 0001 2283 1647
Marie Le Jars de Gournay	Egalité des hommes et des femmes	1622	[Paris]	120	8	philosophie	vers	no	yes	1-standard	https://catalogue.bnf.fr/ark:/12148/cb30529274x	Gournay1622_Egalite_bpt6k3142288_corrected_numb_choice_l.tsv	http://www.wikidata.org/entity/Q469087	http://commons.wikimedia.org/wiki/Special:FilePath/Marie-de-Gournay-2.jpg	féminin	1565-10-06T00:00:00Z	1645-07-13T00:00:00Z	11905573n	26899027	0000 0001 0874 4096
Marie Le Jars de Gournay	Egalité des hommes et des femmes	1622	[Paris]	8136	186	philosophie	prose	no	yes	1-standard	https://catalogue.bnf.fr/ark:/12148/cb30529274x	Gournay1622_Egalite_bpt6k3142288_corrected_numb_choice_numb_seg_replace.tsv	http://www.wikidata.org/entity/Q469087	http://commons.wikimedia.org/wiki/Special:FilePath/Marie-de-Gournay-2.jpg	féminin	1565-10-06T00:00:00Z	1645-07-13T00:00:00Z	11905573n	26899027	0000 0001 0874 4096
Marin Le Roy de Gomberville	La Première Partie de Polexandre	1637	Paris	232	14	roman	vers	no	yes	1-standard	https://gallica.bnf.fr/ark:/12148/bpt6k8707847n	Gomberville1637_polexandre_bpt6k8707847n_cropped_choice_numb_l.tsv	http://www.wikidata.org/entity/Q646986	http://commons.wikimedia.org/wiki/Special:FilePath/La%20doctrine%20des%20murs%2C%20tiree%20de%20la%20philosophie%20des%20stoiques%2C%20representee%20en%20cent%20tableaux%20et%20expliquee%20en%20cent%20discours%20pour%20l%27instruction%20de%20la%20ieunesse%20%281646%29%20%2814744779861%29.jpg	masculin	1600-01-01T00:00:00Z	1674-06-14T00:00:00Z	125166207	34407626	0000 0000 6299 5251
Marin Le Roy de Gomberville	La Première Partie de Polexandre	1637	Paris	15209	391	roman	prose	no	yes	2-test	https://gallica.bnf.fr/ark:/12148/bpt6k8707847n	Gomberville1637_polexandre_bpt6k8707847n_cropped_choice_numb_seg_replace.tsv	http://www.wikidata.org/entity/Q646986	http://commons.wikimedia.org/wiki/Special:FilePath/La%20doctrine%20des%20murs%2C%20tiree%20de%20la%20philosophie%20des%20stoiques%2C%20representee%20en%20cent%20tableaux%20et%20expliquee%20en%20cent%20discours%20pour%20l%27instruction%20de%20la%20ieunesse%20%281646%29%20%2814744779861%29.jpg	masculin	1600-01-01T00:00:00Z	1674-06-14T00:00:00Z	125166207	34407626	0000 0000 6299 5251
Molière	L'École des femmes	1663	Paris	28961	1976	comédie	vers	no	yes	1-standard	https://gallica.bnf.fr/ark:/12148/btv1b8610785b	Moliere1663_EcoleFemmes_btv1b8610785b_cropped_numb_align_numb_l.tsv	http://www.wikidata.org/entity/Q687	http://commons.wikimedia.org/wiki/Special:FilePath/Moli%C3%A8re%20-%20Nicolas%20Mignard%20%281658%29.jpg	masculin	1622-01-15T00:00:00Z	1673-02-17T00:00:00Z	11916418p	27033430	0000 0001 2319 7131
Molière	L'École des femmes	1663	Paris	2488	63	comédie	prose	yes	yes	1-standard	https://gallica.bnf.fr/ark:/12148/btv1b8610785b	Moliere1663_EcoleFemmes_btv1b8610785b_cropped_numb_align_numb_seg_replace.tsv	http://www.wikidata.org/entity/Q687	http://commons.wikimedia.org/wiki/Special:FilePath/Moli%C3%A8re%20-%20Nicolas%20Mignard%20%281658%29.jpg	masculin	1622-01-15T00:00:00Z	1673-02-17T00:00:00Z	11916418p	27033430	0000 0001 2319 7131
Molière	George Dandin	1669	Paris	20340	986	comédie	prose	no	yes	1-standard	https://gallica.bnf.fr/ark:/12148/btv1b8610793w	Moliere1669_GeorgeDandin_btv1b8610793w_cropped_numb_seg_replace.tsv	http://www.wikidata.org/entity/Q687	http://commons.wikimedia.org/wiki/Special:FilePath/Moli%C3%A8re%20-%20Nicolas%20Mignard%20%281658%29.jpg	masculin	1622-01-15T00:00:00Z	1673-02-17T00:00:00Z	11916418p	27033430	0000 0001 2319 7131
Molière	Dom Garcie de Navarre	1694	Bruxelles	30269	1928	comédie	prose	no	yes	1-standard	http://data.onb.ac.at/rep/1041C7BA	Moliere1694_DomGarcie_Z258398909_numb_align_l.tsv	http://www.wikidata.org/entity/Q687	http://commons.wikimedia.org/wiki/Special:FilePath/Moli%C3%A8re%20-%20Nicolas%20Mignard%20%281658%29.jpg	masculin	1622-01-15T00:00:00Z	1673-02-17T00:00:00Z	11916418p	27033430	0000 0001 2319 7131
Nicolas Ellain	Advis sur la peste	1606	Paris	6914	114	médecine	prose	no	no	4-medecine-test	https://gallica.bnf.fr/ark:/12148/bpt6k1520316t	Ellain1606_Peste_bpt6k1520316t_numb_seg_replace.tsv	http://www.wikidata.org/entity/Q105200484		masculin	1535-01-01T00:00:00Z	1621-01-01T00:00:00Z	12423323r	67067344	0000 0000 3450 3539
Nicolas Pradon	Scipion	1697	Paris	22079	1471	tragédie	vers	no	yes	1-standard	https://gallica.bnf.fr/ark:/12148/bpt6k857200c	Pradon1697_Scipion_cb38652730w_corrected_numb_align_numb_l.tsv	http://www.wikidata.org/entity/Q3340704		masculin	1632-01-01T00:00:00Z	1698-01-14T00:00:00Z	12074883k	02903924X	0000 0000 0006 3096
Nicolas Pradon	Scipion	1697	Paris	1268	24	tragédie	prose	yes	yes	1-standard	https://gallica.bnf.fr/ark:/12148/bpt6k857200c	Pradon1697_Scipion_cb38652730w_corrected_numb_align_numb_seg_replace.tsv	http://www.wikidata.org/entity/Q3340704		masculin	1632-01-01T00:00:00Z	1698-01-14T00:00:00Z	12074883k	02903924X	0000 0000 0006 3096
Nicolas Pradon	Statira	1680	Paris	25416	1700	tragédie	vers	no	yes	3-test+train	https://gallica.bnf.fr/ark:/12148/bpt6k8416272	Pradon1680_Statira_bpt6k8416272_cropped_numb_align_l.tsv	http://www.wikidata.org/entity/Q3340704		masculin	1632-01-01T00:00:00Z	1698-01-14T00:00:00Z	12074883k	02903924X	0000 0000 0006 3096
Nicolas Pradon	Statira	1680	Paris	957	18	tragédie	prose	yes	yes	3-test+train	https://gallica.bnf.fr/ark:/12148/bpt6k8416272	Pradon1680_Statira_bpt6k8416272_cropped_numb_align_numb_seg_replace.tsv	http://www.wikidata.org/entity/Q3340704		masculin	1632-01-01T00:00:00Z	1698-01-14T00:00:00Z	12074883k	02903924X	0000 0000 0006 3096
Fernão Mendes Pinto	Les voyages advantureux de Fernand Mendez Pinto	1645	Paris	17657	240	voyage	prose	no	yes	1-standard	https://gallica.bnf.fr/ark:/12148/bpt6k6580459m	Mendez1645_Voyages_bpt6k6580459m_numb_seg_replace.tsv	http://www.wikidata.org/entity/Q363923	http://commons.wikimedia.org/wiki/Special:FilePath/Fernao%20Mendes%20Pinto.jpg	masculin	1509-01-01T00:00:00Z	1583-07-08T00:00:00Z	11986762f	27931609	0000 0001 1065 388X
René Descartes	Les Passions de l'âme	1649	Paris	4425	68	philosophie	prose	no	yes	2-test	https://gallica.bnf.fr/ark:/12148/btv1b8601505n	Descartes1649_Passions_btv1b8601505n_cropped_numb_seg_convert_replace.tsv	http://www.wikidata.org/entity/Q9191	http://commons.wikimedia.org/wiki/Special:FilePath/Frans%20Hals%20-%20Portret%20van%20Ren%C3%A9%20Descartes.jpg	masculin	1596-03-31T00:00:00Z	1650-02-11T00:00:00Z	11899775j	27287165	0000 0001 2129 6144
René Descartes	Discours de la méthode	1637	Leyde	7060	83	philosophie	prose	no	yes	3-test+train	https://gallica.bnf.fr/ark:/12148/btv1b86069594/	Descartes1637_Discours_btv1b86069594_corrected_numb_seg_convert_replace.tsv	http://www.wikidata.org/entity/Q9191	http://commons.wikimedia.org/wiki/Special:FilePath/Frans%20Hals%20-%20Portret%20van%20Ren%C3%A9%20Descartes.jpg	masculin	1596-03-31T00:00:00Z	1650-02-11T00:00:00Z	11899775j	27287165	0000 0001 2129 6144
Roger de Bussy-Rabutin	Histoire amoureuse des Gaules	[1665]	Liege [i.e. Bruxelles]	10028	62	roman	prose	no	yes	1-standard	https://gallica.bnf.fr/ark:/12148/btv1b8623309s	Bussy1665_HistoireAmoureuse_btv1b8623309s_corrected_numb_seg_origInReg_replace.tsv	http://www.wikidata.org/entity/Q733246	http://commons.wikimedia.org/wiki/Special:FilePath/Roger%20de%20Bussy-Rabutin%20en%20armure%20de%20lieutenant-g%C3%A9n%C3%A9ral%20du%20roi%20%28bgw17%200152%29.jpg	masculin	1618-04-13T00:00:00Z	1693-04-09T00:00:00Z	12015994h	28295188	0000 0001 1025 7852
Scudéry	Artamène	1654	Paris	16264	683	roman	prose	no	yes	1-standard	https://books.google.fr/books?id=Mw9JAAAAcAAJ	Scudery1654_artamene_Mw9JAAAAcAAJ_numb_seg_replace.tsv	http://www.wikidata.org/entity/Q2261729							
Madeleine de Scudéry	Clélie	1656	Paris	8935	228	roman	prose	no	yes	3-test+train	https://gallica.bnf.fr/ark:/12148/bpt6k8707367p	Scudery1656_Clelie_bpt6k8707367p_cropped_corrected_numb_seg_replace.tsv	http://www.wikidata.org/entity/Q237095	http://commons.wikimedia.org/wiki/Special:FilePath/Mme%20de%20Scudery.jpg	féminin	1607-11-15T00:00:00Z	1701-06-02T00:00:00Z	119242312	27129608	0000 0001 2121 4284
Jean de Sponde	Premier recueil de diverses poésies	1604	Paris	16310	1069	poésie	verse	no	yes	1-standard	https://gallica.bnf.fr/ark:/12148/bpt6k705343	Sponde1604_recueil_bpt6k705343.tsv	https://www.wikidata.org/wiki/Q981932		masculin	1557-01-01T00:00:00Z	1595-03-18T00:00:00Z	11925370	27146588	0000 0001 1770 9647
Théophile de Viau	Œuvres	1623	Paris	9353	604	poésie	prose	no	yes	1-standard	https://gallica.bnf.fr/ark:/12148/btv1b8619667v/	Viau1623_Oeuvres_btv1b8619667v_numb_choice_replaceInside_l.tsv	http://www.wikidata.org/entity/Q462644	http://commons.wikimedia.org/wiki/Special:FilePath/Daret%20-%20Th%C3%A9ophile.png	masculin	1590-01-01T00:00:00Z	1626-09-25T00:00:00Z	11887829z	26674432	0000 0001 2143 8069
Tristan L'Hermite	Panthée	1639	Paris	8786	574	tragédie	vers	no	yes	1-standard	https://gallica.bnf.fr/ark:/12148/bpt6k15110748	Lhermite1639_Panthee_bpt6k15110748_corrected_numb_choice_replaceInside_l.tsv	http://www.wikidata.org/entity/Q1451213	http://commons.wikimedia.org/wiki/Special:FilePath/TristanL%27Hermite.jpg	masculin	1601-01-01T00:00:00Z	1655-09-07T00:00:00Z	11910225z	26955601	0000 0001 2031 0178
Tristan L'Hermite	Panthée	1639	Paris	1484	40	tragédie	prose	yes	yes	1-standard	https://gallica.bnf.fr/ark:/12148/bpt6k15110748	Lhermite1639_Panthee_bpt6k15110748_corrected_numb_choice_replaceInside_numb_seg_replace.tsv	http://www.wikidata.org/entity/Q1451213	http://commons.wikimedia.org/wiki/Special:FilePath/TristanL%27Hermite.jpg	masculin	1601-01-01T00:00:00Z	1655-09-07T00:00:00Z	11910225z	26955601	0000 0001 2031 0178
Marie-Catherine de Villedieu	Fables	1670	Paris	6819	553	fables	prose	no	yes	1-standard	https://gallica.bnf.fr/ark:/12148/btv1b8622108c	Villedieu1670_Fables_btv1b8622108c_orth_rect.tsv	http://www.wikidata.org/entity/Q464422	http://commons.wikimedia.org/wiki/Special:FilePath/Marie-Catherine%20Villedieu.jpg	féminin	1640-01-01T00:00:00Z	1683-10-20T00:00:00Z	11928378z	27186067	0000 0001 0928 276X
Marie-Catherine de Villedieu	Mémoires de la vie de Henriette Sylvie de Molière	1672	Paris	11727	267	roman-mémoires	prose	no	yes	1-standard	https://books.google.fr/books?id=McwUAAAAQAAJ	Villedieu1672_HenrietteSylvie_McwUAAAAQAAJ_orth_rect.tsv	http://www.wikidata.org/entity/Q464422	http://commons.wikimedia.org/wiki/Special:FilePath/Marie-Catherine%20Villedieu.jpg	féminin	1640-01-01T00:00:00Z	1683-10-20T00:00:00Z	11928378z	27186067	0000 0001 0928 276X
Guez de Balzac	Lettres	1624	Paris	96089	1659	correspondance	prose	no	yes	1-standard	https://gallica.bnf.fr/ark:/12148/btv1b86262420	Guez1624_Lettres_btv1b86262420.tsv	http://www.wikidata.org/entity/Q1248124	http://commons.wikimedia.org/wiki/Special:FilePath/Jean-Louis%20Guez%20de%20Balzac%20-%20Versailles%20MV%202890.jpg	masculin	1597-05-31T00:00:00Z	1654-02-18T00:00:00Z	11890042g	26703068	0000 0001 1444 3046
	Mercure Galant	1672	Paris	5594	142	journalisme	prose	no	no	6-train	http://obvil.sorbonne-universite.site/corpus/mercure-galant/	Mercure1672.tsv								
	Coutume de Normandie	1614	Paris	3417	60	droit	prose	no	no	6-train	https://conde.hypotheses.org/	coutumeNormandie1614.tsv								
