Contre l’Indifference des Athées	Contre l’Indifférence des Athées
Car quand ils auroient une certitude entiere qu’ils n’auroient rien à craindre aprés la mort que de tomber dans le neant, ne ſeroit-ce pas un ſujet de deſeſpoir plutoſt que de vanité?	Car quand ils auraient une certitude entière qu’ils n’auraient rien à craindre après la mort que de tomber dans le néant, ne serait-ce pas un sujet de désespoir plutôt que de vanité?
Et neanmoins il eſt certain que l’homme eſt ſi dénaturé qu’il y a dans ſon cœur une ſemence de joye en cela.	Et néanmoins il est certain que l’homme est si dénaturé qu’il y a dans son cœur une semence de joie en cela.
Ce repos brutal entre la crainte de l’enfer, & du neant ſemble ſi beau, que non ſeulement ceux qui ſont veritablement dans ce doute malheureux s’en glorifient;	Ce repos brutal entre la crainte de l’enfer, et du néant semble si beau, que non seulement ceux qui sont véritablement dans ce doute malheureux s’en glorifient;
Car l’experience nous fait voir que la plus part de ceux qui s’en meſlent ſont de ce dernier genre;	Car l’expérience nous fait voir que la plus part de ceux qui s’en mêlent sont de ce dernier genre;
que ce ſont des gens qui ſe contrefont, & qui ne ſont pas tels qu’ils veulent paroiſtre.	que ce sont des gens qui se contrefont, et qui ne sont pas tels qu’ils veulent paraître.
Ce ſont des perſonnes qui ont ouy dire que les belles manieres du monde conſiſtent à faire ainſi l’emporté.	Ce sont des personnes qui ont ouï dire que les belles manières du monde consistent à faire ainsi l’emporté.
C’eſt ce qu’ils appellent avoir ſecoüé le joug;	C’est ce qu’ils appellent avoir secoué le joug;
& la plus part ne le font que pour imiter les autres.	et la plus part ne le font que pour imiter les autres.
Mais s’ils ont encore tant ſoit peu de ſens commun, il n’eſt pas difficile de leur faire entendre combien ils s’abuſent en cherchant par là de l’eſtime.	Mais s’ils ont encore tant soit peu de sens commun, il n’est pas difficile de leur faire entendre combien ils s’abusent en cherchant par là de l’estime.
parce que les hommes n’aiment naturellement que ce qui leur peut eſtre utile.	parce que les hommes n’aiment naturellement que ce qui leur peut être utile.
Or quel avantage y a-t’il pour nous à ouïr dire à un homme qu’il a ſecoüé le joug, qu’il ne croit pas qu’il y ait un Dieu qui veille ſur ſes actions, qu’il ſe conſidere comme ſeul maiſtre de ſa conduite, qu’il ne penſe à en rendre compte qu’à ſoy meſme?	Or quel avantage y a-t-il pour nous à ouïr dire à un homme qu’il a secoué le joug, qu’il ne croit pas qu’il y ait un Dieu qui veille sur ses actions, qu’il se considère comme seul maître de sa conduite, qu’il ne pense à en rendre compte qu’à soi-même?
Penſe-t’il nous avoir bien rejouïs de nous dire qu’il doute ſi noſtre ame eſt autre choſe qu’un peu de vent & de fumée, & encore de nous le dire d’un ton de voix fier & content?	Pense-t-il nous avoir bien réjouis de nous dire qu’il doute si notre âme est autre chose qu’un peu de vent et de fumée, et encore de nous le dire d’un ton de voix fier et content?
Eſt-ce donc une choſe à dire gayement;	Est-ce donc une chose à dire gaiement;
& n’eſt-ce pas une choſe à dire au contraire triſtement, comme la choſe du monde la plus triſte?	et n’est-ce pas une chose à dire au contraire tristement, comme la chose du monde la plus triste?
S’ils y penſoient ſerieuſement ils verroient que cela eſt ſi mal pris, ſi contraire au bon ſens, ſi oppoſé à l’honneſteté, & ſi éloigné en toute maniere de ce bon air qu’ils cherchent, que rien n’eſt plus capable de leur attirer le meſpris & l’averſion des hommes, & de les faire paſſer pour des perſonnes ſans eſprit & ſans jugement.	S’ils y pensaient sérieusement ils verraient que cela est si mal pris, si contraire au bon sens, si opposé à l’honnêteté, et si éloigné en toute manière de ce bon air qu’ils cherchent, que rien n’est plus capable de leur attirer le mépris et l’aversion des hommes, et de les faire passer pour des personnes sans esprit et sans jugement.
Et en effet ſi on leur fait rendre compte de leurs ſentimens & des raiſons qu’ils ont de douter de la Religion, ils diront des choſes ſi foibles & ſi baſſes qu’ils perſuaderoient plutoſt du contraire.	Et en effet si on leur fait rendre compte de leurs sentiments et des raisons qu’ils ont de douter de la Religion, ils diront des choses si faibles et si basses qu’ils persuaderaient plutôt du contraire.
C’eſtoit ce que leur diſoit un jour fort à propos une perſonne:	C’était ce que leur disait un jour fort à propos une personne:
Et il avoit raiſon;	Et il avait raison;
car qui n’auroit horreur de ſe voir dans des ſentimens où l’on a pour compagnons des perſonnes ſi meſpriſables.	car qui n’aurait horreur de se voir dans des sentiments où l’on a pour compagnons des personnes si méprisables.
S’ils ſont faſchez dans le fond de leur cœur de n’avoir pas plus de lumiere, qu’ils ne le diſſimulent point.	S’ils sont fâchés dans le fond de leur cœur de n’avoir pas plus de lumière, qu’ils ne le dissimulent point.
Cette declaration ne ſera pas honteuſe.	Cette déclaration ne sera pas honteuse.
Il n’y a de honte qu’à n’en point avoir.	Il n’y a de honte qu’à n’en point avoir.
Rien ne deſcouvre davantage une eſtrange foibleſſe d’eſprit que de ne pas connoiſtre quel eſt le malheur d’un homme ſans Dieu.	Rien ne découvre davantage une étrange faiblesse d’esprit que de ne pas connaître quel est le malheur d’un homme sans Dieu.
Rien ne marque davantage une extrême baſſeſſe de cœur que de ne pas ſouhaitter la verité des promeſſes eternelles.	Rien ne marque davantage une extrême bassesse de cœur que de ne pas souhaiter la vérité des promesses éternelles.
Rien n’eſt plus laſche que de faire le brave contre Dieu.	Rien n’est plus lâche que de faire le brave contre Dieu.
qu’ils ſoient au moins honneſtes gens, s’ils ne peuvent encore eſtre Chreſtiens:	qu’ils soient au moins honnêtes gens, s’ils ne peuvent encore être Chrétiens:
& qu’ils reconnoiſſent enfin qu’il n’y a que de ſortes de perſonnes qu’on puiſſe appeller raiſonnables;	et qu’ils reconnaissent enfin qu’il n’y a que de sortes de personnes qu’on puisse appeler raisonnables;
ou ceux qui le cherchent de tout leur cœur, parce qu’ils ne le connoiſſent pas encore.	ou ceux qui le cherchent de tout leur cœur, parce qu’ils ne le connaissent pas encore.
C’eſt donc pour les perſonnes qui cherchent Dieux ſincerement, & qui reconnoiſſant leur miſere deſirent veritablement d’en ſortir, qu’il eſt juſte de travailler, afin de leur ayder à trouver la lumiere qu’ils n’ont pas.	C’est donc pour les personnes qui cherchent Dieux sincèrement, et qui reconnaissant leur misère désirent véritablement d’en sortir, qu’il est juste de travailler, afin de leur aider à trouver la lumière qu’ils n’ont pas.
Mais pour ceux qui vivent ſans le connoiſtre, & ſans le chercher, ils ſe jugent eux meſmes ſi peu dignes de leur ſoin, qu’ils ne ſont pas dignes du ſoin des autres:	Mais pour ceux qui vivent sans le connaître, et sans le chercher, ils se jugent eux mêmes si peu dignes de leur soin, qu’ils ne sont pas dignes du soin des autres:
& il faut avoir toute la charité de la Religion qu’ils meſpriſent pour ne les pas meſpriſer juſqu’à les abandonner dans leur folie.	et il faut avoir toute la charité de la Religion qu’ils méprisent pour ne les pas mépriser jusqu’à les abandonner dans leur folie.
Mais parce que cette Religion nous oblige de les regarder toûjours tant qu’ils feront en cette vie comme capables de la grace qui peut les éclairer, & de croire qu’ils peuvent eſtre dans peu de temps plus remplis de foy que nous de ſommes, & que nous pouvons au contraire tomber dans l’aveuglement où ils ſont;	Mais parce que cette Religion nous oblige de les regarder toujours tant qu’ils feront en cette vie comme capables de la grâce qui peut les éclairer, et de croire qu’ils peuvent être dans peu de temps plus remplis de foi que nous de sommes, et que nous pouvons au contraire tomber dans l’aveuglement où ils sont;
il faut faire pour eux ce que nous voudrions qu’on fiſt pour nous ſi nous eſtions en leur place, & les appeller à avoir pitié d’eux meſmes, & à faire au moins quelques pas pour tenter s’ils ne trouveront point de lumiere.	il faut faire pour eux ce que nous voudrions qu’on fît pour nous si nous étions en leur place, et les appeler à avoir pitié d’eux mêmes, et à faire au moins quelques pas pour tenter s’ils ne trouveront point de lumière.
Peut eſtre y rencontrerons ils quelque choſe, ou du moins ils n’y perdront pas beaucoup.	Peut-être y rencontreront-ils quelque chose, ou du moins ils n’y perdront pas beaucoup.
Mais pour ceux qui y apporteront une ſincerité parfaite & un parfait deſir de connoître la verité, j’eſpere qu’ils y auront ſatisfaction, & qu’ils ſeront convaincus des preuves d’une Religion ſi divine que l’on y a ramaſſées.	Mais pour ceux qui y apporteront une sincérité parfaite et un parfait désir de connaître la vérité, j’espère qu’ils y auront satisfaction, et qu’ils seront convaincus des preuves d’une Religion si divine que l’on y a ramassées.
Marques de la veritable Religion.	Marques de la véritable Religion.
La vraye Religion doit avoir pour marque d’obliger à aymer Dieu.	La vraie Religion doit avoir pour marque d’obliger à aimer Dieu.
Cela eſt bien juſte.	Cela est bien juste.
Et cependant aucune autre que la noſtre ne l’a ordonné.	Et cependant aucune autre que la nôtre ne l’a ordonné.
Elle doit encore avoir connu la concupiſcence de l’homme, & l’impuiſſance où il eſt par luy meſme d’acquerir la vertu.	Elle doit encore avoir connu la concupiscence de l’homme, et l’impuissance où il est par lui même d’acquérir la vertu.
Elle doit y avoir apporté les remedes dont la priere eſt le principal.	Elle doit y avoir apporté les remèdes dont la prière est le principal.
& nulle autre n’a jamais demandé à Dieu de l’aymer & de le ſuivre.	et nulle autre n’a jamais demandé à Dieu de l’aimer et de le suivre.
§ Il faut pour faire qu’une Religion ſoit vraye qu’elle ayt connu noſtre nature.	§ Il faut pour faire qu’une Religion soit vraie qu’elle ait connu notre nature.
Elle doit avoir connu la grandeur & la baſſeſſe de l’homme, & la raiſon de l’un & de l’autre.	Elle doit avoir connu la grandeur et la bassesse de l’homme, et la raison de l’un et de l’autre.
Quelle autre Religion que la Chreſtienne a connu toutes ces choſes?	Quelle autre Religion que la Chrétienne a connu toutes ces choses?
§ Les autres Religions, comme les Payennes, ſont plus populaires;	§ Les autres Religions, comme les Païennes, sont plus populaires;
car elles conſiſtent toutes en exterieur;	car elles consistent toutes en extérieur;
mais elles ne ſont pas pour les gens habiles.	mais elles ne sont pas pour les gens habiles.
Une Religion purement intellectuelle ſeroit plus proportionnée aux habiles;	Une Religion purement intellectuelle serait plus proportionnée aux habiles;
La ſeule Religion Chreſtienne eſt proportionnée à tous, eſtant meſlée d’exterieur & d’interieur.	La seule Religion Chrétienne est proportionnée à tous, étant mêlée d’extérieur et d’intérieur.
Elle éleve le peuple à l’interieur, & abaiſſe les ſuperbes à l’exterieur, & n’eſt pas parfaite ſans les deux.	Elle élève le peuple à l’intérieur, et abaisse les superbes à l’extérieur, et n’est pas parfaite sans les deux.
§ Nous ſommes haïſſables;	§ Nous sommes haïssables;
la raiſon nous en convainc.	la raison nous en convainc.
Or nulle autre Religion que la Chreſtienne ne propoſe de ſe haïr.	Or nulle autre Religion que la Chrétienne ne propose de se haïr.
Nulle autre Religion ne peut donc eſtre reçeüe de ceux qui ſçavent qu’ils ne ſont dignes que de haine.	Nulle autre Religion ne peut donc être reçue de ceux qui savent qu’ils ne sont dignes que de haine.
§ Nulle autre Religion que la Chreſtienne n’a connu que l’homme eſt la plus excellente creature, & en meſme temps la plus miſerable.	§ Nulle autre Religion que la Chrétienne n’a connu que l’homme est la plus excellente créature, et en même temps la plus misérable.
Les uns qui ont bien connu la realité de ſon excellence ont pris pour lâcheté & pour ingratitude les ſentimens bas que les hommes ont naturellement d’eux meſmes.	Les uns qui ont bien connu la réalité de son excellence ont pris pour lâcheté et pour ingratitude les sentiments bas que les hommes ont naturellement d’eux mêmes.
§ Nulle Religion que la noſtre n’a enſeigné que l’homme naiſt en peché.	§ Nulle Religion que la nôtre n’a enseigné que l’homme naît en péché.
Nulle ſecte de Philoſophes ne l’a dit.	Nulle secte de Philosophes ne l’a dit.
§ Dieu eſtant caché, toute Religion qui ne dit pas que Dieu eſt caché n’eſt pas veritable;	§ Dieu étant caché, toute Religion qui ne dit pas que Dieu est caché n’est pas véritable;
& toute Religion qui n’en rend pas la raiſon n’eſt pas inſtruiſante.	et toute Religion qui n’en rend pas la raison n’est pas instruisante.
La noſtre fait tout cela.	La nôtre fait tout cela.
