ORAISON   DEDICATOIRE.	ORAISON DÉDICATOIRE.
Or voyez, ie vous prie, ceux qui ſont ſur l’eſchelle, ce ſont des hommes qui ont des cœurs angeliques, ou des Anges qui ont des corps humains.	Or voyez, je vous prie, ceux qui sont sur l’échelle, ce sont des hommes qui ont des cœurs angéliques, ou des Anges qui ont des corps humains.
Ils ne ſont pas ieunes:	Ils ne sont pas jeunes:
mais ils le ſemblent eſtre, parce qu’ils ſont pleins de vigueur & agilité ſpirituelle.	mais ils le semblent être, parce qu’ils sont pleins de vigueur et agilité spirituelle.
Ils ont des aiſles pour voler, & s’élancent en Dieu par la ſaincte oraiſon:	Ils ont des ailes pour voler, et s’élancent en Dieu par la sainte oraison:
mais ils ont des pieds pour cheminer auec les hommes par vne ſaincte & amiable conuerſation:	mais ils ont des pieds pour cheminer avec les hommes par une sainte et amiable conversation:
leurs viſages ſont beaux & gays, dautant qu’ils reçoiuent toutes choſes auec douceur & ſuauité:	leurs visages sont beaux et gais, d’autant qu’ils reçoivent toutes choses avec douceur et suavité:
le reſte de leurs corps eſt couuert, mais d’vne belle & legere robbe, par ce qu’ils vſent voirement de ce monde & des choſes mondaines:	le reste de leurs corps est couvert, mais d’une belle et légère robe, par ce qu’ils usent voirement de ce monde et des choses mondaines:
mais d’vne façon toute pure & ſincere, n’en prenant que legerement ce qui eſt requis pour leur condition, telles ſont les perſonnes deuotes.	mais d’une façon toute pure et sincère, n’en prenant que légèrement ce qui est requis pour leur condition, telles sont les personnes dévotes.
Si la charité eſt vn laict, la deuotion en eſt la creſme;	Si la charité est un lait, la dévotion en est la crème;
ſi elle eſt vne plante, la deuotion en eſt la fleur;	si elle est une plante, la dévotion en est la fleur;
ſi elle eſt vne pierre precieuſe, la deuotion en eſt l’eſclat:	si elle est une pierre précieuse, la dévotion en est l’éclat:
ſi elle eſt vne bauſme precieux, la deuotion en eſt l’odeur, & l’odeur de ſuauité, qui conforte les hommes, & reſiouït les Anges.	si elle est une baume précieux, la dévotion en est l’odeur, et l’odeur de suavité, qui conforte les hommes, et réjouit les Anges.
Que la deuotion eſt conuenable à toutes ſortes de vacations & profeſſions.	Que la dévotion est convenable à toutes sortes de vacations et professions.
CHAPITRE III.	CHAPITRE III.
La deuotion doit eſtre differemment exercée par le Gentil-homme, par l’artiſan, par le valet, par le Prince, par la vefue, par la fille, par la mariée, & non ſeulement cela:	La dévotion doit être différemment exercée par le Gentilhomme, par l’artisan, par le valet, par le Prince, par la veuve, par la fille, par la mariée, et non seulement cela:
mais il faut accommoder la pratique de la deuotion aux forces, aux affaires, & aux deuoirs de chaque particulier.	mais il faut accommoder la pratique de la dévotion aux forces, aux affaires, et aux devoirs de chaque particulier.
cette deuotion ne ſeroit-elle pas ridicule, déreglée & inſupportable? Cette faute neantmoins arriue bien ſouuent, & le monde qui ne diſcerne pas, ou ne veut pas diſcerner entre la deuotion & l’indiſcretion de ceux qui penſent eſtre deuots, murmure & blaſme la deuotion, laquelle ne peut mais de ces deſordres.	cette dévotion ne serait-elle pas ridicule, déréglée et insupportable? Cette faute néanmoins arrive bien souvent, et le monde qui ne discerne pas, ou ne veut pas discerner entre la dévotion et l’indiscrétion de ceux qui pensent être dévots, murmure et blâme la dévotion, laquelle ne peut mais de ces désordres.
Non Philothée, la deuotion ne gaſte rien quand elle eſt vraye, ains elle perfectionne tout: & lors qu’elle ſe rend contraire à la legitime vocation de quelqu’vn, elle eſt ſans doute fauſſe.	Non Philothée, la dévotion ne gâte rien quand elle est vraie, ains elle perfectionne tout: et lorsqu’elle se rend contraire à la légitime vocation de quelqu’un, elle est sans doute fausse.
L’abeille, dit Ariſtote, tire ſon miel des fleurs, ſans les intereſſer, les laiſſant entieres & fraiſches, comme elle les a trouuées;	L’abeille, dit Aristote, tire son miel des fleurs, sans les intéresser, les laissant entières et fraîches, comme elle les a trouvées;
mais la vraye deuotion fait encore mieux:	mais la vraie dévotion fait encore mieux:
car non ſeulement elle ne gaſte nulle ſorte de vocation ny d’affaires, ains au contraire elle les orne & embellit.	car non seulement elle ne gâte nulle sorte de vocation ni d’affaires, ains au contraire elle les orne et embellit.
Toutes ſortes de pierreries iettées dedans le miel, en deuiennent plus eſclattantes, chacune ſelon ſa couleur;	Toutes sortes de pierreries jetées dedans le miel, en deviennent plus éclatantes, chacune selon sa couleur;
le ſoin de la famille en eſt rendu paiſible, l’amour du mary & de la femme plus ſincere, le ſeruice du Prince plus fidele, & toutes ſortes d’occupations plus ſuaues & amiables.	le soin de la famille en est rendu paisible, l’amour du mari et de la femme plus sincère, le service du Prince plus fidèle, et toutes sortes d’occupations plus suaves et amiables.
C’eſt vn erreur, ains vne hereſie, de vouloir bannir la vie deuote de la compagnie des ſoldats, de la boutique des artiſans, de la cour des Princes, du meſnage des gens mariez.	C’est un erreur, ains une hérésie, de vouloir bannir la vie dévote de la compagnie des soldats, de la boutique des artisans, de la cour des Princes, du ménage des gens mariés.
mais auſſi outre ces trois ſortes de deuotion, il y en a pluſieurs autres propres à perfectionner ceux qui viuent és eſtats ſeculiers.	mais aussi outre ces trois sortes de dévotion, il y en a plusieurs autres propres à perfectionner ceux qui vivent ès états séculiers.
Abraham, Iſaac, & Iacob, Dauid, Iob, Tobie, Sara, Rebecca, & Iudith en font foy par l’ancien Teſtament:	Abraham, Isaac, et Jacob, David, Job, Tobie, Sara, Rebecca, et Judith en font foi par l’ancien Testament:
& quant au nouueau, ſainct Ioſeph, Lydia, & ſainct Creſpin furent parfaitement deuots en leurs boutiques:	et quant au nouveau, saint Joseph, Lydia, et saint Crépin furent parfaitement dévots en leurs boutiques:
ſaincte Anne, ſaincte Marthe, ſaincte Monique, Aquila, Priſcilla en leurs ménages;	sainte Anne, sainte Marthe, sainte Monique, Aquila, Priscilla en leurs ménages;
Cornelius, ſainct Sebaſtien, ſainct Maurice parmy les armes:	Cornélius, saint Sébastien, saint Maurice parmi les armes:
Conſtantin, Helene, ſainct Louys, le B. Amé, ſainct Edoüard, en leurs ſaincts thrones.	Constantin, Hélène, saint Louis, le B. Amé, saint Édouard, en leurs saints trônes.
Loth, dit ſainct Gregoire, qui fut ſi chaſte en la ville, ſe ſoüilla en la ſolitude:	Loth, dit saint Grégoire, qui fut si chaste en la ville, se souilla en la solitude:
où que nous ſoyons, nous pouuons & deuons aſpirer à la vie parfaite.	où que nous soyons, nous pouvons et devons aspirer à la vie parfaite.
CHAPITRE IV.	CHAPITRE IV.
LE ieune Tobie commandé d’aller en Ragés;	LE jeune Tobie commandé d’aller en Ragès;
ie ne ſçay nullement le chemin, dit il: va donc, replique le pere, & cherche quelque homme qui te conduiſe.	je ne sais nullement le chemin, dit-il: va donc, réplique le père, et cherche quelque homme qui te conduise.
Ie vous en dis de meſme, ma Philothée, voulez vous à bon eſcient vous acheminer à la deuotion? cherchez quelque homme de bien qui vous guide & conduiſe.	Je vous en dis de même, ma Philothée, voulez-vous à bon escient vous acheminer à la dévotion? cherchez quelque homme de bien qui vous guide et conduise.
C’eſt icy l’aduertiſſement des aduertiſſemens, quoy que vous cherchiez, dit le deuot Auila, vous ne trouuerez iamais ſi aſſeurément la volonté de Dieu, que par le chemin de cette humble obeïſſance tant recommandée, & pratiquée par tous les anciens deuots.	C’est ici l’avertissement des avertissements, quoi que vous cherchiez, dit le dévot Avila, vous ne trouverez jamais si assurément la volonté de Dieu, que par le chemin de cette humble obéissance tant recommandée, et pratiquée par tous les anciens dévots.
La bien-heureuſe mere Thereſe, voyant que madame Catherine de Cordoüe faiſoit de grandes penitences, deſira fort de l’imiter en cela, contre l’aduis de ſon Confeſſeur, qui le luy defendoit, auquel elle eſtoit tentée de ne point obeïr pour ce regard.	La bienheureuse mère Thérèse, voyant que madame Catherine de Cordoue faisait de grandes pénitences, désira fort de l’imiter en cela, contre l’avis de son Confesseur, qui le lui défendait, auquel elle était tentée de ne point obéir pour ce regard.
ma fille, tu tiens vn bon & aſſeuré chemin, vois tu la penitence qu’elle fait? mais moy ie fais plus de cas de ton obeïſſance:	ma fille, tu tiens un bon et assuré chemin, vois tu la pénitence qu’elle fait? mais moi je fais plus de cas de ton obéissance:
auſſi elle aimoit tant cette vertu, qu’outre l’obeïſſance quelle deuoit à ſes Superieurs elle en voüa vne toute particuliere à vn excellent homme s’obligeant de ſuiure ſa direction & conduite, dont elle fut infiniment conſolée;	aussi elle aimait tant cette vertu, qu’outre l’obéissance quelle devait à ses Supérieurs elle en voua une toute particulière à un excellent homme s’obligeant de suivre sa direction et conduite, dont elle fut infiniment consolée;
ce que ſaincte Catherine de Sienne loüe infiniment en ſes dialogues.	ce que sainte Catherine de Sienne loue infiniment en ses dialogues.
La deuote Princeſſe ſaincte Elizabeth ſe ſouſmit auec vne extréme obeïſſance au Docteur M. Conrad.	La dévote Princesse sainte Élisabeth se soumit avec une extrême obéissance au Docteur M. Conrad.
Et voicy l’vn des aduis que le grand ſainct Louys fit à ſon fils auant que mourir:	Et voici l’un des avis que le grand saint Louis fit à son fils avant que mourir:
Confeſſe toy ſouuent, élis vn Confeſſeur idoine, qui ſoit preud’homme, & qui te puiſſe ſeurement enſeigner à faire les choſes qui te ſont neceſſaires.	Confesse-toi souvent, élis un Confesseur idoine, qui soit prud’homme, et qui te puisse sûrement enseigner à faire les choses qui te sont nécessaires.
L’amy fidelle, dit l’Eſcriture ſaincte, eſt vne forte protection:	L’ami fidèle, dit l’Écriture sainte, est une forte protection:
celuy qui l’a trouué, a trouué vn threſor.	celui qui l’a trouvé, a trouvé un trésor.
ceux qui craignent Dieu le treuuent.	ceux qui craignent Dieu le trouvent.
Ces diuines paroles regardent principalement l’immortalité, comme vous voyez, pour laquelle il faut ſur toutes choſes auoir cét amy fidelle, qui garde nos actions par ſes aduis & conſeils, & par ce moyen nous garentir des embuſches & tromperies du malin:	Ces divines paroles regardent principalement l’immortalité, comme vous voyez, pour laquelle il faut sur toutes choses avoir cet ami fidèle, qui garde nos actions par ses avis et conseils, et par ce moyen nous garantir des embûches et tromperies du malin:
il nous ſeruira de medicament, pour alleger & conſoler nos cœurs és maladies ſpirituelles:	il nous servira de médicament, pour alléger et consoler nos cœurs ès maladies spirituelles:
il nous gardera du mal, & rendra noſtre bien meilleur, & quand il nous arriuera quelque infirmité, il empeſchera qu’elle ne ſoit pas à la mort, car il nous en releuera.	il nous gardera du mal, et rendra notre bien meilleur, et quand il nous arrivera quelque infirmité, il empêchera qu’elle ne soit pas à la mort, car il nous en relèvera.
Mais qui trouuera cet amy? le Sage reſpond, ceux qui craignent Dieu, c’eſt à dire les humbles, qui deſirent fort leur aduancement ſpirituel.	Mais qui trouvera cet ami? le Sage répond, ceux qui craignent Dieu, c’est-à-dire les humbles, qui désirent fort leur avancement spirituel.
Puis qu’il vous importe tant, Philothée, d’aller auec vne bonne guide en ce ſainct voyage de deuotion, priez Dieu auec vne grande inſtance, qu’il vous en fourniſſe d’vne qui ſoit ſelon ſon cœur:	Puisqu’il vous importe tant, Philothée, d’aller avec une bonne guide en ce saint voyage de dévotion, priez Dieu avec une grande instance, qu’il vous en fournisse d’une qui soit selon son cœur:
& ne doutez point, car quand il deuroit enuoyer vn Ange du ciel, comme il fit au ieune Tobie, il vous en donnera vne bonne & fidele.	et ne doutez point, car quand il devrait envoyer un Ange du ciel, comme il fit au jeune Tobie, il vous en donnera une bonne et fidèle.
Or ce doit touſiours eſtre vn Ange pour vous, c’eſt à dire, quand vous l’aurez trouuée, ne la conſiderez pas comme vn ſimple homme, & ne vous confiez point en icelle, ny en ſon ſçauoir humain, mais en Dieu, lequel vous fauoriſera, & parlera par l'entremiſe de cet homme, mettant dedans le cœur & dedans la bouche d’iceluy, ce qui ſera requis pour voſtre bon-heur:	Or ce doit toujours être un Ange pour vous, c’est-à-dire, quand vous l’aurez trouvée, ne la considérez pas comme un simple homme, et ne vous confiez point en icelle, ni en son savoir humain, mais en Dieu, lequel vous favorisera, et parlera par l’entremise de cet homme, mettant dedans le cœur et dedans la bouche d’icelui, ce qui sera requis pour votre bonheur:
Traitez auec luy à cœur ouuert, en toute ſincerité & fidelité, luy manifeſtant clairement voſtre bien & voſtre mal, ſans feintiſe, ny diſſimulation:	Traitez avec lui à cœur ouvert, en toute sincérité et fidélité, lui manifestant clairement votre bien et votre mal, sans feintise, ni dissimulation:
& par ce moyen voſtre bien ſera examiné & plus aſſeuré, & voſtre mal ſera corrigé & remedié;	et par ce moyen votre bien sera examiné et plus assuré, et votre mal sera corrigé et remédié;
ayez en luy vne extreme confiance meſlée d’vne ſacrée reuerence, en ſorte que la reuerence ne diminuë point la confiance, & que la confiance n’empeſche point la reuerence:	ayez en lui une extrême confiance mêlée d’une sacrée révérence, en sorte que la révérence ne diminue point la confiance, et que la confiance n’empêche point la révérence:
confiez vous en luy auec le reſpect d’vne fille enuers ſon pere, reſpectez-le auec la confiance d’vn fils enuers ſa mere:	confiez-vous en lui avec le respect d’une fille envers son père, respectez-le avec la confiance d’un fils envers sa mère:
Bref cette amitié doit eſtre forte & douce, toute ſaincte, toute ſacrée, toute diuine, & toute ſpirituelle.	Bref cette amitié doit être forte et douce, toute sainte, toute sacrée, toute divine, et toute spirituelle.
Et pour cela choiſiſſez-en vn entre mille, dit Auila;	Et pour cela choisissez-en un entre mille, dit Avila;
& moy ie dis entre dix mille:	et moi je dis entre dix mille:
car il s’en trouue moins que l’on ne ſçauroit dire, qui ſoient capables de cet office:	car il s’en trouve moins que l’on ne saurait dire, qui soient capables de cet office:
ſi l’vne de ces trois parties luy manque, il y a du danger:	si l’une de ces trois parties lui manque, il y a du danger:
mais ie vous dis derechef, demandez-le à Dieu, & l’ayant obtenu beniſſez ſa diuine Maieſté, demeurez ferme, & n’en cherchez point d’autres, ains allez ſimplement humblement, & confidemment:	mais je vous dis derechef, demandez-le à Dieu, et l’ayant obtenu bénissez sa divine Majesté, demeurez ferme, et n’en cherchez point d’autres, ains allez simplement humblement, et confidemment:
Qu'il faut commencer par la purgation de l'ame.	Qu’il faut commencer par la purgation de l’âme.
CHAPITRE V.	CHAPITRE V.
LES fleurs, dit l’Eſpoux ſacré, apparoiſſent en noſtre terre;	LES fleurs, dit l’Époux sacré, apparaissent en notre terre;
le temps d’émonder & tailler eſt venu.	le temps d’émonder et tailler est venu.
Qui ſont les fleurs de nos cœurs, ô Philothée, ſinon les bons deſirs? Or auſſi toſt qu’ils paroiſſent, il faut mettre la main à la ſerpe pour retrancher de noſtre conſcience toutes les œuures mortes & ſuperfluës:	Qui sont les fleurs de nos cœurs, ô Philothée, sinon les bons désirs? Or aussitôt qu’ils paraissent, il faut mettre la main à la serpe pour retrancher de notre conscience toutes les œuvres mortes et superflues:
la fille eſtrangere pour eſpouſer l’Iſraëlite, deuoit oſter la robbe de ſa captiuité, roigner ſes ongles, & raſer ſes cheueux:	la fille étrangère pour épouser l’Israélite, devait ôter la robe de sa captivité, rogner ses ongles, et raser ses cheveux:
puis roigner & raſer toutes ſortes d’empeſchemens, qui la détournent de l’amour de Dieu: c’eſt le commencement de noſtre ſanté, que d'eſtre purgé de nos humeurs peccantes.	puis rogner et raser toutes sortes d’empêchements, qui la détournent de l’amour de Dieu: c’est le commencement de notre santé, que d’être purgé de nos humeurs peccantes.
