IEVNE & victorieux Monarque	JEUNE et victorieux Monarque
Qui les fit autrefois naistre pour la Faueur,	Qui les fit autrefois naître pour la Faveur,
Et tant d’escrits perdus que pour chanter leur flame,	Et tant d’écrits perdus que pour chanter leur flamme,
Mille de mes amis m'ont arraché de l'ame.	Mille de mes amis m’ont arraché de l’âme.
Qui l'Ame par les yeux m'as peu ſi biẽ tirer,	Qui l’Âme par les yeux m’as pu si bien tirer,
Beauté que deſormais ie nõmeray mõ Ange,	Beauté que désormais je nommerai mon Ange,
I'ay ſi peur que ma Muſe ait perdu ces appas,	J’ai si peur que ma Muse ait perdu ces appas,
A flater vainement ceux que ie n'aime pas,	À flatter vainement ceux que je n’aime pas,
Que ma plus belle ardeur auiourd'huy ſe retire,	Que ma plus belle ardeur aujourd’hui se retire,
M'eſtant ſi neceſſaire à ce nouueau martire,	M’étant si nécessaire à ce nouveau martyre,
Et qu'au meilleur beſoin mes esprits finißãs,	Et qu’au meilleur besoin mes esprits finissants,
Ne me fourniſſent plus que des vers languiſſans,	Ne me fournissent plus que des vers languissants,
N'aura pour ton ſubiect rien gardé que des reſtes.	N’aura pour ton sujet rien gardé que des restes.
Cloris ie le confeſſe & qu'en ce beau deſſein	Cloris je le confesse et qu’en ce beau dessein
Mais le feu de l'amour qui s'eſt rendu le maiſtre,	Mais le feu de l’amour qui s’est rendu le maître,
De tous mes ſentimẽs la peut faire renaiſtre,	De tous mes sentiments la peut faire renaître,
Et ſa douce fureur par vn traict de tes yeux,	Et sa douce fureur par un trait de tes yeux,
Peut rendre à mon esprit ce qu’il auoit de mieux.	Peut rendre à mon esprit ce qu’il avait de mieux.
Ainſi ſur cet eſpoir dont ta beauté me flatte,	Ainsi sur cet espoir dont ta beauté me flatte,
Ta beauté dont le feu par tous moyens eſclate:	Ta beauté dont le feu par tous moyens éclate:
De ſauuer ton merite & mõ nom de la mort.	De sauver ton mérite et mon nom de la mort.
Ie conçois vn Poëme en l'ardeur qui me pique,	Je conçois un Poème en l’ardeur qui me pique,
Ie ſçay que les François n'ont pas encor appris	Je sais que les Français n’ont pas encor appris
De pouſſer dans ces champs leurs delicats eſprits,	De pousser dans ces champs leurs délicats esprits,
Je me veux engager à ce penible ouurage,	Je me veux engager à ce pénible ouvrage,
Car tu m'en fourniras la force & le courage,	Car tu m’en fourniras la force et le courage,
Si ie ſuis le premier à ce diuin effort,	Si je suis le premier à ce divin effort,
Ce n'eſt à mon aduis que le plaiſir du ſort,	Ce n’est à mon avis que le plaisir du sort,
Voulut que le premier ceſte beauté ie viſſe,	Voulut que le premier cette beauté je visse,
Et que dans tes appas ie prinſſe vne chaleur,	Et que dans tes appas je prisse une chaleur,
Où rien que ton obiet ma paſſion n'allume,	Où rien que ton objet ma passion n’allume,
Où ie n'ay que ta main pour conduire ma plume,	Où je n’ai que ta main pour conduire ma plume,
O Dieux pourray-ie bien ſans vous faſcher vn peu!	Ô Dieux pourrai-je bien sans vous fâcher un peu!
Suiure les mouuemens de mon aueugle feu!	Suivre les mouvements de mon aveugle feu!
Deſ-ia comme l'amour m'engage à la furie,	Déjà comme l’amour m’engage à la furie,
Ie croy que l'adorer n'eſt pas idolatrie,	Je crois que l’adorer n’est pas idolâtrie,
Tout ce que i'en veux dire eſt au deſſous de vous,	Tout ce que j’en veux dire est au-dessous de vous,
S'il vous plaiſt que le monde vniquement vous ayme,	S’il vous plaît que le monde uniquement vous aime,
Faire que les mortels rendent la liberté	Faire que les mortels rendent la liberté
De leurs deſirs peruers à voſtre volonté,	De leurs désirs pervers à votre volonté,
Sans les eſpouuanter de l'eſclat du tonnerre,	Sans les épouvanter de l’éclat du tonnerre,
Changez vous en Cloris, & veneZ ſur la terre,	Changez vous en Cloris, et venez sur la terre,
Alors de voſtre Amour ils ſeront tous rauis,	Alors de votre Amour ils seront tous ravis,
Alors abſolument vous en ſerez ſeruis,	Alors absolument vous en serez servis,
Que Paris & ſa ville ont bruſlé pour Helene,	Que Paris et sa ville ont brûlé pour Hélène,
Et les antiquitez font voir au curieux,	Et les antiquités font voir au curieux,
Et de tant de beauteZ qui furent les Maiſtreſſes	Et de tant de beautés qui furent les Maîtresses
De l'aiſné de Saturne on en fait des Deeſſes,	De l’aîné de Saturne on en fait des Déesses,
Qui n’ont eſté pourtant non plus que leur Amant,	Qui n’ont été pourtant non plus que leur Amant,
Que le triste butin d’vn mortel monument,	Que le triste butin d’un mortel monument,
Mais d'autant que l'Amour eſt le bien de la vie,	Mais d’autant que l’Amour est le bien de la vie,
Qui ſeul ne peut iamais eſteindre ſon enuie,	Qui seul ne peut jamais éteindre son envie,
Qui dans la reſiſtance augmente le deſir,	Qui dans la résistance augmente le désir,
Et que les corps humains de ceſte douce flame,	Et que les corps humains de cette douce flamme,
On a creu de l'Amour qu'il eſtoit immortel.	On a cru de l’Amour qu’il était immortel.
Et qu'auſsi ſon ſubiect ne peut eſtre que tel,	Et qu’aussi son sujet ne peut être que tel,
Ainſi ces Dieux Païens furent ce que nous ſommes,	Ainsi ces Dieux Païens furent ce que nous sommes,
Ainſi les vrais Amans ſeront plus que les hommes,	Ainsi les vrais Amants seront plus que les hommes,
Pour moy qui n'ay ſouffert que d'vn iour ſeulement	Pour moi qui n’ai souffert que d’un jour seulement
Ie n'oZe m'aſſeurer de paſſer pour Amant,	Je n’ose m’assurer de passer pour Amant,
Depuis ſi peu de temps qu’il voit que ie ſouſpire,	Depuis si peu de temps qu’il voit que je soupire,
Il faut bien que ce ſoit vn obiect violent,	Il faut bien que ce soit un objet violent,
Ou que mon Ame ſoit d’vne matiere aiſée,	Ou que mon Âme soit d’une matière aisée,
Et d’vne humeur bien prompte à ſe voir embraſée,	Et d’une humeur bien prompte à se voir embrasée,
Ce feu bruſle ſi viſte à force qu'il me plaist,	Ce feu brûle si vite à force qu’il me plaît,
Qu'à peine ay-ie loiſir de regarder qu'il eſt,	Qu’à peine ai-je loisir de regarder qu’il est,
Les Dieux qui peuuẽt tout auec les Deſtinées,	Les Dieux qui peuvent tout avec les Destinées,
S’aident de mille maux et de beaucoup d’années.	S’aident de mille maux et de beaucoup d’années.
A force d'eſclairer eſteignent les viuans,	À force d’éclairer éteignent les vivants,
Qu'vn ſiecle ce flambeau paſſe ſur noſtre vie,	Qu’un siècle ce flambeau passe sur notre vie,
Mes ſens enueloppez dans vn profond ſommeil,	Mes sens enveloppés dans un profond sommeil,
Ne ſçauẽt plus que c'eſt des clartez du Soleil,	Ne savent plus que c’est des clartés du Soleil,
Mes premiers ſentimẽs ſont dãs la ſepulture,	Mes premiers sentiments sont dans la sépulture,
Ton Amour, ô Cloris, a changé ma nature,	Ton Amour, ô Cloris, a changé ma nature,
L'eſclat des Diamans ny du plus beau metal,	L’éclat des Diamants ni du plus beau métal,
Bacchus ton Dieu qu'il est, riant dans le criſtal.	Bacchus ton Dieu qu’il est, riant dans le cristal.
Qui conduit dans mon ame vne parfaite ioye,	Qui conduit dans mon âme une parfaite joie,
Si le ſort me donnoit la qualité de Roy,	Si le sort me donnait la qualité de Roi,
Si i'eſtois Empereur de la terre & de l'onde,	Si j’étais Empereur de la terre et de l’onde,
Si de ma propre main i'auois baſty le monde,	Si de ma propre main j’avais bâti le monde,
Et comme le Soleil de mes regards produict	Et comme le Soleil de mes regards produit
Tout ce que l'Vniuers a de fleur & de fruict,	Tout ce que l’Univers a de fleur et de fruit,
Si cela m'arriuoit ie n'aurois pas tant d’aiſe,	Si cela m’arrivait je n’aurais pas tant d’aise,
Ni tant de vanité que ſi Cloris me baiſe,	Ni tant de vanité que si Cloris me baise,
Auec les mouuemens des yeux & du parler,	Avec les mouvements des yeux et du parler,
Que ſon ame ſans peine auec moy s’entretienne,	Que son âme sans peine avec moi s’entretienne,
Amans qui vous piqueZ vers vn obiect forcé.	Amants qui vous piquez vers un objet forcé.
Qui ne ſçauez que c'eſt d’vn baiſer bien preſſé,	Qui ne savez que c’est d’un baiser bien pressé,
Qui ne trouueZ l'Amour que dans la tyrannie,	Qui ne trouvez l’Amour que dans la tyrannie,
Et n'aymez les faueurs qu'en tant qu’on le vous nie,	Et n’aimez les faveurs qu’en tant qu’on le vous nie,
Que vous eſtes heureux en vos laſches deſirs,	Que vous êtes heureux en vos lâches désirs,
Puis que meſme vos maux font naiſtre vos plaiſirs.	Puisque même vos maux font naître vos plaisirs.
Ie ne ſçaurois aymer ſi ie ne voy qu'on m'ayme,	Je ne saurais aimer si je ne vois qu’on m’aime,
Et ſi peu qu'on refuſe à ma ſaincte amitié,	Et si peu qu’on refuse à ma sainte amitié,
I'entens que le ſalaire égale mon ſeruice,	J’entends que le salaire égale mon service,
Ie penſe qu'autrement la conſtance eſt vn vice,	Je pense qu’autrement la constance est un vice,
Qu'Amour hait ces eſprits qui luy ſont trop deuots,	Qu’Amour hait ces esprits qui lui sont trop dévots,
Et que la patience eſt la vertu des ſots,	Et que la patience est la vertu des sots,
Ce que ie dis Cloris auec plus d’aſſeurance,	Ce que je dis Cloris avec plus d’assurance,
Dautant que ie te voy flater mon eſperance,	D’autant que je te vois flatter mon espérance,
Ie voy deſ-ia d'accord ton eſprit & le mien,	Je vois déjà d’accord ton esprit et le mien,
Aymons nous ie te prie, lors que mon viſage	Aimons-nous je te prie, lorsque mon visage
Regarde en mon eſprit où i'ay mis tõ tableau,	Regarde en mon esprit où j’ai mis ton tableau,
Lors tu verras en moy quelque choſe de beau,	Lors tu verras en moi quelque chose de beau,
Tu te verras logée en vn petit Empire,	Tu te verras logée en un petit Empire,
Où l'eſprit de l'amour auecques moy ſouſpire,	Où l’esprit de l’amour avec moi soupire,
Il ſe tient glorieux de receuoir ta loy,	Il se tient glorieux de recevoir ta loi,
Et ſemble qu'il pourſuit meſme deſſein que moy,	Et semble qu’il poursuit même dessein que moi,
Ie ne voy là dedans que ſes traicts & ma face,	Je ne vois là-dedans que ses traits et ma face,
Ie doubte s'il y fait ou mon bien ou mon mal,	Je doute s’il y fait ou mon bien ou mon mal,
Ie cognois bien l'Amour, ie ſçay qu’il eſt perfide,	Je connais bien l’Amour, je sais qu’il est perfide,
Et ſi pour le chaſſer ie ſuis vn peu timide,	Et si pour le chasser je suis un peu timide,
Je luy feray touſiours vn traictement humain,	Je lui ferai toujours un traitement humain,
Puis que ie l'ay receu d’vne ſi bonne main.	Puisque je l’ai reçu d’une si bonne main.
Puis que c'eſt toy Cloris, apres l'auoir fait naistre,	Puis que c’est toi Cloris, après l’avoir fait naître,
Qui l'as mis dans mon ame, où ton œil eſt le maiſtre,	Qui l’as mis dans mon âme, où ton œil est le maître,
Où ton vouloir preſide à tous mes ſentimẽs,	Où ton vouloir préside à tous mes sentiments,
C'eſt par toy que ces vers d’vne veine animée,	C’est par toi que ces vers d’une veine animée,
Mais ie diray par tout que tes ſeules beautez	Mais je dirai partout que tes seules beautés
Ont eſté le Demon qui me les a dictez,	Ont été le Démon qui me les a dictés,
Et tant que tes regards luyront à ma penſée,	Et tant que tes regards luiront à ma pensée,
Sans ouurir vne veine aucunement forcée.	Sans ouvrir une veine aucunement forcée.
Ma Muſe ſe promet de meriter vn iour,	Ma Muse se promet de mériter un jour,
Que ſes vers ſoient nommez les fruicts de ton Amour,	Que ses vers soient nommés les fruits de ton Amour,
Je te prie ô Cloris, aide ma freneſie:	Je te prie ô Cloris, aide ma frénésie:
Et puis que ie m'engage à ce diuin proiect,	Et puisque je m’engage à ce divin project,
Auiourd'huy donne moy tes beaux cheueux à peindre,	Aujourd’hui donne moi tes beaux cheveux à peindre,
Tu verras vne plume au Pactole ſe teindre,	Tu verras une plume au Pactole se teindre,
Et d’vne lettre d’or grauer ſelon mes veux,	Et d’une lettre d’or graver selon mes veux,
Mon ame entrelaſſée auecques tes cheueux.	Mon âme entrelacée avec tes cheveux.
Ie ne veux point laiſſer ma paßion viſiue,	Je ne veux point laisser ma passion visive,
Ma veine eſt pour Cloris & ſans fond, & ſans riue.	Ma veine est pour Cloris et sans fond, et sans rive.
Pour elle mon genie eſt abondant & prompt,	Pour elle mon génie est abondant et prompt,
Et pour voir que ma veine en ce ſubiet tariſſe,	Et pour voir que ma veine en ce sujet tarisse,
Que mes yeux dans ses yeux ne trouuent plus d'Amour,	Que mes yeux dans ses yeux ne trouvent plus d’Amour,
C'eſt à dire, il faut voir perir l'Aſtre du iour:	C’est à dire, il faut voir périr l’Astre du jour:
Car ie ne pense point que ses attraicts ſuccombent,	Car je ne pense point que ses attraits succombent,
Soubs l'iniure des ans, tant que les Cieux ne tombent,	Sous l’injure des ans, tant que les Cieux ne tombent,
Ils se r'enforceront au lieu de defaillir,	Ils se renforceront au lieu de défaillir,
Comme l'or s'embellit à force de vieillir.	Comme l’or s’embellit à force de vieillir.
N'a point oſté l'ardeur, ny changé le visage,	N’a point ôté l’ardeur, ni changé le visage,
Toutefois il n'importe à mon contentement,	Toutefois il n’importe à mon contentement,
Puis que deſia ma vie à demy consommee,	Puisque déjà ma vie à demi consommée,
Ne se peut aſſeurer d’eſtre long temps aimée,	Ne se peut assurer d’être longtemps aimée,
Que ie doibs defaillir à ce diuin flambeau,	Que je dois défaillir à ce divin flambeau,
Et perdre auecque moy sa memoire au tõbeau	Et perdre avec moi sa mémoire au tombeau
Mais tãdis que le Ciel me souffrira de viure,	Mais tandis que le Ciel me souffrira de vivre,
Et que le traict d'Amour me daignera poursuiure,	Et que le trait d’Amour me daignera poursuivre,
Et me resouls de viure & mourir en aymant,	Et me résous de vivre et mourir en aimant,
Ie sçay bien que Cloris ne me veut pas contraindre	Je sais bien que Cloris ne me veut pas contraindre
Qu'elle a des mouuemens ſubiets à la pitié,	Qu’elle a des mouvements sujets à la pitié,
Et qu'au moins ſa raiſon ſonge à mon amitié.	Et qu’au moins sa raison songe à mon amitié.
Cloris ſi ie venois aueuglé de tes charmes,	Cloris si je venais aveuglé de tes charmes,
Le cœur tout en ſouſpirs, & les yeux tous en larmes,	Le cœur tout en soupirs, et les yeux tous en larmes,
Demander inſtamment vn Amoureux plaiſir,	Demander instamment un Amoureux plaisir,
Ie croy que ton amour m'en laiſſeroit choiſi:	Je crois que ton amour m’en laisserait choisi:
Que le front du printemps menaſſe les orages,	Que le front du printemps menasse les orages,
Que les champs comme toy paroiſſent embellis	Que les champs comme toi paraissent embellis
Que tout eſt ſur la terre, & qu'vn humeur feconde,	Que tout est sur la terre, et qu’un humeur féconde,
Qu'attire le Soleil, fait raieunir le monde,	Qu’attire le Soleil, fait rajeunir le monde,
Comme ſi i'auois part à la fureur des Cieux	Comme si j’avais part à la fureur des Cieux
Qui redonne l'enfance à ces bocages vieux.	Qui redonne l’enfance à ces bocages vieux.
Et que ce renouueau qui rend tout agreable,	Et que ce renouveau qui rend tout agréable,
Me rendit à tes yeux plus ieune & plus aimable,	Me rendit à tes yeux plus jeune et plus aimable,
De paſſer auec moy quelques momens ſecrets	De passer avec moi quelques moments secrets
Nous irons dans des bois ſous des feüillage ſombres,	Nous irons dans des bois sous des feuillage sombres,
Perſonne là dedans n'entendra nos Amours:	Personne là-dedans n’entendra nos Amours:
Car ie veux que les vents reſpectent nos diſcours,	Car je veux que les vents respectent nos discours,
Et que chaque ruiſſeau plus viſtement s’enfuye,	Et que chaque ruisseau plus vitement s’enfuie,
De deuant tes regards, de peur qu’il ne t’ennuye,	De devant tes regards, de peur qu’il ne t’ennuie,
Maintenant que le Roy s'eſloigne de Paris,	Maintenant que le Roi s’éloigne de Paris,
Suiuy de tant de gens au carnage nourris,	Suivi de tant de gens au carnage nourris,
Du danger des cõbats & de celuy des peſtes.	Du danger des combats et de celui des pestes.
Il faut que ie le ſuiue, & Dieu ſans me punir,	Il faut que je le suive, et Dieu sans me punir,
Si tu fais ce voyage, & mon amour te prie	Si tu fais ce voyage, et mon amour te prie
D'y ramener tes yeux, car c'eſt là ma patrie:	D’y ramener tes yeux, car c’est là ma patrie:
C'eſt où les rais du iour daignerent deualer,	C’est où les rais du jour daignèrent dévaler,
Pour faire viure vn cœur que tu deuois bruſler,	Pour faire vivre un cœur que tu devais brûler,
Là tu verras vn fonds où le Paiſan moißõne	Là tu verras un fonds où le Paysan moissonne
Mes petits reuenus ſur les bords de Garonne,	Mes petits revenus sur les bords de Garonne,
Au trauers de mes prez vont apporter leurs eaux,	Au travers de mes prés vont apporter leurs eaux,
Où des ſaules eſpais leurs rameaux verds abaiſſent,	Où des saules épais leurs rameaux verts abaissent,
Cloris ſi tu venois dans ce petit logis,	Cloris si tu venais dans ce petit logis,
Combien qu'à te l'offrir de ſi loin ie rougis,	Combien qu’à te l’offrir de si loin je rougis,
Si ceſte occaſion permet que tu l’approches,	Si cette occasion permet que tu l’approches,
Tu le verras aßis entre vn fleuue & des roches.	Tu le verras assis entre un fleuve et des roches.
Où ſans doubte il falloit que l'Amour habitaſt,	Où sans doute il fallait que l’Amour habitât,
Auant que pour le Ciel la terre il ne quitaſt;	Avant que pour le Ciel la terre il ne quittât;
Si ie la puis ſauuer du butin de la guerre,	Si je la puis sauver du butin de la guerre,
Nous fournira des fruicts außi delicieux,	Nous fournira des fruits aussi délicieux,
Mais afin que mon bien d'aucun fard ne ſe voile,	Mais afin que mon bien d’aucun fard ne se voile,
Mes plats y ſont d’eſtain & mes rideaux de toile,	Mes plats y sont d’étain et mes rideaux de toile,
Vn petit pauillon dont le vieux baſtiment	Un petit pavillon dont le vieux bâtiment
Fut maſſonné de brique & de mauuais cimẽt,	Fut maçonné de brique et de mauvais ciment,
Monſtre aſſeZ qu'il n'eſt pas orgueilleux de nos tiltres,	Montre assez qu’il n’est pas orgueilleux de nos titres,
Ses chambres n'ont plancher, toict, ny portes, ny vitres,	Ses chambres n’ont plancher, toit, ni portes, ni vitres,
Ne puiſſent venir veoir ſi nous auons du feu,	Ne puissent venir voir si nous avons du feu,
Ie ne veux point mẽtir & quãd le ſort auare,	Je ne veux point mentir et quand le sort avare,
Et qu’il m'euſt faict ſortir d’vn ſang moins recogneu,	Et qu’il m’eût fait sortir d’un sang moins reconnu,
Ie te confeſſerois d'où ie ſerois venu,	Je te confesserais d’où je serais venu,
Que i'ay bien plus de peine à deſcouurir ma face,	Que j’ai bien plus de peine à découvrir ma face,
Deuant tes yeux ſi beaux qu'à te monstrer ma race.	Devant tes yeux si beaux qu’à te montrer ma race.
Dans l'eſtat où ie ſuis i'ay bien plus de raiſon	Dans l’état où je suis j’ai bien plus de raison
De te faire agréer mes yeux que ma maiſon,	De te faire agréer mes yeux que ma maison,
Que le but de mon ame eſt le ſoin de te plaire,	Que le but de mon âme est le soin de te plaire,
Et que i'ayme ſi fort ta veuë & tes propos,	Et que j’aime si fort ta vue et tes propos,
Et ſans faire l'Amour à la façon commune,	Et sans faire l’Amour à la façon commune,
Sans accuser pour toy le Ciel ny la fortune,	Sans accuser pour toi le Ciel ni la fortune,
Sans me plaindre ſi fort i'ay ce coup plus profond,	Sans me plaindre si fort j’ai ce coup plus profond,
Que les autres mortels i'aime mieux qu’ils ne font,	Que les autres mortels j’aime mieux qu’ils ne font,
Et ſi ton cœur n'en tire vne preuue aſſez bonne,	Et si ton cœur n’en tire une preuve assez bonne,
De ces vers inſenſez que mon amour te donne,	De ces vers insensés que mon amour te donne,
Ie rependray le ſang d'où ie les ay tirez,	Je rependrai le sang d’où je les ai tirés,
Si ton humeur eſtoit de me le voir reſpandre,	Si ton humeur était de me le voir répandre,
CLORIS lors que ie ſonge en te voyant ſi belle,	CLORIS lorsque je songe en te voyant si belle,
Que ta vie eſt ſubiette à la loy naturelle,	Que ta vie est sujette à la loi naturelle,
Et qu'à la fin les traicts d'vn viſage ſi beau,	Et qu’à la fin les traits d’un visage si beau,
Auec tout leur eſclat iront dans le tombeau,	Avec tout leur éclat iront dans le tombeau,
Sans eſpoir que la mort nous laiſſe en la pẽſee,	Sans espoir que la mort nous laisse en la pensée,
Aucun reſſentiment de l’amitié paſſee,	Aucun ressentiment de l’amitié passée,
Que nous fait le deſtin qui nous gouuerne icy,	Que nous fait le destin qui nous gouverne ici,
Et tombant tout à coup dans la melancholie,	Et tombant tout à coup dans la mélancolie,
Et fay vœu de bon cœur de m'arracher vn iour,	Et fais vœu de bon cœur de m’arracher un jour,
La chere reſuerie où m'occupe l'amour.	La chère rêverie où m’occupe l’amour.
Außi bien faudra-t'il qu'vne vieilleße infame,	Aussi bien faudra-t-il qu’une vieillesse infâme,
Nous gele dans le ſang les mouuemens de l'ame,	Nous gèle dans le sang les mouvements de l’âme,
Et que l'âge en ſuiuant ſes reuolutions,	Et que l’âge en suivant ses révolutions,
Nous oſte la lumiere auec les paßions,	Nous ôte la lumière avec les passions,
Tandis que la raiſon m'en faict venir l'enuie,	Tandis que la raison m’en fait venir l’envie,
Ie veux prendre vn obiect où mon libre deſir	Je veux prendre un objet où mon libre désir
Où mes ſens tous entiers ſans fraude & ſans contrainte,	Où mes sens tous entiers sans fraude et sans contrainte,
Ne s'embarraſſent plus ny d’eſpoir ny de crainte,	Ne s’embarrassent plus ni d’espoir ni de crainte,
Et de ſa vaine erreur mon cœur deſabuſant,	Et de sa vaine erreur mon cœur désabusant,
Ie gouſteray le bien que ie verray preſent.	Je goûterai le bien que je verrai présent.
Ie prendray les douceurs à quoy ie ſuis ſenſible,	Je prendrai les douceurs à quoi je suis sensible,
Le plus abondamment qu’il me ſera posſible,	Le plus abondamment qu’il me sera possible,
Nos sens trouuent en eux tant de rauiſſemens,	Nos sens trouvent en eux tant de ravissements,
Que c'eſt vne fureur de chercher qu'en nous mesme,	Que c’est une fureur de chercher qu’en nous-même,
Le cœur le mieux donné tient touſiours à demy,	Le cœur le mieux donné tient toujours à demi,
Chacun s'aime vn peu mieux touſiours que ſon amy,	Chacun s’aime un peu mieux toujours que son ami,
On les ſuit rarement dedans la ſepulture,	On les suit rarement dedans la sépulture,
Le droit de l'amitié cede aux Loix de nature:	Le droit de l’amitié cède aux Lois de nature:
Pour moy ſi ie voyois en l'humeur où ie ſuis,	Pour moi si je voyais en l’humeur où je suis,
Ton ame s'enuoler aux eternelles nuicts,	Ton âme s’envoler aux éternelles nuits,
Ie m'en conſolerois auec vn peu de larmes,	Je m’en consolerais avec un peu de larmes,
N’attends pas que l'Amour aueugle aille ſuiuant,	N’attends pas que l’Amour aveugle aille suivant,
