TABLEAU DE L'HISTOIRE DES PRINCES ET PRINCIPAVTÉ D'ORANGE. 	TABLEAU DE L'HISTOIRE DES PRINCES ET PRINCIPAUTÉ D'ORANGE.
Seigneur & Baron de Breda, de la Ville de Grave & Pays de Cuyck, Dieſt, Grimberghes, Herſtal, Cranendonck, Vvarneſton, Harlay, Noſeroy, Argueil, Chaſteau-belin, Chaſteau-guyon, Orbe, Grignon, Mont-faucon, Rougemont, Rollencourt, les Baux, S. 	Seigneur et Baron de Breda, de la Ville de Grave et Pays de Cuyck, Diest, Grimberghes, Herstal, Cranendonck, Warneton, Harlay, Noseroy, Argueil, Château-belin, Château-Guyon, Orbe, Grignon, Montfaucon, Rougemont, Rollancourt, les Baux, S.
Vyt, Daesbourg, Polanen, Willemſladt, Niervaert, Yſelſteyn, S.Maertenfdijcq, Geertruydenberchg, Chaſteau-Renard, les hautes & baſſes Swalues, Naelduycq, Graveſande, &c. 	Vyt, Daesbourg, Polanen, Willemsladt, Niervaert, Ysselsteyn, S.Maartensdijk, Geertruidenberg, Château-Renard, les hautes et basses Swalues, Naelduycq, Gravesande, etc.
Vicomte hereditaire d’Anvers & de Beſançon , &c. 	Vicomte héréditaire d'Anvers et de Besançon, etc.
Marechal hereditaire d’Hollande. 	Maréchal héréditaire d'Hollande.
Gouverneur, Admiral & General des Provinces-Vnies des Pays-bas. 	Gouverneur, Amiral et Général des Provinces-Unies des Pays-bas.
M ONSEIGNEVR La vaillance qui vous eſt autant naturelle que la lumiere au Soleil & la chaleur au feu, vous a juſtement acquis les tiltres de Conquerant & ) ( 3 de Forceur de Villes. 	M ONSEIGNEUR La vaillance qui vous est autant naturelle que la lumière au Soleil et la chaleur au feu, vous a justement acquis les titres de Conquérant et) (3 de Forceur de Villes.
Ceſte Reyne des vertus n eſt pas la ſeule qui accompagne le Chariot Triomphal de voſtre gloire. 	Cette Reine des vertus n est pas la seule qui accompagne le Chariot Triomphal de votre gloire.
La moderation, bien que qualité mal-accordante avec les grandeurs du monde, y Tient des premiers rangs. 	La modération, bien que qualité mal-accordante avec les grandeurs du monde, y Tient des premiers rangs.
Les faits autant admirables qu'inimitables de Voſtre Alteſſe en publient la renommée par tout, & ceſte Hiſtoire comme le plus ſolemnel Regiſtre de vos belliqueuſes actions, en certifie La verité aux ſiecles à venir. 	Les faits autant admirables qu'inimitables de Votre Altesse en publient la renommée par tout, et cette Histoire comme le plus solennel Registre de vos belliqueuses actions, en certifie La vérité aux siècles à venir.
Elle vous repreſente la Naiſſance & l'Origine de voſtre Eſtat Souverain, la ſucceẞion naturelle de trente ſix Princes dans quatre grandes Maiſons, par une ſuite continuée de plus de huict ſiecles portée juſques à vous, avec la deſcription de leurs vies & de leurſ gestes. 	Elle vous représente la Naissance et l'Origine de votre État Souverain, la succession naturelle de trente six Princes dans quatre grandes Maisons, par une suite continuée de plus de huit siècles portée jusques à vous, avec la description de leurs vies et de leurs gestes.
Et ſi Voſtre Alteſſe y deigne jetter les yeux, elle y verra des teſmoignages authentiques de l’ancienneté d’iceluy, des marques non communes de ſa Souberaineté, à l’eſpreuve de toutes les attaintes de la haine & de la violence. 	Et si Votre Altesse y daigne jeter les yeux, elle y verra des témoignages authentiques de l'ancienneté d'icelui, des marques non communes de sa Souveraineté, à l'épreuve de toutes les atteintes de la haine et de la violence.
Pluſieurs grands Princes y paroiſſent avec les quallités d’une grandeur Royale;	Plusieurs grands Princes y paraissent avec les qualités d'une grandeur Royale;
& la Majesté Imperiale qui e reluy parmy ceux de voſtre nom & de vostre ſang, n’y refuſe rien au merite de pluſieurs de vos Illustres Devanciers. 	et la Majesté Impériale qui a relui parmi ceux de votre nom et de votre sang, n'y refuse rien au mérite de plusieurs de vos Illustres Devanciers.
Les plus impetueux fleuves cedent à leur courage, les Royaumes & les Provinces à la valeur de leurs armes , Rome meſme l'Emperiere de l’Univers indomptable par tant de ſiecles ſe voit ſubjuguée par leur vertu guerriere ;	Les plus impétueux fleuves cèdent à leur courage, les Royaumes et les Provinces à la valeur de leurs armes, Rome même l'Emperière de l'Univers indomptable par tant de siècles se voit subjuguée par leur vertu guerrière;
& ceste ſourcilleuſe Puiſſance d'Eſpaigne d' Eſpaigne contrainte de s'humilier devant eux. 	et cette sourcilleuse Puissance d'Espagne d' Espagne contrainte de s'humilier devant eux.
Voſtre Alteſſe y trouvera auſsi la gloire que ſa valeur luy donne, & tout le monde y recognoiſtra, que comme Dieu vous a donné de vaincre vos Ennemis, vous ne cedés à aucun Prince du monde, en merite, en honneur, en vaillance. 	Votre Altesse y trouvera aussi la gloire que sa valeur lui donne, et tout le monde y reconnaîtra, que comme Dieu vous a donné de vaincre vos Ennemis, vous ne cédez à aucun Prince du monde, en mérite, en honneur, en vaillance.
IOSEPH DE LA PISE. 	JOSEPH DE LA PISE.
Advertiſſement.	Avertissement.
ſont les principaux objects qui mont convié à parler des autres. 	sont les principaux objets qui mont convié à parler des autres.
De tout cela j'en faicts quatre Parties, qui toutes commencent par une Genealogie expoſée par Eloges, de tous ceux qui ont eſté du ſang des grandes & illuſtres Maiſons, qui ont dominé ſur l'Eſtat d'Orange. 	De tout cela j'en fais quatre Parties, qui toutes commencent par une Généalogie exposée par Éloges, de tous ceux qui ont été du sang des grandes et illustres Maisons, qui ont dominé sur l'État d'Orange.
La Premiere en fait voir la naiſſance Souveraine, donne des partages, des grandes ruines, des ſimultés, des diviſions domeſtiques qui en retrenchent des principaux membres & tiennent le Chef diviſé. 	La Première en fait voir la naissance Souveraine, donne des partages, des grandes ruines, des simultés, des divisions domestiques qui en retranchent des principaux membres et tiennent le Chef divisé.
La Seconde promet en ſon berceau plus d’ordre & de grandeur, reunit ce qui ſe trouvoit encores diſpercé & par une ſage prevoyance pourvoit à l'advenir :	La Seconde promet en son berceau plus d'ordre et de grandeur, réunit ce qui se trouvait encores dispersé et par une sage prévoyance pourvoit à l'avenir:
Mais la force Eſtrangere fait voir tant d’uſurpations, tant d’obligations forcées, tant de beaux Pays & de beaux droicts eſvanouis, qu’on n'en peut que remarquer les cauſes & regreter les pertes. 	Mais la force Étrangère fait voir tant d'usurpations, tant d'obligations forcées, tant de beaux Pays et de beaux droits évanouis, qu'on n'en peut que remarquer les causes et regretter les pertes.
La Troiſieſme non moins traverſée, l'eſtablit ſur un fondement plus ſolide, & par guerres, prinſes, reprinſes, accords & traités, reacquiert enfin par voyes de Paix ce qui lui avoit eſté ravi par la violence d’une guerre pretextée. 	La Troisième non moins traversée, l'établit sur un fondement plus solide, et par guerres, prises, reprises, accords et traités, réacquiert enfin par voies de Paix ce qui lui avait été ravi par la violence d'une guerre prétextée.
La Quatrieſme, ami Lecteur, te donnera plus de faveur, pour y eſtre les actions plus ſuivies, plus curieuſement recerchées & plus heureuſement exprimées, le temps & memoire recente aiants ſuppléé aux manquements inévitables aux premieres. 	La Quatrième, ami Lecteur, te donnera plus de faveur, pour y être les actions plus suivies, plus curieusement recherchées et plus heureusement exprimées, le temps et mémoire récente ayant suppléé aux manquements inévitables aux premières.
Les Antiquités en taille douce deſcrites briefvement ſelon leur naifueté & uſage, occupent les bords du Tableau & ſervent de lumiere pour penetrer dans l'Edifice. 	Les Antiquités en taille douce décrites brièvement selon leur naïveté et usage, occupent les bords du Tableau et servent de lumière pour pénétrer dans l'Édifice.
Les remarques que tu vois aux marges y ont eſté miſes par rencontre, ſans eſtude, & ſans autre deſſeing que de te donner une facile expoſition de tout le texte & une briefue idée de ce qui y eſt couché de plus memorable. 	Les remarques que tu vois aux marges y ont été mises par rencontre, sans étude, et sans autre dessein que de te donner une facile exposition de tout le texte et une brève idée de ce qui y est couché de plus memorable.
Mais comme les Eſprits ne ſe plaiſent à toute ſorte d'eſcrits , ſemblables aux Baumes qui ne paiſſent en toute ſorte de climats ;	Mais comme les Esprits ne se plaisent à toute sorte d'écrits, semblables aux Baumes qui ne paissent en toute sorte de climats;
Ie ne doubte point qu’il n’y en ait pluſieurs qui requerront en ceſt ouvrage une fuite plus continuée, un diſcours. mieux tiſſu, & une plus grande proportion entre les premieres Parties & la derniere :	Je ne doute point qu'il n'y en ait plusieurs qui requerront en cet ouvrage une fuite plus continuée, un discours. mieux tissu, et une plus grande proportion entre les premières Parties et la dernière:
Mais à ceux-là, la repoſte eſt prompte. 	Mais à ceux-là, la riposte est prompte.
Qu’ils ſçachent, que j'ai donné au Public ce que j’ay eu & ce que j’ay peu ;	Qu'ils sachent, que j'ai donné au Public ce que j’ai eu et ce que j’ai peu;
en cela moins blaſmable que pluſieurs autres , d’avoir monſtré le chemin de faire mieux. 	en cela moins blâmable que plusieurs autres, d'avoir montré le chemin de faire mieux.
Les memoires m’ont plutoſt defailli ;	Les mémoires m'ont plutôt défailli;
que je n'ai failli aux memoires. 	que je n'ai failli aux mémoires.
Et nonobſtant la pœnible	Et nonobstant la pénible
A L’ Autheur SVR SON TABLEAV DE L’HISTOIRE D’ORANGE. 	À L' Auteur SUR SON TABLEAU DE L'HISTOIRE D'ORANGE. 
Alexandre les lauriers verts Que le fort bras de ſa vaillance Avoit plantés dans l’Univers, Rangé ſous ſon obeïſſance, Seroient comme morts defeuillés, si ſes faicts par eſcrit n'euſſent esté couchés L'oubli couvre dans le tombeau La gloire des plus grands Monarques,	'Alexandre les lauriers verts Que le fort bras de sa vaillance Avait plantés dans l'Univers, Rangé sous son obéissance, Seraient comme morts défeuillés, si ses faits par écrit n'eussent été couchés L'oubli couvre dans le tombeau La gloire des plus grands Monarques,
Qui relluiroit comme un flambeau En despit du fuſeau des Parques, S'ils euſſent marié les arts De Minerve, aux ſanglants exercices de Mars. 	Qui reluirait comme un flambeau En dépit du fuseau des Parques, S'ils eussent marié les arts De Minerve, aux sanglants exercices de Mars.
DelaPize tu nous produits Dans le Tableau de ton Histoire Le doux & agreables fruicts Que peut produire la memoire Des plus beaux & rares Esprits Qui de mesme que toy vivent par leurs eſcrits. 	DelaPize tu nous produits Dans le Tableau de ton Histoire Le doux et agréables fruits Que peut produire la mémoire Des plus beaux et rares Esprits Qui de même que toi vivent par leurs écrits.
La mort faiſoit baigner les yeux D’Orange de maux aſſiegée Dans l'eau de fleuve Stigieux Où elle s’en alloit plongée ;	La mort faisait baigner les yeux D'Orange de maux assiégée Dans l'eau de fleuve Stygieux Où elle s'en allait plongée;
Tes veilles font que deſormais Elle ſoit miſe au jour & ne meure jamais. 	Tes veilles font que désormais Elle soit mise au jour et ne meure jamais.
B. 	B.
AYMARD, Advocat au Parlement d’Orange. 	AYMARD, Avocat au Parlement d'Orange.
Au meſme. 	Au même.
IDEE DE SON TABLEAV de I'Hiſtoire d'Orange. 	IDEE DE SON TABLEAU de l'Histoire d'Orange.
ORange eſtoit enſevelie Sous les cendres de fon malheur, Toute ſa gloire & ſa grandeur S’en alloit eſtre aneantie. 	ORange était ensevelie Sous les cendres de son malheur, Toute sa gloire et sa grandeur S'en allait être anéantie.
Les Gots l'effroy de ſa nation Par l’excés de leur Ambition Avoient martellé ſes murailles Pour donner aux ſiecles à venir Sur le point de leurs funerailles Des marques de leur ſouvenir. 	Les Goths l'effroi de sa nation Par l'excès de leur Ambition Avaient martelé ses murailles Pour donner aux siècles à venir Sur le point de leurs funérailles Des marques de leur souvenir.
Par tout paroiſſoiẽt des maſures, Des traces des vieux baſtiments, 	Par tout paraissaient des masures, Des traces des vieux bâtiments, 
Et rien que les ſeuls fondements. 	Et rien que les seuls fondements.
Faiſoient remarquer leurs figures:	Faisaient remarquer leurs figures:
Quand Dela Pize en ſõ Tableau A marqué d’un parfaict pinceau Le ſubject, le plan & uſages De ces grands deſſeings ſuperflus Qui n’ont laiſſé que les Images D’avoir eſté & n'eſtre plus. 	Quand Delà Pise en son Tableau A marqué d'un parfait pinceau Le sujet, le plan et usages De ces grands desseins superflus Qui n'ont laissé que les Images D'avoir été et n'être plus.
Mais ce n'eſt que le ſeul ombrage De ceſt ouvrage ſingulier, Qui a tout de particulier 	Mais ce n'est que le seul ombrage De cet ouvrage singulier, Qui a tout de particulier 
Et rien qui ne ſoit en uſage :	Et rien qui ne soit en usage:
L’Hiſtoire en forme le deſſein 	L'Histoire en forme le dessein 
Et reçoit dans ſon chaſte ſein Les noms, les faicts & les loüãge, La Nobleſſe & l’authorité, De trente-ſix Princes d’Oranges Donnés à la poſterité. 	Et reçoit dans son chaste sein Les noms, les faits et les louange, La Noblesse et l'autorité, De trente-six Princes d'Oranges Donnés à la postérité.
D'iceux les Races memorables En puiſſance & en pieté, Richeſſes & antiquité, En fõt quatre Angles hõnorables:	D'iceux les Races mémorables En puissance et en piété, Richesses et antiquité, En font quatre Angles honorables:
Et chacune en leur ſaiſon, Orange , les Baux , & Chalon Donnent ſon rang à la vaillance De Naſſau ce ſang Genereux, Qui protege de ſa puiſſance 	Et chacune en leur saison, Orange, les Baux, et Chalon Donnent son rang à la vaillance De Nassau ce sang Généreux, Qui protège de sa puissance 
Et rend ſon Eſtat bien-heureux. 	Et rend son État bienheureux.
Ainſi l'ordre eſt tout admirable, Le travail en eſt nompareil, Le temps n’a rien veu de pareil, De plus curieux & plus loüable:	Ainsi l'ordre est tout admirable, Le travail en est nonpareil, Le temps n'a rien vu de pareil, De plus curieux et plus louable:
Et ſi tant de vieux documents Des hommes morts & des vivants N’en verifioient la memoire, L'excellence & la rareté Aſſeureroient que ceſte Hiſtoire En auroit beaucoup inventé. 	Et si tant de vieux documents Des hommes morts et des vivants N'en vérifiaient la mémoire, L'excellence et la rareté Assureraient que cette Histoire En aurait beaucoup inventé.
D.M.F.D.L. 	D.M.F.D.L.
Au meſme SVR SON TABLEAV DE L’HISTOIRE D’ORANGE. 	Au même SUR SON TABLEAU DE L'HISTOIRE D'ORANGE.
T Ant de valeureux faicts tant de belles conquestes Des Grecs et des Romains, N'euſſent peu éviter l'effort et les tempestes Des destins inhumains . 	T Ant de valeureux faits tant de belles conquêtes Des Grecs et des Romains, N'eussent peu éviter l'effort et les tempêtes Des destins inhumains .
On n'en parleroit plus , toute leur renomnée 	On n'en parlerait plus, toute leur renommée 
Et tout ce grand orgueil Qui paroiſſoit en eux , aprés quelques années Eut ſubi le cercueil. 	Et tout ce grand orgueil Qui paraissait en eux, après quelques années Eut subi le cercueil.
Si, comme en un lieu ſeur, leur nom dedans l’Histoire N'eut trouvé du ſupport, 	Si, comme en un lieu sûr, leur nom dedans l'Histoire N'eut trouvé du support, 
Et ſi leurs Eſcrivains n'euſſent mis leur memoire Hors des rigueurs de ſort Les exploicts de Cæſar, de Cyrus, d'Alexandre Seroient deſia peris, Si les Hiſtoriens pour les nous faire entendre Ne les euſſent deſcrits. 	Et si leurs Écrivains n'eussent mis leur mémoire Hors des rigueurs de sort Les exploits de César, de Cyrus, d'Alexandre Seraient déjà péris, Si les Historiens pour les nous faire entendre Ne les eussent décrits.
Le temps n'espargne rien :	Le temps n'épargne rien:
Par l'ordre de Nature Tout tend vers le trespas Le temps diſſipe, perd, & change d'heure en heure Les choſes d’icy bas. 	Par l'ordre de Nature Tout tend vers le trépas Le temps dissipe, perd, et change d'heure en heure Les choses d'ici-bas.
Ce grand nom Orangeois craint ſur la terre & l'onde Pouvoit à l'advenir Subir ces dures loix dont le reste du monde Ne ſe peut garentir:	Ce grand nom Orangeois craint sur la terre et l'onde Pouvait à l'avenir Subir ces dures lois dont le reste du monde Ne se peut garantir:
Mais par tes ſoins La Piſe & par ta docte plume IL ſe met à couvert Des injures du ſort, du temps qui tout conſume Qui tout ruine & tout pert. 	Mais par tes soins La Pise et par ta docte plume IL se met à couvert Des injures du sort, du temps qui tout consume Qui tout ruine et tout pert.
Ce Tableau enrichi de coleurs immortelles Le tire du tombeau, Luy donne un eſclat et une forme telle Qu'il en paroit plus beau. 	Ce Tableau enrichi de couleurs immortelles Le tire du tombeau, Lui donne un éclat et une forme telle Qu'il en paraît plus beau.
C'est là où par des traicts tirés de bonne grace Tu monstres tout à nu Tant d'actions de valeur qu'on a de race en race En tes Princes cognu. 	C'est là où par des traits tirés de bonne grâce Tu monstres tout à nu Tant d'actions de valeur qu'on a de race en race En tes Princes connu.
C'est là où du paſsé rappellant la memoire Tu fais clairement voir Quelle est et quelle fut de tes Princes la gloire Le lustre & le pouvoir. 	C'est là où du passé rappelant la mémoire Tu fais clairement voir Quelle est et quelle fut de tes Princes la gloire Le lustre et le pouvoir.
Là tu fais voir des Roys, des Electeurs d'Empire Avec des Empereurs. 	Là tu fais voir des Roys, des Électeurs d'Empire Avec des Empereurs.
Là d'un ſtil hardi tu te plais à deſcrire Leurs faicts & leur valeur. 	Là d'un stil hardi tu te plais à décrire Leurs faits et leur valeur.
Là ce grand FREDERICH, du Tyran d'Iberie 	Là ce grand FREDERICH, du Tyran d'Ibérie 
Et l'effroy & le fleau Verra depeinct au vif tout le train de ſa vie Soubs un tiltre nouveau. 	Et l'effroi et le fléau Verra dépeint au vif tout le train de sa vie Sous un titre nouveau.
Là de ſes Devanciers remarquant la proüeſſe 	Là de ses Devanciers remarquant la prouesse 
Et la rare vertu Il verra qu'à luy ſeul le nom de ſon ALTESSE Estoit justement deu. 	Et la rare vertu Il verra qu'à lui seul le nom de son ALTESSE Était justement dû.
P. 	P.
MENSE Provençal D. 	MENSE Provençal D.
E. 	E.
M. la pompe funebre de Philibert empruntée d'un autheur Bourguignon pour la plus part ;	M. la pompe funèbre de Philibert empruntée d'un auteur Bourguignon pour la plus part;
je me ſuis tenu à ſes termes ni ayant rien contribué du mien que quelque agencement. 	je me suis tenu à ses termes ni ayant rien contribué du mien que quelque agencement.
En tout on n'y remarquera ni flateries impudentes ni meſdiſances affectées. 	En tout on n'y remarquera ni flatteries impudentes ni médisances affectées.
L'Histoire y trouvera ſa pureté ;	L'Histoire y trouvera sa pureté;
les actions vicieuſes s'y fairont diſcerner ;	les actions vicieuses s'y feront discerner;
les vertueuſes ſeront portées au plus haut Epicicle de leur gloire :	les vertueuses seront portées au plus haut Épicycle de leur gloire:
les louanges que nos Princes y recepvront ſeront de leurs actions & non de mes paroles , de leur Histoire & non de moi :	les louanges que nos Princes y recevront seront de leurs actions et non de mes paroles, de leur Histoire et non de moi:
Eſtant ce la vraye façon de louer quand on donne lieu au blaſme lors qu'il en eſt lieu. 	Étant ce la vraie façon de louer quand on donne lieu au blâme lors qu'il en est lieu.
Ie me ſuis expreſſement attaché aux choſes prochaines qui les ont regardés directement ou obliquement ;	Je me suis expressément attaché aux choses prochaines qui les ont regardés directement ou obliquement;
j'ai paſſé plus legerement les eſloignées ;	j'ai passé plus légèrement les éloignées;
les premieres rellevées par deſſeing , les autres par occaſion. 	les premières relevées par dessein, les autres par occasion.
Si j'ai hurté quelque eſcueil, ça eſte en ſuivant les cartes qu'on m'a donné, tout par inadvertance , rien par malice. 	Si j'ai heurté quelque écueil, ça este en suivant les cartes qu'on m'a donné, tout par inadvertance, rien par malice.
Ie ſerai obligè à ceux qui s'en plaindront, s'ils me donnent moien de ſatiſfaire à leur plainte ;	Je serai obligé à ceux qui s'en plaindront, s'ils me donnent moyen de satisfaire à leur plainte;
ſinon qu'ils accuſent leur Apocagine ſans la publier. 	sinon qu'ils accusent leur Apocagine sans la publier.
Ie n'ai eu comme pluſieurs autres un corps d'hiſtoire, duquel je n'euſſe qu'à rellever les manquements. 	Je n'ai eu comme plusieurs autres un corps d'histoire, duquel je n'eusse qu'à relever les manquements.
Ie traite un deſſeing oublié & non	Je traite un dessein oublié et non
TABLEAV DE L'HISTOIRE D'ORANGE. 	TABLEAU DE L'HISTOIRE D'ORANGE.
De l'eſtat & Principauté d'Orange:	De l'état et Principauté d'Orange:
De ſon climat, ſituation, confrons, beauté & ammenité de la camppagne, danrees, fondation, origine, & anciennenté de la ville d'Orange, Antiquités d'icelle , Parlement , Conciles, Eveſché & Univerſité. 	De son climat, situation, confronts, beauté et aménité de la campagne, denrées, fondation, origine, et ancienneté de la ville d'Orange, Antiquités d'icelle, Parlement, Conciles, Évêché et Université.
AVANT - PROPOS SVR TOUS LES TRAITES. 	AVANT-PROPOS SUR TOUS LES TRAITÉS.
LA naiſſance de ceſte ſouveraineté eſt glorieuſe , ſa conſervation memorable , ſa ſubſiſtance miraculeuſe, la valeur de nos Princes là acquiſe à la pointe de l'eſpée, leur prudence la conſervée, & leur grandeur la maintenue. 	LA naissance de cette souveraineté est glorieuse, sa conservation mémorable, sa subsistance miraculeuse, la valeur de nos Princes là acquise à la pointe de l'épée, leur prudence la conservée, et leur grandeur la maintenue.
Mais la gloire , la prudence, & la grandeur de celuy qui regne maintenant ſur nous, la ſi fermement eſtablie ſur ſon plain, & la fait ſubſiſter avec tant d'advantages, que nous pouvons dire d'elle, ce que les anciens Grecs diſoint jadis de la ville d'Athenes;	Mais la gloire, la prudence, et la grandeur de celui qui règne maintenant sur nous, la si fermement établie sur son plain, et la fait subsister avec tant d'avantage, que nous pouvons dire d'elle, ce que les anciens Grecs disaient jadis de la ville d'Athènes;
qu'elle eſtoit eſtimée de tout le monde, pour l'abondance de ſes richeſſes, pour la multitude de ſes citoyens , & pour la magnificence de ſes baſtiments;	qu'elle était estimée de tout le monde, pour l'abondance de ses richesses, pour la multitude de ses citoyens, et pour la magnificence de ses bâtiments;
mais qu'elle l'eſtoit encor plus pour la reputation des Phociens , des Miltiades, des Themiſtocles, & de tant de grands hommes , qui y avoint commandé & gouverné. 	mais qu'elle l'était encor plus pour la réputation des Phociens, des Miltiade, des Thémistocle, et de tant de grands hommes, qui y avaient commandé et gouverné.
Ainſi ceſte Principauté, quoy que tres conſiderable en elle meſme, ayant autrefois donné la Loy au Comté d'Avignon, iceluy rendu tributaire de ſes gouverneurs, fortifié des prerogatives, qui la rendent recommandable par deſſus plusſieurs autres eſtats, la faiſant aller de pair avec les plus amples ſeigneuries;	Ainsi cette Principauté, quoi que très considérable en elle-même, ayant autrefois donné la Loi au Comté d'Avignon, icelui rendu tributaire de ses gouverneurs, fortifié des prérogatives, qui la rendent recommandable par-dessus plusieurs autres états, la faisant aller de pair avec les plus amples seigneuries;
Avant-propos ſur les traictés. porte bien plus haut le nom de ſa grandeur ſouveraine, depuis le temps qu'elle a eſté poſſedée, de tant de grands Princes, qui de la renommée de leurs armes ont embaumé tout le monde, & fait bondir la reputation volante de leur gloire, par toute l’eſtendue de l’univers, ne plus ne moins que fleſches empennées d’Orient en Occident. 	Avant-propos sur les traités. porte bien plus haut le nom de sa grandeur souveraine, depuis le temps qu'elle a été possédée, de tant de grands Princes, qui de la renommée de leurs armes ont embaumé tout le monde, et fait bondir la réputation volante de leur gloire, par toute l'étendue de l'univers, ne plus ne moins que flèches empennées d'Orient en Occident.
C'eſt l'arche de Noé, qui à courageuſement deſpuiſé, tous les flots ondoyans, de tant de deluges de ſang, qui ont couvert toute la ſurface de l’Europe. 	C'est l'arche de Noé, qui à courageusement déprisé, tous les flots ondoyants, de tant de déluges de sang, qui ont couvert toute la surface de l'Europe.
C'eſt cet Eſquif flotant, qui à vogué ſeurement , parmy les orages & les tempeſtes de la France, tandis que les deux plus grandes navires de la Chreſtienté , s’eſtoint randues à deux doigts de leur naufrage. 	C'est cet Esquif flottant, qui à vogué sûrement, parmi les orages et les tempêtes de la France, tandis que les deux plus grandes navires de la Chrétienté, s'étaient rendues à deux doigts de leur naufrage.
C'eft vne autre Palmyra, qui à ſubſiſté, par my l'entre-heurt des armes des deux plus puiſſans Princes Chreſtiens ;	C'eft une autre Palmyre, qui à subsisté, parmi l'entre-heurt des armes des deux plus puissants Princes Chrétiens;
mais plus glorieuſe , de s'eſtre heureuſement rellevée, de tant de ſanglantes guerres , ruines, & ſaccagements, qui l’avoint malheureuſement embarraſſée, parmy la querelle, des autres Provinces;	mais plus glorieuse, de s'être heureusement relevée, de tant de sanglantes guerres, ruines, et saccagements, qui l'avaient malheureusement embarrassée, parmi la querelle, des autres Provinces;
& s'eſtre conſervée dans le rempart inexpugnable d'vne ſouveraineté abſolue, ſous l'vnique authorité de ſon Prince. 	et s'être conservée dans le rempart inexpugnable d'une souveraineté absolue, sous l'unique autorité de son Prince.
Pluſieurs grands Eſtats ont eſté diſſipés, & les formes de leurs gouvernements dutout eſteintes. 	Plusieurs grands États ont été dissipés, et les formes de leurs gouvernements dutout éteintes.
Depuis les temps, que la Principauté d’Orange eſt ſouveraine, elle à veu le commancement, le progrés, & la fin, de pluſieurs Royaumes, qui ſont comprins dans les Eſpagnes, ancienement regis par autant de Roys;	Depuis les temps, que la Principauté d'Orange est souveraine, elle a vu le commencement, le progrès, et la fin, de plusieurs Royaumes, qui sont compris dans les Espagnes, anciennement régis par autant de Rois;
elle les void maintenant tous reduits ſous le pouvoir d’vn ſeul Monarque. 	elle les voit maintenant tous réduits sous le pouvoir d'un seul Monarque.
La Provence avoit ſon Roy , le Dauphiné ſon Prince, le Languedoc , & Auignon leur Comte & leur ſeigneur ;	La Provence avait son Roi, le Dauphiné son Prince, le Languedoc, et Avignon leur Comte et leur seigneur;
mais les trois premiers, vivent ſous les loix de France, & le quatrieſme porte le nom de patrimoine de S. 	mais les trois premiers, vivent sous les lois de France, et le quatrième porte le nom de patrimoine de S.
Pierre. 	Pierre.
Et bien que ceſt Eſtat, ayt reſſenti les eſclats des foudres, de tant de guerres que la Iuſtice de Dieu à lancé du ciel, pour la punition de l’ingratitude des hommes;	Et bien que cet État, ait ressenti les éclats des foudres, de tant de guerres que la Justice de Dieu à lancé du ciel, pour la punition de l'ingratitude des hommes;
& que ſa ſouveraineté ſoit demeurée pour vn temps cachée ſous les cendres de ſes ruines;	et que sa souveraineté soit demeurée pour un temps cachée sous les cendres de ses ruines;
elle n'a pas pourtant eſté perdue;	elle n'a pas pourtant été perdue;
elle à eſté attainte, mais non pas eſteinte ;	elle à été atteinte, mais non pas éteinte;
apprimée, non opprimée ;	aprimée, non opprimée;
combatue, mais non jamais abatue:	combattue, mais non jamais abattue:
