IE n’eſtime pas que l'homme ſoit capable de former dans ſon eſprit un projet plus vain &	IE n’estime pas que l’homme soit capable de former dans son esprit un projet plus vain et
ſur les principes de ce grand Philoſophe, &	sur les principes de ce grand Philosophe, et
le fond des caracteres qui y ſont décrits, ſont pris de la meſme ſource;	le fond des caractères qui y sont décrits, sont pris de la même source;
il eſt vray qu’il ſe les rend propres par l’étenduë qu’il leur donne, &	il est vrai qu’il se les rend propres par l’étendue qu’il leur donne, et
par la ſatyre ingenieuſe qu’il en tire contre les vices des Grecs, &	par la satire ingénieuse qu’il en tire contre les vices des Grecs, et
ſur tout des Atheniens.	sur tout des Athéniens.
Ce Livre ne peut gueres paſſer que pour le commencement d’un plus long ouvrage que Theophraſte avoit entrepris.	Ce Livre ne peut guère passer que pour le commencement d’un plus long ouvrage que Théophraste avait entrepris.
Le projet de ce Philoſophe, comme vous le remarquerez dans ſa Preface, eſtoit de traiter de toutes les vertus, &	Le projet de ce Philosophe, comme vous le remarquerez dans sa Préface, était de traiter de toutes les vertus, et
de tous les vices;	de tous les vices;
Et comme il aſſure luy-meſme dans cet endroit qu’il commence un ſi grand deſſein à l’âge de quatre-vingt dix-neuf ans, il y a apparence qu’une prompte mort l’empêcha de le conduire à ſa perfection.	Et comme il assure lui-même dans cet endroit qu’il commence un si grand dessein à l’âge de quatre-vingt dix-neuf ans, il y a apparence qu’une prompte mort l’empêcha de le conduire à sa perfection.
J’avoüe que l’opinion commune a toûjours eſté qu’il avoit pouſſé ſa vie au delà de cent ans;	J’avoue que l’opinion commune a toujours été qu’il avait poussé sa vie au-delà de cent ans;
&	et
ſaint Jerôme dans une Lettre qu’il écrit à Nepotien aſſure qu’il eſt mort à cent ſept ans accomplis:	saint Jérôme dans une Lettre qu’il écrit à Népotien assure qu’il est mort à cent sept ans accomplis:
de ſorte que je ne doute point qu’il n’y ait eû une ancienne erreur ou dans les chiffres Grecs qui ont ſervi de regle à Diogene Laërce qui ne le fait vivre que quatre-vingt quinze années, ou dans les premiers manuſcrits qui ont eſté faits de cet Hiſtorien;	de sorte que je ne doute point qu’il n’y ait eu une ancienne erreur ou dans les chiffres Grecs qui ont servi de règle à Diogène Laërce qui ne le fait vivre que quatre-vingt-quinze années, ou dans les premiers manuscrits qui ont été faits de cet Historien;
s’il eſt vray d’ailleurs que les quatrevingt dix-neuf ans que cet Auteur ſe donne dans cette Preface, ſe liſent également dans quatre manuſcrits de la Bibliotheque Palatine;	s’il est vrai d’ailleurs que les quatre-vingt dix-neuf ans que cet Auteur se donne dans cette Préface, se lisent également dans quatre manuscrits de la Bibliothèque Palatine;
c’eſt là que l’on a trouvé les cinq derniers Chapitres des Caracteres de Theophraſte qui manquoient aux anciennes impreſſions, &	c’est là que l’on a trouvé les cinq derniers Chapitres des Caractères de Théophraste qui manquaient aux anciennes impressions, et
que l’on a vû deux titres, l’un du goût qu’on a pour les vicieux, l’autre du gain ſordide, qui ſont ſeuls, &	que l’on a vu deux titres, l’un du goût qu’on a pour les vicieux, l’autre du gain sordide, qui sont seuls, et
dénuez de leurs Chapitres.	dénués de leurs Chapitres.
Ainſi cet ouvrage n’eſt peut-eſtre meſme qu’un ſimple fragment, mais cependant un reſte précieux de l'antiquité, &	Ainsi cet ouvrage n’est peut-être même qu’un simple fragment, mais cependant un reste précieux de l’antiquité, et
un monument de la vivacité de l’eſprit &	un monument de la vivacité de l’esprit et
du jugement ferme &	du jugement ferme et
ſolide de Philoſophe dans un âge ſi avancé:	solide de Philosophe dans un âge si avancé:
En effet il a toûjours eſté lû comme un chef-d'œuvre dans ſon genre:	En effet il a toujours été lu comme un chef-d’œuvre dans son genre:
il ne ſe voit rien où le goût Attique ſe faſſe mieux remarquer, &	il ne se voit rien où le goût Attique se fasse mieux remarquer, et
où l’élegance Grecque éclate davantage:	où l’élégance Grecque éclate davantage:
on l’a appellé un livre d’or:	on l’a appelé un livre d’or:
les Sçavans faiſant attention à la diverſité des mœurs qui y ſont traitées, &	les Savants faisant attention à la diversité des mœurs qui y sont traitées, et
à la maniere naïve donc tous les caracteres y ſont exprimez, &	à la manière naïve donc tous les caractères y sont exprimés, et
la comparant d’ailleurs avec celle du Poëte Menandre diſciple de Theophraſte, &	la comparant d’ailleurs avec celle du Poète Ménandre disciple de Théophraste, et
qui ſervit enſuite de modele à Terence, qu’on a dans nos jours ſi heureuſement imité, ne peuvent s'empêcher de reconnoiſtre dans ce petit ouvrage la premiere ſource de tout le comique, je dis de celuy qui eſt épuré des pointes, des obſcenitez, des équivoques, qui eſt pris dans la nature, qui fait rire les ſages &	qui servit ensuite de modèle à Térence, qu’on a dans nos jours si heureusement imité, ne peuvent s’empêcher de reconnaître dans ce petit ouvrage la première source de tout le comique, je dis de celui qui est épuré des pointes, des obscénités, des équivoques, qui est pris dans la nature, qui fait rire les sages et
les vertueux.	les vertueux.
Mais peut-eſtre que pour relever le merite de ce traité des Caracteres, &	Mais peut-être que pour relever le mérite de ce traité des Caractères, et
en inſpirer la lecture, il ne ſera pas inutile de dire quelque choſe de celuy de leur Auteur.	en inspirer la lecture, il ne sera pas inutile de dire quelque chose de celui de leur Auteur.
Il eſtoit d’Ereſe, ville de Leſbos, fils d’un Foulon;	Il était d’Erèse, ville de Lesbos, fils d’un Foulon;
il eut pour premier Maiſtre dans ſon païs un certain Leucipe * qui eſtoit de meſme * Un autre que Leucipe Philoſophe celebre, & diſciple de Zenon. ville que luy;	il eut pour premier Maître dans son pays un certain Leucipe * qui était de même * Un autre que Leucipe Philosophe célèbre, et disciple de Zénon. ville que lui;
* Un autre que Leucipe Philoſophe celebre, &	* Un autre que Leucipe Philosophe célèbre, et
diſciple de Zenon.	disciple de Zénon.
de-là il paſſa à l’Ecole de Platon, &	de là il passa à l’École de Platon, et
s'arreſta enſuite à celle d’Ariſtote, où il ſe diſtingua entre tous ſes diſciples:	s’arrêta ensuite à celle d’Aristote, où il se distingua entre tous ses disciples:
Ce nouveau Maître charmé de la facilité de ſon eſprit &	Ce nouveau Maître charmé de la facilité de son esprit et
de la douceur de ſon élocution, luy changea ſon nom, qui eſtoit Tyrtame en celuy d’Euphraſte, qui ſignifie celuy qui parle bien;	de la douceur de son élocution, lui changea son nom, qui était Tyrtame en celui d’Euphraste, qui signifie celui qui parle bien;
&	et
ce nom ne répondant point aſſez à la haute eſtime qu’il avoit de la beauté de ſon genie &	ce nom ne répondant point assez à la haute estime qu’il avait de la beauté de son génie et
de ſes expreſſions, il l’appella Theophraſte, c’eſt-à-dire un homme dont le langage eſt divin:	de ses expressions, il l’appela Théophraste, c’est-à-dire un homme dont le langage est divin:
Et il ſemble que Ciceron ait entré dans les ſentimens de ce Philoſophe, lorſque dans le Livre qu’il intitule, Brutus, ou des Orateurs illuſtres, il parle ainſi:	Et il semble que Cicéron ait entré dans les sentiments de ce Philosophe, lorsque dans le Livre qu’il intitule, Brutus, ou des Orateurs illustres, il parle ainsi:
Qui eſt plus fecond &	Qui est plus fécond et
plus abondant que Platon? plus ſolide &	plus abondant que Platon? plus solide et
plus ferme qu’Ariſtote? plus agréable &	plus ferme qu’Aristote? plus agréable et
plus doux que Theophraſte? Et dans quelques-unes de ſes Epiſtres à Atticus on voit que parlant du meſme Theophraſte il il l’appelle ſon amy, que la lecture de ſes livres luy étoit familiere, &	plus doux que Théophraste? Et dans quelques-unes de ses Épîtres à Atticus on voit que parlant du même Théophraste il il l’appelle son ami, que la lecture de ses livres lui était familière, et
qu’il en faiſoit ſes delices.	qu’il en faisait ses délices.
Ariſtote diſoit de luy &	Aristote disait de lui et
de Caliſtene un autre de ſes diſciples, ce que Platon avoit dit la premiere fois d’Ariſtote meſme, &	de Calistene un autre de ses disciples, ce que Platon avait dit la première fois d’Aristote même, et
de Xenocrate;	de Xénocrate;
que Caliſtene étoit lent à concevoir &	que Callisthène était lent à concevoir et
avoit l’eſprit tardif;	avait l’esprit tardif;
&	et
que Theophraſte au contraire l'avoit ſi vif, ſi perçant, ſi penetrant, qu’il comprenoit d’abord, d’une choſe tout ce qui en pouvoit eſtre connu;	que Théophraste au contraire l’avait si vif, si perçant, si pénétrant, qu’il comprenait d’abord, d’une chose tout ce qui en pouvait être connu;
que l'un avoit beſoin d’eſperon pour eſtre excité, &	que l’un avait besoin d’éperon pour être excité, et
qu’il falloit à l’autre un frein pour le retenir.	qu’il fallait à l’autre un frein pour le retenir.
Il eſtimoit en celuy-cy ſur toutes choſes un caractere de douceur qui regnoit également dans ſes mœurs &	Il estimait en celui-ci sur toutes choses un caractère de douceur qui régnait également dans ses mœurs et
dans ſon ſtyle;	dans son style;
l’on raconte que les diſciples d’Ariſtote voyant leur Maiſtre avancé en âge &	l’on raconte que les disciples d’Aristote voyant leur Maître avancé en âge et
d’une ſanté fort affoiblie le prierent de leur nommer ſon ſucceſſeur;	d’une santé fort affaiblie le prièrent de leur nommer son successeur;
que comme il avoit deux hommes dans ſon Ecole ſur qui ſeuls ce choix pouvoir tomber, Menedeme * le Rhodien, &	que comme il avait deux hommes dans son École sur qui seuls ce choix pouvoir tomber, Ménèdeme * le Rhodien, et
* Il y en a eû deux autres du meſme nom; l'un Philoſophe cinique, l'autre diſciple de Platon. Theophraſte d’Ereſe, par un eſprit de ménagement pour celuy qu’il vouloit exclure il ſe declara de cette maniere:	* Il y en a eu deux autres du même nom; l’un Philosophe cynique, l’autre disciple de Platon. Théophraste d’Erèse, par un esprit de ménagement pour celui qu’il voulait exclure il se déclara de cette manière:
* Il y en a eû deux autres du meſme nom;	* Il y en a eu deux autres du même nom;
l'un Philoſophe cinique, l'autre diſciple de Platon.	l’un Philosophe cynique, l’autre disciple de Platon.
Il feignit peu de temps aprés que ſes diſciples luy eurent fait cette priere &	Il feignit peu de temps après que ses disciples lui eurent fait cette prière et
en leur preſence, que le vin.	en leur présence, que le vin.
dont faiſoit un uſage ordinaire luy eſtoit nuiſible, il ſe fit apporter des vins de Rhodes &	dont faisait un usage ordinaire lui était nuisible, il se fit apporter des vins de Rhodes et
de Leſbos, il goûta de tous les deux, dit qu'ils ne dementoient point leur terroir, &	de Lesbos, il goûta de tous les deux, dit qu’ils ne démentaient point leur terroir, et
que chacun dans ſon genre eſtoit excellent, que le premier avoit de la force, mais que celuy de Leſbos avoit plus de douceur, &	que chacun dans son genre était excellent, que le premier avait de la force, mais que celui de Lesbos avait plus de douceur, et
qu’il luy donnoit la préference:	qu’il lui donnait la préférence:
Quoy qu'il en ſoit de ce fait qu’on lit dans Aulugelle, il eſt certain que lors qu’Ariſtote accuſé par Eurimedon, Preſtre de Ceres, d’avoir mal parlé des Dieux, craignant le deſtin de Socrate voulut ſortir d’Athenes, &	Quoi qu’il en soit de ce fait qu’on lit dans Aulu-gelle, il est certain que lorsqu’Aristote accusé par Eurymédon, Prêtre de Cérès, d’avoir mal parlé des Dieux, craignant le destin de Socrate voulut sortir d’Athènes, et
ſe retirer à Calcis, ville d’Eubée, il abandonna ſon Ecole au Leſbien, luy confia ſes écrits, à condition de les tenir ſecrets;	se retirer à Calcis, ville d’Eubée, il abandonna son École au Lesbien, lui confia ses écrits, à condition de les tenir secrets;
&	et
c’eſt par Theophraſte que ſont venus juſques à nous les Ouvrages de ce grand homme.	c’est par Théophraste que sont venus jusqu'à nous les Ouvrages de ce grand homme.
Son nom devint ſi celebre par toute la Grece, que ſucceſſeur d’Ariſtote il put conter bien-tôt dans l’Ecole qu’il luy avoir laiſſée juſques à deux mil diſciples.	Son nom devint si célèbre par toute la Grèce, que successeur d’Aristote il put conter bientôt dans l’École qu’il lui avoir laissée jusqu'à deux mille disciples.
* Un autre que le Poëte tragique. Il excita l’envie de * Sophocle fils d’Amphiclide, &	* Un autre que le Poète tragique. Il excita l’envie de * Sophocle fils d’Amphiclide, et
* Un autre que le Poëte tragique.	* Un autre que le Poète tragique.
qui pour lors eſtoit Preteur:	qui pour lors était Préteur:
Celuy-cy, en effet ſon ennemy mais ſous prétexte d’une exacte police &	Celui-ci, en effet son ennemi mais sous prétexte d’une exacte police et
d’empeſcher les aſſemblées fit une loy qui défendoit ſur peine de la vie à aucun Philoſophe d’enſeigner dans les Ecoles ils obeïrent;	d’empêcher les assemblées fit une loi qui défendait sur peine de la vie à aucun Philosophe d’enseigner dans les Écoles ils obéirent;
mais l’année ſuivante Philon ayant ſuccedé à Sophocle qui eſtoit ſorti de charge, le peuple d’Athenes abrogea cette loy odieuſe que ce dernier avoit faite, le condamna à une amende de cinq talens, rétablit Theophraſte, &	mais l’année suivante Philon ayant succédé à Sophocle qui était sorti de charge, le peuple d’Athènes abrogea cette loi odieuse que ce dernier avait faite, le condamna à une amende de cinq talents, rétablit Théophraste, et
le reſte des Philoſophes.	le reste des Philosophes.
Plus heureux qu’Ariſtote qui avoit eſté contraint de ceder à Eurimedon, il fut ſur le point de voir un certain Agnonide puni comme impie par les Atheniens, ſeulement à cauſe qu’il avoit oſé l’accuſer d’impieté;	Plus heureux qu’Aristote qui avait été contraint de céder à Eurymédon, il fut sur le point de voir un certain Agnonide puni comme impie par les Athéniens, seulement à cause qu’il avait osé l’accuser d’impiété;
tant eſtoit grande l’affection que ce peuple avoir pour luy, &	tant était grande l’affection que ce peuple avoir pour lui, et
qu 'il meritoit par ſa vertu.	qu ’il méritait par sa vertu.
En effet on luy rend ce témoignage, qu’il avoit une ſinguliere prudence, qu’il eſtoit zelé pour le bien public, laborieux, officieux, affable, bienfaiſant:	En effet on lui rend ce témoignage, qu’il avait une singulière prudence, qu’il était zélé pour le bien public, laborieux, officieux, affable, bienfaisant:
Ainſi au rapport de Plutarque, lorſque Ereſe fut accablée de Tyrans qui avoient uſurpé la domination de leur païs il ſe joignit à * Phydias ſon compatriote, contribua avec luy de ſes biens pour armer les bannis qui rentrerent dans leur ville, en chaſſerent les traîtres, &	Ainsi au rapport de Plutarque, lorsque Erése fut accablée de Tyrans qui avaient usurpé la domination de leur pays il se joignit à * Phydias son compatriote, contribua avec lui de ses biens pour armer les bannis qui rentrèrent dans leur ville, en chassèrent les traîtres, et
rendirent à toute l'Iſle de Leſbos ſa liberté.	rendirent à toute l’Île de Lesbos sa liberté.
Tant de rares qualitez ne luy acquirent pas ſeulement la bienveillance du peuple, mais encore l’eſtime &	Tant de rares qualités ne lui acquirent pas seulement la bienveillance du peuple, mais encore l’estime et
la familiarité des Rois:	la familiarité des Rois:
il fut ami de Caſſandre qui avoit ſuccedé à Aridée frere d’Alexandre le Grand au Royaume de Macedoine;	il fut ami de Cassandre qui avait succédé à Aridée frère d’Alexandre le Grand au Royaume de Macédoine;
&	et
Ptolomée, fils de Lagus &	Ptolomée, fils de Lagus et
premier Roy d’Egypte entre *Un Autre que le fameux Sculpteur. tint toûjours un commerce étroit avec ce Philoſophe.	premier Roi d’Egypte entre *Un Autre que le fameux Sculpteur. tint toujours un commerce étroit avec ce Philosophe.
*Un Autre que le fameux Sculpteur.	*Un Autre que le fameux Sculpteur.
Il mourut enfin accablé d’années &	Il mourut enfin accablé d’années et
de fatigues &	de fatigues et
il ceſſa tout à la fois de travailler &	il cessa tout à la fois de travailler et
de vivre:	de vivre:
toute la Grece le pleura, &	toute la Grèce le pleura, et
tout le peuple Athenien aſſiſta à ſes funerailles.	tout le peuple Athénien assista à ses funérailles.
L’on raconte de luy que dans ſon extrême vieilleſſe ne pouvant plus marcher à pied, il ſe faiſoit porter en littiere par la ville, où il eſtoit vu du peuple à qui il eſtoit ſi cher.	L’on raconte de lui que dans son extrême vieillesse ne pouvant plus marcher à pied, il se faisait porter en litière par la ville, où il était vu du peuple à qui il était si cher.
L’on dit auſſi que ſes diſciples qui entouroient ſon lit lors qu’il mourut, luy ayant demandé s'il n'avoit rien à leur recommander, il leur tint ce diſcours :	L’on dit aussi que ses disciples qui entouraient son lit lorsqu’il mourut, lui ayant demandé s’il n’avait rien à leur recommander, il leur tint ce discours :
La vie nous „ ſeduit, elle nous promet „ de grands plaiſirs dans la „ poſſeſſion de la gloire;	La vie nous „ séduit, elle nous promet „ de grands plaisirs dans la „ possession de la gloire;
mais „ à peine commence-t’on à „ vivre, qu’il faut mourir:	mais „ à peine commence-t’on à „ vivre, qu’il faut mourir:
„ il n’y a ſouvent rien de plus „ ſterile que l’amour de la reputation.	„ il n’y a souvent rien de plus „ stérile que l’amour de la réputation.
Cependant, mes „ diſciples, contentez-vous:	Cependant, mes „ disciples, contentez-vous:
„ ſi vous negligez l’eſtime „ des hommes, vous vous „ épargnez à vous-meſmes de „ grands travaux;	„ si vous négligez l’estime „ des hommes, vous vous „ épargnez à vous-mêmes de „ grands travaux;
s'ils ne rebutent point voſtre courage, il peut arriver que la „ gloire ſera voſtre récompenſe.	s’ils ne rebutent point votre courage, il peut arriver que la „ gloire sera votre récompense.
Souvenez-vous ſeulement qu’il y a dans la vie „ „ beaucoup de choſes inutiles, „ &	Souvenez-vous seulement qu’il y a dans la vie „ „ beaucoup de choses inutiles, „ et
qu’il y en a peu qui menent à une fin ſolide:	qu’il y en a peu qui mènent à une fin solide:
ce „ n’eſt point à moy à déliberer ſur le parti que je dois „ prendre, il n’eſt plus temps.	ce „ n’est point à moi à délibérer sur le parti que je dois „ prendre, il n’est plus temps.
„ Pour vous qui avez à me „ ſurvivre, vous ne ſçauriez „ peſer trop meurement ce que „ vous devez faire:	„ Pour vous qui avez à me „ survivre, vous ne sauriez „ peser trop mûrement ce que „ vous devez faire:
&	et
ce furent là ſes dernieres paroles.	ce furent là ses dernières paroles.
J’Ay admiré ſouvent, &	J’Ai admiré souvent, et
j’avouë que je ne puis encore comprendre, quelque ſerieuſe reflexion que je faſſe, pourquoy toute la Grece eſtant placée ſous un meſme ciel, &	j’avoue que je ne puis encore comprendre, quelque sérieuse réflexion que je fasse, pourquoi toute la Grèce étant placée sous un même ciel, et
les Grecs nourris &	les Grecs nourris et
élevez de la * meſme maniere, il ſe trouve neanmoins * Par rapport aux Barbares. dont les mœurs étoient tres-differentes de celles des Grecs. ſi peu de reſſemblance dans leurs mœurs.	élevés de la * même manière, il se trouve néanmoins * Par rapport aux Barbares. dont les mœurs étaient très différentes de celles des Grecs. si peu de ressemblance dans leurs mœurs.
* Par rapport aux Barbares.	* Par rapport aux Barbares.
dont les mœurs étoient tres-differentes de celles des Grecs.	dont les mœurs étaient très différentes de celles des Grecs.
Puis donc, mon cher Policles, qu'à l'âge de quatre-vingt dix-neuf ans où je me trouve, j'ay peut-eſtre aſſez vécu pour connoiſtre les hommes;	Puis donc, mon cher Policlès, qu’à l’âge de quatre-vingt-dix neuf ans où je me trouve, j’ai peut-être assez vécu pour connaître les hommes;
que j’ay veu d’ailleurs pendant le cours de ma vie toute ſorte de perſonnes, &	que j’ai vu d’ailleurs pendant le cours de ma vie toute sorte de personnes, et
de divers temperamens, &	de divers tempéraments, et
que je me ſuis toûjours attaché à étudier les hommes vertueux, comme ceux qui n’eſtoient connus que par leurs vices;	que je me suis toujours attaché à étudier les hommes vertueux, comme ceux qui n’étaient connus que par leurs vices;
il ſemble que j'ay dû marquer les * caracteres des uns &	il semble que j’ai dû marquer les * caractères des uns et
des autres, &	des autres, et
ne me * Theophraſte avoit deſſein de traiter de toutes les vertus & de tous les vices. pas contenter de peindre les Grecs en general, mais meſme de toucher ce qui eſt perſonnel, &	ne me * Théophraste avait dessein de traiter de toutes les vertus et de tous les vices. pas contenter de peindre les Grecs en général, mais même de toucher ce qui est personnel, et
* Theophraſte avoit deſſein de traiter de toutes les vertus &	* Théophraste avait dessein de traiter de toutes les vertus et
de tous les vices.	de tous les vices.
ce que quelques-uns paroiſſent avoir de plus familier.	ce que quelques-uns paraissent avoir de plus familier.
J'eſpere, mon cher Policles, que cet ouvrage ſera utile à ceux qui viendront aprés nous;	J’espère, mon cher Policlès, que cet ouvrage sera utile à ceux qui viendront après nous;
il leur trace des modeles qu’ils peuvent ſuivre;	il leur trace des modèles qu’ils peuvent suivre;
