AUX LIBERTINS. 	AUX LIBERTINS. 
LE CHEVALIER. 	LE CHEVALIER. 
Ah !	Ah!
que dis-tu là?	que dis-tu là?
c'est le plus célèbre athée, l'homme le plus immoral..... 	c'est le plus célèbre athée, l'homme le plus immoral..... 
Oh !	Oh!
c’est bien la corruption la plus complette et la plus entière, l’individu le plus méchant et le plus scélérat qui puisse exister au monde. 	c'est bien la corruption la plus complète et la plus entière, l'individu le plus méchant et le plus scélérat qui puisse exister au monde. 
Madame DE SAINT-ANGE. 	Madame DE SAINT-ANGE. 
Comme tout cela m’échauffe,  je vais raffoler de cet homme, et ses goûts, mon frère ?	Comme tout cela m'échauffe, je vais raffoler de cet homme, et ses goûts, mon frère ?
LE CHEVALIER. 	LE CHEVALIER. 
Tu les sais ;	Tu les sais ;
les délices de Sodome lui sont aussi chers comme agent que comme patient;	les délices de Sodome lui sont aussi chers comme agent que comme patient;
il n’aime que les hommes dans ses plaisirs, et si quelquefois néanmoins il consent à essayer des femmes, ce n’est qu’aux conditions qu’elles seront assez complaisantes pour changer de sexe avec lui. 	il n'aime que les hommes dans ses plaisirs, et si quelquefois néanmoins il consent à essayer des femmes, ce n'est qu'aux conditions qu'elles seront assez complaisantes pour changer de sexe avec lui. 
Je lui ai parlé de toi, je l’ai prévenu de tes intentions, il accepte, et t’avertit à son tour des clauses du marché Je t'en préviens, ma sœur, il te refusera tout net, si tu prétends l’engager à autre chose :	Je lui ai parlé de toi, je l'ai prévenu de tes intentions, il accepte, et t'avertit à son tour des clauses du marché Je t'en préviens, ma sœur, il te refusera tout net, si tu prétends l'engager à autre chose :
ce que je consens à faire avec votre sœur, est, prétend-il, une licence,... une incartade dont on ne se souille que rarement et avec beaucoup de précautions. 	ce que je consens à faire avec votre sœur, est, prétend-il, une licence,... une incartade dont on ne se souille que rarement et avec beaucoup de précautions. 
Madame DE SAINT-ANGE. 	Madame DE SAINT-ANGE. 
Se souiller !	Se souiller !
.... des précautions !	.... des précautions !
j'aime à la folie le langage de ces aimables gens ;	j'aime à la folie le langage de ces aimables gens ;
entre nous autres femmes, nous avons aussi de ces mots exclusifs qui prouvent comme ceux-là, l’horreur profonde dont elles sont pénétrées pour tout ce qui ne tient pas au culte admis... 	entre nous autres femmes, nous avons aussi de ces mots exclusifs qui prouvent comme ceux-là, l'horreur profonde dont elles sont pénétrées pour tout ce qui ne tient pas au culte admis... 
Eh, dis-moi, mon cher,... il t’a eu?	Eh, dis-moi, mon cher,... il t'a eu?
avec ta delicieuse figure et tes vingt ans;	avec ta delicieuse figure et tes vingt ans;
on peut, je crois, captiver un tel homme?	on peut, je crois, captiver un tel homme?
LE CHEVALIER. 	LE CHEVALIER. 
Je ne te cacherai point mes extravagances avec lui, tu as trop d’esprit pour les blamer. 	Je ne te cacherai point mes extravagances avec lui, tu as trop d'esprit pour les blâmer. 
Dans le fait, j’aime les femmes moi, et je ne me livre à ces goûts bizarres que quand un homme aimable m’en presse. 	Dans le fait, j'aime les femmes moi, et je ne me livre à ces goûts bizarres que quand un homme aimable m'en presse. 
Il n’y a rien que je ne fasse alors ;	Il n'y a rien que je ne fasse alors ;
je suis loin de cette morgue ridicule qui fait croire à nos jeunes fréluquets qu’il faut repondre par des coups de canne à de semblables propositions;	je suis loin de cette morgue ridicule qui fait croire à nos jeunes freluquets qu'il faut repondre par des coups de canne à de semblables propositions;
l’homme est-il le maître de ses goûts ?	l'homme est-il le maître de ses goûts ?
Il faut plaindre ceux qui en ont de singuliers, mais ne les insulter jamais, leur tort est celui de la nature, ils n’etaient pas plus les maîtres d’arriver au monde avec des goûts différens, que nous ne le sommes de naître ou bancal ou bienfait. 	Il faut plaindre ceux qui en ont de singuliers, mais ne les insulter jamais, leur tort est celui de la nature, ils n'étaient pas plus les maîtres d'arriver au monde avec des goûts différents, que nous ne le sommes de naître ou bancal ou bienfait. 
Un homme vous dit-il d’ailleurs une chose desagréable en vous témoignant le desir qu’il a de jouir de vous?	Un homme vous dit-il d'ailleurs une chose desagréable en vous témoignant le désir qu'il a de jouir de vous?
non sans doute, c’est un compliment qu’il vous fait;	non sans doute, c'est un compliment qu'il vous fait;
pourquoi donc y répondre par des injures ou des insultes?	pourquoi donc y répondre par des injures ou des insultes?
Il n’y a que les sots qui puissent penser ainsi, jamais un homme raisonnable ne parlera sur cette matière différemment que je ne fais ;	Il n'y a que les sots qui puissent penser ainsi, jamais un homme raisonnable ne parlera sur cette matière différemment que je ne fais ;
mais c’est que le monde est peuplé de plats imbéciles qui croyent que c’est leur manquer que de leur avouer qu’on les trouve propres à des plaisirs, et qui gâtés par les femmes, toujours jalouses de ce qui a l’air d’attenter à leurs droits, s’imaginent être les Doms Quichottes de ces droits ordinaires, en brutalisant ceux qui n’en reconnainssent pas toute l'étendue. 	mais c'est que le monde est peuplé de plats imbéciles qui croyent que c'est leur manquer que de leur avouer qu'on les trouve propres à des plaisirs, et qui gâtés par les femmes, toujours jalouses de ce qui a l'air d'attenter à leurs droits, s'imaginent être les Doms Quichottes de ces droits ordinaires, en brutalisant ceux qui n'en reconnainssent pas toute l'étendue. 
Madame de 8AINT-ANGE. 	Madame de 8AINT-ANGE. 
Ah!	Ah!
mon ami, baise-moi, tu ne serais pas mon frère si tu pensais différemment ;	mon ami, baise-moi, tu ne serais pas mon frère si tu pensais différemment ;
mais un peu de détail, je t’en conjure, et sur le physique de cet homme et sur ces plaisirs avec toi. 	mais un peu de détail, je t'en conjure, et sur le physique de cet homme et sur ces plaisirs avec toi. 
LE CHEVALIER. 	LE CHEVALIER. 
M. 	M. 
Dolmancé était instruit par un de mes amis, du superbe membre dont tu sais que je suis pourvu, il engagea le marquis de V... à me donner à souper avec lui. 	Dolmancé était instruit par un de mes amis, du superbe membre dont tu sais que je suis pourvu, il engagea le marquis de V... à me donner à souper avec lui. 
Une fois là, il fallut bien exhiber ce que je portais;	Une fois là, il fallut bien exhiber ce que je portais;
la curiosité parut d’abord être le seul motif, un très-beau cul qu’on me tourna, et dont on me supplia de jouir, me fit bientôt voir que le goût seul avait eu part à cet examen. 	la curiosité parut d'abord être le seul motif, un très-beau cul qu'on me tourna, et dont on me supplia de jouir, me fit bientôt voir que le goût seul avait eu part à cet examen. 
Je prévins Dolmancé de toutes les difficultés de l’entreprise, rien ne l’effaroucha. 	Je prévins Dolmancé de toutes les difficultés de l'entreprise, rien ne l'effaroucha. 
Je suis à l’épreuve du bélier, me dit-il, et vous n’aurez même pas la gloire d’être le plus redoutable des hommes qui perforèrent le cul que je vous offre. 	Je suis à l'épreuve du bélier, me dit-il, et vous n'aurez même pas la gloire d'être le plus redoutable des hommes qui perforèrent le cul que je vous offre. 
Le Marquis était là, il nous encourageait en tripotant, maniant, baisant tout ce que nous mettions au jour l’un et l’autre. 	Le Marquis était là, il nous encourageait en tripotant, maniant, baisant tout ce que nous mettions au jour l'un et l'autre. 
Je me présente....  je veux au moins quelques apprêts ;	Je me présente....  je veux au moins quelques apprêts ;
gardez-vous en bien, me dit le Marquis, vous ôteriez la moitié des sensations que Dolmancé attend de vous ;	gardez-vous en bien, me dit le Marquis, vous ôteriez la moitié des sensations que Dolmancé attend de vous ;
il veut qu’on le pourfende.... il veut qu’on le déchire ;	il veut qu'on le pourfende.... il veut qu'on le déchire ;
il sera satisfait, dis-je, en une plongeant aveuglément dans le gouffre.... et tu crois peut-être, ma sœur, que j’eus beaucoup de peine... pas un mot ;	il sera satisfait, dis-je, en une plongeant aveuglément dans le gouffre.... et tu crois peut-être, ma sœur, que j'eus beaucoup de peine... pas un mot ;
mon vit, tout énorme qu’il est, disparut sans que je m’en doutasse, et je touchais le fond de ses entrailles sans que le bougre eût l’air de le sentir. 	mon vit, tout énorme qu'il est, disparut sans que je m'en doutasse, et je touchais le fond de ses entrailles sans que le bougre eût l'air de le sentir. 
Je traitai Dolmancé en ami, l’excessive volupté qu’il goûtait, ses frétillemens, ses propos délicieux, tout me rendit bientôt heureux moi-méme, et je l’inondai. 	Je traitai Dolmancé en ami, l'excessive volupté qu'il goûtait, ses frétillemens, ses propos délicieux, tout me rendit bientôt heureux moi-méme, et je l'inondai. 
A peine fus-je dehors que Dolmancé se retournant vers moi échévelé, rouge comme une bacchante :	À peine fus-je dehors que Dolmancé se retournant vers moi échévelé, rouge comme une bacchante :
tu vois l’état où tu m’as mis cher Chevalier, me dit-il, en m’offrant un vit sec et mutin, fort long, et d’au moins six pouces de tour, daigne, je t’en conjure, ô mon amour, me servir de femme après avoir été mon amant, et que je puisse dire que j'ai goûté dans tes bras divins tous les plaisirs du goût que je chéris avec tant d’empire. 	tu vois l'état où tu m'as mis cher Chevalier, me dit-il, en m'offrant un vit sec et mutin, fort long, et d'au moins six pouces de tour, daigne, je t'en conjure, ô mon amour, me servir de femme après avoir été mon amant, et que je puisse dire que j'ai goûté dans tes bras divins tous Ies plaisirs du goût que je chéris avec tant d'empire. 
Trouvant aussi peu de difficulté à l’un qu’à l’autre, je me prêtai ;	Trouvant aussi peu de difficulté à l'un qu'à l'autre, je me prêtai ;
le Marquis se déculottant à mes yeux, me conjura de vouloir bien être encore un peu homme avec lui pendant que j’allais être la femme de son ami ;	le Marquis se déculottant à mes yeux, me conjura de vouloir bien être encore un peu homme avec lui pendant que j'allais être la femme de son ami ;
je le traitai comme Dolmancé, qui me rendant au centuple toutes les secouses dont j’accablais notre tiers, exhala bientôt au fond de mon cul, cette liqueur enchanteresse dont j’arrosais, presqu’en même temps celui de V.... 	je le traitai comme Dolmancé, qui me rendant au centuple toutes les secouses dont j'accablais notre tiers, exhala bientôt au fond de mon cul, cette liqueur enchanteresse dont j'arrosais, presqu'en même temps celui de V.... 
Madame DE SAINT-ANGE. 	Madame DE SAINT-ANGE. 
Tu dois avoir eu le plus grand plaisir, mon frère, à te trouver ainsi entre deux, on dit que c’est charmant. 	Tu dois avoir eu le plus grand plaisir, mon frère, à te trouver ainsi entre deux, on dit que c'est charmant. 
LE CHEVALIER. 	LE CHEVALIER. 
Il est bien certain, mon ange, que c'est la meilleure place;	Il est bien certain, mon ange, que c'est la meilleure place;
mais quoi qu’on en puisse dire, tout cela sont des extravagances que je ne préférerai jamais au plaisir des femmes. 	mais quoi qu'on en puisse dire, tout cela sont des extravagances que je ne préférerai jamais au plaisir des femmes. 
Madame DE SAINT-ANGE. 	Madame DE SAINT-ANGE. 
Eh bien, mon cher amour, pour récompenser aujourd’hui ta délicate complaisance, je vais livrer à tes ardeurs une jeune fille vierge, et plus belle que l’amour. 	Eh bien, mon cher amour, pour récompenser aujourd'hui ta délicate complaisance, je vais livrer à tes ardeurs une jeune fille vierge, et plus belle que l'amour. 
LE CHEVALIER. 	LE CHEVALIER. 
Comment, avec Dolmancé.... tu fais venir une femme chez toi?	Comment, avec Dolmancé.... tu fais venir une femme chez toi?
Madame DE SAINT-ANGE. 	Madame DE SAINT-ANGE. 
Il s'agit d'une éducation, c’est une petite fille que j’ai connue au couvent l’automne dernier, pendant que mon mari était aux eaux. 	Il s'agit d'une éducation, c'est une petite fille que j'ai connue au couvent l'automne dernier, pendant que mon mari était aux eaux. 
Là nous ne pûmes rien, nous n’osâmes rien, trop de yeux étaient fixés sur nous, mais nous nous promîmes de nous réunir dès que cela serait possible ;	Là nous ne pûmes rien, nous n'osâmes rien, trop de yeux étaient fixés sur nous, mais nous nous promîmes de nous réunir dès que cela serait possible ;
uniquement occupée de ce desir j’ai, pour y satisfaire, fait connaissance avec sa famille. 	uniquement occupée de ce désir j'ai, pour y satisfaire, fait connaissance avec sa famille. 
Son père est un Iibertin.... que j’ai captivé. 	Son père est un Iibertin.… que j'ai captivé. 
Enfin la belle vient, je l’attends, nous passerons deux jours ensemble.... deux jours délicieux, la meilleure partie de ce temps, je l’emploie à éduquer cette jeune personne. 	Enfin la belle vient, je l'attends, nous passerons deux jours ensemble.... deux jours délicieux, la meilleure partie de ce temps, je l'emploie à éduquer cette jeune personne. 
Dolmancé et moi nous placerons dans cette jolie petite tête, tous les principes du libertinage le plus effréné, nous l’embrâserons de nos feux, nous l’alimenterons de notre philosophie , nous lui inspirerons nos désirs , et comme je veux joindre un peu de pratique à la théorie, comme je veux qu’on démontre à mesure qu’on dissertera, je t’ai destiné, mon frére, à la moisson des myrthes de Cythère, Dolmancé à celle des roses de Sodome. 	Dolmancé et moi nous placerons dans cette jolie petite tête, tous les principes du libertinage le plus effréné, nous l'embrâserons de nos feux, nous l'alimenterons de notre philosophie, nous lui inspirerons nos désirs, et comme je veux joindre un peu de pratique à la théorie, comme je veux qu'on démontre à mesure qu'on dissertera, je t'ai destiné, mon frére, à la moisson des myrthes de Cythère, Dolmancé à celle des roses de Sodome. 
J’aurai deux plaisirs à la fois, celui de jouir moi-même de ces voluptés criminelles et celui d’en donner des leçons, d’en inspirer les goûts à l’aimable innocente que j’attire dans nos filets. 	J'aurai deux plaisirs à la fois, celui de jouir moi-même de ces voluptés criminelles et celui d'en donner des leçons, d'en inspirer les goûts à l'aimable innocente que j'attire dans nos filets. 
Eh bien, Chevalier, ce projet est-il digne de mon imagination ?	Eh bien, Chevalier, ce projet est-il digne de mon imagination ?
LE CHEVALIER. 	LE CHEVALIER. 
Il ne peut être conçu que par elle , il est divin, ma sœur, et je te promets d’y remplir à merveille le rôle charmant que tu m’y destine. 	Il ne peut être conçu que par elle, il est divin, ma sœur, et je te promets d'y remplir à merveille le rôle charmant que tu m'y destine. 
Ah !	Ah!
friponne, comme tu vas jouir du plaisir d’eduquer cette enfant ;	friponne, comme tu vas jouir du plaisir d'eduquer cette enfant;
quelles délices pour toi de la corrompre, d’étouffer dans ce jeune cœur toutes les semences de vertu et de religion qu’y placèrent ses institutrices. 	quelles délices pour toi de la corrompre, d'étouffer dans ce jeune cœur toutes les semences de vertu et de religion qu'y placèrent ses institutrices. 
En verité cela est trop roué pour moi. 	En verité cela est trop roué pour moi. 
Madame DE SAINT-ANGE. 	Madame DE SAINT-ANGE. 
Il est bien sûr que je n’épargnerai rien pour la pervertir, pour dégrader, pour culbuter dans elle tous les faux principes de morale dont on aurait pu déjà l’étourdir ;	Il est bien sûr que je n'épargnerai rien pour la pervertir, pour dégrader, pour culbuter dans elle tous les faux principes de morale dont on aurait pu déjà l'étourdir ;
je veux , en deux leçons, la rendre aussi scélérate que moi.... aussi impie.... aussi débauchée. 	je veux, en deux leçons, la rendre aussi scélérate que moi.... aussi impie.... aussi débauchée. 
Préviens Dolmancé, mets-le au fait dès qu’il arrivera, pour que le venin de ses immoralités circulant dans ce jeune cœur avec celui que j’y lancerai, parvienne à déraciner dans peu d’instans toutes les semences de vertu qui pourraient y germer sans nous. 	Préviens Dolmancé, mets-le au fait dès qu'il arrivera, pour que le venin de ses immoralités circulant dans ce jeune cœur avec celui que j'y lancerai, parvienne à déraciner dans peu d'instants toutes les semences de vertu qui pourraient y germer sans nous. 
LE CHEVALIER. 	LE CHEVALIER. 
Il était impossible de mieux trouver l’homme qu’il te fallait, l’irréligion, l’impiété, l'inhumanité, le libertinage découlent des lèvres de Dolmancé, comme autrefois l’onction mystique, de celles du célèbre archévêque de Cambrai ;	Il était impossible de mieux trouver l'homme qu'il te fallait, l'irréligion, l'impiété, l'inhumanité, le libertinage découlent des lèvres de Dolmancé, comme autrefois l'onction mystique, de celles du célèbre archévêque de Cambrai ;
c’est le plus profond séducteur, l'homme le plus corrompu, le plus dangereux.... 	c'est le plus profond séducteur, l'homme le plus corrompu, le plus dangereux.... 
Ah !	Ah!
ma chère amie, que ton élève réponde aux soins de l’instituteur, et je te la garantis bientôt perdue. 	ma chère amie, que ton élève réponde aux soins de l'instituteur, et je te la garantis bientôt perdue. 
Madame DE SAINT-ANGE. 	Madame DE SAINT-ANGE. 
Cela ne sera sûrement pas long avec les dispositions que je lui connais.... 	Cela ne sera sûrement pas long avec les dispositions que je lui connais.... 
LE CHEVALIER. 	LE CHEVALIER. 
Mais dis-moi, chère sœur, ne redoutes-tu rien des parens ?	Mais dis-moi, chère sœur, ne redoutes-tu rien des parents ?
Si cette petite fille venait à jaser quand elle retournera chez elle. 	Si cette petite fille venait à jaser quand elle retournera chez elle. 
Madame DE SAINT-ANGE. 	Madame DE SAINT-ANGE. 
Ne crains rien, j’ai séduit le pére.... il est à moi, faut-il enfin te l’avouer , je me suis livrée à lui pour qu’il fermât les yeux, il ignore mes desseins, mais il n’osera jamais les approfondir.... 	Ne crains rien, j'ai séduit le père.... il est à moi, faut-il enfin te l'avouer, je me suis livrée à lui pour qu'il fermât les yeux, il ignore mes desseins, mais il n'osera jamais les approfondir.... 
Je le tiens. 	Je le tiens. 
LE CHEVALIER. 	LE CHEVALIER. 
Tes moyens sont affreux. 	Tes moyens sont affreux. 
Madame DE SAINT-ANGE. 	Madame DE SAINT-ANGE. 
Voila comme il les faut pour qu’ils soient sûrs. 	Voila comme il les faut pour qu'ils soient sûrs. 
LE CHEVALIER. 	LE CHEVALIER. 
Eh dis-moi, je te prie, quelle est cette jeune personne ?	Eh dis-moi, je te prie, quelle est cette jeune personne ?
Madame DE SAINT-ANGE. 	Madame DE SAINT-ANGE. 
On la nomme Eugénie, elle est la fille d’un certain Mistival, l’un des plus riches traitans de la capitale, agé d’environ trente-six ans ;	On la nomme Eugénie, elle est la fille d'un certain Mistival, l'un des plus riches traitants de la capitale, âgé d'environ trente-six ans;
la mère en a tout au plus trente-deux, et la petite fille quinze. 	la mère en a tout au plus trente-deux, et la petite fille quinze. 
Mistival est aussi libertin que sa femme est dévote. 	Mistival est aussi libertin que sa femme est dévote. 
Pour Eugenie, ce serait en vain, mon ami, que j'essaierais de te la peindre ;	Pour Eugénie, ce serait en vain, mon ami, que j'essaierais de te la peindre;
elle est au-dessus de mes pinceaux, qu’il te suffise d’être convaincu que ni toi, ni moi n’avons certainement jamais vu rien d’aussi délicieux au monde. 	elle est au-dessus de mes pinceaux, qu'il te suffise d'être convaincu que ni toi, ni moi n'avons certainement jamais vu rien d'aussi délicieux au monde. 
LE CHEVALIER. 	LE CHEVALIER. 
Mais esquisse au moins, si tu ne peux peindre, afin que sachant à-peu-près à qui je vais avoir à faire, je me remplisse mieux l’imagination de l’idole où je dois sacrifer. 	Mais esquisse au moins, si tu ne peux peindre, afin que sachant à-peu-près à qui je vais avoir à faire, je me remplisse mieux l'imagination de l'idole où je dois sacrifer. 
Madame DE SAINT-ANGE. 	Madame DE SAINT-ANGE. 
