Et qui de ſa patrie emporta les regrets, Quand du Nord étonné de ſes vertus ſuprèmes, Les peuples à ſes pieds mettoient les diadèmes. 	Et qui de sa patrie emporta les regrets, Quand du Nord étonné de ses vertus suprêmes, Les peuples à ses pieds mettaient les diadèmes.
Tel brille au ſecond rang, qui s’éclipſe au premier. 	Tel brille au second rang, qui s'éclipse au premier.
Il devint lâche Roi, d’intrépide guerrier. 	Il devint lâche Roi, d'intrépide guerrier.
Endormi ſur le Trône au ſein de la moleſſe, Le poids de ſa Couronne accabloit ſa foibleſſe, Quelus & S. 	Endormi sur le Trône au sein de la mollesse, Le poids de sa Couronne accablait sa faiblesse, Quelus et S.
Maigrin, Joyeuſe, & d'Eſpernon, Tirans voluptueux qui règnoient ſous ſon nom, D'un maître efféminé corrupteurs politiques, Plongeoient dans les plaiſirs ſes langueurs létargiques. 	Maigrin, Joyeuse, et d'Épernon, Tyrans voluptueux qui régnaient sous son nom, D'un maître efféminé corrupteurs politiques, Plongeaient dans les plaisirs ses langueurs léthargiques.
Des Guiſes cependant le rapide bonheur, Sur ſon abaiſſement élevoit leur grandeur;	Des Guises cependant le rapide bonheur, Sur son abaissement élevait leur grandeur;
Ils formoient dans Paris cette Ligue fatale, De ſon foible pouvoir inſolente rivale. 	Ils formaient dans Paris cette Ligue fatale, De son faible pouvoir insolente rivale.
Deux Partis oppoſez, du même orgueuil épris, De ſon Trône à ſes yeux diſputoient les débris :	Deux Partis opposez, du même orgueil épris, De son Trône à ses yeux disputaient les débris:
Ses amis corrompus bien-tôt l’abandonnerent, Du Louvre épouvanté ſes peuples le chaſſerent. 	Ses amis corrompus bientôt l'abandonnèrent, Du Louvre épouvanté ses peuples le chassèrent.
Dans Paris revolté l’étranger accourut, Tout periſſoit enfin, lorſque ( * ) Bourbon parut. 	Dans Paris révolté l'étranger accourut, Tout périssait enfin, lorsque (*) Bourbon parut.
Le vertueux Bourbon plein d’une ardeur guerriere, A ſon Prince aveuglé vint montrer la lumiere. 	Le vertueux Bourbon plein d'une ardeur guerrière, À son Prince aveuglé vint montrer la lumière.
Il lui rendit ſa force;	Il lui rendit sa force;
il conduiſit ſes pas De la honte à la gloire, & des jeux aux combats :	il conduisit ses pas De la honte à la gloire, et des jeux aux combats:
Aux ramparts de Paris les deux Rois s’avancerent. 	Aux ramparts de Paris les deux Rois s'avancèrent.
Au bruit de leurs exploits, cent peuples s’allarmerent. 	Au bruit de leurs exploits, cent peuples s'alarmèrent.
L'Europe intereſſée à ces fameux revers, Sur ces murs orgueilleux avoit les yeux ouverts. 	L'Europe intéressée à ces fameux revers, Sur ces murs orgueilleux avait les yeux ouverts.
On voïoit dans Paris la diſcorde inhumaine Excitant aux combats & la Ligue, & Mayenne, Portant par-tout l’horreur, & du haut de ſes tours, De Rome & de l’Eſpagne appellant les ſecours. 	On voyait dans Paris la discorde inhumaine Excitant aux combats et la Ligue, et Mayenne, Portant partout l'horreur, et du haut de ses tours, De Rome et de l'Espagne appellant les secours.
Ce monſtre impétueux, ſanguinaire, inflexible, De ſes eſclaves même eſt l'ennemi terrible. 	Ce monstre impétueux, sanguinaire, inflexible, De ses esclaves même est l'ennemi terrible.
Aux malheurs des mortels il borne ſes deſſeins. 	Aux malheurs des mortels il borne ses desseins.
Le ſang de ſon party rougit ſouvent ſes mains. 	Le sang de son parti rougit souvent ses mains.
Il habite en tiran dans les cœurs qu’il déchire, 	Il habite en tyran dans les cœurs qu'il déchire, 
Et lui même il punit les forfaits qu’il inſpire. 	Et lui même il punit les forfaits qu'il inspire.
Contre ce monſtre affreux, contre ſes attentats, Les deux Rois réunis raſſembloient leurs ſoldats. 	Contre ce monstre affreux, contre ses attentats, Les deux Rois réunis rassemblaient leurs soldats.
Cent chefs ſont auprès d’eux, fiers ſoutiens de la France. 	Cent chefs sont auprès d'eux, fiers soutiens de la France.
Diviſez par leur ſecte, unis par la vangeance. 	Divisez par leur secte, unis par la vengeance.
C'eſt aux mains de Bourbon que leur ſort eſt commis. 	C'est aux mains de Bourbon que leur sort est commis.
En gagnant tous les cœurs, il les a tous unis. 	En gagnant tous les cœurs, il les a tous unis.
On eût dit que l’armée à ſon pouvoir ſoumiſe, Ne connoiſſoit qu'un chef, & n'avoit qu'une Egliſe. 	On eût dit que l'armée à son pouvoir soumise, Ne connaissait qu'un chef, et n'avait qu'une Église.
Le pere des Bourbons, du ſein des immortels, Louis fixoit ſur lui ſes regards paternels. 	Le père des Bourbons, du sein des immortels, Louis fixait sur lui ses regards paternels.
Il préſageoit en lui la ſplendeur de ſa race. 	Il présageait en lui la splendeur de sa race.
Il plaignoit ſes erreurs, il aimoit ſon audace. 	Il plaignait ses erreurs, il aimait son audace.
De ſa couronne un jour il devoit l’honorer;	De sa couronne un jour il devait l'honorer;
Il vouloit plus encor;	Il voulait plus encor;
il vouloit l'éclairer. 	il voulait l'éclairer.
Mais Henri s’avançoit vers ſa grandeur ſuprême, Par des chemins cachez inconnus à lui même. 	Mais Henri s'avançait vers sa grandeur suprême, Par des chemins cachés inconnus à lui-même.
Louis du haut des cieux lui prêtoit ſon appuy:	Louis du haut des cieux lui prêtait son appui:
Mais il cachoit le bras qu’il étendoit pour luy, De peur que ce Héros, trop ſûr de ſa victoire, Avec moins de danger n'eût acquis moins de gloire. 	Mais il cachait le bras qu'il étendait pour lui, De peur que ce Héros, trop sûr de sa victoire, Avec moins de danger n'eût acquis moins de gloire.
Dèja les deux Partis aux pieds de ces remparts Avoient plus d'une fois balancé les hazards;	Déjà les deux Partis aux pieds de ces remparts Avaient plus d'une fois balancé les hazards;
Dans nos champs déſolés, le démon du carnage Dèja juſqu'aux deux mers avait porté ſa rage;	Dans nos champs désolés, le démon du carnage Déjà jusqu'aux deux mers avait porté sa rage;
Quand Valois à Bourbon tint ce triſte diſcours, Dont ſouvent ſes ſoupirs interrompoient le cours. 	Quand Valois à Bourbon tint ce triste discours, Dont souvent ses soupirs interrompaient le cours.
Vous voïez à quel point le deſtin m'humilie. 	Vous voyez à quel point le destin m'humilie.
Mon injure eſt la vôtre, & la Ligue ennemie, Levant contre ſon Prince un front ſéditieux, Nous confond dans ſa rage, & nous pourſuit tous deux. 	Mon injure est la vôtre, et la Ligue ennemie, Levant contre son Prince un front séditieux, Nous confond dans sa rage, et nous poursuit tous deux.
Paris nous méconnoit, Paris ne veut pour maître, Ni moi qui ſuis ſon Roi, ni vous qui devez l'être;	Paris nous méconnait, Paris ne veut pour maître, Ni moi qui suis son Roi, ni vous qui devez l'être;
Ils ſavent que les Loix, les nœuds ſacrés du ſang, Que ſur-tout la vertu vous appelle à mon rang. 	Ils savent que les Lois, les nœuds sacrés du sang, Que surtout la vertu vous appelle à mon rang.
Et redoutant dèja votre grandeur future, Du trône où je chancelle, ils penſent vous exclure. 	Et redoutant déjà votre grandeur future, Du trône où je chancelle, ils pensent vous exclure.
De la Réligion, terrible en ſon couroux, Le fatal anathême eſt lancé contre vous. 	De la Religion, terrible en son courroux, Le fatal anathème est lancé contre vous.
Rome, qui ſans ſoldats porte en tous lieux la guerre, Aux mains des Eſpagnols a remis ſon tonnerre. 	Rome, qui sans soldats porte en tous lieux la guerre, Aux mains des Espagnols a remis son tonnerre.
Sujets, amis, parens, tout a trahi ſa foi, Tout me ſuit, m’abandonne, ou s'arme contre moi :	Sujets, amis, parents, tout a trahi sa foi, Tout me suit, m'abandonne, ou s'arme contre moi:
Et l'Eſpagnol avide, enrichi de mes pertes, Vient en foule inonder mes campagnes deſertes. 	Et l'Espagnol avide, enrichi de mes pertes, Vient en foule inonder mes campagnes désertes.
Contre tant d’ennemis ardents à m’outrager, Dans la France à mon tour appellons l’étranger. 	Contre tant d'ennemis ardents à m'outrager, Dans la France à mon tour appelons l'étranger.
Des Anglois en ſecret gagnez l'illuſtre Reine. 	Des Anglais en secret gagnez l'illustre Reine.
Je ſai qu’entr’eux & nous une immortelle haine, Nous permet rarement de marcher réunis, Que Londre eſt de tout tems l’emule de Paris. 	Je sais qu'entr'eux et nous une immortelle haine, Nous permet rarement de marcher réunis, Que Londres est de tout temps l'émule de Paris.
Mais après les affronts dont ma gloire eſt flétrie, Je n'ai plus de ſujets, je n'ai plus de patrie, Je hais, je veux punir des peuples odieux, 	Mais après les affronts dont ma gloire est flétrie, Je n'ai plus de sujets, je n'ai plus de patrie, Je hais, je veux punir des peuples odieux, 
Et quiconque me vange, eſt Francois à mes yeux. 	Et quiconque me venge, est Français à mes yeux.
Je n’occuperai point dans un tel miniſtère De mes ſecrets Agens la lenteur ordinaire. 	Je n'occuperai point dans un tel ministère De mes secrets Agents la lenteur ordinaire.
Je n’implore que vous;	Je n'implore que vous;
c’eſt vous de qui la voix Peut ſeule à mon malheur intereſſer les Rois. 	c'est vous de qui la voix Peut seule à mon malheur intéresser les Rois.
Allez dans Albion, que votre renomée Y parle en ma deffenſe, & m’y lève une armée, Je veux par votre bras vaincre mes ennemis;	Allez dans Albion, que votre renommée Y parle en ma défense, et m'y lève une armée, Je veux par votre bras vaincre mes ennemis;
Mais c’eſt de vos vertus que j'attens des amis. 	Mais c'est de vos vertus que j'attends des amis.
Il dit :	Il dit:
& le Héros, qui jaloux de ſa gloire, Craignoit de partager l’honneur de la victoire, Sentit en l'écoutant une juſte douleur. 	et le Héros, qui jaloux de sa gloire, Craignait de partager l'honneur de la victoire, Sentit en l'écoutant une juste douleur.
Il regretoit ces tems ſi chers à ſon grand cœur, Où fort de ſa vertu, ſans ſecours, ſans intrigue, Lui ſeul avec Condé faiſoit trembler la Ligue. 	Il regrettait ces temps si chers à son grand cœur, Où fort de sa vertu, sans secours, sans intrigue, Lui seul avec Condé faisait trembler la Ligue.
Mais il fallut d'un Maître accomplir les deſſeins. 	Mais il fallut d'un Maître accomplir les desseins.
Il ſuſpendit les coups qui partoient de ſes mains. 	Il suspendit les coups qui partaient de ses mains.
Et laiſſant ſes lauriers cueillis ſur ce rivage, A partir de ces lieux il forca ſon courage. 	Et laissant ses lauriers cueillis sur ce rivage, À partir de ces lieux il força son courage.
Les Soldats étonnez ignorent ſon deſſein :	Les Soldats étonnés ignorent son dessein:
Et tous de ſon retour attendent leur deſtin. 	Et tous de son retour attendent leur destin.
Il marche. 	Il marche.
Cependant, la Ville criminelle, Le croit toujours préſent, prêt à fondre ſur elle, 	Cependant, la Ville criminelle, Le croit toujours présent, prêt à fondre sur elle, 
Et ſon nom, qui du Trône eſt le plus ferme appui, Semoit encor la crainte, & combattoit pour lui. 	Et son nom, qui du Trône est le plus ferme appui, Semait encor la crainte, et combattait pour lui.
Dèja des Neuſtriens il franchit la campagne. 	Déjà des Neustriens il franchit la campagne.
De tous ſes favoris, Mornay ſeul l'accompagne, Mornay ſon confident, mais jamais ſon flateur, Soutien trop vertueux du party de l'erreur, Qui ſignalant toujours ſon zèle & ſa prudence, Servit également ſon Egliſe & la France. 	De tous ses favoris, Mornay seul l'accompagne, Mornay son confident, mais jamais son flatteur, Soutien trop vertueux du parti de l'erreur, Qui signalant toujours son zèle et sa prudence, Servit également son Église et la France.
Cenſeur des courtiſans, mais a la cour aimé, Fier ennemi de Rome, & de Rome eſtimé. 	Censeur des courtisans, mais a la cour aimé, Fier ennemi de Rome, et de Rome estimé.
A travers deux rochers, où la mer mugiſſante Vient briſer en couroux ſon onde blanchiſſante;	À travers deux rochers, où la mer mugissante Vient briser en courroux son onde blanchissante;
Dieppe aux yeux du Heros offre un tranquile Port. 	Dieppe aux yeux du Héros offre un tranquille Port.
Les matelots ardents s’empreſſent ſur le bord. 	Les matelots ardents s'empressent sur le bord.
Les vaiſſeaux ſous leurs mains fiers ſouverains des ondes, Etoient prêts à voler ſur les plaines profondes. 	Les vaisseaux sous leurs mains fiers souverains des ondes, Étaient prêts à voler sur les plaines profondes.
L'impêtueux Borée enchaîné dans les airs, Au ſouffle du Zephire abandonnoit les mers. 	L'impétueux Borée enchaîné dans les airs, Au souffle du Zéphir abandonnait les mers.
On lêve l’anchre, on part, on fuit loin de la terre. 	On lève l'ancre, on part, on fuit loin de la terre.
On découvroit de loin les bords de l'Angleterre;	On découvrait de loin les bords de l'Angleterre;
L'aſtre brillant du jour a l'inſtant s'obſcurcit. 	L'astre brillant du jour à l'instant s'obscurcit.
L'air ſiffle, le ciel gronde, & l'onde au loin gémit. 	L'air siffle, le ciel gronde, et l'onde au loin gémit.
Les vents ſont dechainez ſur les vagues émûes. 	Les vents sont déchaînés sur les vagues émues.
La foudre etincelante eclatte dans les nues. 	La foudre étincelante éclate dans les nues.
Et le feu des eclairs, & l'abime des flots, Offroient partout la mort aux pâles matelots. 	Et le feu des éclairs, et l'abime des flots, Offraient partout la mort aux pâles matelots.
Le heros qu'aſſiegeoit une mer en furie, Ne ſonge en ce danger qu’aux maux de ſa patrie, Tourne ſes yeux vers elle, & dans ſes grands deſſeins, Semble accuſer les verts d’arrêter ſes deſtins. 	Le héros qu'assiégeait une mer en furie, Ne songe en ce danger qu'aux maux de sa patrie, Tourne ses yeux vers elle, et dans ses grands desseins, Semble accuser les verts d'arrêter ses destins.
Tel, & moins genereux, aux rivages d’Epire, Lors que de l’univers il diſputoit l’empire, Confiant ſur les flots aux aquilons mutins, Le deſtin de la terre, & celuy des Romains, Défiant a la fois & Pompée, & Neptune, Ceſar à la tempeſte oppoſoit ſa fortune. 	Tel, et moins généreux, aux rivages d'Épire, Lors que de l'univers il disputait l'empire, Confiant sur les flots aux aquilons mutins, Le destin de la terre, et celui des Romains, Défiant à la fois et Pompée, et Neptune, César à la tempête opposait sa fortune.
Dans ce même moment le Dieu de l’univers, Qui vole ſur les vents, qui ſoulêve les mers, Ce Dieu dont la ſageſſe ineffable, & profonde, Change, élève, & détruit les empires du monde;	Dans ce même moment le Dieu de l'univers, Qui vole sur les vents, qui soulève les mers, Ce Dieu dont la sagesse ineffable, et profonde, Change, élève, et détruit les empires du monde;
De ſon trone enflammé qui luit au haut des cieux, Sur le heros francois daigna baiſſer les yeux. 	De son trône enflammé qui luit au haut des cieux, Sur le héros français daigna baisser les yeux.
Il le guidoit luy même. 	Il le guidait lui-même.
Il ordonne aux orages, De porter le vaiſſeau, vers ces prochains rivages, Où Jarzay ſemble aux yeux ſortir du ſein des flots. 	Il ordonne aux orages, De porter le vaisseau, vers ces prochains rivages, Où Jersey semble aux yeux sortir du sein des flots.
Là, conduit par le ciel, aborda le Heros. 	Là, conduit par le ciel, aborda le Héros.
Non loin de ce rivage, un bois ſombre & tranquille Sous des ombrages frais preſente un doux azile. 	Non loin de ce rivage, un bois sombre et tranquille Sous des ombrages frais présente un doux asile.
Un rocher qui le cache à la fureur des flots, Deffend aux aquilons d’en troubler le repos. 	Un rocher qui le cache à la fureur des flots, Défend aux aquilons d'en troubler le repos.
Une grotte eſt auprès, dont la ſimple ſtructure Doit tous ſes ornements aux mains de la nature. 	Une grotte est auprès, dont la simple structure Doit tous ses ornements aux mains de la nature.
Un vieillard venerable avoit loin de la Cour Cherché la douce paix dans cet obſcur ſéjour. 	Un vieillard vénérable avait loin de la Cour Cherché la douce paix dans cet obscur séjour.
Aux humains inconnu, libre d’inquiétude, C'eſt-là, que de lui-même il faiſoit ſon étude;	Aux humains inconnu, libre d'inquiétude, C'est là, que de lui-même il faisait son étude;
C'eſt-là qu'il regretoit ſes inutiles jours, Perdus dans les plaiſirs, plongés dans les amours. 	C'est-là qu'il regrettait ses inutiles jours, Perdus dans les plaisirs, plongés dans les amours.
Sur l'émail de ces prez au bord de ces fontaines, Il fouloit à ſes piéds les paſſions humaines. 	Sur l'émail de ces prés au bord de ces fontaines, Il foulait à ses pieds les passions humaines.
Tranquille il attendoit, qu’au gré de ſes ſouhaits, La mort vint à ſon Dieu le rejoindre à jamais. 	Tranquille il attendait, qu'au gré de ses souhaits, La mort vint à son Dieu le rejoindre à jamais.
Ce Dieu qu’il adoroit, prit ſoin de ſa vielleſſe. 	Ce Dieu qu'il adorait, prit soin de sa vieillesse.
Il fit dans ſon deſert deſcendre la ſageſſe. 	Il fit dans son désert descendre la sagesse.
Et prodigue envers lui de ſes treſors divins, Il ouvrit à ſes yeux le Livre des deſtins. 	Et prodigue envers lui de ses trésors divins, Il ouvrit à ses yeux le Livre des destins.
Ce vieillard au heros que Dieu lui fit connoitre, Au bord d’une onde pure offre un feſtin champêtre. 	Ce vieillard au héros que Dieu lui fit connaître, Au bord d'une onde pure offre un festin champêtre.
Le Prince à ces repas étoit accoutumé. 	Le Prince à ces repas était accoutumé.
Souvent ſous l'humble toît du laboureur charmé, Fuiant le bruit des Cours, & ſe cherchant lui même, Il avoit abaiſſé l'orgueil du diadême. 	Souvent sous l'humble toit du laboureur charmé, Fuyant le bruit des Cours, et se cherchant lui même, Il avait abaissé l'orgueil du diadème.
Le trouble répandu dans l'Empire chrétien, Fut pour eux le ſujet d’un utile entretien. 	Le trouble répandu dans l'Empire chrétien, Fut pour eux le sujet d'un utile entretien.
Mornay qui dans ſa ſecte étoit inébranlable, Prétoit au Calviniſme un appui redoutable;	Mornay qui dans sa secte était inébranlable, Prêtait au Calvinisme un appui redoutable;
Henry doutoit encore, & demandoit aux cieux, Qu'un raion de clarté vint deſſiller ſes yeux. 	Henry doutait encore, et demandait aux cieux, Qu'un rayon de clarté vint dessiller ses yeux.
De tout temps, diſoit-il, la verité ſacrée, Chez les foibles humains, fut d’erreurs entourée. 	De tout temps, disait-il, la vérité sacrée, Chez les faibles humains, fut d'erreurs entourée.
Faut-il que de Dieu ſeul attendant mon appui, J’ignore les ſentiers qui menent juſqu'à lui ?	Faut-il que de Dieu seul attendant mon appui, J'ignore les sentiers qui mènent jusqu'à lui?
Hélas !	Hélas!
un Dieu ſi bon, qui de l'homme eſt le maitre, En eut été ſervi, s’il avoit voulu l'être. 	un Dieu si bon, qui de l'homme est le maître, En eut été servi, s'il avait voulu l'être.
De Dieu, dit le vieillard, adorons les deſſeins. 	De Dieu, dit le vieillard, adorons les desseins.
Et ne l'accuſons pas des fautes des humains. 	Et ne l'accusons pas des fautes des humains.
J'ai vu naitre autrefois le Calviniſme en France. 	J'ai vu naître autrefois le Calvinisme en France.
Foible, marchant dans l’ombre, humble dans ſa naiſſance;	Faible, marchant dans l'ombre, humble dans sa naissance;
Je l’ay vu ſans ſuport exilé dans nos murs, S'avancer à pas lents par cent détours obſcurs. 	Je l'ai vu sans support exilé dans nos murs, S'avancer à pas lents par cent détours obscurs.
Enfin mes yeux ont vu du ſein de la pouſſiere, Ce fantôme effraiant lever ſa tête altiere;	Enfin mes yeux ont vu du sein de la poussière, Ce fantôme effrayant lever sa tête altière;
Se placer ſur le trône, inſulter aux mortels, 	Se placer sur le trône, insulter aux mortels, 
Et d'un piéd dédaigneux renverſer nos autels. 	Et d'un pied dédaigneux renverser nos autels.
Loin de la Cour alors en cette grotte obſcure De ma religion je vins pleurer l’injure. 	Loin de la Cour alors en cette grotte obscure De ma religion je vins pleurer l'injure.
Là quelque eſpoir au-moins conſole mes vieux jours. 	Là quelque espoir au moins console mes vieux jours.
Un culte ſi nouveau ne veut durer toûjours. 	Un culte si nouveau ne veut durer toujours.
Des caprices de l'homme il a tiré ſon être. 	Des caprices de l'homme il a tiré son être.
On le verra périr, ainſi qu'on l'a vu naitre. 	On le verra périr, ainsi qu'on l'a vu naître.
Les œuvres des humains ſont fragiles comme eux. 	Les œuvres des humains sont fragiles comme eux.
Dieu diſſipe à ſon gré leurs deſſeins orgueilleux. 	Dieu dissipe à son gré leurs desseins orgueilleux.
Lui ſeul eſt toûjours ſtable. 	Lui seul est toujours stable.
En vain nôtre malice De ſa ſainte Cité veut ſapper l'édifice;	En vain notre malice De sa sainte Cité veut saper l'édifice;
Lui-même en affermit les ſacrez fondements, Ces fondements vainqueurs de l’enfer & des temps. 	Lui-même en affermit les sacrés fondements, Ces fondements vainqueurs de l'enfer et des temps.
C’eſt à vous, grand Bourbon, qu’il ſe fera connoitre. 	C'est à vous, grand Bourbon, qu'il se fera connaître.
Vous ſerez éclairé, puiſque vous voulez l'être. 	Vous serez éclairé, puisque vous voulez l'être.
Ce Dieu vous a choiſi.  Sa main dans les combats, Au trône des Valois va conduire vos pas. 	Ce Dieu vous a choisi. Sa main dans les combats, Au trône des Valois va conduire vos pas.
Déja ſa voix terrible ordonne à la victoire, De préparer pour vous les chemins de la gloire. 	Déjà sa voix terrible ordonne à la victoire, De préparer pour vous les chemins de la gloire.
Mais ſi ſa verité n'éclaire vos eſprits, N’eſperez point entrer dans les murs de Paris. 	Mais si sa vérité n'éclaire vos esprits, N'espérez point entrer dans les murs de Paris.
Sur-tout des plus grands cœurs évitez la foibleſſe. 	Surtout des plus grands cœurs évitez la faiblesse.
Fuiez d’un doux poiſon l’amorce enchantereſſe, Craignez vos paſſions, & ſachez quelque jour Reſiſter aux plaiſirs & combattre l’amour. 	Fuyez d'un doux poison l'amorce enchanteresse, Craignez vos passions, et sachez quelque jour Résister aux plaisirs et combattre l'amour.
Enfin quand vous aurez par un effort ſupréme Triomphé des Ligueurs & ſur-tout de vous même, Lorſqu’en un ſiêge horrible, & célebre à jamais, Tout un Peuple étonné vivra de vos bien-faits;	Enfin quand vous aurez par un effort suprême Triomphé des Ligueurs et surtout de vous-même, Lorsqu'en un siège horrible, et célèbre à jamais, Tout un Peuple étonné vivra de vos bienfaits;
Ces tems de vos Etats finiront les miſeres;	Ces temps de vos États finiront les misères;
Vous leverez les yeux vers le Dieu de vos peres, Vous verrez qu’un cœur droit peut eſperer en lui. 	Vous lèverez les yeux vers le Dieu de vos pères, Vous verrez qu'un cœur droit peut espérer en lui.
Et que qui lui reſſemble eſt ſûr de ſon apui. 	Et que qui lui ressemble est sûr de son appui.
Chaque mot qu’il diſoit étoit un trait de flâme, Qui pénetroit Henry juſqu’au fond de ſon ame. 	Chaque mot qu'il disait était un trait de flamme, Qui pénétrait Henry jusqu'au fond de son âme.
Il ſe crut tranſporté dans ces tems bienheureux, Où le Dieu des humains converſoit avec eux. 	Il se crut transporté dans ces temps bienheureux, Où le Dieu des humains conversait avec eux.
Où la ſimple vertu prodiguant les miracles, Commandoit à des Rois & rendoit des oracles. 	Où la simple vertu prodiguant les miracles, Commandait à des Rois et rendait des oracles.
Il preſſa dans ſes bras ce vieillard vertueux. 	Il pressa dans ses bras ce vieillard vertueux.
Des pleurs en l'embraſſant coulêrent de ſes yeux. 	Des pleurs en l'embrassant coulèrent de ses yeux.
Et dès ce moment même il entrevit l’aurore, De ce jour qui pour luy ne brilloit pas encore. 	Et dès ce moment même il entrevit l'aurore, De ce jour qui pour lui ne brillait pas encore.
