A MONSEIGNEVR LE DVC D’ESPERNON.	A MONSEIGNEUR LE DUC D’ÉPERNON.
cette grãde authorité que vous auiez acquiſe par voſtre faueur, vous l’auez depuis touſiours maintenuë par voſtre courage.	cette grande autorité que vous aviez acquise par votre faveur, vous l’avez depuis toujours maintenue par votre courage.
Dans les mal-heurs du temps & l’vſurpation de la puiſſance legitime vous auez conſerué tout ſeul la liberté de la France.	Dans les malheurs du temps et l’usurpation de la puissance légitime vous avez conservé tout seul la liberté de la France.
Qui eſt-ce qui peut dire cela de ſoy ? Où ſont ceux qui ſe ſont tenus fermes entre la rebelliõ & la ſeruitude ? En quel tẽps a t’õ veu vne vieilleſſe ſi neceſſaire au monde, & tant de bonne & de mauuaiſe fortune également glorieuſe ? Monſeigneur, vous auez trop de cognoiſſance de vous meſme pour penſer que ie vous flatte, & mon humeur eſt ſi eſloignee de toute action ſeruile, que la Court à me donner pour me faire rien dire contre ma cõſcience.	Qui est-ce qui peut dire cela de soi? Où sont ceux qui se sont tenus fermes entre la rébellion et la servitude? En quel temps a t’on vu une vieillesse si nécessaire au monde, et tant de bonne et de mauvaise fortune également glorieuse? Monseigneur, vous avez trop de connaissance de vous même pour penser que je vous flatte, et mon humeur est si éloignée de toute action servile, que la Court à me donner pour me faire rien dire contre ma conscience.
Ie parle donc de la ſorte pour le ſeul intereſt de la vertu, & ſi elle n’eſtoit de noſtre coſté, ie l’irois pluſtoſt chercher parmy les ennemis, afin de luy rendre ce qu’elle merite.	Je parle donc de la sorte pour le seul intérêt de la vertu, et si elle n’était de notre côté, je l’irais plutôt chercher parmi les ennemis, afin de lui rendre ce qu’elle mérite.
Perſonne ne Lettres dv sievr croira que i’aye de pretention dans les armees du Roy d’Eſpaigne, ny que ie veüille faire fortune en Hollande :	Personne ne Lettres du sieur croira que j’aie de prétention dans les armées du Roi d’Espagne, ni que je veuille faire fortune en Hollande:
& neantmoins ie louë le Prince d’Aurãge, & le Marquis de Spinola, comme ſi i’eſtois des deux partys contraires en meſme temps :	et néanmoins je loue le Prince d’Orange, et le Marquis de Spinola, comme si j’étais des deux partis contraires en même temps:
En effet, Monſeigneur, ie penſe auoir de l’obligation à ceux qui me donnent le moyen de mettre enſemble les deux plus rares choſes du monde, c’eſt à ſçauoir la verité & l’eloquence, Vous m’auez touſiours fait l’honneur de me vouloir du bien, & i’ay reçeu vne infinité de faueurs de Monſeigneur le Cardinal voſtre Fils ;	En effet, Monseigneur, je pense avoir de l’obligation à ceux qui me donnent le moyen de mettre ensemble les deux plus rares choses du monde, c’est à savoir la vérité et l’éloquence, Vous m’avez toujours fait l’honneur de me vouloir du bien, et j’ai reçu une infinité de faveurs de Monseigneur le Cardinal votre Fils;
mais quoy qu’il en ſoit, ie vous ſupplie de croire que mon affection eſt toute pure, & que mes intereſts ne ſe meſlent point auec elle :	mais quoi qu’il en soit, je vous supplie de croire que mon affection est toute pure, et que mes intérêts ne se mêlent point avec elle:
i’ay le contentement de vous auoir ſeruy en vne mauuaiſe ſaiſon, & d’auoir eſté du plus foible party, à cauſe que ie croyois qu’il eſtoit le plus honneſte :	j’ai le contentement de vous avoir servi en une mauvaise saison, et d’avoir été du plus faible parti, à cause que je croyais qu’il était le plus honnête:
Depuis ce temps la ie n’ay pas chãgé d’aduis, & les raiſons qui m’ont porté à faire ce que i’ay fait, eſtãt encore les meſmes, Ie ſuis veritablement comme i’ay touſiours eſté.	Depuis ce temps la je n’ai pas changé d’avis, et les raisons qui m’ont porté à faire ce que j’ai fait, étant encore les mêmes, je suis véritablement comme j’ai toujours été.
MONSEIGNEVR, Voſtre tres-humble & tres-obeiſſant ſeruiteur.	MONSEIGNEUR, votre très humble et très obéissant serviteur.
Balzac.	Balzac.
A Rome le 7.	À Rome le 7.
de Iuin 1621.	de Juin 1621.
A MONSEIGNEVR LE CARDINAL DE La Valette Lettre.	À MONSEIGNEUR LE CARDINAL DE La Valette Lettre.
II.	II.
Monseignevr, A la fin on vous a rendu iuſtice, & vous auez ce que vous meritaſtes le iour de voſtre naiſſance.	Monseigneur, A la fin on vous a rendu justice, et vous avez ce que vous méritaſtes le jour de votre naissance.
S’il ſe pouuoit rien adiouſter à la qualité d’vn homme qui cõte des Roys entre ſes predeceſſeurs, & dont les inclinations ſont peut-eſtre trop grandes pour viure ſous la puiſſance d’vn autre, ie vous cõſeillerois de vous reſioüir de cette nouuelle ;	S’il se pouvait rien ajouter à la qualité d’un homme qui compte des Rois entre ses prédécesseurs, et dont les inclinations sont peut-être trop grandes pour vivre sous la puissance d’un autre, je vous conseillerais de vous réjouir de cette nouvelle;
mais eſtãt venu, cõme vous eſtes, de la plus belle ſource du monde, & nay d’vn pere dont la vie eſt toute pleine de miracles, c’eſt aſſez que vous pardonniez à la fortune, de ce qu’il a fallu que la neceſſité du temps ayt obtenu d’elle ce qu’elle deuoit à voſtre nom.	mais étant venu, comme vous êtes, de la plus belle source du monde, et né d’un père dont la vie est toute pleine de miracles, c’est assez que vous pardonniez à la fortune, de ce qu’il a fallu que la nécessité du temps ait obtenu d’elle ce qu’elle devait à votre nom.
Ie ſçay bien qu’on vous dira auiourd’huy que vous eſtes fait Prince d’vn Eſtat qui n’eſt borné ny par les mers ny par les montaignes, & que l’eſtenduë de voſtre iuriſdiction ſera telle, que s’il y auoit pluſieurs mõdes, ils en dependroient auſſi bien que celuy-ci ;	Je sais bien qu’on vous dira aujourd’hui que vous êtes fait Prince d’un État qui n’est borné ni par les mers ni par les montagnes, et que l’étendue de votre juridiction sera telle, que s’il y avait plusieurs mondes, ils en dépendraient aussi bien que celui-ci;
Mais moy qui ne me laiſſe eſblouyr les yeux à d’autre eclat que celuy de la vertu, & qui ne regarde pas ſeulement ce que que les hommes admirent, ſi ie vous eſtimois plus grand & plus heureux que vous eſtiez, ie n’aurois pas aſsez profité aupres de vous en la connoiſsance de vous meſmes.	Mais moi qui ne me laisse éblouir les yeux à d’autre éclat que celui de la vertu, et qui ne regarde pas seulement ce que que les hommes admirent, si je vous estimais plus grand et plus heureux que vous étiez, je n’aurais pas assez profité auprès de vous en la connaissance de vous mêmes.
Il eſt vrai qu’à l’opiniõ du vulgaire il y a de l’honneur d’eſtre le premier en vne ceremonie, & de porter vn chappeau de meſme prix que les coronnes & les diademes :	Il est vrai qu’à l’opinion du vulgaire il y a de l’honneur d’être le premier en une cérémonie, et de porter un chapeau de même prix que les couronnes et les diadèmes:
Toutesfois vous me pardonnerez bien ſi ie vous dis, que c’eſt vne choſe qui n’obligera iamais vn homme ſage à vous porter de l’ẽuie :	Toutefois vous me pardonnerez bien si je vous dis, que c’est une chose qui n’obligera jamais un homme sage à vous porter de l’envie:
ſi vous n’auiez que ce point la au deſſus de moy, ie ſerois encore mon maiſtre, & ie n’euſse pas pour l’amour de vous renoncé à la liberté qui m’eſtoit auſſi chere qu’a la Republique de Venize.	si vous n’aviez que ce point la au dessus de moi, je serais encore mon maître, et je n’eusse pas pour l’amour de vous renoncé à la liberté qui m’était aussi chère qu’a la République de Venise.
En effect de n’auoir point de Iuge en ce monde que voſtre reputation & voſtre conſcience, & de tirer apres vous vn grand peuple dont les vns trauaillent aux plaiſirs de vos ſens, & les autres à la conduicte de vos affaires ;	En effet de n’avoir point de juge en ce monde que votre réputation et votre conscience, et de tirer après vous un grand peuple dont les uns travaillent aux plaisirs de vos sens, et les autres à la conduite de vos affaires;
cela vous ſera touſiours commun auec beaucoup de gens que vous meſpriſez ;	cela vous sera toujours commun avec beaucoup de gens que vous méprisez;
mais de faire de bonnes actions, quand vous ſeriez aſſeuré qu’elles ne viẽdroient iamais à la connoiſſance du mõde, de ne craindre rien que les choſes deshonneſtes ;	mais de faire de bonnes actions, quand vous seriez assuré qu’elles ne viendraient jamais à la connaissance du monde, de ne craindre rien que les choses déshonnêtes;
de croire que la mort n’eſt ny bonne ny mauuaiſe de ſoy-meſme, mais que ſi l’occaſion de la receuoir eſt honnorable, elle vaut touſiours mieux qu’vne longue vie :	de croire que la mort n’est ni bonne ni mauvaise de soi-même, mais que si l’occasion de la recevoir est honorable, elle vaut toujours mieux qu’une longue vie:
d’eſtre en reputation de tenir ſa parole en vn temps où les plus credules ne ſçauroient faire dauantage, que de s’aſſeurer ſur la foy publicque c’eſt-ce que i’eſtime en vous, Monſeigneur, & non pas voſtre chappeau rouge, & vos cinquante mille eſcus de rente.	d’être en réputation de tenir sa parole en un temps où les plus crédules ne sauraient faire davantage, que de s’assurer sur la foi publique c’est-ce que j’estime en vous, Monseigneur, et non pas votre chapeau rouge, et vos cinquante mille écus de rente.
Ie vous diray neantmoins que pour l’amour de Rome il faut que vous faciez quelque Eſtat d’vne choſe qu’elle vous enuoye :	Je vous dirai néanmoins que pour l’amour de Rome il faut que vous fassiez quelque État d’une chose qu’elle vous envoie:
Autre fois elle vous eut dreſſé des ſtatues, & dõné des occaſions de meriter le triõphe ;	autre fois elle vous eut dressé des statues, et donné des occasions de mériter le triomphe;
mais puis que ce temps là eſt paſsé, & que ce n’eſt plus par la force qu’elle maintient ſon empire, encore ſe faut-il contenter des honneurs de la paix, & receuoir à faueur vne dignité que le fils du Roy d’Eſpaigne a deſirée.	mais puisque ce temps là est passé, et que ce n’est plus par la force qu’elle maintient son empire, encore se faut-il contenter des honneurs de la paix, et recevoir à faveur une dignité que le fils du Roi d’Espagne a désirée.
Quand ce ne ſeroit que vous quitterez le dueil pour vous habiller de la couleur des roſes, vous deuez vous reſioüir de ce changemẽt.	Quand ce ne serait que vous quitterez le deuil pour vous habiller de la couleur des roſes, vous devez vous réjouir de ce changement.
A tout le moins les obiects qui ſont les plus proches de vos yeux ne ſeront pas funeſtes comme ils eſtoient, & il n’y aura rien ſur vous qui ne iette du feu & de la lumiere.	À tout le moins les objets qui sont les plus proches de vos yeux ne seront pas funestes comme ils étaient, et il n’y aura rien sur vous qui ne jette du feu et de la lumière.
Ie vous en dirois dauantage ;	Je vous en dirais davantage;
mais le courrier qui s’en va ne me le veut pas permettre :	mais le courrier qui s’en va ne me le veut pas permettre:
Et d’ailleurs ſçachant bien que ſi vous eſtimés quelque choſe dans mes lettres, ce n’eſt pas le grand nombre des parolles ;	et d’ailleurs sachant bien que si vous estimez quelque chose dans mes lettres, ce n’est pas le grand nombre des paroles;
ie doy me contenter de finir celle-cy apres vous auoir ſupplié de m’aymer touſiours, puis que ie ſuis paſſionement.	je dois me contenter de finir celle-ci après vous avoir supplié de m’aimer toujours, puisque je suis passionnément.
MONSEIGNEVR, Voſtre tres humble tres-obeiſſant & tres-fidelle ſeruiteur.	MONSEIGNEUR, votre très humble très obéissant et très fidèle serviteur.
Balzac.	Balzac.
A Rome le premier, Feurier 1620.	À Rome le premier, Février 1620.
AV MESME Lettre III.	AU MÊME Lettre III.
Monseignevr, Quelque ſubiet de deſplaiſir que i’aye, ie trouue dans vos lettres de quoy me rendre heureux en ma mauuaiſe fortune :	Monseigneur, Quelque sujet de déplaisir que j’aie, je trouve dans vos lettres de quoi me rendre heureux en ma mauvaise fortune:
La derniere que i’ay reçeuë m’a tellement obligé, que ſans vne faſcheuſe nouuelle qui me vint au meſme temps, ie ſerois auiourd’huy en eſtat d’auoir plus beſoin de moderation que de patience.	La dernière que j’ai reçue m’a tellement obligé, que sans une fâcheuse nouvelle qui me vint au même temps, je serais aujourd’hui en état d’avoir plus besoin de modération que de patience.
Mais puis qu’en cette fatale agitation de l’Europe, ce n’eſt pas moy ſeul qui pleure quelque perte, & que vous n’auez peu vous meſme ſauuer tout ce qui vous eſtoit cher, i’aurois mauuaiſe grace ſi ie voulois faire paſſer mon intereſt deuant le voſtre, & conſiderer mon affliction particuliere en ayant vne qui m’eſt cõmune auecque vous.	Mais puis qu’en cette fatale agitation de l’Europe, ce n’est pas moi seul qui pleure quelque perte, et que vous n’avez peu vous même sauver tout ce qui vous était cher, j’aurais mauvaise grâce si je voulais faire passer mon intérêt devant le vôtre, et considérer mon affliction particulière en ayant une qui m’est commune avec vous.
Il y a lõgtemps que ie ne meſure les biens & les maux de ce mõde que par vos contentemens & vos deſplaisirs, & que ie vous regarde comme ſi vous eſtiez toutes les choſes que Dieu a faites :	Il y a longtemps que je ne mesure les biens et les maux de ce monde que par vos contentements et vos déplaisirs, et que je vous regarde comme si vous étiez toutes les choses que Dieu a faites:
C’eſt pourquoy, Monſeigneur, ie mettray à part ce qui me touche pour entrer dans vos reſſentimens, & vous dire, que puis que vous ne pouuez faire de mauuaiſes eſlections, il eſt certain qu’ẽ la mort de vos amys vous ne ſçauriez faire de petites pertes.	C’est pourquoi, Monseigneur, je mettrai à part ce qui me touche pour entrer dans vos ressentiments, et vous dire, que puisque vous ne pouvez faire de mauvaises élections, il est certain qu’en la mort de vos amis vous ne sauriez faire de petites pertes.
Toutesfois comme vous eſtes eſleué au deſſus des choſes du monde, & que les hommes tirent des exemples des moindres actions de voſtre vie, ie m’aſſeure qu’ils auront recogneu en cette occaſion qu’il n’y a point d’accident à ſurmonter contre qui vous ayez beſoin de toute voſtre vertu.	Toutefois comme vous êtes élevé au dessus des choses du monde, et que les hommes tirent des exemples des moindres actions de votre vie, je m’assure qu’ils auront reconnu en cette occasion qu’il n’y a point d’accident à surmonter contre qui vous ayez besoin de toute votre vertu.
Les afflictions ſont des dons de Dieu, encore que ce ne ſoient pas de ceux que nous luy demandons en nos prieres ;	Les afflictions sont des dons de Dieu, encore que ce ne soient pas de ceux que nous lui demandons en nos prières;
& quand vous ne m’auoüeriez pas cette propoſition, vous auez touſiours fait ſi peu d’eſtat de la mort, que ie ne ſçaurois croire que vous plaigniez persõne pour eſtre en vne condition que vous n’eſtimez pas mal-heureuſe c’eſt aſsez monſeigneur, que vous conſeruiez la memoire de ceux que vous auez aymez ſuiuant la proteſtatiõ que vous m’en faites par voſtre lettre ;	et quand vous ne m’avoueriez pas cette proposition, vous avez toujours fait si peu d’état de la mort, que je ne saurais croire que vous plaigniez personne pour être en une condition que vous n’estimez pas malheureuse c’est assez monseigneur, que vous conserviez la mémoire de ceux que vous avez aimez suivant la protestation que vous m’en faites par votre lettre;
& certes ſi les morts ſont quelque choſe, comme perſonne n’en peut douter, ils ne ſçauroient rien regretter de ce monde dans lequel ils ont encore vos bonnes graces.	et certes si les morts sont quelque chose, comme personne n’en peut douter, ils ne sauraient rien regretter de ce monde dans lequel ils ont encore vos bonnes grâces.
Balzac.	Balzac.
A Rome le 29.	À Rome le 29.
Decembre 1621.	Décembre 1621.
AV MESME.	AU MÊME.
Lettre IV.	Lettre IV.
Monseignevr, L’eſperãce qu’õ me donne depuis trois mois que vous deués paſſer tous les iours en ce païs, m’a empeſsché iuſques icy de vous eſcrire, & de me ſeruir de ce ſeul moyen qui me reſte de m’approcher de voſtre perſonne :	Monseigneur, L’espérance qu’on me donne depuis trois mois que vous devez passer tous les jours en ce pays, m’a empêché jusques ici de vous écrire, et de me servir de ce seul moyen qui me reste de m’approcher de votre personne:
Mais puis que vous auez iugé que de quitter la Cour tout d’vn coup ce ſeroit autant que mourir de mort ſubite, & qu’il ne faut pas moins de force ny de temps pour ſe reſoudre à laiſſer les choſes plaiſantes, que pour ſurmonter les difficiles, ie reprendray s’il vous plaiſt le commerce que le bruit commun n’auoit fait ceſſer, & ne croiray pas vne autrefois que vous puiſſiez ſortir de Paris plus ayſement que l’Arçenac, & le Louure, ſi ce n’eſtoit vn lieu tout plein d’enchantemens & de chaiſnes, & qui a vne telle force d’attirer & de retenir les hõmes, qu’il a fallu donner des batailles pour en chaſſer les Anglois, & en eſloigner les Eſpagnols, on pourroit s’eſtonner de la peine que vous auez à vous en tirer.	Mais puisque vous avez jugé que de quitter la Cour tout d’un coup ce serait autant que mourir de mort subite, et qu’il ne faut pas moins de force ni de temps pour se résoudre à laisser les choses plaisantes, que pour surmonter les difficiles, je reprendrai s’il vous plaît le commerce que le bruit commun n’avait fait cesser, et ne croirai pas une autrefois que vous puissiez sortir de Paris plus aisément que l’Arçenac, et le Louvre, si ce n’était un lieu tout plein d’enchantements et de chaînes, et qui a une telle force d’attirer et de retenir les hommes, qu’il a fallu donner des batailles pour en chasser les Anglais, et en éloigner les Espagnols, on pourrait s’étonner de la peine que vous avez à vous en tirer.
Mais il eſt certain que tout le monde y treuue ſa maiſon, & ſes affaires ;	Mais il est certain que tout le monde y trouve sa maison, et ses affaires;
& pour vous mon Seigneur, puis qu’en ce pais là les Rois naiſſent & deuiẽnent vieux & que c’eſt le ſiege de leur Empire, perſonne ne vous ſçauroit blaſmer d’y demeurer trop long-tẽps ſans vo9 accuſer d’aymer voſtre maiſtre, & de vouloir eſtre pres de ſa perſonne.	et pour vous mon seigneur, puis qu’en ce pais là les Rois naissent et deviennent vieux et que c’est le siège de leur Empire, personne ne vous saurait blâmer d’y demeurer trop longtemps sans vous accuser d’aimer votre maître, et de vouloir être près de sa personne.
A Rome vous marcherés ſur des pierres qui ont eſté les Dieux de Ceſar & de Pompée :	À Rome vous marcherez sur des pierres qui ont été les Dieux de César et de Pompée:
vous conſidererez les ruines de ces grand ouurages dont la vieilleſſe eſt encore belle, & vous pourmenerez tous les iours parmy les hiſtoires & les fables ;	vous considérerez les ruines de ces grand ouvrages dont la vieillesse est encore belle, et vous promènerez tous les jours parmi les histoires et les fables;
Mais ce ſont des amuſemens d’vn eſprit qui ſe contente de peu, & non pas les occupations d’vn homme qui prend plaiſir de nauig[u]er dans l’orage, & qui n’eſt pas venu au monde pour le laiſſer en oyſiueté.	Mais ce sont des amusements d’un esprit qui se contente de peu, et non pas les occupations d’un homme qui prend plaisir de navig[u]er dans l’orage, et qui n’est pas venu au monde pour le laisser en oisiveté.
Quand vous aurez veu le Tybre, au bord duquel les Romains ont fait l’apprentiſsage de leurs victoires, & commencé ce grand deſſein qu’ils n’acheuerent qu’aux extremitez de la terre ;	Quand vous aurez vu le Tibre, au bord duquel les Romains ont fait l’apprentissage de leurs victoires, et commencé ce grand dessein qu’ils n’achevèrent qu’aux extrémités de la terre;
Quand vous ſerez monté au Capitole, où ils croyoient que Dieu eſtoit auſſi preſent que dans le Ciel, & qu’il auoit enfermé le deſtin de la Monarchie vniuerſelle :	Quand vous serez monté au Capitole, où ils croyaient que Dieu était aussi présent que dans le Ciel, et qu’il avait enfermé le destin de la Monarchie  universelle:
Apres que vous aurez paſſé au trauers de ce grand eſpace qui eſtoit dedié aux plaiſirs du peuple, & où le ſang des Martyrs a eſté ſouuent meſlé auec des criminels & des beſtes, ie ne doute point qu’apres auoir encore regardé beaucoup d’autres choſes, vo9 ne vous laſſiez à la fin du repos & de la tranquillité de Rome, & que vous ne diſiez, que ce ſont deux choſes qu’il faut laiſſer à la nuict & aux cymetieres :	Après que vous aurez passé au travers de ce grand espace qui était dédié aux plaisirs du peuple, et où le sang des Martyrs a été souvent mêlé avec des criminels et des bêtes, je ne doute point qu’après avoir encore regardé beaucoup d’autres choses, vous ne vous lassiez à la fin du repos et de la tranquillité de Rome, et que vous ne disiez, que ce sont deux choses qu’il faut laisser à la nuit et aux cimetières:
toutesfois ce n’eſt pas mõ deſſein de vous deſgouter d’vn voyage que le Roy vous a commandé de faire, & duquel i’eſpererois eſtre le guide ſi mon meſchant corps ſuiuoit le mouuement de ma volõté :	toutefois ce n’est pas mon dessein de vous dégouter d’un voyage que le Roi vous a commandé de faire, et duquel j’espérerais être le guide si mon méchant corps suivait le mouvement de ma volonté:
Mais veritablemẽt, Mõſeigneur, ie ſuis intereſſé en cette affaire, & quand ie me regarde tout ſeul, i’aurois quelque fois enuie de vous rendre ſuſpects les biẽ que i’ay peur de ne pouuoir pas receuoir auecque vous ;	Mais véritablement, Monseigneur, je suis intéressé en cette affaire, et quand je me regarde tout seul, j’aurais quelque fois envie de vous rendre suspects les bien que j’ai peur de ne pouvoir pas recevoir avec vous;
Quoy que ie die pourtant, ie ne m’ayme pas de telle ſorte, que ie veuille preferer mon contentement aux deſirs de tout le monde, & aux neceſſitez de l’Egliſe :	quoi que je die pourtant, je ne m’aime pas de telle sorte, que je veuille préférer mon contentement aux désirs de tout le monde, et aux nécessités de l’Église:
Il eſt beſoin pour vne infinitè de cõſiderations importantes que vous ſoyez au premier Cõclaue, & que vous vous trouuiez à cette guerre, qui ne laiſsera pas d’eſtre grande pour eſtre compoſée de perſonnes deſarmées, & pour ne faire ny veufues ny orphelins.	Il est besoin pour une infinité de considérations importantes que vous soyez au premier conclave, et que vous vous trouviez à cette guerre, qui ne laissera pas d’être grande pour être composée de personnes désarmées, et pour ne faire ni veuves ni orphelins.
Ie ſçay bien que vous auez veu ailleurs de plus dangereuſes occaſions, & que vous auez ſouuent deſirè des victoires plus ſanglantes.	Je sais bien que vous avez vu ailleurs de plus dangereuses occasions, et que vous avez souvent désiré des victoires plus sanglantes.
Mais neantmoins quelque grand obiect que ſe propoſe voſtre ambition, elle ne ſçauroit rien conceuoir de ſi haut que de donner en meſme temps vn ſucceſseur aux Conſuls, aux Empereurs, & aux Apoſtres, & d’aller faire de voſtre bouche celuy qui marche ſur la teſte des Roys, & qui commande à toutes les ames raiſonnables.	Mais néanmoins quelque grand objet que se propose votre ambition, elle ne saurait rien concevoir de si haut que de donner en même temps un successeur aux consuls, aux Empereurs, et aux Apôtres, et d’aller faire de votre bouche celui qui marche sur la tête des Rois, et qui commande à toutes les âmes raisonnables.
Encore que ma ſanté ſoit ſi peu aſſurée, que ie ne m’en puiſſe promettre trois iours de ſuite, ie n’ay pas toutesfois perdu l’eſperance de vous voir vn iour en ce païs là donner des loix aux peuples du mõde, & faire de grands exemples de vos plus petites actions.	Encore que ma santé soit si peu assurée, que je ne m’en puisse promettre trois jours de suite, je n’ai pas toutefois perdu l’espérance de vous voir un jour en ce pays là donner des lois aux peuples du monde, et faire de grands exemples de vos plus petites actions.
Peut eſtre Monſeigneur, que Dieu me conſeruera pour l’amour de vous, afin que rien ne manque à voſtre gloire, & qu’il y ayt vn homme au monde qui puiſſe vous louer comme vous le merités.	Peut être Monseigneur, que Dieu me conservera pour l’amour de vous, afin que rien ne manque à votre gloire, et qu’il y ait un homme au monde qui puisse vous louer comme vous le mérités.
Balzac.	Balzac.
Le troiſieſme Iuin 1623.	Le troisième Juin 1623.
AV MESME Lettre V.	AU MÊME Lettre V.
Monseignevr, Il falloit que ce fût la plus grande affaire qui ſe traite auiourd’huy dans le monde qui vous pût obliger de quiter Paris, & vous n’en fuſſiez pas party à moins que d’aller faire vne teſte à toute la Chreſtienté[.] Si vous arriuez aſſez-toſt pour auoir part à cette grand’election, & que le Conclaue vous attende afin de donner plus de reputation & d’autorité à ce qui s’y reſoudra ;	Monseigneur, Il fallait que ce fût la plus grande affaire qui se traite aujourd’hui dans le monde qui vous pût obliger de quitter Paris, et vous n’en fussiez pas parti à moins que d’aller faire une tête à toute la Chrétienté[.] si vous arrivez assez-tôt pour avoir part à cette grande élection, et que le Conclave vous attende afin de donner plus de réputation et d’autorité à ce qui s’y résoudra;
ie ne doute point que vous ne conſeruiez ſur les eſprits d’Italie l’auantage que vous auez ſur les noſtres, & que leurs fineſſes ne ſoient auſſi oyſiues en voſtre preſence, que les charmes des magiciens ſont foibles deuant les choſes diuines.	je ne doute point que vous ne conserviez sur les esprits d’Italie l’avantage que vous avez sur les nôtres, et que leurs finesses ne soient aussi oisives en votre présence, que les charmes des magiciens sont faibles devant les choses divines.
Vous auez de leur patience ce qu[’]il en faut pour laſſer les affaires quand il eſt beſoin, mais vous auez vn courage qu’ils n’ont pas pour les emporter de forçe ſi la neceſſité le deſire :	Vous avez de leur patience ce qu[’]il en faut pour lasser les affaires quand il est besoin, mais vous avez un courage qu’ils n’ont pas pour les emporter de force si la nécessité le désire:
