ARTICLE PREMIER	ARTICLE PREMIER
On ne peut pas faire sauter ceste mission si haut, que des Apostres elle soit tumbëe entre les mains des praedicateurs de ce tems, sans avoir touché par un des Anciens et de nos devanciers :	On ne peut pas faire sauter cette mission si haut, que des Apôtres elle soit tombée entre les mains des prédicateurs de ce temps, sans avoir touché par un des Anciens et de nos devanciers:
il eut fallu une bien longue sarbacane en la bouche des premiers fondateurs de l’Eglise, pour avoir appellé Luther et les autres sans que ceux qui estoyent entre deux s’en fussent apperceu, ou bien (comme dict Calvin a un’autre occasion et malapropos), que ceux cy eussent eu les oreilles bien grandes :	il eut fallu une bien longue sarbacane en la bouche des premiers fondateurs de l’Église, pour avoir appelé Luther et les autres sans que ceux qui étaient entre deux s’en fussent aperçu, ou bien (comme dit Calvin à une autre occasion et mal à propos), que ceux-ci eussent eu les oreilles bien grandes:
il failloit bien qu’elle fut conservëe entiere, si ceux cy la devoient trouver.	il fallait bien qu’elle fut conservée entière, si ceux-ci la devaient trouver.
Nous avoüons, donques, que la mission estoit riere nos Evesques, et principalement es mains de leur chef, l’Evesque Romain.	Nous avouons, donc, que la mission était riere nos Évêques, et principalement ès mains de leur chef, l’Évêque Romain.
Mays nous nions formellement que vos ministres en ayent eu aucune communication, pour praecher ce quilz ont preché, parce que :	Mais nous nions formellement que vos ministres en aient eu aucune communication, pour prêcher ce qu'ils ont prêché, parce que:
1.	1.
Ilz prechent choses contraires a l’Eglise en laquelle ilz ont estés ordonnés prestres :	Ils prêchent choses contraires à l’Église en laquelle ils ont étés ordonnés prêtres:
ou, donq, ilz errent, ou l’Eglise qui les a envoyés, et, par consequent, ou leur eglise est fausse ou celle de laquelle ilz ont pris la mission.	ou, donc, ils errent, ou l’Église qui les a envoyés, et, par conséquent, ou leur église est fausse ou celle de laquelle ils ont pris la mission.
Car dun’eglise fause ne peut sortir une vraÿe mission :	Car d’une église fausse ne peut sortir une vraie mission:
si c’est leur eglise qui est fause, moins ilz ont mission ;	si c’est leur église qui est fausse, moins ils ont mission;
car en un’eglise fause ne peut estre vraÿe mission.	car en une église fausse ne peut être vraie mission.
Comme que ce soit donques, ilz n’ont point eu demission pour precher ce quilz ont preché :	Comme que ce soit donc, ils n’ont point eu démission pour prêcher ce qu'ils ont prêché:
puysque si l’Eglise en laquelle ilz ont esté ordonnés estoit vraÿe, ilz sont haeretiques d’en estre sortis et d’avoir praeché contre sacreance ;	puisque si l’Église en laquelle ils ont été ordonnés était vraie, ils sont hérétiques d’en être sortis et d’avoir prêché contre sa créance;
et si elle n’estoit vraÿe, elle ne leur pouvoit donner mission.	et si elle n’était vraie, elle ne leur pouvait donner mission.
2.	2.
Outre cela, quoy quilz eussent eu mission en l’Eglise Romaine, ilz ne l’ont pas eu pour en sortir et distraire de son obeissance ses enfans :	Outre cela, quoi qu'ils eussent eu mission en l’Église Romaine, ils ne l’ont pas eu pour en sortir et distraire de son obéissance ses enfants:
certes, le commissaire ne doit pas exceder les bornes de sa commission, ou c’est pour neant.	certes, le commissaire ne doit pas excéder les bornes de sa commission, ou c’est pour néant.
3.	3.
Luther, OEcolampade ou Calvin n’estoyent pas evesques ;	Luther, Œcolampade ou Calvin n’étaient pas évêques;
comme donques pourvoyent ilz communiquer aucune mission a leurs successeurs de la part de l’Eglise Romaine, qui proteste en tout et par tout quil ni a que les Evesques qui puyssent envoyer, et que cela n’appartient aucunement aux simples prestres ?	comme donc pouvaient-ils communiquer aucune mission à leurs successeurs de la part de l’Église Romaine, qui proteste en tout et par tout qu'il n’y a que les Évêques qui puissent envoyer, et que cela n’appartient aucunement aux simples prêtres?
en quoy saint Hierosme mesme a mis la difference qui est entre le simple prestre et l’Evesque, en l’epistre ad Evagrium et saint Augustin et Epiphane mettent Aerius en conte avec les haeretiques par ce quil tenoit le contraire.	en quoi saint Jérôme même a mis la différence qui est entre le simple prêtre et l’Évêque, en l’épître ad Evagrium et saint Augustin et Épiphane mettent Arius  en conte avec les hérétiques parce qu'il tenait le contraire.
113	113
ARTICLE III	ARTICLE III
Les Ministres n’ont pas la Mission extraordinaire	Les Ministres n’ont pas la Mission extraordinaire
Ces raysons sont si vives, que les plus asseurés des vostres ont pris party ailleurs qu’en la mission ordinayre, et ont dict quilz estyent envoyés extraordinairement de Dieu, par ce que la mission ordinaire avoit esté gastëe et abolie, quand et quand la vraÿe Eglise, sous la tirannie de l’Antichrist.	Ces raisons sont si vives, que les plus assurés des vôtres ont pris parti ailleurs qu’en la mission ordinaire, et ont dit qu'ils étaient envoyés extraordinairement de Dieu, parce que la mission ordinaire avait été gâtée et abolie, quand et quand la vraie Église, sous la tyrannie de l’Antichrist.
Voicy leur plus assurëe retraitte, laquelle, par ce quell’est commune a toutes sortes d’heretiques, merite d’estre attaquëe a bon escient, et ruynee sans dessus dessous.	Voici leur plus assurée retraite, laquelle, parce qu’elle est commune à toutes sortes d’hérétiques, mérite d’être attaquée à bon escient, et ruinée sans dessus dessous.
Mettons donques nostre dire par ordre, pour voir si nous pourrons forcer ceste leur derniere baricade.	Mettons donc notre dire par ordre, pour voir si nous pourrons forcer cette leur dernière barricade.
Je dis, donques, 1.	Je dis, donc, 1.
que personne ne doit alleguer une mission extraordinayre qui ne la prouve par miracles.	que personne ne doit alléguer une mission extraordinaire qui ne la prouve par miracles.
1.	1.
Car, je vous prie, a quoy en serions nous , si ce praetexte de mission extraordinayre estoit recevable sans preuve ?	Car, je vous prie, à quoi en serions nous, si ce prétexte de mission extraordinaire était recevable sans preuve?
ne seroit ce pas un voile a toutes sortes de resveries ?	ne serait ce pas un voile à toutes sortes de rêveries?
Arrius, Marcion , Montanus, Massalius, ne pourroyent ilz pas estre receuz a ce grade de reformateurs en prestant le mesme serment ?	Arius, Marcion , Montanus, Massalius, ne pourraient-ils pas être reçus à ce grade de réformateurs en prêtant le même serment?
2.	2.
Jamais personne ne fut envoyé extraordinairement qui ne prit ceste lettre de creance de la divine Majesté.	Jamais personne ne fut envoyé extraordinairement qui ne prit cette lettre de créance de la divine Majesté.
Moyse fut envoÿé immédiatement de Dieu pour gouverner le peuple d’Israel ;	Moïse fut envoyé immédiatement de Dieu pour gouverner le peuple d’Israel;
il voulut sçavoir le nom de qui l’envoyoit, et quand il eut appris ce nom admirable de Dieu, il demanda des marques et patentes de sa commission :	il voulut savoir le nom de qui l’envoyait, et quand il eut appris ce nom admirable de Dieu, il demanda des marques et patentes de sa commission:
ce que nostre Dieu trouva si bon, quil luy donna la grace de trois sortes de prodiges et de merveilles, qui furent comme troys attestations, en trois divers langages, de la charge quil luy donnoit, affin que qui n’entendroit l’une entendit l’autre.	ce que notre Dieu trouva si bon, qu'il lui donna la grâce de trois sortes de prodiges et de merveilles, qui furent comme trois attestations, en trois divers langages, de la charge qu'il lui donnait, afin que qui n’entendrait l’une entendit l’autre.
Si donques ilz alleguent la mission extraordinaire, quilz nous monstrent quelques oeuvres extraordinaires, autrement nous ne sommes pas obligés de les croire.	Si donc ils allèguent la mission extraordinaire, qu'ils nous montrent quelques œuvres extraordinaires, autrement nous ne sommes pas obligés de les croire.
Vrayement Moyse monstre extraordinairement bien la necessité de ceste preuve a qui veut parler extraordinairement ;	Vraiment Moïse monstre extraordinairement bien la nécessité de cette preuve à qui veut parler extraordinairement;
car, ayant a demander le don d’eloquence a Dieu, il ne le demande qu’apres avoir le pouvoir des miracles, monstrant quil est plus necessaire d’avoir l’authorité de parler que d’en avoir la promptitude.	car, ayant à demander le don d’éloquence à Dieu, il ne le demande qu’après avoir le pouvoir des miracles, montrant qu'il est plus nécessaire d’avoir l’autorité de parler que d’en avoir la promptitude.
La mission de saint Jan Baptiste, quoiqu’elle ne fut du tout extraordinaire, ne fut elle pas authentiquëe par sa conception, sa nativité, et mesme par sa vie tant miraculeuse, a laquelle Nostre Seigneur donna si bon tesmoignage ?	La mission de saint Jan Baptiste, quoiqu’elle ne fut du tout extraordinaire, ne fut elle pas authentiquée par sa conception, sa nativité, et même par sa vie tant miraculeuse, à laquelle Notre Seigneur donna si bon témoignage?
Mays quand aux Apostres , qui ne sçait les miracles quilz faysoyent et le grand nombre d’iceux ?	Mais quand aux Apôtres, qui ne sait les miracles qu'ils faisaient et le grand nombre d’iceux?
leurs mouchoirs, leur ombre servoit a la prompte guerison des malades et a chasser le diable :	leurs mouchoirs, leur ombre servait à la prompte guérison des malades et à chasser le diable:
Par les mains des Apostres estoyent faitz beaucoup de signes et merveilles parmi le peuple (Act 5,12) et que ce fut en confirmation de leur praedication, saint Marc le dict tout ouvertement, es dernieres paroles de son Evangile, et saint Pol, aux Hebreux.	Par les mains des Apôtres étaient faits beaucoup de signes et merveilles parmi le peuple (Act 5,12) et que ce fut en confirmation de leur prédication, saint Marc le dit tout ouvertement, ès dernières paroles de son Evangile, et saint Paul, aux Hébreux.
Comment donques se voudront excuser et relever de ceste preuve pour leur mission ceux qui en nostr’aage en veulent avancer un’extraordinaire ?	Comment donc se voudront excuser et relever de cette preuve pour leur mission ceux qui en notre âge en veulent avancer une extraordinaire?
quel privilege ont ilz plus qu’Apostolique et Mosaique ?	quel privilège ont ils plus qu’Apostolique et Mosaïque?
Que diray je plus ?	Que dirai je plus?
Si nostre sauverain Maistre, consubstantiel au Pere, duquel la mission est si authentique qu’elle presuppose la communication de mesm’essence, luy mesme, dis je, qui est la source vive de toute mission ecclesiastique, n’a pas voulu s’exempter de ceste preuve de miracles, quelle rayson y a il que ces nouveaux ministres soyent crus a leur seule parole ?	Si notre souverain Maître, consubstantiel au Père, duquel la mission est si authentique qu’elle présuppose la communication de même essence, lui même, dis je, qui est la source vive de toute mission ecclésiastique, n’a pas voulu s’exempter de cette preuve de miracles, quelle raison y a-t-il que ces nouveaux ministres soient crus à leur seule parole?
Nostre Seigneur allegue fort souvent sa mission pour mettre sa parole en credit :	Notre Seigneur allègue fort souvent sa mission pour mettre sa parole en credit:
Comme mon Pere m’a envoyé, je vous envoÿe.	Comme mon Père m’a envoyé, je vous envoie.
(Jean XX, 21) Ma doctrine n’est point mienne, mays de Celuy qui m’a envoÿé (Jean VII, 16) Et vous me connoisses, et sçaves d’ou je suys, et ne suys point venu de par moy mesme.	(Jean XX, 21) Ma doctrine n’est point mienne, mais de Celui qui m’a envoyé (Jean VII, 16) Et vous me connaissez, et savez d’où je suis, et ne suis point venu de par moi même.
(28) Mays aussy, pour donner authorité a sa mission, il met en avant ses miracles, ains atteste que, s’il n’eust faict des oeuvres que nul autre n’a faict parmi les Juifz, ilz n’eussent point eu de péché de ne croire point en luy ;	(28) Mais aussi, pour donner autorité à sa mission, il met en avant ses miracles, ains atteste que, s’il n’eût fait des œuvres que nul autre n’a fait parmi les Juifs, ils n’eussent point eu de péché de ne croire point en lui;
et ailleurs il leur dict :	et ailleurs il leur dit:
Ne croyes vous pas que mon Pere est en moy et moy en mon Pere ?	Ne croyez vous pas que mon Père est en moi et moi en mon Père?
au moins croyes le par les oeuvres.	au moins croyez le par les œuvres.
(Jean XIV, 11-12) Qui sera donc si osé que de se vanter de lission extraordinayre, sans produire quand et quand des miracles, il merite d’estre tenu pour imposteur :	(Jean XIV, 11-12) Qui sera donc si osé que de se vanter de mission extraordinaire, sans produire quand et quand des miracles, il mérite d’être tenu pour imposteur:
or est il que ni vos premiers ni derniers ministres n’ont faict aucun miracle :	or est il que ni vos premiers ni derniers ministres n’ont fait aucun miracle:
ilz n’ont donq point de mission extraordinaire.	ils n’ont donc point de mission extraordinaire.
Passons outre.	Passons outre.
Je dis, secondement, que jamais aucune mission extraordinaire ne doit estre receüe, estant desadvouëe de l’authorité ordinaire qui est en l’Eglise de Nostre Seigneur.	Je dis, secondement, que jamais aucune mission extraordinaire ne doit être reçue, étant désavouée de l’autorité ordinaire qui est en l’Église de Notre Seigneur.
Car, 1.	Car, 1.
,nous sommes obligés d’obeir a nos pasteurs ordinaires sous peyne d’estre publicains et payens (Mat XVIII, 17) ;	,nous sommes obligés d’obéir à nos pasteurs ordinaires sous peine d’être publicains et païens (Mat XVIII, 17);
comment donques nous pourrions nous ranger sous autre discipline que la leur ?	comment donc nous pourrions nous ranger sous autre discipline que la leur?
les extraordinaires viendroyent pou neant, puysque nous serions obligés de ne les ouïr pas, en cas, comme j’ay dict, quilz fussent desavoüés des ordinaires.	les extraordinaires viendraient pour néant, puisque nous serions obligés de ne les ouïr pas, en cas, comme j’ai dit, qu'ils fussent désavoués des ordinaires.
2.	2.
Dieu n’est point autheur de division, mais d’union et de concorde (I Cor 14 , 33), principalement entre ses disciples et ministres ecclesiastiques, comme Nostre Seigneur monstre clairementen la sainte priere quil fit a son Pere es derniers jours de sa vie mortelle (Jean XVII,11 et 21) .	Dieu n’est point auteur de division, mais d’union et de concorde (I Cor 14 , 33), principalement entre ses disciples et ministres ecclésiastiques, comme Notre Seigneur monstre clairement en la sainte prière qu'il fit à son Père ès derniers jours de sa vie mortelle (Jean XVII,11 et 21) .
Comment donques authorizeroit il deux sortes de pasteurs, l’une extraordinaire, l’autre ordinaire ?	Comment donc autoriserait il deux sortes de pasteurs, l’une extraordinaire, l’autre ordinaire?
Quand a l’ordinaire qu’elle soit authorisëe, cela est certain ;	Quant à l’ordinaire qu’elle soit autorisée, cela est certain;
quand a l’extraordinaire, nous le praesupposons :	quant à l’extraordinaire, nous le présupposons:
ce seroyent donques deux eglises differentes, qui est contre la plus pure parole de Nostre Seigneur, qui n’a qu’une seul’espouse, qu’une seule colombe, qu’une seule parfaitte (Cant VI, 8) .	ce seraient donc deux églises différentes, qui est contre la plus pure parole de Notre Seigneur, qui n’a qu’une seule épouse, qu’une seule colombe, qu’une seule parfaite (Cant VI, 8) .
Et comme pourroit estre le trouppeau uny, conduict par deux pasteurs, incogneuz l’un a l’autre, a divers repaires, a divers huchemens et redans, et dont l’un et l’autre voudroit tout avoir ?	Et comme pourrait être le troupeau uni, conduit par deux pasteurs, inconnus l’un à l’autre, à divers repaires, à divers huchements et redans, et dont l’un et l’autre voudrait tout avoir?
Ainsy seroit l’Eglise, sous diversité de pasteurs ordinayres et extraordinaires, tirassëe ça et la en diverses sectes.	Ainsi serait l’Église, sous diversité de pasteurs ordinaires et extraordinaires, tirassée ça et là en diverses sectes.
Et quoy ?	Et quoi?
Nostre Seigneur est il divisé (1 Cor 1, 13) , ou en luy mesme ou en son cors qui est l’Eglise ?	Notre Seigneur est il divisé (1 Cor 1, 13) , ou en lui même ou en son cors qui est l’Église?
Non, pour vray, mays, au contraire, il ni a qu’un Seigneur (Eph IV, 5) lequel a bati son cors mistique (12) avec une belle variété de membres tres bien agencés (11), assemblés et serrés comtement, par toutes les joinctures de la sousministration mutuelle (16) ;	Non, pour vray, mays, au contraire, il n’y a qu’un Seigneur (Éph IV, 5) lequel a bâti son corps mystique (12) avec une belle variété de membres très bien agencés (11), assemblés et serrés comtement, par toutes les jointures de la sous-ministration mutuelle (16);
de façon que de vouloir mettr’en l’Eglise ceste division de troupes ordinairyres et extraordinaires, c’est la ruyner et perdre.	de façon que de vouloir mettre en l’Église cette division de troupes ordinaires et extraordinaires, c’est la ruiner et perdre.
Il faut donques revenir a ce que nous disions, que jamais la vocation extraordinaire n’est legitime quand ell’est desavouëe de l’ordinaire.	Il faut donc revenir à ce que nous disions, que jamais la vocation extraordinaire n’est légitime quand elle est désavouée de l’ordinaire.
3.	3.
Et de faict, ou me monstrera on jamais une vocation legitime extraordinaire qui n’aÿe esté receüe par l’authorité ordinayre ?	Et de fait, ou me montrera on jamais une vocation légitime extraordinaire qui n’aie été reçue par l’autorité ordinaire?
Saint Pol fut appellé extraordinairement (Act IX, 6), mays ne fut il pas approuvé et authorisé par l’ordinaire, une (Act IX, 7) et deux (Act XIII, 3) fois ?	Saint Paul fut appelé extraordinairement (Act IX, 6), mais ne fut il pas approuvé et autorisé par l’ordinaire, une (Act IX, 7) et deux (Act XIII, 3) fois?
et la mission receüe par l’authorité ordinaire est appellëe mission du Saint Esprit (Act XIII, 4).	et la mission reçue par l’autorité ordinaire est appelée mission du Saint Esprit (Act XIII, 4).
La mission de saint Jan Baptiste ne se peut pas bien dire extraordinaire, parce quil n’enseignoit rien contre l’eglise Mosaique, et par ce quil estoit de la race sacerdotale (Luc 1, 8) :	La mission de saint Jan Baptiste ne se peut pas bien dire extraordinaire, parce qu'il n’enseignait rien contre l’église Mosaïque, et parce qu'il était de la race sacerdotale (Luc 1, 8):
si est ce neanmoins que la rareté de sa doctrine fut avouëe par l’ordinayre magistrat de l’eglise judaique, en la belle legation qui luy fut faicte par les prestres et les levites (Jean 1, 19 et suiv), la teneur de laquelle praesuppose une grande estime et reputation en laquelle il estoit vers eux ;	si est ce néanmoins que la rareté de sa doctrine fut avouée par l’ordinaire magistrat de l’église judaïque, en la belle légation qui lui fut faite par les prêtres et les lévites (Jean 1, 19 et suiv), la teneur de laquelle présuppose une grande estime et réputation en laquelle il était vers eux;
et les Phariseens mesmes, qui estoyent assis sur la chaire de Moise, ne venoyent ilz pas communiquer a son baptesme (Mat 3, 5-7) tout ouvertement, sans scrupule ?	et les Pharisiens mêmes, qui étaient assis sur la chaire de Moise, ne venaient ils pas communiquer à son baptême (Mat 3, 5-7) tout ouvertement, sans scrupule?
c’estoit bien recevoir sa mission a bon escient.	c’était bien recevoir sa mission à bon escient.
Nostre Seigneur mesme, qui estoit le Maistre, ne voulut il pas estre receu de Simeon(Luc 2, 28 et 34) qui estoit prestre, comm’il appert en ce quil benit Nostre Dame et mesmes pour sa Passion, qui estoit l’execution principale de sa mission, ne voulut il pas avoir le tesmoignage prophetique du grand Prestre qui estoit pour lhors(Jean 11, 51) ?	Notre Seigneur même, qui était le Maître, ne voulut il pas être reçu de Simeon (Luc 2, 28 et 34) qui était prêtre, comme il appert en ce qu'il bénit Notre Dame et mêmes pour sa Passion, qui était l’exécution principale de sa mission, ne voulut il pas avoir le témoignage prophétique du grand Prêtre qui était pour lhors(Jean 11, 51)?
4.	4.
Et c’est ce que saint Pol enseigne , quand il ne veut que personne s’attribue l’honneur pastoral sinon celuy qui est appelé de Dieu, comm’Aaron (Heb 5, 4) :	Et c’est ce que saint Paul enseigne , quand il ne veut que personne s’attribue l’honneur pastoral sinon celui qui est appelé de Dieu, comm’Aaron (Heb 5, 4):
car la vocation d’Aaron fut faite par l’ordinaire, moyse, si que Dieu ne mit sa sainte parole en la bouche de’Aaron immediatement, mays Moyse, auquel Dieu fit ce commandement (Exode 4, 15) :	car la vocation d’Aaron fut faite par l’ordinaire, moïse, si que Dieu ne mit sa sainte parole en la bouche de’Aaron immédiatement, mais Moïse, auquel Dieu fit ce commandement (Exode 4, 15):
Parle a luy, et luy metz mes paroles en sa bouche ;	Parle à lui, et lui mets mes paroles en sa bouche;
et je seray en ta bouche et en la sienne.	et je serai en ta bouche et en la sienne.
Que si nous considerons les paroles de saint Pol, nous apprendrons mesme , 5.	Que si nous considérons les paroles de saint Paul, nous apprendrons même , 5.
