A MONSEIGNEUR Mᵍⁿᵉᵘʳ. 	À MONSEIGNEUR MONSEIGNEUR. 
Quelque puiſſant que ſoit un Royaume, il n'y a rien qui le puiſſe rendre plus riche, plus independant, & plus redoutable que le Trafic. 	Quelque puissant que soit un Royaume, il n'y a rien qui le puisse rendre plus riche, plus indépendant, et plus redoutable que le Trafic. 
C’eſt une profeſſion qui a receu tous les honneurs poſſibles dans les Eſtats, qui ont eſté les mieux policés;	C'est une profession qui a reçu tous les honneurs possibles dans les États, qui ont été les mieux policés;
C’eſt à elle que les fameuſes Republiques de Grece & de Carthage ont donné l’accés aux plus importantes Charges du Gouvernement:	C'est à elle que les fameuses Républiques de Grèce et de Carthage ont donné l'accès aux plus importantes Charges du Gouvernement:
& qu’encore aujourd’huy celles de Veniſe, des Provinces Unies, de Gennes, & aſſés d’autres en uſent de méme;	et qu'encore aujourd'hui celles de Venise, des Provinces-Unies, de Gênes, et assez d'autres en usent de même;
outre que la Nobleſſe s’y occupe en beaucoup de Royaumes avec tant de ſplendeur & de ſuccés, que les Princes, & les plus renommés Monarques ne l’eſtiment pas indigne de leurs ſoins. 	outre que la Noblesse s'y occupe en beaucoup de Royaumes avec tant de splendeur et de succès, que les Princes, et les plus renommés Monarques ne l'estiment pas indigne de leurs soins. 
Car pour ne rien dire des Gentilshommes d’Angleterre, qui rempliſſent la plus grande partie des boutiques de Londres, & des autres Villes de ce Royaume, ſans prejudicier à leur condition, n’apprenons nous pas de toutes les Relations du Levant, que les Rois ſont les plus grands Marchands de leur Païs, où la pluſpart des Nobles trafiquent à leur exemple avec honneur, & hors de toute crainte qu’ils ſe puiſſent faire tort ?	Car pour ne rien dire des Gentilshommes d'Angleterre, qui remplissent la plus grande partie des boutiques de Londres, et des autres Villes de ce Royaume, sans préjudicier à leur condition, n'apprenons-nous pas de toutes les Relations du Levant, que les Rois sont les plus grands Marchands de leur Pays, où la plupart des Nobles trafiquent à leur exemple avec honneur, et hors de toute crainte qu'ils se puissent faire tort?
Le Grand Duc de Toſcane ne patique-t-il pas la méme choſe ſans diminution de ſa Dignité?	Le Grand Duc de Toscane ne patique-t-il pas la même chose sans diminution de sa Dignité?
Et les Rois d’Eſpagne, & de Portugal n’ont-ils point rendu leurs noms celebres par toute la Terre, augmenté leurs Couronnes, & enrichi leurs Provinces par le moyen de la Marchandiſe ?	Et les Rois d'Espagne, et de Portugal n'ont-ils point rendu leurs noms célèbres par toute la Terre, augmenté leurs Couronnes, et enrichi leurs Provinces par le moyen de la Marchandise?
Et la France en doit-elle attendre ſous Vous en nos jours des ſuccés moins favorables, & moins glorieux ?	Et la France en doit-elle attendre sous Vous en nos jours des succès moins favorables, et moins glorieux?
Puis-que la Morale n’a rien de grand, dont vous ne ſoyez reveſtu, que voſtre Prudence déméle les Affaires les plus épineuſes, que voſtre Courage triomphe des Difficultés les plus opiniaſtres, & que vos Soins produiſent des particularités ſi étonnantes, que l'Envie méme eſt contrainte de confeſſer, qu'ils meritent le Bronze & le Marbre, & qu’il n'eſt pas croyable que le temps, qui adjouſte ordinairement quelque choſes aux plus Belles Vies, puiſſe adjouſte quelque Eſtat à la Voſtre. 	Puisque la Morale n'a rien de grand, dont vous ne soyez revêtu, que votre Prudence démêle les Affaires les plus épineuses, que votre Courage triomphe des Difficultés les plus opiniâtres, et que vos Soins produisent des particularités si étonnantes, que l'Envie même est contrainte de confesser, qu'ils méritent le Bronze et le Marbre, et qu'il n'est pas croyable que le temps, qui ajoute ordinairement quelque choses aux plus Belles Vies, puisse ajoute quelque État à la Vôtre. 
Et aprés tout, que ne peut point un grand Cœur appuyé du plus Puiſſant, & du plus Auguſte des Monarques ?	Et après tout, que ne peut point un grand Cœur appuyé du plus Puissant, et du plus Auguste des Monarques?
Que ne peut pas un Heros, qui fait les acclamations, & les ſouhaits de tous les Peuples?	Que ne peut pas un Héros, qui fait les acclamations, et les souhaits de tous les Peuples?
En attendant, MONGEIGNEUR, que des vœux ſi raiſonnables puiſſent reüſſir, j’en ferai continuellement pour voſtre grandeur, & aprés avoir demandé au Ciel, qu’il luy plaiſe conſerver en voſtre perſonne un des plus rares ornemens de noſtre ſiecle, j’oſeray vous demander l'honneur de voſtre protection pour cét Ouvrage, & celuy de voſtre bien-veillance pour ſon Auteur, qui eſt avec toute ſorte de ſoûmiſſion, MONSEIGNEUR, Voſtre tres-humble & tres-obeiſſant Serviteur, JACOB DE MEURS. 	En attendant, MONGEIGNEUR, que des vœux si raisonnables puissent réussir, j'en ferai continuellement pour votre grandeur, et après avoir demandé au Ciel, qu'il lui plaise conserver en votre personne un des plus rares ornements de notre siècle, j'oserai vous demander l'honneur de votre protection pour cet Ouvrage, et celui de votre bienveillance pour son Auteur, qui est avec toute sorte de soumission, MONSEIGNEUR, Votre très-humble et très-obéissant Serviteur, JACOB DE MEURS. 
PREFACE AU LECTEUR. 	PRÉFACE AU LECTEUR. 
I E ſuis d’avis qu’il faut voir le Monde devant que d’en ſortir. 	E suis d'avis qu'il faut voir le Monde devant que d'en sortir. 
Auſſi perſonne n’a jamais douté que la connoiſſance de ſes differentes parties ne ſoit une des plus belles ſciences que nous puiſſions acquerir, & que ceux qui contribuënt leurs ſoins, leurs moyens, ou leurs travaux à la perfectionner, ne rendent preſque tousjours leur nom immortel. 	Aussi personne n'a jamais douté que la connaissance de ses différentes parties ne soit une des plus belles sciences que nous puissions acquérir, et que ceux qui contribuent leurs soins, leurs moyens, ou leurs travaux à la perfectionner, ne rendent presque toujours leur nom immortel. 
Il ne faut point avoir recours ſur cela aux Voyages de Bacchus, d’Hercule, & des Argonautes, ou bien à ceux d’Homere, de Lycurgue, de Solon, de Platon, de Pythagore, de Democrite, d’Œnopide, de Xenophon, de Xenocrate, de Crantor, d’Arceſilas, de Lacyde, d’Ariſtote, de Theophraste, de Xenon, de Cleanthe, de Chryſippe, d’Antipater, de Carneade, de Panaëtius, de Clitomaque, de Philon, d'Antiochus, de Poſſidonius, & d’une infinité d’autres, qui, ſelon les recits de Diodore & de Ciceron, ont conſumé tout leur âge dans ce noble exercice ſans preſque revoir leur Patrie. 	Il ne faut point avoir recours sur cela aux Voyages de Bacchus, d'Hercule, et des Argonautes, ou bien à ceux d'Homère, de Lycurgue, de Solon, de Platon, de Pythagore, de Démocrite, d'Œnopide, de Xénophon, de Xénocrate, de Crantor, d'Arcesilas, de Lacyde, d'Aristote, de Théophraste, de Xénon, de Cléanthe, de Chrysippe, d'Antipater, de Carnéade, de Panaetius, de Clitomaque, de Philon, d'Antiochus, de Possidonius, et d'une infinité d'autres, qui, selon les récits de Diodore et de Cicéron, ont consumé tout leur âge dans ce noble exercice sans presque revoir leur Patrie. 
On ſçait combien de reputation, de luſtre, & de gloire ont donné aux Rois d’Eſpagne & de Portugal, ceux qui ont eſté faits depuis peu en l’une & l’autre Inde. 	On sait combien de réputation, de lustre, et de gloire ont donné aux Rois d'Espagne et de Portugal, ceux qui ont été faits depuis peu en l'une et l'autre Inde. 
Et nous ne voyons rien de plus illuſtré dans l’Hiſtoire de ces derniers ſiecles, que les noms de Christophle Colomb, d'Americ Veſpuce, de Drack. du Maire, & de leurs ſemblables. 	Et nous ne voyons rien de plus illustré dans l'Histoire de ces derniers siècles, que les noms de Christophe Colomb, d'Americ Vespuce, de Drack. du Maire, et de leurs semblables. 
Cela me fait penſer qu’entre les ſoins qu’ont les Monarques & les Republiques de rendre leurs regnes & gouvernemens glorieux & triomphans en tant de façons, ils ne doivent pas mépriſer la decouverte des Païs inconnus, ni ce qu’on peut avoir d’information bonne & aſſurée de certaines contrées, dont nous apprenons à peine le nom, & fort incertainement la ſituation. 	Cela me fait penser qu'entre les soins qu'ont les Monarques et les Républiques de rendre leurs règnes et gouvernements glorieux et triomphants en tant de façons, ils ne doivent pas mépriser la découverte des Pays inconnus, ni ce qu'on peut avoir d'information bonne et assurée de certaines contrées, dont nous apprenons à peine le nom, et fort incertainement la situation. 
Car encore que nous ſoyons aſſurés que l’Afrique ſoit la plus grande ſans contredit de toutes les peninſules du Monde, il faut confeſſer neantmoins que nous n’en connoiſſons guerres que la coſte, & fort peu l'interieur, ſi ce n'eſt par quelques  Relations aſſés confuſes de ** l’Empire du Negus, ou Pretejan d’Ethiopie, qui eſt dans une partie de cette étenduë. 	Car encore que nous soyons assurés que l'Afrique soit la plus grande sans contredit de toutes les péninsules du Monde, il faut confesser néanmoins que nous n'en connaissons guère que la côte, et fort peu l'intérieur, si ce n'est par quelques Relations assez confuses de ** l'Empire du Négus, ou Pretejan d'Éthiopie, qui est dans une partie de cette étendue. 
Mais la deſcente qui ſe fait en des lieux où les hommes de l'ancien Monde n’ont jamais mis le pied, eſt ſans doute de beaucoup plus grande conſideration. 	Mais la descente qui se fait en des lieux où les hommes de l'ancien Monde n'ont jamais mis le pied, est sans doute de beaucoup plus grande considération. 
Or outre ce qui reſte à découvrir vers noſtre Pole Arctique, les Geographes font voir que du coſté de l'Antartique il y a la Terre Auſtrale, qui eſt une cinquiéme Partie du Globe terreſtre, où l’on n’a point encore penetré, & qui n’eſt gueres moins grande toute ſeule, que les quatre autres enſemble qui nous ſont desja connuës. 	Or outre ce qui reste à découvrir vers notre Pôle Arctique, les Géographes font voir que du côté de l'Antarctique il y a la Terre Australe, qui est une cinquième Partie du Globe terrestre, où l'on n'a point encore pénétré, et qui n'est guère moins grande toute seule, que les quatre autres ensemble qui nous sont déjà connues. 
En effét nous n’avons approché de plus prés le Midy que vers le Deſtroit du Maire entre le 58. & le 59. degré;	En effet nous n'avons approché de plus près le Midi que vers le Détroit du Maire entre le 58. et le 59. degré;
ſi non qu’en l’an 1599. un de nos Vaiſſeaux Hollandois fut porté par la tempeſte juſques au 64. où il découvrit de fort hautes montagnes couvertes de nege. 	sinon qu'en l'an 1599. un de nos Vaisseaux Hollandais fut porté par la tempête jusques au 64. où il découvrit de fort hautes montagnes couvertes de neige. 
Et l’on ſçait que du coſté de la Nouvelle Guinée, auſſi bien qu’où les Chartes nous marquent le Cap de Beach, il y a des eſpaces preſque depuis la Ligne Equinoctiale juſques au Pole, dont nous n’avons pas la moindre connoiſſance. 	Et l'on sait que du côté de la Nouvelle-Guinée, aussi bien qu'où les Chartes nous marquent le Cap de Beach, il y a des espaces presque depuis la Ligne Equinoxiale jusques au Pôle, dont nous n'avons pas la moindre connaissance. 
Si eſt-ce qu’on ne doit point douter qu’ils ne ſoient habités, & méme que comme nous avons deça des Peuples Hyperborées, il n'y en ait d’autres qu’on peut nommer Hypernoties, pour uſer des propres termes d’Herodote:	Si est-ce qu'on ne doit point douter qu'ils ne soient habités, et même que comme nous avons deçà des Peuples Hyperborées, il n'y en ait d'autres qu'on peut nommer Hypernoties, pour user des propres termes d'Hérodote:
Car tant s’en faut que la Terre ſoit inhabitable ſous les Poles, que l’air y doit eſtre plus temperé qu’en beaucoup d’autres lieux. 	Car tant s'en faut que la Terre soit inhabitable sous les Pôles, que l'air y doit être plus tempéré qu'en beaucoup d'autres lieux. 
Les raiſons de cela ſe prennent du peu de mouvement des Cieux en ces endroits là;	Les raisons de cela se prennent du peu de mouvement des Cieux en ces endroits là;
de la demeure continuelle qu'y fait le Soleil pendant ſix mois;	de la demeure continuelle qu'y fait le Soleil pendant six mois;
du peu d’obſcurité qu’il y a en forme de crepuſcule ſeulement durant les ſix autres;	du peu d'obscurité qu'il y a en forme de crépuscule seulement durant les six autres;
de la lumiere Lunaire qui s’y void la pluſpart du temps;	de la lumière Lunaire qui s'y voit la plupart du temps;
& ſur tout du peu d'époiſſeur de l'ombre de la nuict, qui par conſequent n’y rafraiſchit pas comme ſous l’Equateur, où l’on ſçait que les nuicts ſont plus froides que par tout ailleurs, à cauſe qu’elles ſont produites par l’ombre époiſſe de tout le Diametre de la Terre. 	et surtout du peu d'épaisseur de l'ombre de la nuit, qui par conséquent n'y rafraichit pas comme sous l'Équateur, où l'on sait que les nuits sont plus froides que par tout ailleurs, à cause qu'elles sont produites par l'ombre épaisse de tout le Diamètre de la Terre. 
Mais ce n’eſt pas icy le lieu d’entrer plus avant dans ces conſiderations. 	Mais ce n'est pas ici le lieu d'entrer plus avant dans ces considérations. 
Il importe aux Grands Princes d’aviſer par quels expediens on peu faciliter la découverte de ces païs tout à fait étranges, & rendre plus connus ceux qui ne le ſont qu’à demy, ou pour le moins dont nous ignorons l’eſtat preſent, avec la façon dont ils ſont aujourd’huy gouvernés. 	Il importe aux Grands Princes d'aviser par quels expédients on pu faciliter la découverte de ces pays tout à fait étranges, et rendre plus connus ceux qui ne le sont qu'à demi, ou pour le moins dont nous ignorons l'état présent, avec la façon dont ils sont aujourd'hui gouvernés. 
Pour ce qui concerne l’Europe, il n’en reſte que les parties les plus proches du Pole à découvrir. 	Pour ce qui concerne l'Europe, il n'en reste que les parties les plus proches du Pôle à découvrir. 
Car nous ſçavons par les Relations de ceux de nos Provinces, qu’ils ont eſté juſques au 83. degré, voir juſques au 88. 	Car nous savons par les Relations de ceux de nos Provinces, qu'ils ont été jusques au 83. degré, voir jusques au 88. 
Mais il y a ſi peu de profit à eſperer de ce coſté là, hors celuy qui peut venir du paſſage qu’on cherche vers la Mer de la CHINE, qu’il n’y a point de navigation, où les matelots ſe portent moins volontiers qu’à celle du Nord. 	Mais il y a si peu de profit à espérer de ce côté là, hors celui qui peut venir du passage qu'on cherche vers la Mer de la CHINE, qu'il n'y a point de navigation, où les matelots se portent moins volontiers qu'à celle du Nord. 
Et l’on eſt ſi peu informé de ce grand païs de Groenlande, qu’on doute s’il fait encore partie de la terre habitable, ou ſi la Mer ne l’a point englouti. 	Et l'on est si peu informé de ce grand pays de Groenland, qu'on doute s'il fait encore partie de la terre habitable, ou si la Mer ne l'a point englouti. 
Car c’eſt choſe certaine que la pluſpart des Pilotes ne la trouvent plus, quand ils ſont ſous ſa hauteur, ou comme ils diſent dans ſon	Car c'est chose certaine que la plupart des Pilotes ne la trouvent plus, quand ils sont sous sa hauteur, ou comme ils disent dans son
Quant au teſte, ſi vous y remarquez quelques digreſſions & faillies, elles n’y ſont miſes que pour ceux qui ſe plaiſent à la moralité, & à la recherce de la diverſité de tant de façons de vivre que l’on obſerve en cét Univers. 	Quant au tête, si vous y remarquez quelques digressions et faillies, elles n'y sont mises que pour ceux qui se plaisent à la moralité, et à la recherche de la diversité de tant de façons de vivre que l'on observe en cet Univers. 
Et ſi vous y trouvez quelque choſe qui vous déplait, j’oſe eſperer que vous aurez aſſés de bonté, pour agreér dans les defauts qui vous choqueront, l’affection d’un homme, qui a voulu imiter ces petits Oiſeaux religieux, qui preſenterent autresfois leurs plumes, n’ayant rien de plus precieux dans la ſtructure d’un Temple, que l’on dedioit a la Sageſſe, & où chacun venoit à la foule offrir l’or, le marbre, l’yvoire, & autres ſemblables richeſſes. 	Et si vous y trouvez quelque chose qui vous déplait, j'ose espérer que vous aurez assez de bonté, pour agréer dans les défauts qui vous choqueront, l'affection d'un homme, qui a voulu imiter ces petits Oiseaux religieux, qui présentèrent autrefois leurs plumes, n'ayant rien de plus précieux dans la structure d'un Temple, que l'on dédiait a la Sagesse, et où chacun venait à la foule offrir l'or, le marbre, l'ivoire, et autres semblables richesses. 
On peut tousjours raiſonnablement excuſer les fautes de celuy, qui n’a point d’autre intention, que de rendre ſervice aux particuliers, & au public. 	On peut toujours raisonnablement excuser les fautes de celui, qui n'a point d'autre intention, que de rendre service aux particuliers, et au public. 
ADIEU. 	ADIEU. 
PRIVILEGE DU ROY. 	PRIVILÈGE DU ROY. 
L OUIS PAR LA GRAGE DE DIEU ROY DE FRANCE, ET DE NAVARRE :	LOUIS PAR LA GRAGE DE DIEU ROI DE FRANCE, ET DE NAVARRE:
A nos amez & feaux Conſeillers les Gens tenans nos Cours de Parlement de Paris, Requeſtes de noſtre palais, Baillifs, Senechaux, & Prevoſts du dit lieu, leurs Lieutenans, & à tous autres nos Juges qu’il appartiendra, Salut. 	À nos aimés et féaux Conseillers les Gens tenant nos Cours de Parlement de Paris, Requêtes de notre palais, Baillis, Sénéchaux, et Prévôts du dit lieu, leurs Lieutenants, et à tous autres nos Juges qu'il appartiendra, Salut. 
Noſtre bien aimé JACOB DE MEURS Marchand Libraire & Graveur de la Ville d’Amſterdam, nous a fait remonſtrer qu'il avoit recouver avec beaucoup de ſoins, de travaux, & de fraiz un Livre intitulé L’Ambaſſade de la compagnie Orientale des Provinces Vnies, qui contient la Deſcription des Villes, Bourgs, & Villages, Ports de Mer, & autres lieux plus conſiderables de la CHINE, enrichie d’un recit de tout ce qui s’y trouve, & des moyens d'y traffiquer, lequel Livre l’Expoſant l’auroit fait traduire de Flamend en Latin & en François pour l'Uſage de noſtre Royaume, & deſiroit le faire imprimer, s’il nous plaiſoit luy accorder nos Lettres à ce neceſſaires humblement requerant icelles. 	Notre bien aimé JACOB DE MEURS Marchand Libraire et Graveur de la Ville d'Amsterdam, nous a fait remontrer qu'il avait recouvert avec beaucoup de soins, de travaux, et de frais un Livre intitulé L'Ambassade de la compagnie Orientale des Provinces Unies, qui contient la Description des Villes, Bourgs, et Villages, Ports de Mer, et autres lieux plus considérables de la CHINE, enrichie d'un récit de tout ce qui s'y trouve, et des moyens d'y trafiquer, lequel Livre l'Exposant l'aurait fait traduire de Flamand en Latin et en François pour l'Usage de notre Royaume, et désirait le faire imprimer, s'il nous plaisait lui accorder nos Lettres à ce nécessaires humblement requérant icelles. 
A CES CAUSES nous avons permis & permettons par ces preſentes au dit DE MEURS d’imprimer, ou faire imprimer, vendre & debiter, tant de fois en telle Langue, & tels Volumes qu’il deſirera, par tout Noſtre Royaume le dit Livre Intitulé L'Ambaſſade de la Compagnie Orientale des Provinces Vnies, & ſans qu’autre que le dit Expoſant, ou ceux qui auront droit & pouvoir de luy, le puiſſent faire imprimer, vendre, ou diſtribuer pendant le temps de vingt années, à compter du jour & datte de l’impreſſion, qui en ſera faite, & ce ſur peine de confiſcation des Exemplaires, qui auroient eſte mis en vente au prejudice des preſentes, & de dix mil livres d'amande, moitié à Nous, & l’autre au dit Suppliant, Voulons, & nous plaiſt qu’en mettant un Extraict des preſentes au commencement ou à la fin de chacun des Exemplaires, elles ſoient tenuës pour ſignifiées, & venuës à la connoiſſance de tous. 	À CES CAUSES nous avons permis et permettons par ces présentes au dit DE MEURS d'imprimer, ou faire imprimer, vendre et débiter, tant de fois en telle Langue, et tels Volumes qu'il désirera, par tout Notre Royaume le dit Livre Intitulé L'Ambassade de la Compagnie Orientale des Provinces Unies, et sans qu'autre que le dit Exposant, ou ceux qui auront droit et pouvoir de lui, le puissent faire imprimer, vendre, ou distribuer pendant le temps de vingt années, à compter du jour et datte de l'impression, qui en sera faite, et ce sur peine de confiscation des Exemplaires, qui auraient été mis en vente au préjudice des présentes, et de dix mil livres d'amende, moitié à Nous, et l'autre au dit Suppliant, Voulons, et nous plaît qu'en mettant un Extrait des présentes au commencement ou à la fin de chacun des Exemplaires, elles soient tenues pour signifiées, et venues à la connaissance de tous. 
A la charge de mettre trois Exemplaires du dit Livre, ſçavoir deux en noſtre Bibliotheque, & un en celle de noſtre tres-cher & feal le SIEUR SEGUIER, Chevalier, Chancelier de France, & peine de nullité des preſentes. 	À la charge de mettre trois Exemplaires du dit Livre, savoir deux en notre Bibliothèque, et un en celle de notre très-cher et féal le SIEUR SEGUIER, Chevalier, Chancelier de France, et peine de nullité des présentes. 
SI VOUS MANDONS, & à chacun de vous enjoignons, que de noſtre preſent Privilege, & du contenu en iceluy vous ſouffriez, & faſſiez joüir & uſer plainement & paiſiblement le dit Expoſant, ou tous ceux qui auront droit de luy, ceſſant & faiſant ceſſer tous troubles & empeſchemens au contraire;	SI VOUS MANDONS, et à chacun de vous enjoignons, que de notre présent Privilège, et du contenu en icelui vous souffriez, et fassiez jouir et user pleinement et paisiblement le dit Exposant, ou tous ceux qui auront droit de lui, cessant et faisant cesser tous troubles et empêchements au contraire;
Et au premier noſtre Huiſſier, ou Sergent ſur ce requis, de faire pour I'execution des preſentes tous exploits requis, & neceſſaires, ſans demander placet, viſa, ny pareatis que les dites preſentes;	Et au premier notre Huissier, ou Sergent sur ce requis, de faire pour l'execution des présentes tous exploits requis, et nécessaires, sans demander placet, visa, ni pareatis que les dites présentes;
Nonobſtant clameur de Haro, Charte Normande, priſe à partie, & Lettres à ce contraires. 	Nonobstant clameur de Haro, Charte Normande, prise à partie, et Lettres à ce contraires. 
CAR TEL EST NOSTRE PLAISIR, nonobſtant auſſi oppoſitions ou appellations quelconques, pour leſquelles & ſans prejudice d'icelles ne voulons eſtre differé. 	CAR TEL EST NOTRE PLAISIR, nonobstant aussi oppositions ou appellations quelconques, pour lesquelles et sans préjudice d'icelles ne voulons être différé. 
DONNÉ à Paris le  *** jour de * * * * l'an de Grace mil ſix cens ſoixante cinq, & de noſtre Regne le vingt-deuziéme. 	DONNÉ à Paris le *** jour de * * * * l'an de Grâce mil six cents soixante cinq, et de notre Règne le vingt-deuxième.
Signé par le Roy en ſon Conſeil, FOUCAULT. 	Signé par le Roi en son Conseil, FOUCAULT. 
Les Exemplaires ont eſté fournis. 	Les Exemplaires ont été fournis. 
Achevé d'imprimer pour la premiere fois le 15. de May 1665. 	Achevé d'imprimer pour la première fois le 15. de May 1665. 
CHAPITRE PREMIER. 	CHAPITRE PREMIER. 
Quelle curioſité apporterent les Anciens en la connoiſſance de la Marine, & des Terres étrangeres. 	Quelle curiosité apportèrent les Anciens en la connaissance de la Marine, et des Terres étrangères. 
I L n'y a rien de ſi agreable en la nature que de voir:	IL n'y a rien de si agréable en la nature que de voir:
rien de ſi éclatant que de ſçavoir beaucoup;	rien de si éclatant que de savoir beaucoup;
rien de ſi abſolu que de pouvoir tout;	rien de si absolu que de pouvoir tout;
mais rien de plus lâche que de s’attacher à ſa cabane comme le poiſſon à ſa coquille. 	mais rien de plus lâche que de s'attacher à sa cabane comme le poisson à sa coquille. 
