I.	I.
Le 6 janvier, ce qui mettait en émotion tout le populaire de Paris, comme dit Jean de Troyes, c'était la double solennité, réunie depuis un temps immémorial, du jour des rois et de la fête des fous.	Le 6 janvier, ce qui mettait en émotion tout le populaire de Paris, comme dit Jean de Troyes, c'était la double solennité, réunie depuis un temps immémorial, du jour des rois et de la fête des fous.
Ce jour-là, il devait y avoir feu de joie à la Grève, plantation de mai à la chapelle de Braque, et mystère au Palais de Justice.	Ce jour-là, il devait y avoir feu de joie à la Grève, plantation de mai à la chapelle de Braque, et mystère au Palais de Justice.
Le cri en avait été fait la veille à son de trompe dans les carrefours, par les gens de monsieur le prevôt, en beaux hoquetons de camelot violet, avec de grandes croix blanches sur la poitrine.	Le cri en avait été fait la veille à son de trompe dans les carrefours, par les gens de monsieur le prevôt, en beaux hoquetons de camelot violet, avec de grandes croix blanches sur la poitrine.
La foule des bourgeois et des bourgeoises s'acheminait donc de toutes parts dès le matin, maisons et boutiques fermées, vers l'un des trois endroits désignés.	La foule des bourgeois et des bourgeoises s'acheminait donc de toutes parts dès le matin, maisons et boutiques fermées, vers l'un des trois endroits désignés.
Chacun avait pris parti, qui pour le feu de joie, qui pour le mai, qui pour le mystère.	Chacun avait pris parti, qui pour le feu de joie, qui pour le mai, qui pour le mystère.
Il faut dire, à l'éloge de l'antique bon sens des badauds de Paris, que la plus grande partie de cette foule se dirigeait vers le feu de joie, lequel était tout-à-fait de saison, ou vers le mystère qui devait être représenté dans la grand' salle du Palais, bien couverte et bien close ;	Il faut dire, à l'éloge de l'antique bon sens des badauds de Paris, que la plus grande partie de cette foule se dirigeait vers le feu de joie, lequel était tout-à-fait de saison, ou vers le mystère qui devait être représenté dans la grand' salle du Palais, bien couverte et bien close ;
et que les curieux s'accordaient à laisser le pauvre mai mal fleuri grelotter tout seul sous le ciel de janvier, dans le cimetière de la chapelle de Braque.	et que les curieux s'accordaient à laisser le pauvre mai mal fleuri grelotter tout seul sous le ciel de janvier, dans le cimetière de la chapelle de Braque.
6 NOTRE-DAME DE PARIS.	6 NOTRE-DAME DE PARIS.
Le peuple affluait surtout dans les avenues du Palais de Justice, parce qu'on savait que les ambassadeurs flamands, arrivés de la surveille , se proposaient d'assister à la représentation du mystère et à l'élection du pape des fous, laquelle devait se faire également dans la grand'salle.	Le peuple affluait surtout dans les avenues du Palais de Justice, parce qu'on savait que les ambassadeurs flamands, arrivés de la surveille , se proposaient d'assister à la représentation du mystère et à l'élection du pape des fous, laquelle devait se faire également dans la grand'salle.
Ce n'était pas chose aisée de pénétrer ce jour-là dans cette grand'salle, réputée cependant alors la plus grande enceinte couverte qui fût au monde (il est vrai que Sauval n'avait pas encore mesuré la grande salle du château de Montargis).	Ce n'était pas chose aisée de pénétrer ce jour-là dans cette grand'salle, réputée cependant alors la plus grande enceinte couverte qui fût au monde (il est vrai que Sauval n'avait pas encore mesuré la grande salle du château de Montargis).
La place du Palais, encombrée de peuple, offrait aux curieux des fenêtres l'aspect d'une mer, dans laquelle cinq ou six rues, comme autant d'embouchures de fleuves, dégorgeaient à chaque instant de nouveaux flots de têtes.	La place du Palais, encombrée de peuple, offrait aux curieux des fenêtres l'aspect d'une mer, dans laquelle cinq ou six rues, comme autant d'embouchures de fleuves, dégorgeaient à chaque instant de nouveaux flots de têtes.
Les ondes de cette foule, sans cesse grossies, se heurtaient aux angles des maisons qui s'avançaient çà et là, comme autant de promontoires dans le bassin irrégulier de la place.	Les ondes de cette foule, sans cesse grossies, se heurtaient aux angles des maisons qui s'avançaient çà et là, comme autant de promontoires dans le bassin irrégulier de la place.
Au centre de la haute façade gothique^1 du Palais, le grand escalier, sans relâche remonté et descendu par un double courant qui, après s'être brisé sous le perron intermédiaire, s'épandait à larges vagues sur ses deux pentes latérales ;	Au centre de la haute façade gothique^1 du Palais, le grand escalier, sans relâche remonté et descendu par un double courant qui, après s'être brisé sous le perron intermédiaire, s'épandait à larges vagues sur ses deux pentes latérales ;
^1 Le mot gothique, dans le sens où on l'emploie généralement, est parfaitement impropre, mais parfaitement consacré. Nous l'acceptons donc, et nous l'adoptons, comme tout le monde, pour caractériser l'architecture de la seconde moitié du moyen âge, celle dont l'ogive est le principe, qui succède à l'architecture de la première période, dont le plein-cintre est le générateur.	^1 Le mot gothique, dans le sens où on l'emploie généralement, est parfaitement impropre, mais parfaitement consacré. Nous l'acceptons donc, et nous l'adoptons, comme tout le monde, pour caractériser l'architecture de la seconde moitié du moyen âge, celle dont l'ogive est le principe, qui succède à l'architecture de la première période, dont le plein-cintre est le générateur.
le grand escalier, dis-je, ruisselait incessamment dans la place comme une cascade dans un lac.	le grand escalier, dis-je, ruisselait incessamment dans la place comme une cascade dans un lac.
Les cris, les rires, le trépignement de ces mille pieds faisaient un grand bruit et une grande clameur.	Les cris, les rires, le trépignement de ces mille pieds faisaient un grand bruit et une grande clameur.
De temps en temps cette clameur et ce bruit redoublaient ;	De temps en temps cette clameur et ce bruit redoublaient ;
le courant qui poussait toute cette foule vers le grand escalier rebroussait, se troublait, tourbillonnait.	le courant qui poussait toute cette foule vers le grand escalier rebroussait, se troublait, tourbillonnait.
C'était une bourrade d'un archer ou le cheval d'un sergent de la prevôté qui ruait pour rétablir l'ordre ;	C'était une bourrade d'un archer ou le cheval d'un sergent de la prévôté qui ruait pour rétablir l'ordre ;
admirable tradition que la prevôté a léguée à la connétablie, la connétablie à la maréchaussée, et la maréchaussée à notre gendarmerie de Paris.	admirable tradition que la prévôté a léguée à la connétablie, la connétablie à la maréchaussée, et la maréchaussée à notre gendarmerie de Paris.
Aux portes, aux fenêtres, aux lucarnes, sur les toits, fourmillaient des milliers de bonnes figures bourgeoises, calmes et honnêtes, regardant le palais, regardant la cohue, et n'en demandant pas davantage ;	Aux portes, aux fenêtres, aux lucarnes, sur les toits, fourmillaient des milliers de bonnes figures bourgeoises, calmes et honnêtes, regardant le palais, regardant la cohue, et n'en demandant pas davantage ;
car bien des gens à Paris se contentent du spectacle des spectateurs, et c'est déjà pour nous une chose très-curieuse qu'une muraille derrière laquelle il se passe quelque chose.	car bien des gens à Paris se contentent du spectacle des spectateurs, et c'est déjà pour nous une chose très-curieuse qu'une muraille derrière laquelle il se passe quelque chose.
8 NOTRE-DAME DE PARIS.	8 NOTRE-DAME DE PARIS.
S'il pouvait nous être donné à nous, hommes de 1830, de nous mêler en pensée à ces Parisiens du XVe siècle et d'entrer avec eux, tiraillés, coudoyés, culbutés, dans cette immense salle du Palais, si étroite le 6 janvier 1482, le spectacle ne serait ni sans intérêt ni sans charme, et nous n'aurions autour de nous que des choses si vieilles qu'elles nous	S'il pouvait nous être donné à nous, hommes de 1830, de nous mêler en pensée à ces Parisiens du XVe siècle et d'entrer avec eux, tiraillés, coudoyés, culbutés, dans cette immense salle du Palais, si étroite le 6 janvier 1482, le spectacle ne serait ni sans intérêt ni sans charme, et nous n'aurions autour de nous que des choses si vieilles qu'elles nous
sembleraient toutes neuves.	sembleraient toutes neuves.
Si le lecteur y consent, nous essaierons de retrouver par la pensée l'impression qu'il eût éprouvée avec nous en franchissant le seuil de cette grand'salle au milieu de cette cohue en surcot, en hoqueton et en cotte-hardie.	Si le lecteur y consent, nous essaierons de retrouver par la pensée l'impression qu'il eût éprouvée avec nous en franchissant le seuil de cette grand'salle au milieu de cette cohue en surcot, en hoqueton et en cotte-hardie.
Et d'abord, bourdonnement dans les oreilles, éblouissement dans les yeux.	Et d'abord, bourdonnement dans les oreilles, éblouissement dans les yeux.
Au dessus de nos têtes une double voûte en ogive, lambrissée en sculptures de bois, peinte d'azur, fleurdelisée en or;	Au dessus de nos têtes une double voûte en ogive, lambrissée en sculptures de bois, peinte d'azur, fleurdelisée en or;
sous nos pieds, un pavé alternatif de marbre blanc et noir.	sous nos pieds, un pavé alternatif de marbre blanc et noir.
À quelques pas de nous, un énorme pilier, puis un autre, puis un autre ;	À quelques pas de nous, un énorme pilier, puis un autre, puis un autre ;
en tout sept piliers dans la longueur de la salle, soutenant au milieu de sa largeur les retombées de la double voûte.	en tout sept piliers dans la longueur de la salle, soutenant au milieu de sa largeur les retombées de la double voûte.
Autour des quatre premiers piliers, des boutiques de marchands, tout étincelantes de verre et de clinquans ;	Autour des quatre premiers piliers, des boutiques de marchands, tout étincelantes de verre et de clinquants ;
LA GRAND SALLE. 9	LA GRAND SALLE. 9
autour des trois derniers, des bancs de bois de chêne, usés et polis par le haut-de-chausses des plaideurs et la robe des procureurs.	autour des trois derniers, des bancs de bois de chêne, usés et polis par le haut-de-chausses des plaideurs et la robe des procureurs.
À l'entour de la salle, le long de la haute muraille, entre les portes, entre les croisées, entre les piliers, l'interminable rangée des statues de tous les rois de France depuis Pharamond ;	À l'entour de la salle, le long de la haute muraille, entre les portes, entre les croisées, entre les piliers, l'interminable rangée des statues de tous les rois de France depuis Pharamond ;
les rois fainéans, les bras pendans et les yeux baissés ;	les rois fainéants, les bras pendants et les yeux baissés ;
les rois vaillans et bataillards, la tête et les mains hardiment levées au ciel. Puis aux longues fenêtres ogives, des vitraux de mille couleurs ;	les rois vaillants et bataillards, la tête et les mains hardiment levées au ciel. Puis aux longues fenêtres ogives, des vitraux de mille couleurs ;
aux larges issues de la salle, de riches portes finement sculptées ;	aux larges issues de la salle, de riches portes finement sculptées ;
et le tout, voûtes, piliers, murailles, chambranles, lambris, portes, statues, recouverts du haut en bas d'une splendide enluminure bleu et or, qui, déjà un peu ternie à l'époque où nous la voyons, avait presque entièrement disparu sous la poussière et les toiles d'araignée en l'an de grâce 1549, où Du Breul l'admirait encore par tradition.	et le tout, voûtes, piliers, murailles, chambranles, lambris, portes, statues, recouverts du haut en bas d'une splendide enluminure bleu et or, qui, déjà un peu ternie à l'époque où nous la voyons, avait presque entièrement disparu sous la poussière et les toiles d'araignée en l'an de grâce 1549, où Du Breul l'admirait encore par tradition.
Qu'on se représente maintenant cette immense salle oblongue, éclairée de la clarté blafarde d'un jour de janvier, envahie par une foule bariolée et bruyante qui dérive le long des murs et tournoie autour des sept piliers, et l'on aura déjà une idée confuse de l'ensemble du tableau dont nous allons essayer d'indiquer plus précisément les curieux détails.	Qu'on se représente maintenant cette immense salle oblongue, éclairée de la clarté blafarde d'un jour de janvier, envahie par une foule bariolée et bruyante qui dérive le long des murs et tournoie autour des sept piliers, et l'on aura déjà une idée confuse de l'ensemble du tableau dont nous allons essayer d'indiquer plus précisément les curieux détails.
10 NOTRE-DAME DE PARIS.	10 NOTRE-DAME DE PARIS.
Il est certain que, si Ravaillac n'avait point assassiné Henri IV, il n'y aurait point eu de	Il est certain que, si Ravaillac n'avait point assassiné Henri IV, il n'y aurait point eu de
pièces du procès de Ravaillac déposées au greffe du Palais de Justice ;	pièces du procès de Ravaillac déposées au greffe du Palais de Justice ;
point de complices intéressés à faire disparaître lesdites pièces ;	point de complices intéressés à faire disparaître lesdites pièces ;
partant, point d'incendiaires obligés, faute de meilleur moyen, à brûler le greffe pour brûler les pièces, et à brûler le Palais de Justice pour brûler le greffe ;	partant, point d'incendiaires obligés, faute de meilleur moyen, à brûler le greffe pour brûler les pièces, et à brûler le Palais de Justice pour brûler le greffe ;
par conséquent enfin, point d'incendie de 1618. Le vieux Palais serait encore debout avec sa vieille grand'salle ;	par conséquent enfin, point d'incendie de 1618. Le vieux Palais serait encore debout avec sa vieille grand'salle ;
je pourrais dire au lecteur :	je pourrais dire au lecteur :
Allez la voir ;	Allez la voir ;
et nous serions ainsi dispensés tous deux, moi d'en faire, lui d'en lire une description telle quelle.	et nous serions ainsi dispensés tous deux, moi d'en faire, lui d'en lire une description telle quelle.
— Ce qui prouve cette vérité neuve :	— Ce qui prouve cette vérité neuve :
que les grands événemens ont des suites incalculables.	que les grands événements ont des suites incalculables.
Il est vrai qu'il serait fort possible que les complices de Ravaillac ne furent pour rien dans l'incendie de 1618.	Il est vrai qu'il serait fort possible que les complices de Ravaillac ne furent pour rien dans l'incendie de 1618.
Il en existe deux autres explications très plausibles.	Il en existe deux autres explications très plausibles.
D'abord, la grande étoile enflammée, large d'un pied, haute d'une coudée, qui tomba, comme chacun sait, du ciel sur le Palais le 7 mars après minuit.	D'abord, la grande étoile enflammée, large d'un pied, haute d'une coudée, qui tomba, comme chacun sait, du ciel sur le Palais le 7 mars après minuit.
Ensuite, le quatrain de Théophile :	Ensuite, le quatrain de Théophile :
LA GRAND'SALLE. 11	LA GRAND'SALLE. 11
Certes, ce fut un triste jeu	Certes, ce fut un triste jeu
Quand à Paris dame Justice,	Quand à Paris dame Justice,
Pour avoir mangé trop d'épice,	Pour avoir mangé trop d'épice,
Se mit tout le palais en feu.	Se mit tout le palais en feu.
Quoi qu'on pense de cette triple explication politique, physique, poétique, de l'incendie du Palais de Justice en 1618, le fait malheureusement certain, c'est l'incendie.	Quoi qu'on pense de cette triple explication politique, physique, poétique, de l'incendie du Palais de Justice en 1618, le fait malheureusement certain, c'est l'incendie.
Il reste bien peu de chose aujourd'hui, grâce à cette catastrophe, grâce surtout aux diverses restaurations successives qui ont achevé ce qu'elle avait épargné ;	Il reste bien peu de chose aujourd'hui, grâce à cette catastrophe, grâce surtout aux diverses restaurations successives qui ont achevé ce qu'elle avait épargné ;
il reste bien peu de chose de cette première demeure des rois de France, de ce palais aîné du Louvre, déjà si vieux du temps de Philippe-le-Bel qu'on y cherchait les traces des magnifiques bâtimens élevés par le roi Robert et décrits par Helgaldus.	il reste bien peu de chose de cette première demeure des rois de France, de ce palais aîné du Louvre, déjà si vieux du temps de Philippe-le-Bel qu'on y cherchait les traces des magnifiques bâtiments élevés par le roi Robert et décrits par Helgaldus.
Presque tout a disparu.	Presque tout a disparu.
Qu'est devenue la chambre de la chancellerie où saint Louis consomma son mariage ?	Qu'est devenue la chambre de la chancellerie où saint Louis consomma son mariage ?
le jardin où il rendait la justice « vêtu » d'une cotte de camelot, d'un surcot de tiretaine sans manches, et d'un manteau par dessus de sandal noir, couché sur des tapis, avec Joinville ? »	le jardin où il rendait la justice « vêtu » d'une cotte de camelot, d'un surcot de tiretaine sans manches, et d'un manteau par dessus de sandal noir, couché sur des tapis, avec Joinville ? »
Où est la chambre de l'empereur Sigismond ?	Où est la chambre de l'empereur Sigismond ?
celle de Charles IV ?	celle de Charles IV ?
celle de Jean-sans-Terre ?	celle de Jean-sans-Terre ?
Où est l'escalier d'où Charles VI promulgua son édit de grâce ?	Où est l'escalier d'où Charles VI promulgua son édit de grâce ?
12 NOTRE-DAME DE PARIS.	12 NOTRE-DAME DE PARIS.
la dalle où Marcel égorgea, en présence du dauphin, Robert de Clermont et le maréchal de Champagne ?	la dalle où Marcel égorgea, en présence du dauphin, Robert de Clermont et le maréchal de Champagne ?
le guichet où furent lacérées les bulles de l'anti-pape Bénédict, et d'où repartirent ceux qui les avaient apportées, chappés et mitrés en dérision, et faisant amende honorable par tout Paris ?	le guichet où furent lacérées les bulles de l'anti-pape Bénédict, et d'où repartirent ceux qui les avaient apportées, chappés et mitrés en dérision, et faisant amende honorable par tout Paris ?
et la grand'salle avec sa dorure, son azur, ses ogives, ses statues, ses piliers, son immense voûte toute déchiquetée de sculptures ?	et la grand'salle avec sa dorure, son azur, ses ogives, ses statues, ses piliers, son immense voûte toute déchiquetée de sculptures ?
et la chambre dorée ?	et la chambre dorée ?
et le lion de pierre qui se tenait à la porte, la tête baissée, la queue entre les jambes, comme les lions du trône de Salomon, dans l'attitude humiliée qui convient à la force devant la justice ?	et le lion de pierre qui se tenait à la porte, la tête baissée, la queue entre les jambes, comme les lions du trône de Salomon, dans l'attitude humiliée qui convient à la force devant la justice ?
et les belles portes ?	et les belles portes ?
et les beaux vitraux?	et les beaux vitraux?
et les ferrures ciselées qui décourageaient Biscornette ?	et les ferrures ciselées qui décourageaient Biscornette ?
et les délicates menuiseries de Du Hancy ?...	et les délicates menuiseries de Du Hancy ?...
Qu'a fait le temps, qu'ont fait les hommes de ces merveilles?	Qu'a fait le temps, qu'ont fait les hommes de ces merveilles?
Que nous a-t-on donné pour tout cela, pour toute cette histoire gauloise, pour tout cet art gothique? les lourds cintres surbaissés de M. De Brosse, ce gauche architecte du portail Saint-Gervais, voilà pour l'art ;	Que nous a-t-on donné pour tout cela, pour toute cette histoire gauloise, pour tout cet art gothique? les lourds cintres surbaissés de M. De Brosse, ce gauche architecte du portail Saint-Gervais, voilà pour l'art ;
et quant à l'histoire, nous avons les souvenirs bavards du gros pilier, encore tout retentissant des commérages des Patru.	et quant à l'histoire, nous avons les souvenirs bavards du gros pilier, encore tout retentissant des commérages des Patru.
Ce n'est pas grand'chose.	Ce n'est pas grand'chose.
— Revenons à la	— Revenons à la
