Certes vous eſtes maigre & iaune	Certes vous êtes maigre et jaune		
Ie ne ſçay pas que demandez.	Je ne sais pas que demandez.		
Vn gros V. long comme vn quart d'aune,	Un gros V. long comme un quart d'aune,		
Preſtez-le moy ſi vous l'auez.	Prêtez-le moi si vous l'avez.		
Mais quoy vous n'eſtes point honteuſe,	Mais quoi vous n'êtes point honteuse,		
De dire ainſi Voſtre apetit,	De dire ainsi Votre appétit,		
Homme goulu, femme f..teuſe.	Homme goulu, femme f..teuse.		
Ne deſire rien de petit.	Ne désire rien de petit.		
Si vous voyez quelque V. mince,	Si vous voyez quelque V. mince,		
Voudriez vous bien l'approcher.	Voudriez-vous bien l'approcher.		
Quand ce ſeroit celuy d'vn Prince,	Quant ce serait celui d'un Prince,		
Ie ne voudrois pas le toucher.	Je ne voudrais pas le toucher.		
>De quelque valet l'accointance,	>De quelque valet l'accointance,		
Seroit-ce bien voſtre deſir.	Serait-ce bien votre désir.		
Ouy, s'il le fait d'obeyſſance,	Oui, s'il le fait d'obéissance,		
Et le refait pour le plaiſir.	Et le refait pour le plaisir.		
Vous auez la feſſe ſoudaine	Vous avez la fesse soudaine		
Alors qu'on vous preſſe le flanc	Alors qu'on vous presse le flanc		
Le Cul ſans ceſſe me demaine	Le Cul sans cesse me démène		
Comme l'eſguille d'vn Cadranc.	Comme l'aiguille d'un Cadran.		
Qui vous voit la mine ſi froide.	Qui vous voit la mine si froide.		
Ne vous croit point le cul ſi haut,	Ne vous croit point le cul si haut,		
C'eſt au C. qu'il faut vn V. roide,	C'est au C. qu'il faut un V. raide,		
Ce n'eſt point au front qu'il le faut.	Ce n'est point au front qu'il le faut.		
IE ne vis onc femme ſi froide	JE ne vis onc femme si froide		
Et ie croy qu'on n'en ſçauroit voir,	Et je crois qu'on n'en saurait voir,		
Vous luy monſtrez voſtre V. roide	Vous lui montrez votre V. raide		
Et la ..utez ſans l'eſmouuoir.	Et la ..utez sans l'émouvoir.		
EN fin i'ay ſurmonté l'exceßiue	Enfin j'ai surmonté l'excessive		
De celle qui tenoit mon eſprit en langueur,	De celle qui tenait mon esprit en longueur,		
Graces à mon deſtin ie l'ay longe-temps tenuë	Grâce à mon destin je l'ai longtemps tenue		
Dans ſon lict toute nuë.	Dans son lit toute nue.		
L'Aurore n'euſt pluſtoſt amené le beau iour	L'Aurore n'eût plutôt amené le beau jour		
Que voulant appaiſer le feu de mon amour	Que voulant apaiser le feu de mon amour		
Et donner quelque treue à ma peine cruelle,	Et donner quelque trève à ma peine cruelle,		
I'allay voir cette belle.	J'allai voir cette belle.		
Si toſt qu'elle me vid ſon aimable paleur,	Sitôt qu'elle me vit son aimable pâleur,		
Signe d'vn feu ſecret, prit vne autre couleur,	Signe d'un feu secret, prit une autre couleur,		
Les beaux lys de ſon teint ſe changerent en roſes	Les beaux lys de son teint se changèrent en roses		
Nouuellement ecloſes.	Nouvellement écloses.		
Ses beaux yeux languiſſant me firent croire außi	Ses beaux yeux languissant me firent croire aussi		
Que rien ne l'agitoit qu'vn amoureux ſoucy.	Que rien ne l'agitait qu'un amoureux souci.		
Et que dedans ſa couche vne cruelle flame	Et que dedans sa couche une cruelle flamme		
Bruſloit alors ſon ame.	Brûlait alors son âme.		
Ie m'approche aupres d'elle & luy dis à l'inſtant,	Je m'approche auprès d'elle et lui dis à l'instant,		
Beauté pour qui touſiours ie veux eſtre conſtant	Beauté pour qui toujours je veux être constant		
Ceſſez de m'affliger, n'eſtes vous point laßée	Cessez de m'affliger, n'êtes vous point lassée		
De ma peine paßée?	De ma peine passée?		
Depuis que le Soleil eſclaire dans les Cieux,	Depuis que le Soleil éclaire dans les Cieux,		
Il n'a peu voir encor dans l'enclos de ces lieux	Il n'a pu voir encore dans l'enclos de ces lieux		
Vn amant qui iamais ait eu tant de martyre	Un amant qui jamais ait eu tant de martyre		
Sous l'amoureux Empire.	Sous l'amoureux Empire.		
Alors en me loüant de ma ferme amitié,	Alors en me louant de ma ferme amitié,		
Et voiant mes ennuis en eut tant de pitié,	Et voyant mes ennuis en eut tant de pitié,		
Que mal-gré la pudeur qui luy couuroit la face,	Que malgré la pudeur qui lui courrait la face,		
Dafnis mon cher Dafnis, ce me dit-elle alors,	Dafnis mon cher Dafnis, ce me dit-elle alors,		
Seul ſoulas de mon cœur, ie cede à tes efforts:	Seul soulas de mon cœur,je cède à tes efforts:		
D'vn meſme mal que toy, ie te parle ſans feinte,	D'un même mal que toi, je te parle sans feinte,		
Ma pauure ame eſt atteinte.	Ma pauvre âme est atteinte.		
Ne croy que deſormais ie reſiſte à ce Dieu,	Ne crois que désormais je résiste à ce Dieu,		
Doux Tyran de nos cœurs, qui commande en tout lieu	Doux Tyran de nos cœurs, qui commande en tout lieu		
