MEMOIRES DE LA VIE DE HENRIETTE-SYLVIE DE MOLIERE.	MÉMOIRES DE LA VIE DE HENRIETTE-SYLVIE DE MOLIÈRE.
On fit nourrir l’enfant de la païſanne par une autre, & on me mit entre ſes mains avec une ſomme d’argent, puis la nuit venuë, on diſparut ;	On fit nourrir l’enfant de la paysanne par une autre, et on me mit entre ses mains avec une somme d’argent, puis la nuit venue, on disparut ;
la Païſanne qu’on avoit logée ailleurs pour cette nuit, trouva le lendemain qu’on avoit emporté ma mere à la faveur des tenebres ;	la Paysanne qu’on avait logée ailleurs pour cette nuit, trouva le lendemain qu’on avait emporté ma mère à la faveur des ténèbres ;
ſi on me demande où ?	si on me demande où ?
je le ſçay encore moins que le reſte, je voudrois le ſçavoir, plus pour ma ſatisfaction que pour celle des autres ;	je le sais encore moins que le reste, je voudrais le savoir, plus pour ma satisfaction que pour celle des autres ;
je devois pourtant nommer celle de Voſtre Alteſſe toute la premiere.	je devais pourtant nommer celle de Votre Altesse toute la première.
Je fus eſlevée juſques à cinq ans dans ce hameau, ſans eſtre reclamée de perſonne, & environ ce temps-là Monſieur le Duc de Candale s’aviſa de venir chaſſer ſur cette coſte :	Je fus élevée jusqu’à cinq ans dans ce hameau, sans être réclamée de personne, et environ ce temps-là Monsieur le Duc de Candale s’avisa de venir chasser sur cette côte :
il entra dans la cabane de ma Nourrice pour s’y mettre à couvert d’un orage.	il entra dans la cabane de ma Nourrice pour s’y mettre à couvert d’un orage.
Mes petites façons luy plûrent ;	Mes petites façons lui plurent ;
il crût voir en moy quelque choſe qui n’eſtoit pas de Païſanne, il s’informa qui j’eſtois, apprit mon Avanture, puis ſe tournant avec un ſoûris, vers un Gentil-homme qui l’accompagnoit ;	il crut voir en moi quelque chose qui n’était pas de Paysanne, il s’informa qui j’étais, apprit mon Aventure, puis se tournant avec un souris, vers un Gentilhomme qui l’accompagnait ;
Voilà, luy dit-il, une grande cruauté d’abandonner ainſi un enfant ;	Voilà, lui dit-il, une grande cruauté d’abandonner ainsi un enfant ;
cependant cette petite fille ſeroit un jour parfaitement belle ;	cependant cette petite fille serait un jour parfaitement belle ;
je veux prendre ſoin de la faire élever, pour voir ſi je ne ſeray trompé.	je veux prendre soin de la faire élever, pour voir si je ne serai trompé.
Et en effet dépuis ce moment-là, juſques à ſa mort, il ne me laiſſa mancquer d’aucune choſe neceſſaire à mon education ;	Et en effet depuis ce moment-là, jusqu’à sa mort, il ne me laissa manquer d’aucune chose nécessaire à mon éducation ;
méme il en fit tant, que quand on le ſçeut, cela fit dire à pluſieurs que je luy devois la vie, & quelques-uns l’entendoient malicieuſement.	même il en fit tant, que quand on le sut, cela fit dire à plusieurs que je lui devais la vie, et quelques uns l’entendaient malicieusement.
Toutesfois on m’a bien aſſûré qu’il n’eſtoit pas mon pere, & que ſa chaſſe l’avoit amené par hazard dans ce petit hameau ou l’orage luy avoit fait choiſir la maiſon de ma Nourrice entre toutes les autres, quoy qu’elle ne fût point la plus proche du coſté par où il arrivoit :	Toutefois on m’a bien assuré qu’il n’était pas mon père, et que sa chasse l’avait amené par hasard dans ce petit hameau où l’orage lui avait fait choisir la maison de ma Nourrice entre toutes les autres, quoi qu’elle ne fût point la plus proche du côté par où il arrivait :
Je m’en rapporte à ce qu’il en eſt, & ne ſeray point parente à Meſſieurs ſes heritiers s’ils ne le veulent :	Je m’en rapporte à ce qu’il en est, et ne serai point parente à Messieurs ses héritiers s’ils ne le veulent :
C’eſt aſſez parler de celà.	C’est assez parler de cela.
Le premier ſoin de ce genereux Duc fut de m’oſter à la Païſanne, pour me donner à quelqu’un qui pût m’élever avec plus de ſoin.	Le premier soin de ce généreux Duc fut de m’ôter à la Paysanne, pour me donner à quelqu’un qui pût m’élever avec plus de soin.
Il y avoit à Pezenas un Financier dont la femme eſtoit de ſes amies, & cét homme luy avoit obligation de toute ſa fortune :	Il y avait à Pézenas un Financier dont la femme était de ses amies, et cet homme lui avait obligation de toute sa fortune :
On nourriſſoit à ces gens-là, en une de leurs métairies, une petite fille de mon âge, qui eſtoit abandonnée des Medecins, & on attendoit tous les jours l’heure qu’elle mouruſt :	On nourrissait à ces gens-là, en une de leurs métairies, une petite fille de mon âge, qui était abandonnée des Médecins, et on attendait tous les jours l’heure qu’elle mourût :
Il n’eſtoit pas mal-aiſé de me mettre en ſa place dés qu’elle ſeroit morte, & de faire accroire, en la changeant de main auparavant, qu’on l’auroit depuis guerie à force de bons remedes	Il n’était pas malaisé de me mettre en sa place dès qu’elle serait morte, et de faire accroire, en la changeant de main auparavant, qu’on l’aurait depuis guérie à force de bons remèdes
(Voyez un peu, Madame, par quel chemin la fortune me guidoit aux aventures ?)	(Voyez un peu, Madame, par quel chemin la fortune me guidait aux aventures ?)
Cét échange ſe fit aſſez adroitement :	Cet échange se fit assez adroitement :
Le Financier en uſa le mieux du monde :	Le Financier en usa le mieux du monde :
Je devins par ce moyen la cadette d’un fils qu’il avoit, & le denier conſiderable que le Duc luy donna en méme temps luy inſpira toute la tendreſſe qu’il faloit pour bien contrefaire une amitié paternelle.	Je devins par ce moyen la cadette d’un fils qu’il avait, et le denier considérable que le Duc lui donna en même temps lui inspira toute la tendresse qu’il fallait pour bien contrefaire une amitié paternelle.
Je ne fatiguerois peut-eſtre point Vôtre Altreſſe, en commençant mon hiſtoire par ce qui à pû rendre mon enfance auſſi ſurprenante que le reſte de ma vie.	Je ne fatiguerais peut-être point Votre Altresse, en commençant mon histoire par ce qui a pu rendre mon enfance aussi surprenante que le reste de ma vie.
J’avois un petit air galant qui accuſoit quaſi ce Seigneur d’eſtre mon pere ;	J’avais un petit air galant qui accusait quasi ce Seigneur d’être mon père ;
de l’eſprit, de la vanité, du courage, & une telle diſpoſition à bien prendre l’accent de toutes les langues, que comme le fils de mon Financier avoit des gens auprés de luy, pour les luy montrer ;	de l’esprit, de la vanité, du courage, et une telle disposition à bien prendre l’accent de toutes les langues, que comme le fils de mon Financier avait des gens auprès de lui, pour les lui montrer ;
j’en appris en peu de temps juſques à l’Alemand meſme, avec une merveilleuſe facilité.	j’en appris en peu de temps jusqu’à l’Allemand même, avec une merveilleuse facilité.
J’avois auſſi une grande paſſion pour la chaſſe, & enfin juſques-là on n’avoit guére veu de fille mépriſer, comme moy, dés l’âge de diz ans, tous les divertiſſemens du ſexe, pour monter à cheval, tirer un piſtolet, ou faire quelqu’autre ſemblable exercice.	J’avais aussi une grande passion pour la chasse, et enfin jusque là on n’avait guère vu de fille mépriser, comme moi, dés l’âge de dix ans, tous les divertissements du sexe, pour monter à cheval, tirer un pistolet, ou faire quelque autre semblable exercice.
Et il ne ſeroit pas impoſſible que des inclinations ſi extraordinaires euſſent fait naiſtre quelques petites Aventures aſſez jolies ſi je voulois m’en reſſouvenir :	Et il ne serait pas impossible que des inclinations si extraordinaires eussent fait naître quelques petites Aventures assez jolies si je voulais m’en ressouvenir :
mais mon deſſein eſt de ne parler icy que de ce qu’a veu le grand monde, & je n’avois alors que des témoins de peu d’importance.	mais mon dessein est de ne parler ici que de ce qu’a vu le grand monde, et je n’avais alors que des témoins de peu d’importance.
Je diray ſeulement que je ne connoiſſois point d’autre pere & mere que les gens à qui l’on m’avoit donnée ;	Je dirai seulement que je ne connaissais point d’autre père et mère que les gens à qui l’on m’avait donnée ;
& que je n’en fut détrompée que bien tard, par une Aventure aſſez nouvelle.	et que je n’en fus détrompée que bien tard, par une Aventure assez nouvelle.
La femme de mon Financier eſtoit bien faite, & avoit beaucoup d’eſprit.	La femme de mon Financier était bien faite, et avait beaucoup d’esprit.
Un Marquis de Birague, homme de naiſſance, & tout plein de belles qualitez, tel enfin que (ſi je n’ay pas eu en ce temps-là aſſez de conſideration pour luy, parce qu’il eſtoit marié) je ſerois fort aiſe d’eſtre ſervie par un ſemblable Cavalier, maintenant qu’il eſt veuf.	Un Marquis de Birague, homme de naissance, et tout plein de belles qualités, tel enfin que (si je n’ai pas eu en ce temps-là assez de considération pour lui, parce qu’il était marié) je serais fort aise d’être servie par un semblable Cavalier, maintenant qu’il est veuf.
Ce galant homme, dis-je, voyoit ſouvent la belle Dame de Moliere, c’eſt ainſi que s’appelloit cette femme.	Ce galant homme, dis-je, voyait souvent la belle Dame de Molière, c’est ainsi que s’appelait cette femme.
Le mary les trouva tous deux endormis l’un prés de l’autre, dans un petit bois de l’une de ſes maiſons, à l’heure qu’ils le croyoient loin de là fort occupé à ſon employ.	Le mari les trouva tous deux endormis l’un près de l’autre, dans un petit bois de l’une de ses maisons, à l’heure qu’ils le croyaient loin de là fort occupé à son emploi.
Je ne ſçay pas bien comment la Dame ſe démeſla de cette ſurpriſe ;	Je ne sais pas bien comment la Dame se démêla de cette surprise ;
mais enfin quelques jours apres, je reconnus que ce mary avoit deſſein de s’en venger, & que dans ſon ame, il avoit medité de me faire partager le ſoin de cette vengeance.	mais enfin quelques jours après, je reconnus que ce mari avait dessein de s’en venger, et que dans son âme, il avait médité de me faire partager le soin de cette vengeance.
Le détail de la maniere dont il ſe prit à me le faire connoiſtre, ſeroit ennuyeux.	Le détail de la manière dont il se prit à me le faire connaître, serait ennuyeux.
J’eſtois folaſtre & careſſante pour les gens à qui je croyois appartenir, quoy que je fuſſe la plus fiere des petites filles pour tout le reſte ;	J’étais folâtre et caressante pour les gens à qui je croyais appartenir, quoique je fusse la plus fière des petites filles pour tout le reste ;
Et ainſi lors qu’il me témoigna de l’attachement, j’y répondis par cent careſſes.	Et ainsi lorsqu’il me témoigna de l’attachement, j’y répondis par cent caresses.
Mais apres que cela eut duré quelque temps, je luy plûs ſi fort par ces petites badineries auſquelles je m’abandonnois avec innocence ;	Mais après que cela eut duré quelque temps, je lui plus si fort par ces petites badineries auxquelles je m’abandonnais avec innocence ;
que je le rendis ſans y penſer le plus amoureux de tous les hommes, & il ſe reſolut de pouſſer les affaires plus loin.	que je le rendis sans y penser le plus amoureux de tous les hommes, et il se résolut de pousser les affaires plus loin.
Il me mena à la chaſſe :	Il me mena à la chasse :
c’eſtoit mon foible ;	c’était mon faible ;
Et m’ayant écartée adroitement de ſa femme & du Marquis de Birague, qui peut-eſtre de leur coſté cherchoient auſſi une occaſion de s’écarter :	Et m’ayant écartée adroitement de sa femme et du Marquis de Birague, qui peut-être de leur côté cherchaient aussi une occasion de s’écarter :
Il fit tant que nous nous trouvâmes tous deux ſeuls aſſez loin dans la foreſt.	Il fit tant que nous nous trouvâmes tous deux seuls assez loin dans la forêt.
Le lieu invitoit à mettre pied à terre, & eſtoit tout propre à favoriſer deux perſonnes qui euſſent eſté d’accord.	Le lieu invitait à mettre pied à terre, et était tout propre à favoriser deux personnes qui eussent été d’accord.
Les arbres y formoient une eſpece de berceau, une ſource faiſoit entendre ſon murmure à deux pas de-là ;	Les arbres y formaient une espèce de berceau, une source faisait entendre son murmure à deux pas de là ;
enfin, Madame, Monſieur de Moliere eſtoit un habile homme, & pour le deſſein qu’il avoit, le lieu n’eſtoit pas mal choiſi.	enfin, Madame, Monsieur de Molière était un habile homme, et pour le dessein qu’il avait, le lieu n’était pas mal choisi.
J’y deſcendis de cheval à ſa priere, & le voyant s’y coucher de ſon long pour ſe repoſer, je m’allay mettre auprés de luy en la meſme poſture, ſans aucun ſoupçon de ce qui m’y devoit arriver.	J’y descendis de cheval à sa prière, et le voyant s’y coucher de son long pour se reposer, je m’allai mettre auprès de lui en la même posture, sans aucun soupçon de ce qui m’y devait arriver.
Alors mon prétendu pere s’approchant un peu & m’embraſſant tendrement commença à me découvrir un ſecret, auquel je n’euſſe jamais penſé, & me raconta l’hiſtoire de ma naiſſance.	Alors mon prétendu père s’approchant un peu et m’embrassant tendrement commença à me découvrir un secret, auquel je n’eusse jamais pensé, et me raconta l’histoire de ma naissance.
Il m’étala enſuite les obligations que je luy avois, de ce qu’en voulant bien paſſer toûjours pour mon pere, il m’aſſeuroit tous ſes biens, que la mort de ſon fils tué depuis peu, m’abandonnoit.	Il m’étala ensuite les obligations que je lui avais, de ce qu’en voulant bien passer toujours pour mon père, il m’assurait tous ses biens, que la mort de son fils tué depuis peu, m’abandonnait.
Il ajoûta beaucoup d’autres choſes pour me faire valoir ſon amour ;	Il ajouta beaucoup d’autres choses pour me faire valoir son amour ;
Et le refrein de tout cela fut que je devois répondre à ſa paſſion pour éviter le vice d’ingratitude :	Et le refrain de tout cela fut que je devais répondre à sa passion pour éviter le vice d’ingratitude :
qu’il m’aimeroit toûjours avec la plus grande diſcretion du monde, & que ce commerce n’empeſcheroit pas qu’il ne me trouvaſt bien-toſt un party conſiderable.	qu’il m’aimerait toujours avec la plus grande discrétion du monde, et que ce commerce n’empêcherait pas qu’il ne me trouvât bientôt un parti considérable.
Si je dûs eſtre confuſe & bien eſtonnée en apprenant ces nouvelles, Voſtre Alteſſe en ſera le juge.	Si je dus être confuse et bien étonnée en apprenant ces nouvelles, Votre Altesse en sera le juge.
Je me trouvay d’autant plus embaraſſée, que cét homme, apres avoir finy ſon diſcours, ſe mit en devoir d’encherir par deſſus ſes careſſes ordinaires, & que ma reſiſtance l’embraza d’avantage par la difficulté.	Je me trouvai d’autant plus embarrassée, que cet homme, après avoir fini son discours, se mit en devoir d’enchérir par-dessus ses caresses ordinaires, et que ma résistance l’embrasa d’avantage par la difficulté.
Il ſe jetta à mes genoux :	Il se jeta à mes genoux :
fit mille extravagances, & quoy que je luy euſſe répondu qu’un reſte de tendreſſe & de reſpect, que l’habitude retenoit dans mon cœur, eſtoit la ſeule choſe qui m’empeſchoit de me venger de ſes inſolences, il ne laiſſa point de les continüer, juſques à vouloir en venir à la force ;	fit mille extravagances, et quoique je lui eusse répondu qu’un reste de tendresse et de respect, que l’habitude retenait dans mon cœur, était la seule chose qui m’empêchait de me venger de ses insolences, il ne laissa point de les continuer, jusqu’à vouloir en venir à la force ;
Ce fut alors que j’entray en furie, je me démeſlay de ſes bras, je courus à mon cheval, je pris un piſtolet à larçon de la Selle & le menaçay de le tuër, s’il ne me laiſſoit :	Ce fut alors que j’entrai en furie, je me démêlai de ses bras, je courus à mon cheval, je pris un pistolet à l’arçon de la Selle et le menaçai de le tuer, s’il ne me laissait :
Il n’en fit rien, & au contraire ſa brutalité ſe changeant en fureur, je le vis venir à moy comme un ſatyre, en jurant qu’il ſe ſatisferoit ;	Il n’en fit rien, et au contraire sa brutalité se changeant en fureur, je le vis venir à moi comme un satyre, en jurant qu’il se satisferait ;
Je laſchay le piſtolet qui le bleſſa de deux bales dans le corps :	Je lâchai le pistolet qui le blessa de deux balles dans le corps :
Voilà, Madame, qu’elles furent mes premieres cruautez.	Voilà, Madame, quelles furent mes premières cruautés.
Cependant, l’embarras eſtoit conſiderable pour une fille de mon âge, de ſe voir ſeule dans un bois, d’y avoir étendu un homme ſur la place, d’avoir à ſe ſauver & ne ſe ſouvenir point de la route qui nous avoit conduits en cét endroit.	Cependant, l’embarras était considérable pour une fille de mon âge, de se voir seule dans un bois, d’y avoir étendu un homme sur la place, d’avoir à se sauver et ne se souvenir point de la route qui nous avait conduits en cet endroit.
Auſſi en fus-je tellement épouventée, que je penſay me laiſſer tomber à la renverſe en meſme temps que ce malheureux.	Aussi en fus-je tellement épouvantée, que je pensai me laisser tomber à la renverse en même temps que ce malheureux.
Toutefois ce deſordre ne dura pas.	Toutefois ce désordre ne dura pas.
La neceſſité rappella mon jugement.	La nécessité rappela mon jugement.
Je remontay à cheval.	Je remontai à cheval.
