A MONSIEUR DE MONTORON.	A MONSIEUR DE MONTORON.
D Iuus Augustus mitis fuit Prnceps, si quis illum a Principatu suo æstimare incipiat:	D Ivus Augustus mitis fuit Princeps, si quis illum a Principatu suo æstimare incipiat:
in communi quidem Republica, duodeuicesimum egressus annum;	in communi quidem Republica, duodevicesimum egressus annum;
iam pugiones in sinu amicorum absconderat, iam insidiis M.	iam pugiones in sinu amicorum absconderat, iam insidiis M.
Antonij Consulis latus petierat, iam fuerat Collega proscriptionis:	Antonii Consulis latus petierat, iam fuerat Collega proscriptionis:
sed cum annum quadragesimum transisset, et in Gallia moraretur, delatum est ad eum indicium L.	sed cum annum quadragesimum transisset, et in Gallia moraretur, delatum est ad eum indicium L.
Cinnam stolidi ingénij vitum insidias ei struere.	Cinnam stolidi ingénij vitum insidias ei struere.
Dictum est et vbi,et quando, et quemadmodum aggredi vellet.	Dictum est et vbi,et quando, et quemadmodum aggredi vellet.
Unus ex consciis deferebat, statuit se ab eo vindicare.	Unus ex consciis deferebat, statuit se ab eo vindicare.
Consilium amicorum aduocari iussit.	Consilium amicorum advocari jussit.
Nox illi inquieta erat, cum cogitaret adolescentem nobilem, hoc détracto integrum, Cn.	Nox illi inquieta erat, cum cogitaret adolescentem nobilem, hoc detracto integrum, Cn.
Pompeij nepotem damnandum. lam vnum hominem occidere non poterat, cum M.	Pompeii nepotem damnandum. lam unum hominem occidere non poterat, cum M.
Antonio proscriptionis edictum inter cœnã didarat.	Antonio proscriptionis edictum inter cœnã didarat.
Gemens subinde voces varias emittebat et inter se contrarias Quid ergo?	Gemens subinde voces varias emittebat et inter se contrarias Quid ergo?
ego percussorem meum securum ambulare patiar me sollicito?	ego percussorem meum securum ambulare patiar me sollicito?
Ergo non dabit pœnas qui tot ciuilibus bellis frustra petitum caput, tot naualibus, tot pedestribus præliis incolume postquam terra marique pax parta est, non occidere constituat, sed immolare?	Ergo non dabit pœnas qui tot civilibus bellis frustra petitum caput, tot navalibus, tot pedestribus præliis incolume postquam terra marique pax parta est, non occidere constituat, sed immolare?
Nam sacrificantem placuerat adoriri.	Nam sacrificantem placuerat adoriri.
Rursus silentio interposito maiore multo voce sibi quam Cinnæ irascebatur.	Rursus silentio interposito maiore multo voce sibi quam Cinnæ irascebatur.
Quid vivis, si perire te tam multorum interest?	Quid vivis, si perire te tam multorum interest?
Quis finis erit suppliciorum?	Quis finis erit suppliciorum?
quis sanguinis?	quis sanguinis?
Ego sum nobilibus adolescentulis expositũ caput in quod mucrones acuãt.	Ego sum nobilibus adolescentulis expositũ caput in quod mucrones acuant.
Non est tanti vita si vt ego non peream tam multa perdenda sunt.	Non est tanti vita si ut ego non peream tam multa perdenda sunt.
Interpellauit tandem illum Liuia vxor, et admittis, inquit, muliebre consilium?	Interpellavit tandem illum Livia uxor, et admittis, inquit, muliebre consilium?
Fac quod Medici solent, vbi vsitata remedia non procedunt tentant contraria.	Fac quod Medici solent, vbi vsitata remedia non procedunt tentant contraria.
Seueritate nihil adhuc profecisti:	Severitate nihil adhuc profecisti:
Saluidiemium Lepidus secutus est, Lepidum Muræna, Murænam Cæpio, Cæpionem Egnatius, vt alios taceam quos tantum ausos pudet:	Salvidiemium Lepidus secutus est, Lepidum Muræna, Murænam Cæpio, Cæpionem Egnatius, vt alios taceam quos tantum ausos pudet:
nunc tenta quomodo tibi cedat clementia.	nunc tenta quomodo tibi cedat clementia.
Ignosce L.	Ignosce L.
Cinnæ, MONTAGNE liu. i. de ses Essais, chap. 23. L'Empereur Auguste étant en la Gaule receut certain avertissement d'une coniuration que lui brassoit.	Cinnæ, MONTAGNE liu. i. de ses Essais, chap. 23. L'Empereur Auguste étant en la Gaule reçut certain avertissement d'une conjuration que lui brassait.
Cinna, il délibera de s'en vanger, et manda pour cet effet au lendemain le conseil de ses amis:	Cinna, il délibéra de s'en venger, et manda pour cet effet au lendemain le conseil de ses amis:
mais la nuit d'entre-deux il la passa avec grande inquietude, considérant qu'il avait a faire mourir un jeune homme de bonne maison, neveu du grand Pompée, et produisoit en se plaignant divers discours.	mais la nuit d'entre-deux il la passa avec grande inquietude, considérant qu'il avait a faire mourir un jeune homme de bonne maison, neveu du grand Pompée, et produisait en se plaignant divers discours.
Quoy donc, faisait-il, sera-il dit que je demeureray en crainte et en alarme, et que je lairray mon meurtrier se promener ce pendant à son aise?	Quoi donc, faisait-il, sera-il dit que je demeurerai en crainte et en alarme, et que je laisserai mon meurtrier se promener ce pendant à son aise?
S'en ira il quitte ayant assailly mà tête, que j'ai sauvée de tant de guerres ciuiles, de tant de batailles par mer et par terre?	S'en ira il quitte ayant assailli ma tête, que j'ai sauvée de tant de guerres civiles, de tant de batailles par mer et par terre?
et après avoir étably la paix universelle du monde, sera il absouz ayant délibere non de me tuer seulement, mais de me sacrifier?	et après avoir établi la paix universelle du monde, sera il absous ayant délibéré non de me tuer seulement, mais de me sacrifier?
Car la coniuration était faite de le tuer comme il ferait quelque sacrifice.	Car la conjuration était faite de le tuer comme il ferait quelque sacrifice.
Après cela s'étant tenu coy quelque espace de temps, il recommẽçoit d'une voix plus forte et s'en prenoit à soi-même.	Après cela s'étant tenu coy quelque espace de temps, il recommençait d'une voix plus forte et s'en prenait à soi-même.
Pourquoy vis-tu, s'il importe à tant de gens que tu meures?	Pourquoi vis-tu, s'il importe à tant de gens que tu meures?
ny aura-il point de fin à tes vengeances et à tes cruautez?	Ni aura-il point de fin à tes vengeances et à tes cruautés?
Ta vie vaut-elle que tant de dommage se face pour la conseruer?	Ta vie vaut-elle que tant de dommage se face pour la conserver?
Liuia sa semme le sentant en ces angoisses:	Livia sa semme le sentant en ces angoisses:
et les conseils des femmes y seront-ils receus, lui dit-elle?	et les conseils des femmes y seront-ils reçus, lui dit-elle?
fay ce que sont les Medecins, quand les receptes accoustumées ne peuvent servir, ils en essayent de contraires.Par seuerité tu n'as jusques à cette heure rien profité.	fay ce que sont les Médecins, quand les recettes accoutumées ne peuvent servir, ils en essayent de contraires.Par sévérité tu n'as jusques à cette heure rien profité.
Lepidus a suiuy Saluidienus, Murena Lepidus, Cæpio Murena, Egnatius Cæpio, commence à experimenter comment te succederont la douceur et la clemence.	Lepidus a suivi Salvidienus, Murena Lepidus, Caepio Murena, Egnatius Caepio, commence à experimenter comment te succéderont la douceur et la clémence.
Cinna est conuaincu, pardonne lui, de te nuire desormais il ne pourra, et profitera à ta gloire.	Cinna est convaincu, pardonne lui, de te nuire désormais il ne pourra, et profitera à ta gloire.
Auguste fut bien aise d'avoir trouvé un Avocat de fon humeur, et ayant remercié sa femme et contremandé ses amis qu'il avait assigné au Conseil il cõmanda qu'on fit venir à lui Cinna tout seul:	Auguste fut bien aise d'avoir trouvé un Avocat de fon humeur, et ayant remercié sa femme et contremandé ses amis qu'il avait assigné au Conseil il commanda qu'on fit venir à lui Cinna tout seul:
et ayant fait sortir tout le monde de sa chambre, et fait donner un siège à Cinna il lui parla en cette manière.	et ayant fait sortir tout le monde de sa chambre, et fait donner un siège à Cinna il lui parla en cette manière.
En premier lieu, je te demande, Cinna, paisible audiance:	En premier lieu, je te demande, Cinna, paisible audience:
n'interrõps pas mon parler, je te donneray temps à loisir d'y répondre.	n'interromps pas mon parler, je te donnerai temps à loisir d'y répondre.
Tu sçais, Cinna, que t'ayant pris au camp de mes ennemis, non seulement t'étant fait Extrait du Privilège du Roi.	Tu sais, Cinna, que t'ayant pris au camp de mes ennemis, non seulement t'étant fait Extrait du Privilège du Roi.
I L est permis à nostre amé et feal PIERRE CORNEILLE nostre Conseiller et Avocat Général à la Table de Marbre des Eauës et Forests de Roüen, de faire imprimer une Tragedie de sa composition intitulée CINNA, ou La Clemence d'Auguste, durant le temps de vingt ans, à compter du jour que ladite pièce sera achevée d'imprimer.	I L est permis à notre aimé et féal PIERRE CORNEILLE notre Conseiller et Avocat Général à la Table de Marbre des Eaux et Forêts de Rouen, de faire imprimer une Tragédie de sa composition intitulée CINNA, ou La Clemence d'Auguste, durant le temps de vingt ans, à compter du jour que ladite pièce sera achevée d'imprimer.
Et deffenses sont faites à tous Imprimeurs et Libraires d'en imprimer, vendre et distribuer d'autre impression que celle qu'aura fait faire ledit CORNEILLE, ou ses ayans cause, fut peine de quinze cents livres d'amende, confiscation des exemplaires, et de tous despens, dommages et interests, ainsi qu'il est porté par les lettres de Privilège.	Et défenses sont faites à tous Imprimeurs et Libraires d'en imprimer, vendre et distribuer d'autre impression que celle qu'aura fait faire ledit CORNEILLE, ou ses ayants cause, fut peine de quinze cents livres d'amende, confiscation des exemplaires, et de tous dépens, dommages et interests, ainsi qu'il est porté par les lettres de Privilège.
Donné à Fontaine-bleau le premier Aoust 1642.	Donné à Fontainebleau le premier Août 1642.
Signé CLIER.	Signé CLIER.
Et scellé du grand sceau de cire iaune.	Et scellé du grand sceau de cire jaune.
E T ledit sieur CORNEILLE a cedé et transporté tous les droits dudit Privilège par lui obtenu du présent livre à TOVSSAINCT QVINET Marchand Libraire, pour jouir du contenu en icelui, ainsi qu'il a été accordé entr'eux.	E T ledit sieur CORNEILLE a cédé et transporté tous les droits dudit Privilège par lui obtenu du présent livre à TOUSSAINT QVINET Marchand Libraire, pour jouir du contenu en icelui, ainsi qu'il a été accordé entr'eux.
Acheué d'imprimer pour la première fois le 18.	Achevé d'imprimer pour la première fois le 18.
Ianuier 1643.	Janvier 1643.
ACTEVRS.	ACTEVRS.
OCTAVE CESAR AVGVSTE Empereur de Rome.	OCTAVE CESAR AVGVSTE Empereur de Rome.
LIVIE Imperatrice.	LIVIE Imperatrice.
CINNA Fils d'une fille de Pompée, Chef de la coniuration contre Auguste.	CINNA Fils d'une fille de Pompée, Chef de la conjuration contre Auguste.
MAXIME Autre Chef de la coniuration. ÆMILIE Fille de C.	MAXIME Autre Chef de la conjuration. ÉMILIE Fille de C.
Toranius tuteur d'Auguste et proscrit par lui durant le Trium-virat.	Toranius tuteur d'Auguste et proscrit par lui durant le Triumvirat.
FULVIE Confidente d'Æmilie.	FULVIE Confidente d'ÉMILIE.
POLYCLETE Affranchy d'Auguste.	POLYCLETE Affranchi d'Auguste.
EVANDRE Affranchy de Cinna.	EVANDRE Affranchi de Cinna.
EVPHORBE Affranchy de Maxime.	EVPHORBE Affranchi de Maxime.
La Scene est à Rome.	La Scene est à Rome.
CINNA TRAGÉDIE.	CINNA TRAGÉDIE.
ACTE PREMIER.	ACTE PREMIER.
SCÈNE PREMIERE. ÆMILIE.	SCÈNE PREMIÈRE. ÉMILIE.
I MPATIENS désirs d'une illustre vangeãce A qui la mort d'un père a donné la naissance.	I MPATIENTS désirs d'une illustre vengeance A qui la mort d'un père a donné la naissance.
Enfants impétueux de mon ressentiment Que ma douleur seduite embrasse aveuglement:	Enfants impétueux de mon ressentiment Que ma douleur séduite embrasse aveuglement:
L'ordre mal concerté, l'occasion mal prise, Peuuent dessus ton chef renuerser l'entreprise, Porter sur toi les coups dont tu le veux frapper, Dans sa ruine même il peut t'enuelopper, 	L'ordre mal concerté, l'occasion mal prise, Peuvent dessus ton chef renverser l'entreprise, Porter sur toi les coups dont tu le veux frapper, Dans sa ruine même il peut t'envelopper, 
Et quoi qu'en ma faveur ton amour execute, Il te peut en tombant accabler sous sa cheute.	Et quoi qu'en ma faveur ton amour execute, Il te peut en tombant accabler sous sa chute.
Ah!	Ah!
cesse de courir à ce mortel danger, Te perdre en me vangeant, ce n'est pas me vanger, Un cœur est trop cruel quand il trouve des charmes Aux douceurs que corrompt l'amertume des larmes, 	cesse de courir à ce mortel danger, Te perdre en me vengeant, ce n'est pas me venger, Un cœur est trop cruel quand il trouve des charmes Aux douceurs que corrompt l'amertume des larmes, 
Et je tiens qu'il faut mettre au rang des grands malheurs La mort d'un ennemi qui nous couste des pleurs.	Et je tiens qu'il faut mettre au rang des grands malheurs La mort d'un ennemi qui nous coûte des pleurs.
Mais peut-on en verser alors qu'on vange un pere?	Mais peut-on en verser alors qu'on venge un père?
Est-il perte à ce prix qui ne semble legere?	Est-il perte à ce prix qui ne semble légère?
Et quand son assassin tombe sous nostre effort, Doit-on considerer ce que couste sa mort?	Et quand son assassin tombe sous notre effort, Doit-on considerer ce que coûte sa mort?
Cessés vaines frayeurs, cessés lasches tendresses De jetter dans mon cœur vos indignes faiblesses, 	Cessés vaines frayeurs, cessés lâches tendresses De jeter dans mon cœur vos indignes faiblesses, 
Et toi qui les produis par tes soins superflus, Amour, sers mon devoir, et ne le combats plus, Lui ceder c'est ta gloire, et le vaincre, ta honte, Monstre toi généreux, souffrant qu'il te surmonte, Plus tu lui donneras, plus il te va donner, 	Et toi qui les produis par tes soins superflus, Amour, sers mon devoir, et ne le combats plus, Lui céder c'est ta gloire, et le vaincre, ta honte, Monstre toi généreux, souffrant qu'il te surmonte, Plus tu lui donneras, plus il te va donner, 
Et ne triomphera que pour te couronner.	Et ne triomphera que pour te couronner.
SCÈNE II. ÆMILE.	SCÈNE II. ÆMILE.
FULVIE. ÆMILIE.	FULVIE. ÉMILIE.
I E l'ai iuré, Fuluie, et je le iure encore, Quoy que j'ayme Cinna, quoi que mon cœur l'adore, S'il me veut posseder, Auguste doibt perir, Sa tête est le seul prix dont il peut m'acquérir, Je lui précris la loi que mon devoir m'impose.	J E l'ai juré, Fulvie, et je le jure encore, Quoi que j'aime Cinna, quoi que mon cœur l'adore, S'il me veut posséder, Auguste doit périr, Sa tête est le seul prix dont il peut m'acquérir, Je lui prescris la loi que mon devoir m'impose.
FULVIE.	FULVIE.
Elle a pour la blâmer une trop juste cause, Par un si grand dessein vous vous faites juger Digne sang de celui que vous voulez vanger, Mais encor une fois souffrez, que je vous die Que cette passion dûst être refroidie, Auguste chaque jour a force de bien-faits Semble assez reparer les maux qu'il vous a faits, Sa faveur envers vous paroist si déclarée, Que vous êtes chez lui la plus considerée, 	Elle a pour la blâmer une trop juste cause, Par un si grand dessein vous vous faites juger Digne sang de celui que vous voulez venger, Mais encor une fois souffrez, que je vous die Que cette passion dût être refroidie, Auguste chaque jour a force de bien-faits Semble assez réparer les maux qu'il vous a faits, Sa faveur envers vous paraît si déclarée, Que vous êtes chez lui la plus considérée, 
Et de ses courtisans souvent les plus heureux Ont encore besoin que vous parliez pour eux. ÆMILIE.	Et de ses courtisans souvent les plus heureux Ont encore besoin que vous parliez pour eux. ÉMILIE.
Toute cette faveur ne me rend pas mon père, 	Toute cette faveur ne me rend pas mon père, 
Et de quelque façon que l'on me considere, Abondante en richesse ou puissante en crédit, Je demeure toujours la fille d'un proscrit.	Et de quelque façon que l'on me considère, Abondante en richesse ou puissante en crédit, Je demeure toujours la fille d'un proscrit.
Les bien-faits ne font pas toujours ce que tu penses, D'une main odieuse ils tiennent lieu d'offences, Plus nous en prodiguons à qui nous peut haïr, Plus d'armes nous donnons à qui nous veut trahïr.	Les bien-faits ne font pas toujours ce que tu penses, D'une main odieuse ils tiennent lieu d'offences, Plus nous en prodiguons à qui nous peut haïr, Plus d'armes nous donnons à qui nous veut trahir.
Jl m'en fait chaque jour sans changer mon courage, Je suis ce que j'étais, et je puis davantage, 	Jl m'en fait chaque jour sans changer mon courage, Je suis ce que j'étais, et je puis davantage, 
Et des mêmes présents qu'il verse dans mes mains J'achepte contre lui les esprits des Romains.	Et des mêmes présents qu'il verse dans mes mains J'achète contre lui les esprits des Romains.
Je recevrais de lui la place de Livie, Comme un moyen plus seur d'attenter à sa vie, Pour qui vange son père il n'est point de forfaits, 	Je recevrais de lui la place de Livie, Comme un moyen plus seur d'attenter à sa vie, Pour qui venge son père il n'est point de forfaits, 
Et c'est vendre son sang que se rendre aux bien-faits.	Et c'est vendre son sang que se rendre aux bien-faits.
Et tu verrois mes pleurs couler pour son trèspas Qui le faisant perir ne me vangeroit pas.	Et tu verrais mes pleurs couler pour son trépas Qui le faisant périr ne me vengerait pas.
C'est une lascheté que de remettre à d'autres Les interests publics qui s'attachent aux nostres, Joignons à la douceur de vanger nos parents La gloire qu'on remporte à punir les tyrans, 	C'est une lâcheté que de remettre à d'autres Les interests publics qui s'attachent aux nôtres, Joignons à la douceur de venger nos parents La gloire qu'on remporte à punir les tyrans, 
Et faisons publier par toute l'Italie, La liberté de Rome est l'œuvre d'Æmilie, On a touché son âme et son cœur s'est espris, Mais elle n'a donné son amour qu'a ce prix.	Et faisons publier par toute l'Italie, La liberté de Rome est l'œuvre d'ÉMILIE, On a touché son âme et son cœur s'est épris, Mais elle n'a donné son amour qu'a ce prix.
FULVIE.	FULVIE.
Vostre amour à ce prix n'est qu'un présent funeste, Qui porte à votre amant sa perte manifeste.	Votre amour à ce prix n'est qu'un présent funeste, Qui porte à votre amant sa perte manifeste.
Pensés mieux, Æmillie, a quoi vous l'exposez, Combien à cet écueil se sont déjà brisés, Ne vous aveuglez, point quand sa mort est visible. ÆMILIE.	Pensés mieux, Émillie, a quoi vous l'exposez, Combien à cet écueil se sont déjà brisés, Ne vous aveuglez, point quand sa mort est visible. ÉMILIE.
Ah!	Ah!
tu sais me frapper par où je suis sensible, Quand je songe aux hasards que je lui fais courir, La crainte de sa mort me fait déjà mourir, SCÈNE III.	tu sais me frapper par où je suis sensible, Quand je songe aux hasards que je lui fais courir, La crainte de sa mort me fait déjà mourir, SCÈNE III.
CINNA. ÆMILIE.	CINNA. ÉMILIE.
FULVIE. ÆMILIE.	FULVIE. ÉMILIE.
Ais le voici qui vient.	Ais le voici qui vient.
Cinna, vostre assemblée M Des grandeurs du peril n'est-elle point troublée, 	Cinna, votre assemblée M Des grandeurs du peril n'est-elle point troublée, 
Et reconnaissez-vous au front de vos amis Qu'ils soient prêts à tenir ce qu'ils vous ont promis?	Et reconnaissez-vous au front de vos amis Qu'ils soient prêts à tenir ce qu'ils vous ont promis?
CINNA.	CINNA.
Jamais contre un tyran entreprise conceuë Ne permit d'espérer une si belle issuë, Jamais de telle ardeur on ne iura sa mort, 	Jamais contre un tyran entreprise conçue Ne permit d'espérer une si belle issue, Jamais de telle ardeur on ne jura sa mort, 
Et jamais coniurez ne furent mieux d'accord:	Et jamais conjurés ne furent mieux d'accord:
Tous s'y monstrent portez avec tant d'allegresse Qu'ils semblent comme moi vanger une maîtresse, servir 	Tous s'y montrent portez avec tant d'allégresse Qu'ils semblent comme moi venger une maîtresse, servir 
Et tous font éclatter un si puissant courroux Qu'ils semblent tous vanger un père comme vous. ÆMILIE.	Et tous font éclater un si puissant courroux Qu'ils semblent tous venger un père comme vous. ÉMILIE.
Je l'avais bien préueu que pour un tel ouvrage Cinna saurait choisir des hommes de courage, 	Je l'avais bien prévu que pour un tel ouvrage Cinna saurait choisir des hommes de courage, 
Et ne remettroit pas en de mauaises mains L'interest d'Æmilie et celui des Romains.	Et ne remettrait pas en de mauvaises mains L'interest d'ÉMILIE et celui des Romains.
CINNA.	CINNA.
Pleust aux Dieux que vous-même eussiez vu de quel zèle Cette troupe entreprend une action si belle!	Plût aux Dieux que vous-même eussiez vu de quel zèle Cette troupe entreprend une action si belle!
Au seul nom de César, d'Auguste, et d'Empereur, Vous eussiez, vu leurs yeux s'allumer de fureur, 	Au seul nom de César, d'Auguste, et d'Empereur, Vous eussiez, vu leurs yeux s'allumer de fureur, 
Et dans un même instant par un effet contraire Leur front paslir d'horreur et rougir de colere.	Et dans un même instant par un effet contraire Leur front pâlir d'horreur et rougir de colère.
Amis, leur ay-je dit, voici le jour heureux Qui doit conclurre en fin nos desseins généreux, Le Ciel entre nos mains a mis le sort de Rome, 	Amis, leur ai-je dit, voici le jour heureux Qui doit conclure en fin nos desseins généreux, Le Ciel entre nos mains a mis le sort de Rome, 
Et son salut dépend de la perte d'un homme, Si l'on doit le nom d'homme à qui n'a rien d'humain, A ce Tigre alteré de tout le sang Romain.	Et son salut dépend de la perte d'un homme, Si l'on doit le nom d'homme à qui n'a rien d'humain, A ce Tigre altéré de tout le sang Romain.
Combien pour le respandre a-t'il formé de brigues?	Combien pour le répandre a-t'il formé de brigues?
Combien de fois changé de partis et de ligues, Tantost ami d'Antoine et tantôt ennemi, 	Combien de fois changé de partis et de ligues, Tantôt ami d'Antoine et tantôt ennemi, 
Et jamais insolent ni cruel à demy?	Et jamais insolent ni cruel à demy?
Là par un long récit de toutes les misères Que durant nostre enfance ont enduré nos pères, Renouuelant leur haine avec leur souvenir Je redouble en leurs cœurs l'ardeur de les punir.	Là par un long récit de toutes les misères Que durant notre enfance ont enduré nos pères, Renouvelant leur haine avec leur souvenir Je redouble en leurs cœurs l'ardeur de les punir.
Je leur fais des tableaux de ces tristes batailles Où Rome par ses mains déchirait ses entrailles, Où l'Aigle abatait l'Aigle, et de chaque côté Nos legions s'armaient contre leur liberté, Où le but des soldats et des chefs les plus braues C'était d'être vainqueurs pour deuenir esclaues, Où chacun trahissait aux yeux de l'Vniuers Soi-même et son pays pour asseurer ses fers, 	Je leur fais des tableaux de ces tristes batailles Où Rome par ses mains déchirait ses entrailles, Où l'Aigle abattait l'Aigle, et de chaque côté Nos legions s'armaient contre leur liberté, Où le but des soldats et des chefs les plus braves C'était d'être vainqueurs pour devenir esclaves, Où chacun trahissait aux yeux de l'Univers Soi-même et son pays pour assurer ses fers, 
Et taschant d'acquérir avec le nom de traistre L'abominable honneur de lui donner un maître, Romains contre Romains, parents contre parents Combataient seulement pour le choix des tyrans.	Et tâchant d'acquérir avec le nom de traître L'abominable honneur de lui donner un maître, Romains contre Romains, parents contre parents Combattaient seulement pour le choix des tyrans.
J'adiouste à ces tableaux la peinture effroyable De leur concorde affreuse, horrible, impitoyable, Funeste aux gens de bien, aux riches, au Sénat, 	J'ajoute à ces tableaux la peinture effroyable De leur concorde affreuse, horrible, impitoyable, Funeste aux gens de bien, aux riches, au Sénat, 
Et pour tout dire en fin de leur Triumuirat.	Et pour tout dire en fin de leur Triumvirat.
Mais je ne trouve point de couleurs assez noires Pour en représenter les Tragiques histoires.	Mais je ne trouve point de couleurs assez noires Pour en représenter les Tragiques histoires.
Sont les degrez, sanglans dont Auguste a fait choix Pour monter dans le trône et nous donner des loix.	Sont les degrés, sanglants dont Auguste a fait choix Pour monter dans le trône et nous donner des lois.
Rendons toutefois grâce à la bonté céleste Que de nos trois tyrans c'est le seul qui nous reste, 	Rendons toutefois grâce à la bonté céleste Que de nos trois tyrans c'est le seul qui nous reste, 
Et que juste une fois il s'est privé d'appuy Perdant pour règner seul deux meschans comme lui.	Et que juste une fois il s'est privé d'appui Perdant pour régner seul deux méchants comme lui.
Luy mort nous n'auons point de vangeur ni de maître, Avec la liberté Rome s'en va renaistre, 	Lui mort nous n'avons point de vengeur ni de maître, Avec la liberté Rome s'en va renaître, 
Et nous mériterons le nom de vrais Romains Si le joug qui l'accable est brisé par nos mains.	Et nous mériterons le nom de vrais Romains Si le joug qui l'accable est brisé par nos mains.
Prenons l'occasion tandis qu'elle est propice, Demain au Capitole il fait un sacrifice, Qu'il en soit la victime, et faisons en ces lieux Justice à tout le monde à la face des Dieux:	Prenons l'occasion tandis qu'elle est propice, Demain au Capitole il fait un sacrifice, Qu'il en soit la victime, et faisons en ces lieux Justice à tout le monde à la face des Dieux:
Là presque pour sa suite il n'a que nostre troupe, C'est de ma main qu'il prend et l'encens et la coupe, 	Là presque pour sa suite il n'a que notre troupe, C'est de ma main qu'il prend et l'encens et la coupe, 
Et je veux pour signal que cette même main Lui donne au lieu d'encens d'un poignard dans le sein.	Et je veux pour signal que cette même main Lui donne au lieu d'encens d'un poignard dans le sein.
Ainsi d'un coup mortel la victime frappée Fera voir si je suis du sang du grand Pompée, Faites voir après moi si vous vous souvenez Des illustres ayeux de qui vous êtes nez.	Ainsi d'un coup mortel la victime frappée Fera voir si je suis du sang du grand Pompée, Faites voir après moi si vous vous souvenez Des illustres aïeux de qui vous êtes nez.
A peine ay-je achevé que chacun renouuelle Par un noble serment le vœu d'être fidelle, L'occasion leur plaît, mais chacun veut pour soi L'honneur du premier coup que j'ai choisi pour moi:	A peine ai-je achevé que chacun renouvelle Par un noble serment le vœu d'être fidèle, L'occasion leur plaît, mais chacun veut pour soi L'honneur du premier coup que j'ai choisi pour moi:
