Il eſt icy traité d'aucunes Iuriſdictions royales, & d'autres non royales & ſubalternes.	Il est ici traité d’aucunes Juridictions royales, et d’autres non royales et subalternes.
lequel fut ordonné à ceſte fin eſtre leu & publié en l'auditoire dudit Bailliage.	lequel fut ordonné à cette fin être lu et publié en l’auditoire dudit Bailliage.
Ledit procureur general toutesfois en ce cas ne ſe peut titrer Bailly mais ſeulement garde dudit Bailliage, comme il fut iugé par arreſt du 28. May 1516.	Ledit procureur général toutefois en ce cas ne se peut titrer Bailly mais seulement garde dudit Bailliage, comme il fut jugé par arrêt du 28. Mai 1516.
entre de Villy procureur general & le ſieur de la Barre pourueu à l'office de Bailly.	entre de Villy procureur général et le sieur de la Barre pourvu à l’office de Bailly.
Par lequel arreſt auſſi furent audit de la Barre adiugez tous les gages profits & droits du Bailliage tant en ciuil que crime depuis le decez du ſieur de Mont-Pipeau dernier Bailly, ſur leſquels neanmoins ſeroit deliuree la ſomme de cent liures audit de Villy, & que d'oreſnauant en tels cas le procureur general auroit le ſeau.	Par lequel arrêt aussi furent audit de la Barre adjugés tous les gages profits et droits du Bailliage tant en civil que crime depuis le décès du sieur de Mont-Pipeau dernier Bailly, sur lesquels néanmoins serait délivrée la somme de cent livres audit de Villy, et que dorénavant en tels cas le procureur général aurait le seau.
OV SON LIEVTENANT.	OU SON LIEUTENANT.
Les Baillys anciennement iugeoyent	Les Baillis anciennement jugeaient
eux meſmes, & eſtabliſſoyent leurs Lieutenans en chacun ſiege, Tabellions, Greffiers, Gardes du ſeel, Aduocats & Procureurs.	eux-mêmes, et établissaient leurs Lieutenants en chacun siège, Tabellions, Greffiers, Gardes du scel, Avocats et Procureurs.
Mais depuis Louys XII. par ſon Ordonnance voulut que les Lieutenans fuſſent pourueus par election & graduez, leur ayant eſté attribuee toute la function de Iuge, & oſtée aux Baillys que l’on voyoit s’addonner & arreſter plus aux armes & a la conduite de la Nobleſſe, aux conuentions des arriere-bans, ou a la ſuite de la Cour, qu'aux lettres & exercice perſonnel de la Iuſtice :	Mais depuis Louis XII. par son Ordonnance voulut que les Lieutenants fussent pourvus par élection et gradués, leur ayant été attribuée toute la fonction de Juge, et ôtée aux Baillis que l’on voyait s’adonner et arrêter plus aux armes et à la conduite de la Noblesse, aux conventions des arrière-bans, ou à la suite de la Cour, qu’aux lettres et exercice personnel de la Justice :
& veulent les Ordonnances qu'ils ſoyent maintenant de robe courte.	et veulent les Ordonnances qu’ils soient maintenant de robe courte.
Ce qui leur reſte des anciennes marc eſt la preſſeance, voix honoraire, non deliberatiue ny concluſiue par les Ordonnances de Blois art. 266.	Ce qui leur reste des anciennes marc est la préséance, voix honoraire, non délibérative ni conclusive par les Ordonnances de Blois art. 266.
& l’intitulement de leur nom aux ſentences, bien que prononcees par leurs Lieutenans, ſuyuant l'Edit de Henry II. de l'an 1551.	et l’intitulement de leur nom aux sentences, bien que prononcées par leurs Lieutenants, suivant l’Édit de Henry II. de l’an 1551.
& Ordonnances de Moullins art. 21.	et Ordonnances de Moullins art. 21.
Ce qui s’entend pour le regard des ſentences, commiſſions & autres actes emportans execution, & non des ſimples actes ſeruans à l'inſtruction des procez ſeulement, comme il a eſté iugé par arreſt ſur la modification dudit Edit.	Ce qui s’entend pour le regard des sentences, commissions et autres actes emportant exécution, et non des simples actes servants à l’instruction des procès seulement, comme il a été jugé par arrêt sur la modification dudit Édit.
Ce qui demonſtre que les Lieutenans vice Bailliuorum iudicant, non pas qu'ils reſſemblent aux Aſſeſſeurs, deſquels par le droit Romain les Gouuerneurs des prouinces ſe faiſoyent aſſiſter l. pen. C. de iud. ſans qu'iceux Aſſeſſeurs euſſent aucune autorité, ny pouuoir de faire aucune expedition de iuſtice l. 2. C. de Aſſeſſ. mais ils reſſemblent legatis corum :	Ce qui démontre que les Lieutenants vice Bailliuorum iudicant, non pas qu’ils ressemblent aux Assesseurs, desquels par le droit Romain les Gouverneurs des provinces se faisaient assister l. pen. C. de iud. sans qu’iceux Assesseurs eussent aucune autorité, ni pouvoir de faire aucune expédition de justice l. 2. C. de Assesse mais ils ressemblent legatis corum :
car à preſent aux Lieutenans tanquam ad vicarios omnis iuriſdictio tranſit. l. 2. C. de offic. eius qui vic. alt. obt. & faciunt idem tribunal cum Bailliuo.	car à présent aux Lieutenants tanquam ad vicarios omnis iurisdict o transit l. 2. C. de offic. eius qui vic. alt. obt. & faciunt idem tribunal cum Bailliuo.
Et ideo locum-tenens honoratur ſicut ille cuius locum tenet. c. ult. 93. dist.	Et ideo locum tenens honoratur sicut ille cujus locum tenet. c. ult. 93. dist.
Ce fut pourquoy par arreſt en audience du 11. May 1537. entre Maiſtre Iacques Desbuats Viconte de Fallaiſe & le Verrier Lieutenant particulier du Bailly de Caen audit Fallaiſe, fut dit que ledit Lieutenant en l'abſence du Lieutenant general du Bailly precederoit ledit Viconte en tous lieux publics, comme en l'Egliſe, offrande, proceſſion & autres honneurs, combien qu'il fuſt allegué que ledit le Verrier n'eſtoit noble, & poſtuloit deuāt ledit Vicomte, & qu'il fuſt Conſeiller de ville, & ledit Viconte Maire.	Ce fut pourquoi par arrêt en audience du 11. Mai 1537. entre Maistre Jacques Desbuats Vicomte de Fallaise et le Verrier Lieutenant particulier du Bailly de Caen audit Falaise, fut dit que ledit Lieutenant en l’absence du Lieutenant général du Bailly procéderait ledit Vicomte en tous lieux publics, comme en l’Eglise, offrande, procession et autres honneurs, combien qu’il fût allégué que ledit le Verrier n’était noble, et postulait devant ledit Vicomte, et qu’il fût Conseiller de ville, et ledit Vicomte Maire.
Et conformement a cet arreſt par autre donné au Conſeil le 19. May 1552. fut dit que de Bauquemare Lieutenant particulier du Bailly de Caux à Caudebec prefereroit Bacler Viconte en l'abſence du Lieutenant general.	Et conformément à cet arrêt par autre donné au Conseil le 19. May 1552. fut dit que de Bauquemare Lieutenant particulier du Bailly de Caux à Caudebec préfèrerait Bacler Vicomte en l’absence du Lieutenant général.
Ce qui doit eſtre eſtẽdu par identité de raiſon aux autres Lieutenans & Officiers :	Ce qui doit être entendu par identité de raison aux autres Lieutenants et Officiers :
membra enim caput ſequuntur cap. cum non liceat in princ. de preſcript. l. cum in diuerſis ff. de relig. & ſumpt. fun.	membra enim caput sequuntur cap. cum non liceat in princ. de prescript. l. cum in diuersis ff. de relig. & sumpt. fun.
En l'abſence ou recuſation des Lieutenans & Conſeillers, le plus ancien Aduocat doit tenir la iuriſdiction tant ciuile que criminelle, ainſi ordonné par arreſt les Chambres aſſemblees le 17. Nouembre 1548. arg. l. 1. & 2. de præpoſ. ſacri cubic. lib.	En l’absence ou récusation des Lieutenants et Conseillers, le plus ancien Avocat doit tenir la juridiction tant civile que criminelle, ainsi ordonné par arrêt les Chambres assemblées le 17. Novembre 1548. arg. l. 1. & 2. de præpos sacri cubic. lib.
12. c. l. 1. & 2. de præpoſ. præf. præt. C. eod. glo. pragm. ſanct. tit. de clect. S. & cum humanæ in verbo ſequentis & additio ibi.	12. c. l. 1. & 2. de præpos. præf. præt. C. eod. glo. pragm. sanct. tit. de clect. S. & cum humanæ in verbo sequentis & additio ibi.
Mais les graduez precedent les no graduez par le reglement de la Cour.	Mais les gradués précédent les non gradués par le règlement de la Cour.
Ce qui a lieu pour l'auenir, & non pour ceux qui auroient eſté receus auant ledit reglemẽt, comme il a eſté iugé par arreſt du 12. Decẽbre 1600.	Ce qui a lieu pour l’avenir, et non pour ceux qui auraient été reçus avant ledit règlement, comme il a été jugé par arrêt du 12. Décembre 1600.
contre vn nõmé Morin aduocat à Berney, qui vouloit preferer vn nõmé Deshayes & autres aduocats non graduez.	contre un nommé Morin avocat à Berney, qui voulait préférer un nommé Deshayes et autres avocats non gradués.
Autre arreſt a eſté donné à l'audience le 19. May 1542. ouy le procureur general du Roy ſur la requeſte faite par M. Oliuier Deſperroys licentié és Loix d'eſtre receu au ſerment d'aduocat:	Autre arrêt a été donné à l’audience le 19. May 1542. ouï le procureur général du Roy sur la requête faite par M. Gliuier Desperrois licenciés Lois d’être reçu au serment d’avocat:
Surquoy la Cour a ordonné que ledit Deſperrois ſera receu au ſerment ſimple d'aduocat lequel il a fait en la manière accouſtumee.	Sur quoi la Cour a ordonné que ledit Desperrois sera reçu au serment simple d’avocat lequel il a fait en la manière accoutumée.
Et auant que d'ordonner s'il ſera receu à aſſiſter aux iugemens deuant les iuges ordinaires & donner ſentence & opinion, a ordonné que ledit Deſperrois ſera examiné par deuant les Conſeillers Commiſſaires ſur ce deputez, & fait inhibitions & deffences a tous Iuges inferieurs de receuoir aucun a opiner pour donner ſentence & iugement és procez pendans par deuant eux iuſques a ce qu'il ait eſté examiné ſur ſa litterature, & experience & trouué ſuffiſant.	Et avant que d’ordonner s’il sera reçu à assister aux jugements devant les juges ordinaires et donner sentence et opinion, a ordonné que ledit Desperrois sera examiné par devant les Conseillers Commissaires sur ce députés, et fait inhibitions et défenses à tous Juges inférieurs de recevoir aucun à opiner pour donner sentence et jugement ès procès pendants par devant eux jusques a ce qu’il ait été examiné sur sa littérature, et expérience et trouvé suffisant.
Depuis par autre arreſt du 27. Mars 1612.	Depuis par autre arrêt du 27. Mars 1612.
a l'audience en la cauſe appellée des Docteurs de l'Vniuerſité de Caen & les aduocats de Bayeux, ſur la requeſte verbalement faite par M. du Viquet premier aduocat general du Roy, inhibitions & deffenſes ont eſté faites auſdicts Docteurs de paſſer aucuns licentiez ny docteurs ſans eſtre examinez ſuiuant l’ordonnance, & deffenſes pareillement aux iuges de receuoir aucuns aduocats ſans licences, & deffendu aux aduocats receus depuis trois ans de poſtuler ſans prendre grade, & ordonné que le preſent arreſt ſera enuoyé par tous les Bailliages pour y etre leu & publié.	à l’audience en la cause appelée des Docteurs de l’Université de Caen et les avocats de Bayeux, sur la requête verbalement faite par M. du Viquet premier avocat général du Roy, inhibitions et défenses ont été faites auxdits Docteurs de passer aucuns licenciés ni docteurs sans être examinés suivant l’ordonnance, et défenses pareillement aux juges de recevoir aucuns avocats sans licences, et défendu aux avocats reçus depuis trois ans de postuler sans prendre grade, et ordonné que le présent arrêt sera envoyé par tous les Bailliages pour y être lu et publié.
Par autre arreſt donné à l'audience le 2. Aouſt audit an 1612. ſur la requeſte faite par ledit ſieur du Viquet, la Cour a fait inhibitions & deffences à tous aduocats receus en icelle de prendre ladite qualité d'aduocat s’il n'en ſont actuellement la charge & function & poſtulent au barreau de ladite Cour ou aux principaux ſieges des Bailliages & Vicontez de ce reſſort, & à tous Iuges de les receuoir en cette charge s’ils n'ont pris lettre de licence en Vniuerſité fameuſe, & qu'ils n'en facent apparoir enſemble de l'acte de leur reception. Et par autre arreſt du 7. Iuin 1613. a eſté deffendu à tous Iuges de receuoir aucuns aduocats au ſerment de function de ladite charge d'aduocat ſinon les aſſiſes ſeantes, & ordonné que le preſent arreſt ſera enuoyé par tous les ſieges de ce reſſort.	Par autre arrêt donné à l’audience le 2. Août audit an 1612. sur la requête faite par ledit sieur du Viquet, la Cour a fait inhibitions et défenses à tous avocats reçus en icelle de prendre ladite qualité d’avocat s’il, n’en sont actuellement la charge et fonction et postulent au barreau de ladite Cour ou aux principaux sièges des Bailliages et Vicomtés de ce ressort, et à tous Juges de les recevoir en cette charge s’ils n’ont pris lettre de licence en Université fameuse, et qu’ils n’en fassent apparoir ensemble de l’acte de leur réception. Et par autre arrêt du 7. Juin 1613. a été défendu à tous Juges de recevoir aucuns avocats au serment de fonction de ladite charge d’avocat sinon les assises séantes, et ordonné que le présent arrêt sera envoyé par tous les sièges de ce ressort.
Par arreſt donné au Conſeille 27. Auril 1569. entre les Recteur & Suppoſts de l'Vniuerſité de Caen, fut dit que nul ne ſeroit receu au ſerment d'office & eſtat de iudicature és Iuriſdictions qui reſſortiſent en la Cour mediatement ou immediatement, s’il n’eſt licentié en droit ciuil ou canon ;	Par arrêt donné au Conseille 27. Avril 1569. entre les Recteur et Suppôts de l’Université de Caen, fut dit que nul ne serait reçu au serment d’office et état de judicature ès Juridictions qui ressortissent en la Cour médiatement ou immédiatement, s’il n’est licencié en droit civil ou canon ;
auec deffenſes aux Docteurs regens de ladite Vniuerſite de paſſer aucun licentié s’il n'eſt ſuffiſant & capable. Que ſi celuy qui a eſté receu au ſerment d'aduocat, n'en a fait profeſſion & exercice, & neanmoins ſe veut ingerer à faire la function de Iuge en ſon abſence & de ſes Lieutenans au deuant des autres aduocats receus apres luy & ayans fait continuel exercice d'aduocats, il ſemble n'eſtre raiſonnable le permettre, & ne luy appartient.	avec défenses aux Docteurs régents de ladite Université de passer aucun licencié s’il n’est suffisant et capable. Que si celui qui a été reçu au serment d’avocat, n’en a fait profession et exercice, et néanmoins se veut ingérer à faire la fonction de Juge en son absence et de ses Lieutenants au devant des autres avocats reçus après lui et ayant fait continuel exercice d’avocats , il semble n’être raisonnable le permettre, et ne lui appartient.
Qui ſunt enim in collegio alicuius artis, ſi illam artem non exercent non debent gaudere priuilegio illius artis, Bart. in l. ſemper S. quibuſdam ff. de iure immun. gloſ. pragmat. ſanct. S. quod ad dictas in verbo reſidebunt de collat.	Qui sunt enim in collegio alicuius artis, si illam artem non exercent non debent gaudere priuilegio illius artis, Bart, in l. semper S. quibusdam ff. de iure immun. glos. pragmat. sanct. S. quod ad dictas in verbo residebunt de collat.
Par la diſpoſition du droit ciuil Aduocatus qui abfuit per quinquennium perdit matriculam l.	Par la disposition du droit civil Aduocatus qui abfuit per quinquennium perdit matriculam l.
2. circa medium de primicerio lib.	2. circa medium de primicerio lib.
12. C. l. 3. de Domeſt. & protect. eod. Rebuffi in Tractatu de nominationibus, queſt. 21. num. 21.	12. C. l. 3. de Domest. & protect. eod. Rebuffi in Tractatu de nominationibus, quest. 21. num. 21.
