AV LECTEVR. 	AU LECTEUR.
Depuis, m’ayant ledict ſieur Iannon ſollicité de ma promeſſe, ie m’y laiſſe emporter, les hazardant à la mer des humeurs d’vn chacun. 	Depuis, m'ayant ledit sieur Jannon sollicité de ma promesse, je m'y laisse emporter, les hasardant à la mer des humeurs d'un chacun.
Mais pource que le liure euſt eſté trop petit, pour le groſſir, me ſeruant de la meſme raiſon de la nouueauté, i'y ay adiouſté quelques ſeſtines, tirees par cy par là d'vn plus gros ouurage, dõt la ſtructure n’eſt gueres moins difficile que celle des leïpogrammes. 	Mais pource que le livre eût été trop petit, pour le grossir, me servant de la même raison de la nouveauté, j'y ai ajouté quelques sestines, tirées par-ci par-là d'un plus gros ouvrage, dont la structure n'est guère moins difficile que celle des lipogrammes.
Te priant de ne me blaſmer pour le ſuiet qui eſt de follies d'amour, qui lors qu’elles furent compoſees eſtoit excuſable, ſi excuſe y eſchet:	Te priant de ne me blâmer pour le sujet qui est de folies d'amour, qui lors qu'elles furent composées était excusable, si excuse y échet:
car c’eſt ſeulement pour la rareté du poëme, peu ſe trouuans qui l’ayent encore tenté en noſtre langue. 	car c'est seulement pour la rareté du poème, peu se trouvant qui l'aient encore tenté en notre langue.
Puis me voyãt ſi auant en mes nouueautez, pour la troiſieſme i'y ay encore couſu la nouuelle façon des vers meſurés,	Puis me voyant si avant en mes nouveautés, pour la troisième j'y ai encore cousu la nouvelle façon des vers mesurés,
LEIPOGRAMMES	LIPOGRAMMES
à monſieur de Lomenie Secretaire d’Eſtat. 	à monsieur de Loménie Secrétaire d'État.
I E vous donne ce labeur, fils ſans fruict de mon oyſiueté inutile. 	JE vous donne ce labeur, fils sans fruit de mon oisiveté inutile.
Ce ſont vers leïpogrammes, ainſi dicts pource qu’en chaque ſonnet vne lettre eſt delaiſſee. 	Ce sont vers lipogrammes, ainsi dits pource qu'en chaque sonnet une lettre est délaissée.
Et bien qu’en tous il y ait vne difficulté fort raboteuſe, toutesfois en celuy de l’e elle eſt du tout pierreuſe & preſque inacceſſible, pour la miſere & peine qu’il y a de la ioindre & ſurmonter. 	Et bien qu'en tous il y ait une difficulté fort raboteuse, toutefois en celui de l'e elle est du tout pierreuse et presque inaccessible, pour la misère et peine qu'il y a de la joindre et surmonter.
Dites donc, ô embaraſſement!	Dites donc, ô embarrassement!
ô ſueur!	ô sueur!
car certes ie confeſſe	car certes je confesse
LEIPOGRAMMES. 	LIPOGRAMMES.
Premier Alphabeth. 	Premier Alphabet.
VEILLE D'VNE NVICT. 	VEILLE D'UNE NUIT.
A E Sprits qui voletez ſur le bruict que bourdonne Le fleuue recourbé qui de ſon viste cours Leche preſque le tour de ceſte ville, où l’ours Qui fut premier trouué le redouté nom donne:	A ESprits qui voletez sur le bruit que bourdonne Le fleuve recourbé qui de son vite cours Lèche presque le tour de cette ville, où l'ours Qui fut premier trouvé le redouté nom donne:
Si deuot quelquesfois voſtre troupe mignonne I’honore de mes vers. 	Si dévot quelquefois votre troupe mignonne J'honore de mes vers.
Et ſur les legers tours Que le ſoir vous tournez, de mes diuers diſcours Le ſon triſté enroüé pour contrebruict i'entonne:	Et sur les légers tours Que le soir vous tournez, de mes divers discours Le son triste enroué pour contrebruit j'entonne:
Priez pour moy le Dieu qui ſe ſied de coſté Sur le moite ſurion de ce fleuue irrité, Qu’il ceße vn peu le bruict qui trouble mes oreilles, Ores que ie vous veux eſtrener de ces vers, Puis eſcoute benin mille diſcours diuers Que ie force ſortir d'vne nuict de mes veilles. 	Priez pour moi le Dieu qui se sied de côté Sur le moite surgeon de ce fleuve irrité, Qu'il cesse un peu le bruit qui trouble mes oreilles, Ores que je vous veux étrenner de ces vers, Puis écoute bénin mille discours divers Que je force sortir d'une nuit de mes veilles.
B Q Vi voudroit reſiſter à la puiſſance tienne Doux enfãt de la nuit, il luy faudroit aux dieux S'eſgaler tout à fait, eſcheler leurs hauts cieux, 	B QUi voudrait résister à la puissance tienne Doux enfant de la nuit, il lui faudrait aux dieux S'égaler tout à fait, écheler leurs hauts cieux,
Et de leur doux Nectar humer la coupe pleine:	Et de leur doux Nectar humer la coupe pleine:
Mais garde le tonnerre au fils de Dindymene Garde le traittement qu’eurent les factieux Qui m’ont ſur mont monté, (forfaict audacieux) Rougirent de leur ſang la motte Pelienne Mieux vaut donc faire ioug, & ne point reſister, Sommeil, à ton effort, de peur de t’irriter, 	Mais garde le tonnerre au fils de Dindymène Garde le traitement qu'eurent les factieux Qui m'ont sur mont monté, (forfait audacieux) Rougirent de leur sang la motte Pélienne Mieux vaut donc faire joug, et ne point résister, Sommeil, à ton effort, de peur de t'irriter,
Et n’en remporter rien que repentir & peine:	Et n'en remporter rien que repentir et peine:
Mais, Sommeil, ie te pry' ne te courrouce point, 	Mais, Sommeil, je te prie ne te courrouce point,
Et diſpenſe mes yeux en ce ſeul petit poinct, Car ma douce fureur ceſte nuict me demeine. 	Et dispense mes yeux en ce seul petit point, Car ma douce fureur cette nuit me démène.
C L 'Eſpouuantable plant des pointes de Memphis, Le tortueux entour de la priſon ſerree Du fils de Paſiphaë', 	C L'Épouvantable plant des pointes de Memphis, Le tortueux entour de la prison serrée Du fils de Pasiphaé,
Et la tour enferree Que pour ta Danaë rude pere tu fis. 	Et la tour enferrée Que pour ta Danaé rude père tu fis.
L’or, l'azur, & l'email des aiſlerons du fils, De la fille à la mer:	L'or, l'azur, et l'émail des ailerons du fils, De la fille à la mer:
Et la plaine azuree Qui prit iadis ſon nom de la lourde viree Que ſentit le voleur, Phæbus, que tu deffis. 	Et la plaine azurée Qui prit jadis son nom de la lourde virée Que sentit le voleur, Phébus, que tu défis.
Les Titans guerroyans deſſous la troupe haute, 	Les Titans guerroyants dessous la troupe haute,
Et le Saturnien qui de foudres n'a faute Sur leurs teſtes dardant ſon ſoulfre garde-Dieux:	Et le Saturnien qui de foudres n'a faute Sur leurs têtes dardant son soufre garde-Dieux:
Le fugitif de Troye, 	Le fugitif de Troye,
Et depuis, le bon homme Qui la louue ſeura des batiſſeurs de Rome, I'ay veu au peu de temps que i'ay fermé les yeux. 	Et depuis, le bon homme Qui la louve sèvrera des bâtisseurs de Rome, J'ai vu au peu de temps que j'ai fermé les yeux.
D S Onge-creux Palinur' quant ceſſe forte enuie T’accabloit ſommeilant, il falloit à l'eſcart Laiſſant ton gouuernail te retirer à part, 	D SOnge-creux Palinur' quant cesse forte envie T'accablait sommeillant, il fallait à l'écart Laissant ton gouvernail te retirer à part,
Et là ronfler ton ſoul en aſſeurant ta vie:	Et là ronfler ton soûl en assurant ta vie:
Et viuant tu aurois auec ta compagnie Trouué les marcaßins ſous le cheſnu fueillart, Quant meſme il euſt fallu ſur le Latin rempart Que l’ame t'euſt eſté par l’ennemy rauie. 	Et vivant tu aurais avec ta compagnie Trouvé les marcassins sous le chenu feuillard, Quant même il eût fallu sur le Latin rempart Que l'âme t'eût été par l'ennemi ravie.
L’honneur t’en fuſt reſté:	L'honneur t'en fût resté:
Puis on euſt eu le ſoin A te faire inhumer, ſi les armes au poing Les Troyens t’euſſent veu pourſuiure la victoire, Non, cõme vn gros taureau, tomber la teſte en bas:	Puis on eût eu le soin À te faire inhumer, si les armes au poing Les Troyens t'eussent vu poursuivre la victoire, Non, comme un gros taureau, tomber la tête en bas:
Va, ie ne te plain point. 	Va, je ne te plains point.
Ne te falloit-il pas Eſchapper eu veillant la mort toute notoire?	Ne te fallait-il pas Échapper eu veillant la mort toute notoire?
E Il n’y a pas vne Apoſtrophe pour ſauuer l’e. 	E Il n'y a pas une Apostrophe pour sauver l'e.
P Our rauir la toiſon quand Iaſon courut tant, Il y paruint pour vray, l’arrachant hors du ſort Aux dragons flamboyãs:	POur ravir la toison quand Jason courut tant, Il y parvint pour vrai, l'arrachant hors du sort Aux dragons flamboyants:
mais non par ſon bras fort, Non par ſon bac fatal à Cholios loing flottant. 	mais non par son bras fort, Non par son bac fatal à Cholios loin flottant.
Car ſans ton fort pouuoir qui luy fut aßistant O doux fil à la nuict, par vn ſubtil confort, Son cas alloit fort mal:	Car sans ton fort pouvoir qui lui fut assistant Ô doux fil à la nuit, par un subtil confort, Son cas allait fort mal:
Il y fuſt pluſtost mort, Tant grand, tant bon fuſt-il, tant hardy combatant. 	Il y fût plutôt mort, Tant grand, tant bon fût-il, tant hardi combattant.
Mais tu luy fus amy, quand ton appaſt charmoit Son dragon, qui ſans fin ſon tiſon allumoit. 	Mais tu lui fus ami, quand ton appât charmait Son dragon, qui sans fin son tison allumait.
Il ioüit donc par toy du prix ainſi conquis :	Il jouit donc par toi du prix ainsi conquis:
Donc à toy qui luy fis vn tant amy ſupport, Vn tour tant à propos, vn tant diuin confort, Soit vn los immortel à tout iamais acquis. 	Donc à toi qui lui fis un tant ami support, Un tour tant à propos, un tant divin confort, Soit un lot immortel à tout jamais acquis.
F I viſte par la plaine à l'heritier de Rhee S La ſapin tabourdé d’vn Oüeſt inconſtant Ne galope leger:	F SI vite par la plaine à l'héritier de Rhée La sapin tabourdé d'un Ouest inconstant Ne galope léger:
Et le traict loin-portant Ne coupe ſi ſoudain la campagne aëree:	Et le trait loin-portant Ne coupe si soudain la campagne aérée:
Si toſt ſes traits grondans de ſa voute ætheree Le mary de Iuno ne va point eſclatant:	Si tôt ses traits grondants de sa voûte éthérée Le mari de Junon ne va point éclatant:
Et l’aigle rauiſſeur, ſi toſt ne va battant De ſon ventre poußé, la colombe eſgaree:	Et l'aigle ravisseur, si tôt ne va battant De son ventre poussé, la colombe égarée:
Que l’importun Sommeil m'a dardé le rainceau Qu’il trempe dans le creux de l’oublieux ruiſſeau, 	Que l'importun Sommeil m'a dardé le rinceau Qu'il trempe dans le creux de l'oublieux ruisseau,
Et m’a contraint baiſſer deſſous ſon coup la teſte. 	Et m'a contraint baisser dessous son coup la tête.
Pardonne moy, Sommeil, Roy de toute la nuict Sinon aux ſoucieux, car pour ton ſeul deduict Ceſt eſtrange diſcours à ton honneur s’appreſte. 	Pardonne moi, Sommeil, Roi de toute la nuit Sinon aux soucieux, car pour ton seul déduit Cet étrange discours à ton honneur s'apprête.
G I E te veux entonner d’vne façon nouuelle Mon doux Bourdõ de nuict, dous tyrã de mõ cœur:	G JE te veux entonner d'une façon nouvelle Mon doux Bourdon de nuit, doux tyran de mon cœur:
Ie te veux ceſte nuict rendre braue vainqueur Du charme enſorceleur d’vne libre ceruelle. 	Je te veux cette nuit rendre brave vainqueur Du charme ensorceleur d'une libre cervelle.
Sa force vienne auant qu’elle eſpanche cruelle Cent pauots ſur me yeux, ny leur morne liqueur, Ny ſes pipeurs efforts ne te vaincront, moqueur, De ſon pouuoir charmeur d’vne foible femelle. 	Sa force vienne avant qu'elle épanche cruelle Cent pavots sur me yeux, ni leur morne liqueur, Ni ses pipeurs efforts ne te vaincront, moqueur, De son pouvoir charmeur d'une faible femelle.
Paſſons donc ceſte nuict, Bourdon, ioyeuſement. 	Passons donc cette nuit, Bourdon, joyeusement.
Paſſons-la ſans dormir, & veillons brauement, Vainquons de ces pauots la puiſſance endormeuſe Mais, Bourdon mon amy, ſeulement ceſte nuict, Car d'aller plus auant outre que cela nuit, On en remporte en fin repentance faſcheuſe,	Passons-la sans dormir, et veillons bravement, Vainquons de ces pavots la puissance endormeuse Mais, Bourdon mon ami, seulement cette nuit, Car d'aller plus avant outre que cela nuit, On en remporte en fin repentance fâcheuse,
H M lgnards, doux, gracieux, courtois, auantureux, Eſprits de la nuict ſombre, ô demons, ſi ma ioye Deſpend toute de vous, & ſi ie vous deſploye Mes vers, mon paſſetemps, mon bien plus doucereux, 	H MIgnards, doux, gracieux, courtois, aventureux, Esprits de la nuit sombre, ô démons, si ma joie Dépend toute de vous, et si je vous déploie Mes vers, mon passe-temps, mon bien plus doucereux,
Eſprits mon doux plaiſir, mon esbat amoureux, Si pour vous ie me plais à ceſte nuict tant coye, N’engardez qu’à mon gré curieux ie ne voye Le rond de voſtre bal dont ie ſuis deſireux:	Esprits mon doux plaisir, mon ébat amoureux, Si pour vous je me plais à cette nuit tant coie, N'engardez qu'à mon gré curieux je ne voie Le rond de votre bal dont je suis désireux:
Quelque verue peut eſtre eſclatant de la note Que fredonne en ces prez la bande qui balote Me fera mille vers non oüis entonner:	Quelque verve peut être éclatant de la note Que fredonne en ces prés la bande qui ballote Me fera mille vers non ouïs entonner:
Car encor que ie ſoy' trop bas pour telle gloire, Eſtant enflé de vous, i'oſeray me donner Vn espoir nourrißier d’vne longue memoire. 	Car encor que je sois trop bas pour telle gloire, Étant enflé de vous, j'oserai me donner Un espoir nourricier d'une longue mémoire.
I O Somme trop faſcheux, tãt long temps combatu, Te campant à l’entour de mon frõt, de ma teſte, Ton charme enſorcelleur à m’attaquer s'appreſte:	I Ô Somme trop fâcheux, tant longtemps combattu, Te campant à l'entour de mon front, de ma tête, Ton charme ensorceleur à m'attaquer s'apprête:
Va t’en. 	Va t'en.
A quel propos tant outrageux m’es tu?	À quel propos tant outrageux m’es-tu?
Venez toſt mes demons, monſtrez voſtre vertu, Courez à mon ſecours, que voſtre force preſte Rompe l'endormeur coup de la morne tempeſte Dont ce fort combatant me veut rendre abatu. 	Venez tôt mes démons, montrez votre vertu, Courez à mon secours, que votre force prête Rompe l'endormeur coup de la morne tempête Dont ce fort combattant me veut rendre abattu.
Ne vous empareſſez, courez à ce forceur, Arrachez de ſes bras ſon baston terraſſeur, Baſton à mon cerueau trop dommageable peſte:	Ne vous emparessez, courez à ce forceur, Arrachez de ses bras son bâton terrasseur, Bâton à mon cerveau trop dommageable peste:
Autrement tous ces vers vouëz à voſtre nom S’en vont en grand hazard de perdre le beau reſte Que vous leur promettez d'vn eternel renom. 	Autrement tous ces vers vouez à votre nom S'en vont en grand hasard de perdre le beau reste Que vous leur promettez d'un éternel renom.
K A Moureux papillon de ta fatale flamme Qui deça, qui dela voltiges mille tours A l’entour du luiſant de tes folles amours, Peu ſage batiſſant de ton tombeau la lame:	K AMoureux papillon de ta fatale flamme Qui deçà, qui delà voltiges mille tours À l'entour du luisant de tes folles amours, Peu sage bâtissant de ton tombeau la lame:
si quelque ſoing te tient de la tendrelette ame Va toſt, fuy t’en d’icy:	si quelque soin te tient de la tendrelette âme Va tôt, fuis t'en d'ici:
de ton importun cours Par trop infortuné n’enterromps les diſcours De la douce fureur qui ceſte nuict m’emflamme. 	de ton importun cours Par trop infortuné n'interromps les discours De la douce fureur qui cette nuit m'enflamme.
Quoy, tu n’en fais donc rien?	Quoi, tu n'en fais donc rien?
ô mortelle amitié!	ô mortelle amitié!
Pauuret, n'auras-tu point de toy meſme pitié?	Pauvret, n'auras-tu point de toi même pitié?
Chetif te voila mort tu as beu ta folie, He!	Chétif te voila mort tu as beu ta folie, He!
que i’en ay regret. 	que j'en ai regret.
Ainſi fait peu de cas Le ſoldat eſuenté de ſa chetiſue vie Tournant tant le rempart qu’il trouue le trespas. 	Ainsi fait peu de cas Le soldat éventé de sa chétive vie Tournant tant le rempart qu'il trouve le trépas.
L P Rez verdis de gaſons, vous que va fendant Aare Au cours precipité, prez qui enceinturez D’vn honneur bigarré ces antres retirez Où mainte Hamadriade et maint Faune s’eſgare:	L PRés verdis de gazons, vous que va fendant Aare Au cours précipité, prés qui enceinturez D'un honneur bigarré ces antres retirez Où mainte Hamadryade et maint Faune s'égare:
Orrez vous point ma voix en ces nouueautez rare, Voix dont i’ay vus esprits fantaſtics honorez?	Orrez-vous point ma voix en ces nouveautés rare, Voix dont j'ai vus esprits fantastiques honorés?
Vous ſeray-ie ennuyeux, vous que i’ay deſirez Ornemens & ſuiets dont mes chanſons ie pare?	Vous serai-je ennuyeux, vous que j'ai désirés Ornements et sujets dont mes chansons je pare?
Or prez verdement beaux, ſi hardy i’ay conduict Deſſus voſtre toiſon au ſombre d’vne nuict Vne troupe ſeante au ſommet de Permeſſe, Endurez ie vous pry' que par ce nouueau ſon, (Car meſme vos eſprits en ont de moy promeſſe) I’entonne deſſus vous ma fantaſque chanſon. 	Or prés vertement beaux, si hardi j'ai conduit Dessus votre toison au sombre d'une nuit Une troupe séant au sommet de Permesse, Endurez je vous pri' que par ce nouveau son, (Car même vos esprits en ont de moi promesse) J'entonne dessus vous ma fantasque chanson.
M S Ous ce large peuplier par trois fois trois ie tourne, I'y baſty vn autel de trois fois trois gazons, I'y apporte du feu de trois ſois trois tiſons, 	M SOus ce large peuplier par trois fois trois je tourne, J'y bâtis un autel de trois fois trois gazons, J'y apporte du feu de trois sois trois tisons,
Et trois fois trois grillons pour y bruſler i’adiourne:	Et trois fois trois grillons pour y brûler j'ajourne:
Par trois fois trois encor y verſer ie retourne Trois fois trois pots de laict, trois fois trois poils griſons Ie croiſe tout autour, trois fois trois oraiſons Par trois fois trois encor barboter i’y contourne. 	Par trois fois trois encor y verser je retourne Trois fois trois pots de lait, trois fois trois poils grisons Je croise tout autour, trois fois trois oraisons Par trois fois trois encor barboter j'y contourne.
C’eſt pour vous bas esprits de ces antres boſſus, C’eſt pour vous Satyreaux des coſtaux de là ſus, C’eſt pour voſtre troupeau Dryades foreſtieres, C’eſt pour vous dieux des eaux aux reluisãs talons, C’eſt pour vous dieux des bois :	C'est pour vous bas esprits de ces antres bossus, C'est pour vous Satyreaux des coteaux de là sus, C'est pour votre troupeau Dryades forestières, C'est pour vous dieux des eaux aux reluisants talons, C'est pour vous dieux des bois:
ceſt autel, ces grillons, Ces pots blanchis de laict, ces poils et ces prieres. 	cet autel, ces grillons, Ces pots blanchis de lait, ces poils et ces prières.
N F Atigué du trauail que i'auoy' de mes veilles Ie m’eſtoy' reſolu quoy qu’il deuſt m’arriuer De laiſſer à mes yeux le ſommeil eſprouuer, Pource que ſa douceur a fort peu de pareilles:	N FAtigué du travail que j'avais de mes veilles Je m'étais résolu quoi qu'il dût m'arriver De laisser à mes yeux le sommeil éprouver, Pource que sa douceur a fort peu de pareilles:
Mais voicy tout à coup, (gracieuſes merueilles) Dryades & Satyrs pres de moy s’eſleuer, 	Mais voici tout à coup, (gracieuses merveilles) Dryades et Satyres près de moi s'élever,
Et de leur bruict meſlé du ſommeil me priuer Qui ſorcier m’auoit pris les yeux & les oreilles. 	Et de leur bruit mêlé du sommeil me priver Qui sorcier m'avait pris les yeux et les oreilles.
A l'heure ie rougy. 	À l'heure je rougis.
Mais pour reparer mieux La faute qui m'auoit faict abaißer les yeux Ie me mis au millieu de leurs gayes caroles. 	Mais pour réparer mieux La faute qui m'avait fait abaisser les yeux Je me mis au milieu de leurs gaies caroles.
Flore me prit le doigt, l’yuoire ie ſaiſy Qui m'auoit pour eſclaue & ſeruiteur choiſi, 	Flore me prit le doigt, l'ivoire je saisis Qui m'avait pour esclave et serviteur choisi,
Et ie leuay les pieds à leur balades folles. 	Et je levai les pieds à leur balades folles.
O L Vt, aide gracieux à ma plume peſante Quand le dieu Lethien vient aſſaillir mes yeux, Lut le ſainct esbat mien, le plaiſir gracieux Quand le fils de la nuict mes paupieres enchante :	O LUt, aide gracieux à ma plume pesante Quand le dieu Léthien vient assaillir mes yeux, Lut le saint ébat mien, le plaisir gracieux Quand le fils de la nuit mes paupières enchante:
Tairay-ie à mes eſcrits le ieu ſacré qu’enfante Afin de m’eſueiller ce nerf tien precieux?	Tairai-je à mes écrits le jeu sacré qu'enfante Afin de m'éveiller ce nerf tien précieux?
Ingrat me diras tu du chant delicieux. 	Ingrat me diras tu du chant délicieux.
Chãt mignard, chãt plaiſant qui mes peines eſuente?	Chant mignard, chant plaisant qui mes peines évente?
Atten, à mes eſcrits tes chants ie mariray, Aux âges mes eſcrits:	Attends, à mes écrits tes chants je marierai, Aux âges mes écrits:
Ainſi ie publieray Eternels mes eſcrits, & tes chants perdurables. 	Ainsi je publierai Éternels mes écrits, et tes chants perdurables.
Si que tant que ſera la terre dans la mer, 	Si que tant que sera la terre dans la mer,
Et dedans l'air la mer, & dedans les cieux l’air, Tes chants et mes eſcrits ie rendray admirables. 	Et dedans l'air la mer, et dedans les cieux l'air, Tes chants et mes écrits je rendrai admirables.
P F Ier Somme, qui mes ſens eſtourdis de l'ombrage	P FIer Somme, qui mes sens étourdis de l’ombrage
Dont tu vas ennublant mes yeux tant haraſſez, Faſcheux, que ie te hay. 	Dont tu vas ennublant mes yeux tant harassés, Fâcheux, que je te hais.
Ne t’eſt-ce donc aſſez De ce que ie t’ay faict en mes vers tout hommage?	Ne t'est-ce donc assez De ce que je t'ai fait en mes vers tout hommage?
Voire:	Voire:
le grand honneur, la gloire, l’aduantage Dont tu te vanteras ſur des membres laſſez, Membres des chaſtes ſœurs forcez & tracaſſez, 	le grand honneur, la gloire, l'avantage Dont tu te vanteras sur des membres lassés, Membres des chastes sœurs forcés et tracassés,
Et guidez ceſte nuict d’vne fantaſque rage. 	Et guidez cette nuit d'une fantasque rage.
Elles me font l’honneur de m’aimer, me cherir, Elles daignent venir m’entendre diſcourir, Ne craignans d'vn ſorcier la charmeuſe cholere. 	Elles me font l'honneur de m'aimer, me chérir, Elles daignent venir m'entendre discourir, Ne craignant d'un sorcier la charmeuse colère.
Elles me font dicter ces ſuiets hazardeux, Admirent le nouueau que ie delaiſſe en eux, Toy, Somme tu ſeras de ma gloire aduersaire!	Elles me font dicter ces sujets hasardeux, Admirent le nouveau que je délaisse en eux, Toi, Somme tu seras de ma gloire adversaire!
Q P Our vous mes Satyreaux en la peine ie ſuis Où voꝰ me pouués voir:	Q POur vous mes Satyreaux en la peine je suis Où vous me pouvez voir:
& pour vous Nymphelettes	et pour vous Nymphelettes
Aux beaus yeux, aus beaus dois, aux treſſes blõdeletes, Ie n’apprehende point d'endurer ces ennuis:	Aux beaux yeux, aux beaux doigts, aux tresses blondelettes, Je n'appréhende point d'endurer ces ennuis:
Pour vous dieux fonteniers aux rafraichißãs muis, Pour vous ſources encor aux eaux argentelettes, Pour vous prez eſmaillez de mille violettes, 	Pour vous dieux fontainiers aux rafraîchissants muids, Pour vous sources encor aux eaux argentelettes, Pour vous prés émaillés de mille violettes,
Et pour vous belles fleurs ie paſſe ainſi ces nuicts. 	Et pour vous belles fleurs je passe ainsi ces nuits.
C’eſt pour tant ſeulement auec vous deuiſer Au frais de ceſte nuict, c’eſt pour vous courtiſer, C’eſt pour de mon pouuoir fouler vos riues nettes, C’eſt pour ſans nul danger me lauer en vos eaux, Pour vaguer deſſus vous, pour m’orner:	C'est pour tant seulement avec vous deviser Au frais de cette nuit, c'est pour vous courtiser, C'est pour de mon pouvoir fouler vos rives nettes, C'est pour sans nul danger me laver en vos eaux, Pour vaguer dessus vous, pour m'orner:
Satyreaux, Nymphes, dieux fonteniers. ſources, prez & fleurettes. 	Satyreaux, Nymphes, dieux fontainiers. sources, prés et fleurettes.
RS Ans fin les vents eſmeus n’agitent pas l'eſchine De l’ocean moiteux:	R SAns fin les vents émus n'agitent pas l'échineDe l'océan moiteux:
& du haut tempeſtant N’eſt l’indignation dans les monts eſclatant Sans fin ſes coups, ſes feux, ſa vengeance diuine:	et du haut tempêtant N'est l'indignation dans les monts éclatant Sans fin ses coups, ses feux, sa vengeance divine:
Il n'eſt pas dit außi que celle qui domine Deſſus tes paßions, en fin n’aille abatant Ceſte folle hauteſſe & ce deſdain, qui tant Ta face diminue & ta lieſſe mine. 	Il n'est pas dit aussi que celle qui domine Dessus tes passions, en fin n'aille abattant Cette folle hautesse et ce dédain, qui tant Ta face diminue et ta liesse mine.
Attendant quoy, Amy, vien t'en iuſques icy, Vien auec mes demons, & chaſſe tout ſouci:	Attendant quoi, Ami, viens t'en jusques ici, Viens avec mes démons, et chasse tout souci:
Au moins tien bonne mine, & ne fay plus l’eſclaue. 	Au moins tien bonne mine, et ne fais plus l'esclave.
Maint gay demon t’attend fantaſtic & ioyeux, 	Maint gai démon t'attend fantastique et joyeux,
Et mainte belle Nymphe en chemiſe ſe laue, Afin qu'elle te noye eu l'appaſt de ſes yeux. 	Et mainte belle Nymphe en chemise se lave, Afin qu'elle te noie eu l'appât de ses yeux.
LEIPOGRAMMES. 	LIPOGRAMMES.
Second Alphabeth. 	Second Alphabet.
VOYAGE. 	VOYAGE.
A D Ieu des chemins Cyllenien Mercure Qui tout le iour ſur le ciel ſers les Dieux, 	A DIeu des chemins Cyllénien Mercure Qui tout le jour sur le ciel sers les Dieux,
Et toute nuict touches és triſtes lieux Les froids eſprits deſpoüilles de mort dure, Pren, ie te pry, de ces vers quelque cure Que tout le temps que ſous les courbez cieux Ie pren chemin, que i’erre ſoucieux, Ie te depeins de diuerſe figure. 	Et toute nuit touches ès tristes lieux Les froids esprits dépouilles de mort dure, Prends, je te pris, de ces vers quelque cure Que tout le temps que sous les courbés cieux Je prends chemin, que j'erre soucieux, Je te dépeins de diverse figure.
Les eſprits n’ont meſpriſé mon veiller, 	Les esprits n'ont méprisé mon veiller,
Et d’vne nuict ne m'ont veu ſommeiller:	Et d'une nuit ne m'ont vu sommeiller:
