AV LECTEVR. ,AU LECTEVR.,,,,,,,,,,,,
PLATON, grand Demon de ſçauoir, Si ton ombre peut conceuoir L’honneur qu’on te faict en noſtre âge, Il t'apprend que c’eſt ton deuoir De rendre aux Dieux vn autre hommage. ,PLATON, grand Démon de savoir, Si ton ombre peut concevoir L'honneur qu'on te fait en notre âge, Il t'apprend que c'est ton devoir De rendre aux Dieux un autre hommage.,,,,,,
Les neiges meſmes ſe fondoient, Lors que tu formois ta complainte:,Les neiges mêmes se fondaient, Lors que tu formais ta complainte:,,,,,,,,,,
Aux premiers accens de ta voix, L'horreur des autres & des bois Fut de compaſſion atteinte:,Aux premiers accents de ta voix, L'horreur des autres et des bois Fut de compassion atteinte:,,,,,,,,,,
Et touſiours depuis ceſte fois La douceur y demeure empreinte. ,Et toujours depuis cette fois La douceur y demeure empreinte.,,,,,,,,,,,,
Quelle cruauté ne gemit, Quelle constance ne fremit, Quand tu décris ce lieu funeſte?,Quelle cruauté ne gémit, Quelle constance ne frémit, Quand tu décris ce lieu funeste?,,,,,,,,
Mais auec ces belles couleurs, Voyant éclatter tes douleurs, Pardonne moy ſi ie proteſte, Qu' ainſi t’obligeant aux mal-heurs, Encore tu leurs dois de reſte. ,Mais avec ces belles couleurs, Voyant éclater tes douleurs, Pardonne moi si je proteste, Qu' ainsi t'obligeant aux malheurs, Encore tu leurs dois de reste.,,,,
En fin laiſſant ces apres monts ,En fin laissant ces après monts ,,,,,,,,,,,,
Et ces rochers, de qui les fronts Seruent de buttes aux tonnerres. ,Et ces rochers, de qui les fronts Servent de buttes aux tonnerres.,,,,,,,,,,
Laiſſant les ſangliers, & les loups, ,Laissant les sangliers, et les loups, ,,,,,,,,
Et les corbeaux, & les hiboux, Hôtes de ces ſteriles terres. ,Et les corbeaux, et les hiboux, Hôtes de ces stériles terres.,,,,,,,,
Part .j. ,Part .j.,,,,,,,,,,,,
Tes Muſes ſous vn Ciel plus doux, Se vindrent longer à BOVSSERES. ,Tes Muses sous un Ciel plus doux, Se vinrent longer à BOUSSÈRES.,,,,,,,,,,
Là ſe voit vn petit château, Ioignant le pied d'vn grand côtau, Où Baccus ſeant en ſon throne, Haut eſleué ſur vn arceau, Eſtend ſes bras au bord de l’eau, Le long des riues de Garone;,Là se voit un petit château, Joignant le pied d'un grand coteau, Où Bacchus séant en son trône, Haut élevé sur un arceau, Étend ses bras au bord de l'eau, Le long des rives de Garonne;,,
Qui glorieux de ſon berceau, Mépriſa la Seine & le Roſne. ,Qui glorieux de son berceau, Méprisa la Seine et le Rhône.,,,,,,,,,,
Là THEOPHILE auec plaiſir Nous conſiderions à loiſir La force & le poids des myſteres, Que ces vieux ſages ont tracez:,Là THEOPHILE avec plaisir Nous considérions à loisir La force et le poids des mystères, Que ces vieux sages ont tracés:,,,,,,,,,,
Puis nos eſprit s’eſtans laſſez A reuaſſer ſur ces bons Peres:,Puis nos esprit s'étant lassez À rêvasser sur ces bons Pères:,,,,,,,,,,,,
Nous noyons nos ennuis paſſez Dedans le nectar de BOVSSERES. ,Nous noyons nos ennuis passez Dedans le nectar de BOUSSÈRES.,,,,,,,,,,,,
Ie ne ſçay ſi noſtre Appollon M'inſpiroit dedans ce valon:,Je ne sais si notre Apollon M'inspirait dedans ce vallon:,,,,,,,,,,,,
Ou bien ce Dieu, qui nous anime Par la force de ſa liqueur:,Ou bien ce Dieu, qui nous anime Par la force de sa liqueur:,,,,,,,,,,
Malgré l'hyuer, & ſa rigueur, Ma plume enfantoit de la rime, Sentant la force, & la vigueur De quelque veine bien ſublime. ,Malgré l'hiver, et sa rigueur, Ma plume enfantait de la rime, Sentant la force, et la vigueur De quelque veine bien sublime.,,,,
Non, ce n’eſt rien que pur abus, Tout ce qu’on dit de ce Phœbus, C'eſtoit l'effect de ta preſence:,Non, ce n'est rien que pur abus, Tout ce qu'on dit de ce Phébus, C'était l'effet de ta présence:,,,,,,
La vertu qu’on ne peut nommer, Ce feu, qui te fait renommer. ,La vertu qu'on ne peut nommer, Ce feu, qui te fait renommer.,,,,,,,,
LE GRAND POETE DE LA FRANCE, Eſt aſſez fort pour m'enflammer Du moindre rayon qu'il élance. ,LE GRAND POÈTE DE LA FRANCE, Est assez fort pour m'enflammer Du moindre rayon qu'il élance.,,,,,,,,,,
Quand CLORIS tenoit ta raiſon Aux delices de ſa priſon, ,Quand CLORIS tenait ta raison Aux délices de sa prison, ,,,,,,,,,,
Et quand tu chantois ſes trophees, L’extreme douceur de ta voix Rempliſſant tout ce petit bois, Fit dire aux Faunes & aux Fees, Que tu ſurpaſſois mille fois Les Amphions & les Orphees. ,Et quand tu chantais ses trophées, L'extrême douceur de ta voix Remplissant tout ce petit bois, Fit dire aux Faunes et aux Fées, Que tu surpassais mille fois Les Amphions et les Orphées .,,,,,,
Ces lieux aux ſiecles à venir Conſerueront le ſouuenir De ſes beautez & ton martyre. ,Ces lieux aux siècles à venir Conserveront le souvenir De ses beautés et ton martyre.,,,,,,,,,,,,
Iamais ſes riuages fleuris Dans les ſaules qu’ils ont nourris P'orront murmurer le Zephire, Que le beaut nom de ta Cloris Qu’ils t’ont veu ſi ſouuent eſcrire. ,Jamais ses rivages fleuris Dans les saules qu'ils ont nourris P'orront murmurer le Zéphyr, Que le beau nom de ta Cloris Qu'ils t'ont vu si souvent écrire.,,,,,,,,,,
Ta veine ainſi ſan;,Ta veine ainsi san;,,,,,,,,,,,,
faire éfort, Peut forcer les loix de la mort, Faiſant qu'vne beauté mortelle Puiſſe immortellement florir;,faire effort, Peut forcer les lois de la mort, Faisant qu'une beauté mortelle Puisse immortellement fleurir;,,,,,,,,
Et tout en ſemble ſans tarir, Dedans l’inuention nouuelle D’vn liure qui ne peut mourir, Nous faire voir l’ame immortelle. ,Et tout en semble sans tarir, Dedans l'invention nouvelle D'un livre qui ne peut mourir, Nous faire voir l'âme immortelle.,,,,,,,,
Ceux qui n'oſent calomnier, Pourront-ils deſormais nier, Que malgré leur malice noire Tu ayes par tout l’vniuers, Immortalizé dans tes vers Ton innocence, auec ta gloire:,Ceux qui n'osent calomnier, Pourront-ils désormais nier, Que malgré leur malice noire Tu aies par tout l'univers, Immortalisé dans tes vers Ton innocence, avec ta gloire:,,,,
Et fait mourir de ces peruers L’honneur auecques la memoire?,Et fait mourir de ces pervers L'honneur avecques la mémoire?,,,,,,,,,,,,
Grand eſprit que tes vers ſacrez Soyent deſormais à Dieu ſacrez, Dans la douceur d’vn graue ſtile, Dy ſes miracles inoüir:,Grand esprit que tes vers sacrés Soient désormais à Dieu sacrés, Dans la douceur d'un grave style, Dis ses miracles inoüir:,,,,,,,,
Ne tient ces talens enfoüis;,Ne tient ces talents enfouis;,,,,,,,,,,,,
Le monde attend que THEOPHILE, A chanter l'honneur de LOVYS, Doit rauir l’honneur à VIRGILE. ,Le monde attend que THÉOPHILE, A chanter l'honneur de LOUIS, Doit ravir l’honneur à VIRGILE.,,,,,,,,
Cet argument qu’on peut traitter, ,Cet argument qu'on peut traiter, ,,,,,,,,,,
Et ſans mentir, & ſans flatter Eſt digne d’exercer tes veilles:,Et sans mentir, et sans flatter Est digne d'exercer tes veilles:,,,,,,,,,,
Ie ſçay bien que pour le loüer Ta langue ſe peut denoüer Auec des graces nompareilles:,Je sais bien que pour le louer Ta langue se peut dénouer Avec des grâces nonpareilles:,,,,,,,,,,,,
Toutesfois il faut auoüer Que c'eſt trop peu pour ſes merueilles. ,Toutefois il faut avouer Que c'est trop peu pour ses merveilles.,,,,,,,,,,,,
Sa muſe ayant ia ſurmonté Ce que les Francois ont chanté, ,Sa muse ayant jà surmonté Ce que les Français ont chanté, ,,,,,,,,,,
Et rendu leurs bouches muëttes;,Et rendu leurs bouches muettes;,,,,,,,,,,,,
Fait voir au monde à ceste fois Que du deſtin les iuſtes loix Ayent pour des raiſons ſecrettes Gardé pour le plus grand des Roys Le premier Prince des Poëtes. ,Fait voir au monde à cette fois Que du destin les justes lois Aient pour des raisons secrètes Gardé pour le plus grand des Rois Le premier Prince des Poètes.,,,,,,,,,,,,
TRAICTÉ DE L’IMMORTALITE' DE L'AME, OV LA MORT DE Socrate, par Theophile. ,TRAITÉ DE L'IMMORTALITÉ DE L'ÂME, OU LA MORT DE Socrate, par Théophile.,,,,,,,,
PHÆDON. ,PHÉDON.,,,,,,,,,,,,
M Oy dans la Cité d Athenes Viſitay Socrate en priſon, ,M Oi dans la Cité d Athènes Visitai Socrate en prison, ,,,,,,,,,,
Et qui vis comme le poiſon Acheua ſes dernieres peines;,Et qui vis comme le poison Acheva ses dernières peines;,,,,,,,,,,,,
Ie t’adiure par le diſcours Dont il voulut finir ſes iours, De le voir peint dans mon ouurage, Où i'ay faict auſſi peu d'effort Qu’en fit ce genereux courage Dans les atteintes de ſa mort. ,Je t'adjure par le discours Dont il voulut finir ses jours, De le voir peint dans mon ouvrage, Où j'ai fait aussi peu d'effort Qu'en fit ce généreux courage Dans les atteintes de sa mort.,,,,,,,,
Quelques Dieux, comme par enuie, Le voyant ſi bien raiſonner, Apres l'auoir faict condamner Alongerent vn peu ſa vie, Affin que la mort euſt loiſir Auparauant que le ſaiſir De ſe peindre plus effroyable, ,Quelques Dieux, comme par envie, Le voyant si bien raisonner, Après l'avoir fait condamner Allongèrent un peu sa vie, Afin que la mort eût loisir Auparavant que le saisir De se peindre plus effroyable, ,,
Et ſans ceſſe luy diſcourir De ſon Arreſt impitoyable, Pour le faire long temps mourir. ,Et sans cesse lui discourir De son Arrêt impitoyable, Pour le faire long temps mourir.,,,,,,,,,,
Vne aduenture inopinée Tentant ſa reſolution, Auant ſe taire il nous fit prendre enuie De l’aller ſuiure au ſortir de la vie. ,Une aventure inopinée Tentant sa résolution, Avant se taire il nous fit prendre envie De l'aller suivre au sortir de la vie.,,,,,,,,,,
Tout au meſme inſtant qu’on luy eut oſté les fers, il porta les mains ſur les meurtriſſeures qui luy demangeoient, & gouſtant ſans eſtre diuerty la douceur de ce ſoulagement. ,Tout au même instant qu'on lui eut ôté les fers, il porta les mains sur les meurtrissures qui lui démangeaient, et goûtant sans être diverti la douceur de ce soulagement.,,,,,,,,
Voyez (dit-il) comme au plus grand malheur La volupté ſuit de prés la douleur, I'ay ce ſoulas à cauſe de la chaiſne, ,Voyez (dit-il) comme au plus grand malheur La volupté suit de près la douleur, J'ai ce soulas à cause de la chaîne, ,,,,,,,,
Et ce plaiſir à cauſe de ma peine. ,Et ce plaisir à cause de ma peine.,,,,,,,,,,,,
Que c’eſt vne choſe merueilleuſe, diſoit-il, que ce ſentiment que les hommes appellent plaiſir, & qu’il a vn eſtrãge rapport à la douleur qui sẽble eſtre ſon cõtraire:,Que c'est une chose merveilleuse, disait-il, que ce sentiment que les hommes appellent plaisir, et qu'il a un étrange rapport à la douleur qui semble être son contraire:,,,,,,
car ils ne peuuẽt eſtre enſemble, & ſi nous ne ſçaurions gouſter de l’vn sãs participer à l’autre, & s’entretouchẽt tous deux, comme s’ils tenoient à quelque bout. Æſope sãs doute, s’il euſt iamais reſvé là deſſus, euſt faict quelque fable de cette meditation. ,car ils ne peuvent être ensemble, et si nous ne saurions goûter de l'un sans participer à l'autre, et s'entretouchent tous deux, comme s'ils tenaient à quelque bout. Ésope sans doute, s'il eût jamais rêvé là dessus, eût fait quelque fable de cette meditation.,,
Que Dieu voulant accorder deux choſes ſi ennemies, & n’en faire qu’vne comme il ne le peut du tout, au moins les auroit il fait ioindre par leurs extremitez, ſi bien que l'vn ſe trouuaſt touſiours à la ſuitte de l’autre, ce qui me vient d’arriuer tout maintenant:,Que Dieu voulant accorder deux choses si ennemies, et n'en faire qu'une comme il ne le peut du tout, au moins les aurait il fait joindre par leurs extrémités, si bien que l'un se trouvât toujours à la suite de l'autre, ce qui me vient d'arriver tout maintenant:,,,,
car les chaiſnes qui me faiſoient mal aux pieds, n’ont pas eſté ſi toſt laſchées, que i’en ay en de la ioye, & de l’allegement. ,car les chaînes qui me faisaient mal aux pieds, n'ont pas été si tôt lâchées, que j'en ai en de la joie, et de l'allègement.,,,,,,
Là deſſus vn de ſes amis nommé Cebes, l'interrompit pour ſçauoir de luy, à quel ſujet il s’eſtoit amusé à faire des vers en la priſon:,Là dessus un de ses amis nommé Cébès, l'interrompit pour savoir de lui, à quel sujet il s'était amusé à faire des vers en la prison:,,,,,,,,
car il y en auoit faict depuis peu, ce qui ne luy eſtoit arriué iamais auparauant. ,car il y en avait fait depuis peu, ce qui ne lui était arrivé jamais auparavant.,,,,,,,,,,
Cebes l’interrogeoit de cela, & pour ſa curioſité, & pour celle de quelques autres, mais notamment d’vn certain Euenus Poëte, qui l’auoit,Cébès l'interrogeait de cela, et pour sa curiosité, et pour celle de quelques autres, mais notamment d'un certain Événos Poète, qui l'avait,,,,
