FABLES, OV HISTOIRES ALLEGORIQVES.	FABLES, OU HISTOIRES ALLÉGORIQUES.
Ayant veu l’Amour pluſieurs fois,	Ayant vu l’Amour plusieurs fois,
Décocher ſes fléches mortelles,	Décocher ses flèches mortelles,
Sur les cœurs de maintes Cruelles ;	Sur les cœurs de maintes Cruelles;
Comme luy, voulut eſtre Archer,	Comme lui, voulut être Archer,
Et fléches d’Amour décocher.	Et flèches d’Amour décocher.
Il euſt donné leçon d’adreſſe,	Il eût donné leçon d’adresse,
A tout maiſtre en tours de ſoupleſſe.	À tout maitre en tours de souplesse.
Il prend ſi bien ſon temps, choiſit ſi bien ſon lieu,	Il prend si bien son temps, choisit si bien son lieu,
Qu’il détrouſſe le petit Dieu.	Qu’il détrousse le petit Dieu.
Enrichy d’un butin ſi rare,	Enrichi d’un butin si rare,
A se cupidonner le Magot ſe prepare ;	À se cupidonner le Magot se prépare;
Endoſſe le carquois, s’affuble du bandeau,	Endosse le carquois, s’affuble du bandeau,
En conquerant des cœurs, ſe rengorge, & ſe quarre,	En conquérant des cœurs, se rengorge, et se quarre,
Et ſe mirant dans un ruiſſeau,	Et se mirant dans un ruisseau,
Se prend pour Cupidon, tant il ſe trouve beau.	Se prend pour Cupidon, tant il se trouve beau.
Ces Animaux pour l’ordinaire,	Ces Animaux pour l’ordinaire,
Naiſſent ſçavans, en l’art de contrefaire,	Naissent savants, en l’art de contrefaire,
Et dans le langage commun,	Et dans le langage commun,
Singe, & Copiſte ce n’eſt qu’un.	Singe, et Copiste ce n’est qu’un.
Celuy-cy donc campé dans un boccage,	Celui-ci donc campé dans un bocage,
Attend une Nymphe au paſſage,	Attend une Nymphe au passage,
Et comme ſouvent le hazard,	Et comme souvent le hasard,
Aux bleſſures du cœur a la meilleure part,	Aux blessures du cœur a la meilleure part,
Noſtre Archer d’eſpece nouvelle ;	Notre Archer d’espèce nouvelle;
Atteint droit au cœur de la Belle.	Atteint droit au cœur de la Belle.
Iamais la Nymphe avant ce jour,	Jamais la Nymphe avant ce jour,
N’avoit ſenty les fléches de l’amour.	N’avait senti les flèches de l’amour.
Si cette bleſſure cruelle,	Si cette blessure cruelle,
Fut un cas ſurprenant pour elle ;	Fut un cas surprenant pour elle;
I’en fais Iuge le jeune cœur,	J’en fais Juge le jeune cœur,
Atteint de pareille douleur.	Atteint de pareille douleur.
Iour, & nuict, la nouvelle Amante	Jour, et nuit, la nouvelle Amante
Soûpire, ſe plaint, ſe tourmente,	Soupire, se plaint, se tourmente,
Sans ſçavoir ce qu’elle ſentoit,	Sans savoir ce qu’elle sentait,
Ny pourquoy tant ſe lamentoit,	Ni pourquoi tant se lamentait,
Maiſtre Magot darde-ſagette,	Maitre Magot darde-sagette,
Qui mieux inſtruit du mal de la Pauvrette,	Qui mieux instruit du mal de la Pauvrette,
S’applaudiſſoit de ſa dexterité,	S’applaudissait de sa dextérité,
Se voyant la Divinité,	Se voyant la Divinité,
Pour qui ſe preparoit l’amoureux Sacrifice,	Pour qui se préparait l’amoureux Sacrifice,
Se tenoit fier comme un Narciſſe.	Se tenait fier comme un Narcisse.
Quand la Belle par ſes ſoûpirs,	Quand la Belle par ses soupirs,
Exprimoit ſes tendres deſirs ;	Exprimait ses tendres désirs;
Que de ſes yeux, la langueur indiſcrette,	Que de ses yeux, la langueur indiscrète,
A ſon cœur ſervoit d’interprete,	À son cœur servait d’interprète,
Peu s’en faloit, qu’en ce moment,	Peu s’en fallait, qu’en ce moment,
L’indigne Auteur de ſon tourment,	L’indigne Auteur de son tourment,
Ne ſe cruſt ce qu’il feignoit d’eſtre.	Ne se crût ce qu’il feignait d’être.
Il euſt avec l’amour diſputé d’agrément,	Il eût avec l’amour disputé d’agrément,
Tant l’orgueil nous fait méconnoiſtre.	Tant l’orgueil nous fait méconnaître.
Mais on voit ordinairement,	Mais on voit ordinairement,
Que la Gloire ſans fondement,	Que la Gloire sans fondement,
Eſt chimerique, & peu durable.	Est chimérique, et peu durable.
Du carquois dérobé, le Maiſtre redoutable,	Du carquois dérobé, le Maitre redoutable,
Cherchoit plein de reſſentiment,	Cherchait plein de ressentiment,
Le ſacrilege Auteur, d’un fait ſi puniſſable.	Le sacrilège Auteur, d’un fait si punissable.
Le ſort le guida ſur le lieu,	Le sort le guida sur le lieu,
Où le Magot paré des dépoüilles du Dieu,	Où le Magot paré des dépouilles du Dieu,
Recevoit l’amoureux hommage	Recevait l’amoureux hommage
Qu’on devoit à ſon Equipage.	Qu’on devait à son Équipage.
Si Cupidon fut offensé ;	Si Cupidon fut offensé;
Qu’un Magot pour luy ſe fiſt prendre,	Qu’un Magot pour lui se fît prendre,
Et comme tel fuſt encenſé,	Et comme tel fût encensé,
Il eſt aisé de le comprendre.	Il est aisé de le comprendre.
Quoy ? dit-il, ce ridé Muſeau,	Quoi? dit-il, ce ridé Museau,
A la faveur de mon Bandeau,	À la faveur de mon Bandeau,
Chez les Mortels remplit ma Place ?	Chez les Mortels remplit ma Place?
A ces mots Meſſire l’Amour,	À ces mots Messire l’Amour,
Détrouſſe le Singe à ſon tour,	Détrousse le Singe à son tour,
Montre à nud ſa laide grimace,	Montre à nu sa laide grimace,
Et tirant la Nymphe d’erreur,	Et tirant la Nymphe d’erreur,
Fit naiſtre un plus beau feu, dans ſon aveugle cœur.	Fit naitre un plus beau feu, dans son aveugle cœur.
Ainſi l’ame préoccupée,	Ainsi l’âme préoccupée,
Et par l’apparence trompée,	Et par l’apparence trompée,
Eleve aux hommes des Autels,	Élève aux hommes des Autels,
Qui ne ſont deus qu’aux Immortels.	Qui ne sont dus qu’aux immortels.
Le bandeau de l’Amour, fait des Metamorphoſes	Le bandeau de l’Amour, fait des Métamorphoses
Des plus deſagreables choſes ;	Des plus désagréables choses;
Mais quand un retour de raiſon,	Mais quand un retour de raison,
Peut enfin trouver ſa ſaiſon,	Peut enfin trouver sa saison,
Ou qu’un Amour, d’une plus pure eſſence,	Ou qu’un Amour, d’une plus pure essence,
A nos cœurs prevenus, fait ſentir ſa puiſſance,	A nos cœurs prévenus, fait sentir sa puissance,
Combien trouvons-nous odieux	Combien trouvons-nous odieux
Ce qu’avoient admiré nos yeux ?	Ce qu’avaient admiré nos yeux?
FABLE III.	FABLE III.
La Cigale, le Hanneton, & l’Eſcarbot.	La Cigale, le Hanneton, et l’Escarbot.
LA Cigale, & le Hanneton,	La Cigale, et le Hanneton,
Contracterent jadis un mariage enſemble ;	Contractèrent jadis un mariage ensemble;
Et comme pour un jour, dit-on,	Et comme pour un jour, dit-on,
Tout Hymen à l’Amour reſſemble,	Tout Hymen à l’Amour ressemble,
Le leur eut d’abord la beauté	Le leur eut d’abord la beauté
Qui ſuit touſiours la nouveauté.	Qui suit toujours la nouveauté.
L’Epoux trouvoit l’Epouſe belle,	L’Époux trouvait l’Épouse belle,
Comme elle le trouvoit charmant,	Comme elle le trouvait charmant,
Ce n’eſtoit que tranſport, & que raviſſement,	Ce n’était que transport, et que ravissement,
Ils ſe juroient une ardeur eternelle,	Ils se juraient une ardeur éternelle,
Et croyoient tenir leur ſerment.	Et croyaient tenir leur serment.
Mais tels ſermens ſe tiennent rarement,	Mais tels serments se tiennent rarement,
Ce premier jour qu’un long uſage,	Ce premier jour qu’un long usage,
A fait nommer communément,	A fait nommer communément,
Le ſeul heureux du Mariage,	Le seul heureux du Mariage,
Eſtoit à peine encor paſsé ;	Était à peine encor passé;
Que le nouveau Couple laſsé	Que le nouveau Couple lassé
De ſi longue Paix domeſtique,	De si longue Paix domestique,
En interrompit la pratique.	En interrompit la pratique.
Le Hanneton alloit ſouvent	Le Hanneton allait souvent
Voir une Gueſpe ſa voiſine :	Voir une Guêpe sa voisine:
Dame Cigale en eut le vent,	Dame Cigale en eut le vent,
Pour moins Epouſe ſe mutine.	Pour moins Épouse se mutine.
Elle entre en feminin courroux,	Elle entre en féminin courroux,
Accuſe le coquet Epoux,	Accuse le coquet Époux,
De fauſſer la Foy conjugale,	De fausser la Foi conjugale,
Hanneton de s’enfuïr aux cris de la Cigale ;	Hanneton de s’enfuir aux cris de la Cigale;
Elle, de redoubler ſes cris ;	Elle, de redoubler ses cris;
Luy, de l’accuſer de manie,	Lui, de l’accuser de manie,
Adieu l’amour & les ſoûris,	Adieu l’amour et les souris,
Au triſte Hymen ils fauſſent compagnie.	Au triste Hymen ils faussent compagnie.
Le Hanneton, morne & tranſſi,	Le Hanneton, morne et transi,
Connoiſſant, mais trop tard, les ſoucis du ménage,	Connaissant, mais trop tard, les soucis du ménage,
Va conſulter ſur ſon ſoucy,	Va consulter sur son souci,
Un Eſcarbot du voiſinage.	Un Escarbot du voisinage.
Cét Animal n’avoit point ſon pareil,	Cet Animal n’avait point son pareil,
Il décidoit de tout en Auditeur de Rote,	Il décidait de tout en Auditeur de Rote,
Et toute la Gent Eſcarbote	Et toute la Gent Escarbote
N’agiſſoit que par ſon conſeil.	N’agissait que par son conseil.
Compere, dit-il au Mary,	Compère, dit-il au Mari,
Ce ſont ſuites de l’Hymenée,	Ce sont suites de l’Hyménée,
Vous n’eſtes pas le ſeul Epoux marry	Vous n’êtes pas le seul Époux marri
Qui déplore ſa deſtinée.	Qui déplore sa destinée.
Nous autres petits Eſcarbots,	Nous autres petits Escarbots,
En de pareilles conjonctures,	En de pareilles conjonctures,
Entendons dire de bons mots	Entendons dire de bons mots
A Meſdames les creatures.	À Mesdames les créatures.
Quand pour divertir ſon chagrin,	Quand pour divertir son chagrin,
Un homme vient à ſon voiſin,	Un homme vient à son voisin,
Faire en ſe promenant ſecrette confidence,	Faire en se promenant secrète confidence,
Luy conter ſes douleurs, & ſes ſoupçons jaloux,	Lui conter ses douleurs, et ses soupçons jaloux,
Dieu ſçait ſi pour avoir des témoins tels que nous,	Dieu sait si pour avoir des témoins tels que nous,
Il en dit moins tout ce qu’il penſe.	Il en dit moins tout ce qu’il pense.
Ecoutez, ce que l’autre jour	Écoutez, ce que l’autre jour
J’entendois raconter à Seigneur d’apparence :	J’entendais raconter à Seigneur d’apparence:
J’épouſay, diſoit-il, une veuve de France,	J’épousai, disait-il, une veuve de France,
Des premieres de cette Cour :	Des premières de cette Cour:
Soit que pour témoigner un amour plus parfait,	Soit que pour témoigner un amour plus parfait,
Elle cruſt à propos de paroiſtre jalouſe,	Elle crût à propos de paraitre jalouse,
Ou qu’elle le fuſt en effet,	Ou qu’elle le fût en effet,
Touſiours quelque ſoupçon tourmentoit mon Epouſe ;	Toujours quelque soupçon tourmentait mon Épouse;
Je n’avois plus un moment de repos,	Je n’avais plus un moment de repos,
Sur la moindre viſite, ou le moindre propos.	Sur la moindre visite, ou le moindre propos.
Noſtre Jalouſe avoit un reproche à me faire ;	Notre Jalouse avait un reproche à me faire;
Un Amant me tira d’affaire,	Un Amant me tira d’affaire,
Il nâquit certaine amitié,	Il naquit certaine amitié,
Dans le cœur de noſtre Moitié,	Dans le cœur de notre Moitié,
Plus fine d’un carat que l’eſtime ordinaire ;	Plus fine d’un carat que l’estime ordinaire;
Depuis ce jour, tout fut calme chez moy,	Depuis ce jour, tout fut calme chez moi,
Je fus reſpecté comme un Roy ;	Je fus respecté comme un Roi;
On ne ſongeoit plus qu’à me plaire.	On ne songeait plus qu’à me plaire.
Compere Hanneton, pourſuivit l’Eſcarbot,	Compère Hanneton, poursuivit l’Escarbot,
Si tu ſçais le ſecret d’entendre à demy-mot,	Si tu sais le secret d’entendre à demi-mot,
Fais ton profit de l’avis ſalutaire.	Fais ton profit de l’avis salutaire.
Laiſſe gronder ta femme tout le jour,	Laisse gronder ta femme tout le jour,
Ou ſi tu veux la faire taire,	Ou si tu veux la faire taire,
Permets-luy de faire l’amour.	Permets-lui de faire l’amour.
Dame trop prude, & beaucoup de raiſon,	Dame trop prude, et beaucoup de raison,
Eſt un aſſortiment fort difficile à faire ;	Est un assortiment fort difficile à faire;
Et pour la paix de la Maiſon,	Et pour la paix de la Maison,
Un peu d’intrigue, eſt un mal neceſſaire.	Un peu d’intrigue, est un mal nécessaire.
FABLE IV.	FABLE IV.
Le Sanſonnet, & le Coucou.	Le Sansonnet, et le Coucou.
VN Sanſonnet, Jargonneur ſignalé,	Un Sansonnet, Jargonneur signalé,
De captif qu’il eſtoit, devenu volontaire,	De captif qu’il était, devenu volontaire,
De deſirs amoureux ſe trouva régalé :	De désirs amoureux se trouva régalé:
C’eſt de l’indépendance, une ſuite ordinaire.	C’est de l’indépendance, une suite ordinaire.
Il dreſſe ſon petit Grabat	Il dresse son petit Grabat
Dans un Buiſſon de Noble-Epine,	Dans un Buisson de Noble-Épine,
Vn Coucou fameux ſcelerat,	Un Coucou fameux scélérat,
Qui, comme chacun ſçait ne vit que de rapine,	Qui, comme chacun sait ne vit que de rapine,
Qui va de Nid, en Nid croquant les œufs d’autruy	Qui va de Nid, en Nid croquant les œufs d’autrui
Et les remplaçant d’œufs de luy,	Et les remplaçant d’œufs de lui,
Au Nid du Sanſonnet, traduiſit ſon lignage.	Au Nid du Sansonnet, traduisit son lignage.
Noſtre amy Jargonneur, ignoroit cét uſage ;	Notre ami Jargonneur, ignorait cet usage;
Il fut dés ſa jeuneſſe élevé parmy nous,	Il fut dès sa jeunesse élevé parmi nous,
Et vivoit, par hazard, en honneſte ménage,	Et vivait, par hasard, en honnête ménage,
Où l’on ne parloit point des ruſes des Coucous.	Où l’on ne parlait point des ruses des Coucous.
Frere le Roſſignol, diſoit-il en luy-meſme,	Frère le Rossignol, disait-il en lui-même,
Couvant les nouveaux Oeufs avec un ſoin extrême,	Couvant les nouveaux Œufs avec un soin extrême,
Vous vous vantez d’eſtre le Roy des Bois ;	Vous vous vantez d’être le Roi des Bois;
Mais ſi jamais ma Famille eſt écloſe,	Mais si jamais ma Famille est éclose,
Ha ! Foy de Sanſonnet, c’eſt bien à cette fois,	Ha! Foi de Sansonnet, c’est bien à cette fois,
Que vous aurez la gorge cloſe.	Que vous aurez la gorge close.
Dans voſtre Art de roſſignoler,	Dans votre Art de rossignoler,
Vous donnez des leçons, à tout ce que nous ſommes ;	Vous donnez des leçons, à tout ce que nous sommes;
Mais, mes petits ſçauront parler,	Mais, mes petits sauront parler,
Comme parlent Meſſieurs les hommes.	Comme parlent Messieurs les hommes.
Ces petits long-temps attendus,	Ces petits longtemps attendus,
Et de tout mal-heur deffendus,	Et de tout malheur défendus,
Il plût à l’Eternel de donner la lumiere	Il plût à l’Éternel de donner la lumière
A nos Sanſonnets pretendus.	À nos Sansonnets prétendus.
Maiſtre Oyſeleur, d’eſpece ſinguliere,	Maitre Oiseleur, d’espèce singulière,
Se promet d’exercer ſon Meſtier doctement,	Se promet d’exercer son Métier doctement,
Le Plumage coucou, bleſſoit un peu ſa veuë,	Le Plumage coucou, blessait un peu sa vue,
Mais il eſperoit en la meuë,	Mais il espérait en la mue,
Les Peres, comme on ſçait, ſe flatent aisément.	Les Pères, comme on sait, se flattent aisément.
Le voilà donc, tenant Ecole de ramage,	Le voilà donc, tenant École de ramage,
Il n’eſt dictons, ou quolibets,	Il n’est dictons, ou quolibets,
Qu’apprennent tels Oyſeaux en cage,	Qu’apprennent tels Oiseaux en cage,
Qu’il ne ſiffle aux Coucous, reputez Sanſonnets.	Qu’il ne siffle aux Coucous, réputés Sansonnets.
Parlez, leur diſoit-il, parlez l’humain langage,	Parlez, leur disait-il, parlez l’humain langage,
C’eſt le plus éloquent de tous,	C’est le plus éloquent de tous,
Coucou, répondent les Coucous,	Coucou, répondent les Coucous,
Il n’en peut tirer autre choſe,	Il n’en peut tirer autre chose,
Quoy qu’il entonne, ou qu’il propoſe,	Quoi qu’il entonne, ou qu’il propose,
Coucous ne diſent que Coucou :	Coucous ne disent que Coucou:
Le Sanſonnet penſa devenir fou.	Le Sansonnet pensa devenir fou.
Depuis quand, diſoit-il, cette Metamorphoſe ?	Depuis quand, disait-il, cette Métamorphose?
Comment œufs de Coucou ſont-ils ſortis de moy ?	Comment œufs de Coucou sont-ils sortis de moi?
Du temps que j’augmentay l’eſpece volatille,	Du temps que j’augmentai l’espèce volatille,
Tout Oyſeau n’engendroit qu’Oyſeau ſemblable à ſoy :	Tout Oiseau n’engendrait qu’Oiseau semblable à soi:
C’eſt depuis que j’habite en humaine famille,	C’est depuis que j’habite en humaine famille,
Que la Nature a fait cette nouvelle Loy.	Que la Nature a fait cette nouvelle Loi.
Mais quoy ? reprenoit-il, dans cette Loy nouvelle,	Mais quoi? reprenait-il, dans cette Loi nouvelle,
La Nature ſe trompe, ou n’eſt plus naturelle.	La Nature se trompe, ou n’est plus naturelle.
Pourquoy moy Sanſonnet engendrer des Coucous ?	Pourquoi moi Sansonnet engendrer des Coucous?
Pourquoy couver des œufs, qui ne ſont point à nous ?	Pourquoi couver des œufs, qui ne sont point à nous?
Pourquoy ?…… ſans doute il euſt pouſsé loin le murmure ;	Pourquoi?…… sans doute il eût poussé loin le murmure;
Mais un Milan paſſant par là,	Mais un Milan passant par là,
Quoy ? luy dit-il, ce n’eſt que pour cela	Quoi? lui dit-il, ce n’est que pour cela
Que tu vas de Povrqvoy fatiguant la Nature ?	Que tu vas de Pourquoi fatiguant la Nature?
Hé ! mon amy ton mal eſt devenu commun,	Hé! mon ami ton mal est devenu commun,
Parmy les Animaux, je n’en connois aucun	Parmi les Animaux, je n’en connais aucun
Qui ne puiſſe s’attendre à pareille aventure.	Qui ne puisse s’attendre à pareille aventure.
FABLE V.	FABLE V.
Le Papillon, le Freſlon, & la Chenille.	Le Papillon, le Frelon, et la Chenille.
UN vieux Freſlon depuis long-temps	Un vieux Frelon depuis longtemps
Avoit fait des deſſeins ſur une Tubereuſe ;	Avait fait des desseins sur une Tubereuse;
Un Papillon, nouveau fils du Printemps,	Un Papillon, nouveau fils du Printemps,
Traverſoit en ſecret, ſa fortune amoureuſe.	Traversait en secret, sa fortune amoureuse.
De grand murmure, & de ſanglant combat,	De grand murmure, et de sanglant combat,
Se vit alors la prochaine apparence,	Se vit alors la prochaine apparence,
C’eſt touſiours de la concurrence,	C’est toujours de la concurrence,
Que naiſſent le bruit & l’éclat.	Que naissent le bruit et l’éclat.
A maintenir leurs droits, les Rivaux s’appreſterent.	À maintenir leurs droits, les Rivaux s’apprêtèrent.
Pere Freſlon de bourdonner,	Père Frelon de bourdonner,
Papillon de papillonner,	Papillon de papillonner,
Tant volerent, tant bourdonnerent,	Tant volèrent, tant bourdonnèrent,
Qu’enfin l’Amour ils obligerent,	Qu’enfin l’Amour ils obligèrent,
A juger de leur different.	À juger de leur différend.
Il cite devant luy le Couple concourant,	Il cite devant lui le Couple concourant,
Leur ordonne à tous deux, d’expoſer l’aventure :	Leur ordonne à tous deux, d’exposer l’aventure:
Jamais ſans doute avant ce jour,	Jamais sans doute avant ce jour,
Ils ne s’eſtoient trouvez en telle conjoncture ;	Ils ne s’étaient trouvés en telle conjoncture;
Mais tout parle dans la Nature,	Mais tout parle dans la Nature,
Quand il s’agit d’obeyr à l’Amour.	Quand il s’agit d’obéir à l’Amour.
Je ſuis, dit le premier, un Freſlon qu’on eſtime	Je suis, dit le premier, un Frelon qu’on estime
Pour ſon labeur & pour ſon rang.	Pour son labeur et pour son rang.
D’un eſſain renommé le Prince legitime	D’un essaim renommé le Prince légitime
Me reconnoiſt pour eſtre de ſon Sang :	Me reconnait pour être de son Sang:
Cette tubereuſe naiſſante,	Cette tubereuse naissante,
Par ſa jeuneſſe floriſſante,	Par sa jeunesse florissante,
A ſceu meriter mon ardeur ;	A su mériter mon ardeur;
Depuis le jour qu’elle eſt écloſe,	Depuis le jour qu’elle est éclose,
Je voltige ſans ceſſe autour de cette Fleur,	Je voltige sans cesse autour de cette Fleur,
Et quitte pour la voir, Lys, Anemone, & Roſe,	Et quitte pour la voir, Lys, Anémone, et Rose,
Qui tenoient de ma part, ces ſoins à grand honneur.	Qui tenaient de ma part, ces soins à grand honneur.
Ce foible Papillon, cette fragile engeance,	Ce faible Papillon, cette fragile engeance,
Qui parmy nous s’oſe à peine enrôler,	Qui parmi nous s’ose à peine enrôler,
Sans redouter l’effet de ma vengeance	Sans redouter l’effet de ma vengeance
Sur mes traces ſemble voler.	Sur mes traces semble voler.
Si pour travailler à ma taſche,	Si pour travailler à ma tâche,
Je donne à mes deſirs, un moment de relaſche,	Je donne à mes désirs, un moment de relâche,
Ou vais ſuccer d’un fruit le naiſſant vermillon,	Ou vais sucer d’un fruit le naissant vermillon,
Quand ie viens reparer prés de ma Tubereuſe,	Quand je viens réparer près de ma Tubereuse,
Une abſence ſi douloureuſe ;	Une absence si douloureuse;
J’y retrouve touſiours l’aſſidu Papillon :	J’y retrouve toujours l’assidu Papillon:
Faut-il qu’un Freſlon de ma ſorte,	Faut-il qu’un Frelon de ma sorte,
Chery de Flore, envié des Zephirs,	Chéri de Flore, envié des Zéphyrs,
Souffre qu’un Papillon apporte	Souffre qu’un Papillon apporte
Un obſtacle ſecret à ſes tendres deſirs ?	Un obstacle secret à ses tendres désirs?
Qu’il oſe impunément luy diſputer la place,	Qu’il ose impunément lui disputer la place,
Exciter ſa colere, & ſes ſoupçons ialoux ?	Exciter sa colère, et ses soupçons jaloux?
Ay-je tord de vouloir reprimer cette audace ?	Ai-je tort de vouloir réprimer cette audace?
Grand Dieu, je m’en rapporte à vous.	Grand Dieu, je m’en rapporte à vous.
C’eſt, dit le Papillon, avoir mauvaiſe grace,	C’est, dit le Papillon, avoir mauvaise grâce,
Et faire à ce Dieu mal ſa Cour,	Et faire à ce Dieu mal sa Cour,
Que d’expoſer ſon travail & ſa Race,	Que d’exposer son travail et sa Race,
Quand il s’agit des faveurs de l’Amour.	Quand il s’agit des faveurs de l’Amour.
Moy Papillon, je ne me vente	Moi Papillon, je ne me vante
Ny d’anceſtres fameux, ny d’exploits importans ;	Ni d’ancêtres fameux, ni d’exploits importants;
Mais ma parure eſt éclatante,	Mais ma parure est éclatante,
Et j’en change tous les Printems.	Et j’en change tous les Printemps.
À la ſaison que les Roſes nouvelles	À la saison que les Roses nouvelles
Eſtalent à mes yeux leurs beautez naturelles,	Étalent à mes yeux leurs beautés naturelles,
Si je me trouve épris de leurs jeunes appas,	Si je me trouve épris de leurs jeunes appas,
Je ne prends point mon vol vers elles,	Je ne prends point mon vol vers elles,
Que l’éclat qui ſort de mes aîles	Que l’éclat qui sort de mes ailes
Ne m’ait devancé de cent pas.	Ne m’ait devancé de cent pas.
J’ay du brillant, de la jeuneſſe,	J’ai du brillant, de la jeunesse,
De l’enjoument, & de la propreté :	De l’enjouement, et de la propreté:
Je ſuis leger, je le confeſſe,	Je suis léger, je le confesse,
Mais je rends grace au Ciel de ma legereté,	Mais je rends grâce au Ciel de ma légèreté,
Lors que Papillonnant, de fleurette en fleurette,	Lorsque Papillonnant, de fleurette en fleurette,
Indifferemment ie muguette	Indifféremment je muguette
Tout ce qui paroiſt à mes yeux,	Tout ce qui parait à mes yeux,
Cette inconſtance eſt ſouvent une addreſſe	Cette inconstance est souvent une adresse
Pour inſpirer à la Fleur ma Maiſtreſſe	Pour inspirer à la Fleur ma Maitresse
Le deſir de m’arreſter mieux.	Le désir de m’arrêter mieux.
