PREMIERE PARTIE, DES PASSIONS EN GENERAL: Et par occaſion de toute la nature de l’homme.	PREMIÈRE PARTIE, DES PASSIONS EN GÉNÉRAL: Et par occasion de toute la nature de l’homme.
Meſme tous ceux que l’authorité des Anciens n’a point entierement aveuglez, & qui ont voulu ouvrir les yeux pour examiner l’opinion d’Herveus touchant la circulation du ſang, ne doutent point que toutes les venes & les arteres du corps, ne ſoient comme des ruiſſeaux, par où le ſang coule ſans ceſſe fort promptement, en prenant ſon cours de la cavité droite du cœur par la vene arterieuſe, dont les branches ſont eſparſes en tout le poumon, & jointes à celles de l’artere veneuſe, par laquelle il paſſe du poumon dans le coſté gauche du cœur, puis de là il va dans la grande artere, dont les branches eſparſes par tout le reſte du corps ſont jointes aux branches de la vene cave, qui portent derechef le meſme ſang en la cavité droite du cœur:	Même tous ceux que l’autorité des Anciens n’a point entièrement aveuglés, et qui ont voulu ouvrir les yeux pour examiner l’opinion d’Hervaeus touchant la circulation du sang, ne doutent point que toutes les veines et les artères du corps, ne soient comme des ruisseaux, par où le sang coule sans cesse fort promptement, en prenant son cours de la cavité droite du cœur par la veine artérieuse, dont les branches sont éparses en tout le poumon, et jointes à celles de l’artère veineuse, par laquelle il passe du poumon dans le côté gauche du cœur, puis de là il va dans la grande artère, dont les branches éparses par tout le reste du corps sont jointes aux branches de la veine cave, qui portent derechef le même sang en la cavité droite du cœur:
En ſorte que ſes deux cavitez ſont comme des eſcluſes, par chacune deſquelles paſſe tout le ſang, à chaſque tour qu’il fait dans le corps.	En sorte que ses deux cavités sont comme des écluses, par chacune desquelles passe tout le sang, à chaque tour qu’il fait dans le corps.
De plus on ſçait que tous les mouvemens des membres dependent des muſcles;	De plus on sait que tous les mouvements des membres dépendent des muscles;
Et que ces muſcles ſont oppoſez les uns aux autres en telle ſorte, que lors que l’un d’eux s’accourcit, il tire vers ſoy la partie du corps à laquelle il eſt attaché, ce qui fait allonger au meſme temps le muſcle qui luy eſt oppoſé:	Et que ces muscles sont opposés les uns aux autres en telle sorte, que lorsque l’un d’eux s’accourcit, il tire vers soi la partie du corps à laquelle il est attaché, ce qui fait allonger au même temps le muscle qui lui est opposé:
Puis s’il arrive en un autre temps que ce dernier s’accourciſſe, il fait que le premier ſe rallonge, & il retire vers ſoy la partie à laquelle ils ſont attachez.	Puis s’il arrive en un autre temps que ce dernier s’accourcisse, il fait que le premier se rallonge, et il retire vers soi la partie à laquelle ils sont attachés.
En fin on ſçait que tous ces mouvemens des muſcles, comme auſſi tous les ſens, dépendent des nerfs, qui ſont comme de petits filets, ou comme de petits tuyaux qui vienent tous du cerveau, & contienent, ainſy que luy, un certain air ou vent tres-ſubtil, qu’on nomme les eſprits animaux.	Enfin on sait que tous ces mouvements des muscles, comme aussi tous les sens, dépendent des nerfs, qui sont comme de petits filets, ou comme de petits tuyaux qui viennent tous du cerveau, et contiennent, ainsi que lui, un certain air ou vent très-subtil, qu’on nomme les esprits animaux.
Quel eſt le principe de toutes ces fonctions.	Quel est le principe de toutes ces fonctions.
MAis on ne ſçait pas communement, en quelle façon ces eſprits animaux & ces nerfs contribuent aux mouvemens & aux ſens, ny quel eſt le Principe corporel qui les fait agir;	MAis on ne sait pas communément, en quelle façon ces esprits animaux et ces nerfs contribuent aux mouvements et aux sens, ni quel est le Principe corporel qui les fait agir;
c’eſt pourquoy, encore que j’en aye déjà touché quelque choſe en d’autres eſcrits, je ne lairray pas de dire icy ſuccinctement, que pendant que nous vivons il y a une chaleur continuelle en noſtre cœur, qui eſt une eſpece de feu que le ſang des venes y entretient, & que ce feu eſt le principe corporel de tous les mouvemens de nos membres.	c’est pourquoi, encore que j’en aie déjà touché quelque chose en d’autres écrits, je ne laisserai pas de dire ici succinctement, que pendant que nous vivons il y a une chaleur continuelle en notre cœur, qui est une espèce de feu que le sang des veines y entretient, et que ce feu est le principe corporel de tous les mouvements de nos membres.
Comment ſe fait le mouvement du cœur.	Comment se fait le mouvement du cœur.
SOn premier effet eſt qu’il dilate le ſang dont les cavitez du cœur ſont remplies:	SOn premier effet est qu’il dilate le sang dont les cavités du cœur sont remplies:
ce qui eſt cauſe que ce ſang ayant beſoin d’occuper un plus grand lieu, paſſe avec impetuoſité de la cavité droite dans la vene arterieuſe, & de la gauche dans la grande artere.	ce qui est cause que ce sang ayant besoin d’occuper un plus grand lieu, passe avec impétuosité de la cavité droite dans la veine artérieuse, et de la gauche dans la grande artère.
Puis cette dilatation ceſſant, il entre incontinant de nouveau ſang de la vene cave en la cavité droite du cœur, & de l’artere veneuſe en la gauche.	Puis cette dilatation cessant, il entre incontinent de nouveau sang de la veine cave en la cavité droite du cœur, et de l’artère veineuse en la gauche.
Car il y a de petites peaux aux entrées de ces quatre vaiſſeaux tellement diſpoſées, qu’elles font que le ſang ne peut entrer dans le cœur que par les deux derniers, ny en ſortir que par les deux autres.	Car il y a de petites peaux aux entrées de ces quatre vaisseaux tellement disposées, qu’elles font que le sang ne peut entrer dans le cœur que par les deux derniers, ni en sortir que par les deux autres.
Le nouveau ſang entré dans le cœur, y eſt incontinant apres rarefié en meſme façon que le precedent.	Le nouveau sang entré dans le cœur, y est incontinent après raréfié en même façon que le précédent.
Et c’eſt en cela ſeul que conſiſte le pouls ou battement du cœur & des arteres;	Et c’est en cela seul que consiste le pouls ou battement du cœur et des artères;
en ſorte que ce battement ſe reïtere autant de fois qu’il entre de nouveau ſang dans le cœur.	en sorte que ce battement se réitère autant de fois qu’il entre de nouveau sang dans le cœur.
C’eſt auſſi cela ſeul qui donne au ſang ſon mouvement, & fait qu’il coule ſans ceſſe tres-viſte en toutes les arteres & les venes;	C’est aussi cela seul qui donne au sang son mouvement, et fait qu’il coule sans cesse très-vite en toutes les artères et les veines;
au moyen de quoy il porte la chaleur, qu’il acquiert dans le cœur, à toutes les autres parties du corps;	au moyen de quoi il porte la chaleur, qu’il acquiert dans le cœur, à toutes les autres parties du corps;
& il leur ſert de nourriture.	et il leur sert de nourriture.
Comment les eſprits animaux ſont produits dans le cerveau.	Comment les esprits animaux sont produits dans le cerveau.
MAis ce qu’il y a icy de plus conſidérable, c’eſt que toutes les plus vives & plus ſubtiles parties du ſang, que la chaleur a rarefié dans le cœur, entrent ſans ceſſe en grande quantité dans les cavitez du cerveau.	MAis ce qu’il y a ici de plus considérable, c’est que toutes les plus vives et plus subtiles parties du sang, que la chaleur a raréfié dans le cœur, entrent sans cesse en grande quantité dans les cavités du cerveau.
Et la raiſon qui fait qu’elles y vont pluſtoſt qu’en aucun autre lieu, eſt que tout le ſang qui ſort du cœur par la grande artere, prend ſon cours en ligne droite vers ce lieu là, & que n’y pouvant pas tout entrer, à cauſe qu’il n’y a que des paſſages fort étroits, celles de ſes parties qui ſont les plus agitées & les plus ſubtiles y paſſent ſeules, pendant que le reſte ſe répand en tous les autres endroits du corps.	Et la raison qui fait qu’elles y vont plutôt qu’en aucun autre lieu, est que tout le sang qui sort du cœur par la grande artère, prend son cours en ligne droite vers ce lieu là, et que n’y pouvant pas tout entrer, à cause qu’il n’y a que des passages fort étroits, celles de ses parties qui sont les plus agitées et les plus subtiles y passent seules, pendant que le reste se répand en tous les autres endroits du corps.
Or, ces parties du ſang tres-ſubtiles compoſent les eſprits animaux.	Or, ces parties du sang très-subtiles composent les esprits animaux.
Et elles n’ont beſoin à cet effect de recevoir aucun autre changement dans le cerveau, ſinon qu’elles y ſont ſéparées des autres parties du ſang moins ſubtiles.	Et elles n’ont besoin à cet effet de recevoir aucun autre changement dans le cerveau, sinon qu’elles y sont séparées des autres parties du sang moins subtiles.
Car ce que je nomme icy des eſprits, ne ſont que des corps, & ils n’ont point d’autre propriété, ſinon que ce ſont des corps tres-petits, & qui ſe meuvent tres-viſte, ainſi que les parties de la flamme qui ſort d’un flambeau:	Car ce que je nomme ici des esprits, ne sont que des corps, et ils n’ont point d’autre propriété, sinon que ce sont des corps très petits, et qui se meuvent très vite, ainsi que les parties de la flamme qui sort d’un flambeau:
En ſorte qu’ils ne s’areſtent en aucun lieu;	En sorte qu’ils ne s’arrêtent en aucun lieu;
& qu’à meſure qu’il en entre quelques uns dans les cavitez du cerveau, il en ſort auſſi quelques autres par les pores qui ſont en ſa ſubſtance, leſquels pores les conduiſent dans les nerfs, & de la dans les muſcles, au moyen de quoy ils meuvent le corps en toutes les diverſes façons qu’il peut eſtre meu.	et qu’à mesure qu’il en entre quelques uns dans les cavités du cerveau, il en sort aussi quelques autres par les pores qui sont en sa substance, lesquels pores les conduisent dans les nerfs, et de la dans les muscles, au moyen de quoi ils meuvent le corps en toutes les diverses façons qu’il peut être mû.
Comment ſe font les mouvemens des muſcles.	Comment se font les mouvements des muscles.
CAr la ſeule cauſe de tous les mouvemens des membres eſt, que quelques muſcles s’acourciſſent, & que leurs oppoſez s’alongent, ainſi qu’il a deja eſté dit.	CAr la seule cause de tous les mouvements des membres est, que quelques muscles s’accourcissent, et que leurs opposés s’allongent, ainsi qu’il a déjà été dit.
Et la ſeule cauſe qui fait qu’un muſcle s’acourcit pluſtoſt que ſon oppoſé, eſt qu’il vient tant ſoit peu plus d’eſprits du cerveau vers luy que vers l’autre.	Et la seule cause qui fait qu’un muscle s’accourcit plutôt que son opposé, est qu’il vient tant soit peu plus d’esprits du cerveau vers lui que vers l’autre.
Non pas que les eſprits qui viennent immediatement du cerveau ſuffiſent ſeuls pour mouvoir ces muſcles, mais ils déterminent les autres eſprits, qui ſont deſia dans ces deux muſcles, à ſortir tous fort promptement de l’un d’eux, & paſſer dans l’autre:	Non pas que les esprits qui viennent immédiatement du cerveau suffisent seuls pour mouvoir ces muscles, mais ils déterminent les autres esprits, qui sont déjà dans ces deux muscles, à sortir tous fort promptement de l’un d’eux, et passer dans l’autre:
au moyen de quoy celuy d’où ils ſortent devient plus long & plus laſche;	au moyen de quoi celui d’où ils sortent devient plus long et plus lâche;
& celuy dans lequel ils entrent, eſtant promptement enflé par eux, s’accourcit & tire le membre auquel il eſt attaché.	et celui dans lequel ils entrent, étant promptement enflé par eux, s’accourcit et tire le membre auquel il est attaché.
Ce qui eſt facile à concevoir, pourvu que l’on ſache qu’il n’y a que fort peu d’eſprits animaux qui viennent continuellement du cerveau vers chaque muſcle, mais qu’il y en a toujours quantité d’autres enfermez dans le meſme muſcle qui s’y meuvent tres-vite, quelquefois en tournoyant ſeulement dans le lieu où ils ſont, à ſavoir, lorſqu’ils ne trouvent point de paſſages ouverts pour en ſortir, & quelquefois en coulant dans le muſcle oppoſé.	Ce qui est facile à concevoir, pourvu que l’on sache qu’il n’y a que fort peu d’esprits animaux qui viennent continuellement du cerveau vers chaque muscle, mais qu’il y en a toujours quantité d’autres enfermés dans le même muscle qui s’y meuvent très vite, quelquefois en tournoyant seulement dans le lieu où ils sont, à savoir, lorsqu’ils ne trouvent point de passages ouverts pour en sortir, et quelquefois en coulant dans le muscle opposé.
D’autant qu’il y a de petites ouvertures en chacun de ces muſcles par où ces eſprits peuvent couler de l’un dans l’autre, & qui ſont tellement diſpoſées que, lors que les eſprits qui viennent du cerveau vers l’un d’eux ont tant ſoyt peu plus de force que ceux qui vont vers l’autre, ils ouvrent toutes les entrées par où les eſprits de l’autre muſcle peuvent paſſer en celuy-ci, & ferment en meſme temps toutes celles par où les eſprits de celuy-ci peuvent paſſer en l’autre;	D’autant qu’il y a de petites ouvertures en chacun de ces muscles par où ces esprits peuvent couler de l’un dans l’autre, et qui sont tellement disposées que, lorsque les esprits qui viennent du cerveau vers l’un d’eux ont tant soit peu plus de force que ceux qui vont vers l’autre, ils ouvrent toutes les entrées par où les esprits de l’autre muscle peuvent passer en celui-ci, et ferment en même temps toutes celles par où les esprits de celui-ci peuvent passer en l’autre;
au moyen de quoy tous les eſprits contenus auparavant en ces deux muſcles s’aſſemblent en l’un d’eux fort promptement, & ainſi l’enflent & l’accourciſſent, pendant que l’autre s’allonge & ſe relache.	au moyen de quoi tous les esprits contenus auparavant en ces deux muscles s’assemblent en l’un d’eux fort promptement, et ainsi l’enflent et l’accourcissent, pendant que l’autre s’allonge et se relâche.
