PRÉFACE. 	PRÉFACE. 
CALANDRINI (†), auquel je dois encore les remarques & les vuës qui ont ſervi de Baſe à mon travail. 	CALANDRINI (†), auquel je dois encore les remarques et les vuës qui ont servi de Base à mon travail. 
Je le prie d’agréer qu’en lui en témoignant ici ma juſte reconnoiſſance, je me pare auprès du Public, de l’amitié dont il m’honore. 	Je le prie d'agréer qu'en lui en témoignant ici ma juste reconnaissance, je me pare auprès du Public, de l'amitié dont il m'honore. 
Mr. 	Mr. 
WANDELAER dont le ſavant Burin fait l'admiration des Connoiſſeurs dans les magnifiques Tables Anatomiques de Mr. 	WANDELAER dont le savant Burin fait l'admiration des Connaisseurs dans les magnifiques Tables Anatomiques de Mr. 
ALBINUS, a gravé la plus grande partie des Planches de cet Ouvrage. 	ALBINUS, a gravé la plus grande partie des Planches de cet Ouvrage. 
Les autres ſont de Mr. 	Les autres sont de Mr. 
VAN DER SCHLEY, qui a donné des preuves de ſon habileté dans la belle Hiſtoire des Polypes de Mr. 	VAN DER SCHLEY, qui a donné des preuves de son habileté dans la belle Histoire des Polypes de Mr. 
TREMBLEY. 	TREMBLEY. 
La réputation de ces deux Artiſtes eſt un ſûr garant de ſa fidélité avec laquelle ils ont rendu les Desſeins de ces Recherches. 	La réputation de ces deux Artistes est un sûr garant de sa fidélité avec laquelle ils ont rendu les Desseins de ces Recherches. 
DE ſon côté le Libraire a tâché que l'Edition répondît à la beauté des Planches, & il peut ſe flatter d’y avoir réuſſi. 	DE son côté le Libraire a tâché que l'Edition répondît à la beauté des Planches, et il peut se flatter d'y avoir réussi. 
ENFIN, pour qu’il ne manquât rien à l'exécution de cet Ouvrage, Mr. 	ENFIN, pour qu'il ne manquât rien à l'exécution de cet Ouvrage, Mr. 
ALLAMAND, Profeſſeur de Mathématiques & de Philoſophie dans l'Univerſité de Leide, fort connu du Public par d’excellentes Productions en divers genres, a bien voulu s’y intéreſſer jusqu’à ſe charger d'en revoir les Epreuves. 	ALLAMAND, Professeur de Mathématiques et de Philosophie dans l'Université de Leyde, fort connu du Public par d'excellentes Productions en divers genres, a bien voulu s'y intéresser jusqu'à se charger d'en revoir les Épreuves. 
Je croirois manquer à ce que je dois à ſes ſoins ſi je ne l'aſſurois ici de ma parfaite gratitude. 	Je croirois manquer à ce que je dois à ses soins si je ne l'assurais ici de ma parfaite gratitude. 
LES Deſſeins les plus parfaits n’égalent pas la Nature :	LES Desseins les plus parfaits n'égalent pas la Nature:
c’eſt elle qu’il faut ſur-tout conſulter. 	c'est elle qu'il faut surtout consulter. 
Je ſouhaiterois d'inſpirer ce déſir à mes Lecteurs, & de les porter à chercher dans la Campagne, les Originaux dont je ne leur donne que les Copies. 	Je souhaiterais d'inspirer ce désir à mes Lecteurs, et de les porter à chercher dans la Campagne, les Originaux dont je ne leur donne que les Copies. 
Ils vérifieroient ainſi mes Obſervations en ſe promenant. 	Ils vérifieraient ainsi mes Observations en se promenant. 
Les promenades ſeroient des ſources d'inſtructions ſi l’art de voir étoit plus commun :	Les promenades seraient des sources d'instructions si l'art de voir était plus commun:
il commence à le devenir, & ſervira à diſtinguer notre Siècle. 	il commence à le devenir, et servira à distinguer notre Siècle. 
TABLE DES MÉMOIRES. 	TABLE DES MÉMOIRES. 
PREMIER ME'MOIRE. 	PREMIER MÉMOIRE. 
De la Nutrition des Plantes par leur Feuilles. 	De la Nutrition des Plantes par leur Feuilles. 
SECOND ME'MOIRE. 	SECOND MÉMOIRE. 
Pag. 	Pag. 
I De la Direction, & du Retournement des Feuilles;	I De la Direction, et du Retournement des Feuilles;
& à cette occaſion de la Perpendicularité & du Repliement des Tiges. 77 TROISIE'ME ME'MOIRE. 	et à cette occasion de la Perpendicularité et du Repliement des Tiges. 77 TROISIÉME MÉMOIRE. 
De l'Arrangement des Feuilles ſur les Tiges, & ſur les Branches, & de celui qu’on obſerve dans quelques autres parties des Plantes. 159 QUATRIE'ME ME'MOIRE. 	De l'Arrangement des Feuilles sur les Tiges, et sur les Branches, et de celui qu'on observe dans quelques autres parties des Plantes. 159 QUATRIÉME MÉMOIRE. 
De quelques ſingularités des différentes parties des Plantes, & principalement des Feuilles.  191 CINQUIE'ME ME'MOIRE. 	De quelques singularités des différentes parties des Plantes, et principalement des Feuilles.  191 CINQUIEÉME MÉMOIRE. 
Nouvelles Recherches ſur les Feuilles des Plantes, &c. 	Nouvelles Recherches sur les Feuilles des Plantes, etc. 
Confirmation des Recherches précédentes. 221 RECHERCHES SUR L’USAGE DES FEUILLES DANS LES PLANTES. 	Confirmation des Recherches précédentes. 221 RECHERCHES SUR L'USAGE DES FEUILLES DANS LES PLANTES. 
PREMLER MEMOIRE De la Nutrition des Plantes par leurs Feuilles. 	PREMLER MÉMOIRE WARNING De la Nutrition des Plantes par leurs Feuilles. 
I. 	I. 
L ES Feuilles, ſi variées dans leurs formes, dans leurs nuances, & dans leurs diſtributions, n’ont pas été données aux Plantes uniquedes uſages plus importans, & qui répondent ment pour les orner :	LES Feuilles, si variées dans leurs formes, dans leurs nuances, et dans leurs distributions, n'ont pas été données aux Plantes uniquedes WARNING usages plus importants, et qui répondent ment WARNING pour les orner:
elles ont mieux aux grandes idées que nous nous formons de la SAGESSE SUPREME. 	elles ont mieux aux grandes idées que nous nous formons de la SAGESSE SUPRÊME. 
ENTRE ces uſages, celui d’élever le Fluide nourricier, eſt un des principaux & des mieux conſtatés par les belles Expériences de Mr. 	ENTRE ces usages, celui d'élever le Fluide nourricier, est un des principaux et des mieux constatés par les belles Expériences de Mr. 
HALES (*). 	HALES (*). 
MAIS la préparation de ce Fluide, l'introduction de l’Air dans le corps de la Plante, & la ſuccion des particules aqueuſes répanduës dans l’Atmoſphère, ſont d’autres fonctions qu’on a attribuées aux Feuilles, ſur des faits qui n’ont pas été juſqu’ici aſſés approfondis. 	MAIS la préparation de ce Fluide, l'introduction de l'Air dans le corps de la Plante, et la succion des particules aqueuses répandues dans l'Atmosphère, sont d'autres fonctions qu'on a attribuées aux Feuilles, sur des faits qui n'ont pas été jusqu'ici assez approfondis. 
J'AI fait, en ce dernier genre, des Recherches, dont le ſuccès ſemble nous promettre plus de lumière. 	J'AI fait, en ce dernier genre, des Recherches, dont le succès semble nous promettre plus de lumière. 
Je les dois principalement à un entretien que j’eus un jour ſur ce ſujet, avec Mr. 	Je les dois principalement à un entretien que j'eus un jour sur ce sujet, avec Mr. 
CALANDRINI, & dans lequel cet excellent Profeſſeur me communiqua quelques Remarques, qui quoique fort ſimples, montrent à quel point il poſsède l’Eſprit d’obſervation. 	CALANDRINI, et dans lequel cet excellent Professeur me communiqua quelques Remarques, qui quoique fort simples, montrent à quel point il possède l'Esprit d'observation. 
VOICI le précis de ces Remarques. 	VOICI le précis de ces Remarques. 
II. 	II. 
ON diſtingue deux Surfaces dans les Feuilles des Plantes;	ON distingue deux Surfaces dans les Feuilles des Plantes;
la Surface ſupérieure, ou celle qui regarde le Ciel*;	la Surface supérieure, ou celle qui regarde le Ciel*;
la Surface inférieure, ou celle qui regarde la Terre*. 	la Surface inférieure, ou celle qui regarde la Terre*. 
CES deux Surfaces diffèrent ſenſiblement l'une de l’autre dans preſque toutes les Plantes terreſtres. 	CES deux Surfaces diffèrent sensiblement l'une de l'autre dans presque toutes les Plantes terrestres. 
La Surface ſupérieure eſt ordinairement liſſe & luſtrée;	La Surface supérieure est ordinairement lisse et lustrée;
ſes Nervûres* ne ſont pas ſaillantes. 	ses Nervures* ne sont pas saillantes. 
La Surface inférieure au-contraire, eſt pleine de petites aſpérités, ou garnies de Poils courts;	La Surface inférieure au-contraire, est pleine de petites aspérités, ou garnies de Poils courts;
ſes Nervûres * ont du relief, & ſa couleur toujours plus pâle que celle de la Surface ſupérieure n’a que peu ou point de luſtre. 	ses Nervures * ont du relief, et sa couleur toujours plus pâle que celle de la Surface supérieure n'a que peu ou point de lustre. 
CES différences aſſés frappantes ont ſans doute une Fin. 	CES différences assez frappantes ont sans doute une Fin. 
L’Expérience (*) démontre que la Roſée s’élève de la Terre. 	L'Expérience (*) démontre que la Rosée s'élève de la Terre. 
La Surface inférieure des Feuilles, auroit-elle été principalement deſtinée à pomper cette vapeur, & à la transmettre dans l’intérieur de la Plante ?	La Surface inférieure des Feuilles, aurait-elle été principalement destinée à pomper cette vapeur, et à la transmettre dans l'intérieur de la Plante?
La poſition des Feuilles relativement à la Terre, & le tisſu de leur Surface inférieure, ſemblent l’indiquer. 	La position des Feuilles relativement à la Terre, et le tissu de leur Surface inférieure, semblent l'indiquer. 
EN me faiſant part de cette ingénieuſe conjecture, Mr. 	EN me faisant part de cette ingénieuse conjecture, Mr. 
CALANDRINI voulut bien me charger du ſoin de la vérifier, & d’approfondir ce ſujet;	CALANDRINI voulut bien me charger du soin de la vérifier, et d'approfondir ce sujet;
des occupations plus importantes ne lui en laiſſant pas le loiſir. 	des occupations plus importantes ne lui en laissant pas le loisir. 
POUR répondre à cette invitation, je propoſai à Mr. 	POUR répondre à cette invitation, je proposai à Mr. 
CALANDRINI une Expérience qui me vint alors dans l’Eſprit, & qui lui parut propre à décider la Queſtion. 	CALANDRINI une Expérience qui me vint alors dans l'Esprit, et qui lui parut propre à décider la Question. 
ELLE conſiſtoit à poſer ſur la ſuperficie de l’Eau contenuë dans des Vaſes, pluſieurs Feuilles d’une même eſpèce, de façon, que les unes fuſſent humectées dans leur Surface ſupérieure, les autres dans la Surface oppoſée. 	ELLE consistait à poser sur la superficie de l'Eau contenue dans des Vases, plusieurs Feuilles d'une même espèce, de façon, que les unes fussent humectées dans leur Surface supérieure, les autres dans la Surface opposée. 
C’EST de cette Expérience que je ſuis partie, le Bouillon blanc, & l'Amarante à feuilles pourpres. 	C'EST de cette Expérience que je suis partie, le Bouillon blanc, et l'Amarante à feuilles pourpres. 
DES Feuilles d’Ortie que je tenois humectées dans leur Surface inférieure, ont paſſé au bout de 3 ſemaines, pendant que de ſemblables Feuilles, que je tenois humectées dans leur Surface ſupérieure, ont vécu environ 2 mois. 	DES Feuilles d'Ortie que je tenais humectées dans leur Surface inférieure, ont passé au bout de 3 semaines, pendant que de semblables Feuilles, que je tenais humectées dans leur Surface supérieure, ont vécu environ 2 mois. 
DES Feuilles de Bouiſſon blanc, qui pompoient l’Eau par leur Surface inférieure, n’ont vécu que 5 à 6 jours, au-lieu que de ſemblables Feuilles, qui pompoient l’Eau par leur Surface ſupérieure, ont vécu plus de 5 ſemaines. 	DES Feuilles de Buisson blanc, qui pompaient l'Eau par leur Surface inférieure, n'ont vécu que 5 à 6 jours, au-lieu que de semblables Feuilles, qui pompaient l'Eau par leur Surface supérieure, ont vécu plus de 5 semaines. 
DES Feuilles de l’Amarante à feuilles pourpres, qui étoient poſées ſur l’Eau par leur Surface ſupérieure, ont vécu environ 3 mois, tandis que de ſemblables Feuilles appliquées ſur l’Eau par la Surface inférieure, ont paſſé en moins d’une ſemaine. 	DES Feuilles de l'Amarante à feuilles pourpres, qui étaient posées sur l'Eau par leur Surface supérieure, ont vécu environ 3 mois, tandis que de semblables Feuilles appliquées sur l'Eau par la Surface inférieure, ont passé en moins d'une semaine. 
DANS les Feuilles de la Belle de Nuit, & dans celles de la Meliſſe, la Surface inférieure a paru avoir quelque avantage ſur la ſupérieure. 	DANS les Feuilles de la Belle de Nuit, et dans celles de la Melisse, la Surface inférieure a paru avoir quelque avantage sur la supérieure. 
LES Feuilles du Pied de Veau, & de la Crête de Coq, qui ont pompé l’Eau par leur Pédicule, ſe ſont conſervées plus longtems que celles qui ont été appliquées ſur l'Eau par l'une ou l’autre de leurs Surfaces. 	LES Feuilles du Pied de Veau, et de la Crête de Coq, qui ont pompé l'Eau par leur Pédicule, se sont conservées plus longtemps que celles qui ont été appliquées sur l'Eau par l'une ou l'autre de leurs Surfaces. 
LES Feuilles de la grande Maulve, de l'Ortie, du Soleil, de la Belle de Nuit, de l’Epinard, dont le Pédicule a été plongé dans l’Eau, ont ment à la groſſeur de leurs Nervûres. 	LES Feuilles de la grande Mauve, de l'Ortie, du Soleil, de la Belle de Nuit, de l'Épinard, dont le Pédicule a été plongé dans l'Eau, ont ment WARNING à la grosseur de leurs Nervures. 
J'avois mis de très grandes Feuilles de cette Eſpèce ſur des Cloches de verre pleines d’Eau. 	J'avais mis de très grandes Feuilles de cette Espèce sur des Cloches de verre pleines d'Eau. 
Trois jours après je trouvai ces Feuilles en ſi mauvais état que je les jugeai près de paſſer :	Trois jours après je trouvai ces Feuilles en si mauvais état que je les jugeai près de passer:
elles avoient perdu toute leur conſiſtence :	elles avaient perdu toute leur consistence:
elles étoient couchées ſur l’ouverture des Vaſes, comme lauroit été un Linge mouillé, & leur couleur n’avoit rien conſervé de ſon premier luſtre. 	elles étaient couchées sur l'ouverture des Vases, comme lauroit WARNING été un Linge mouillé, et leur couleur n'avait rien conservé de son premier lustre. 
QUELLE fut donc ma ſurpriſe le jour ſuivant, lorſque je vis toutes ces Feuilles relevées, fermes, & dun beau verd, telles, en un mot, que celles qu’on vient de détacher de la Plante ?	QUELLE fut donc ma surprise le jour suivant, lorsque je vis toutes ces Feuilles relevées, fermes, et dun WANING beau vert, telles, en un mot, que celles qu'on vient de détacher de la Plante?
JE réiterai auſſitôt l’Expérience ſur des Feuilles de moyenne grandeur;	JE réiterai aussitôt l'Expérience sur des Feuilles de moyenne grandeur;
& ce fut avec le même ſuccès. 	et ce fut avec le même succès. 
JE n'obſervai, à cet égard, aucune différence entre les Feuilles qui avoient été poſées ſur l’Eau par leur Surface inférieure, & celles qui l’avoient été par la Surface ſupérieure. 	JE n'observai, à cet égard, aucune différence entre les Feuilles qui avaient été posées sur l'Eau par leur Surface inférieure, et celles qui l'avaient été par la Surface supérieure. 
IL n’en fut pas de même des Feuilles qui avoient pompé l’Eau par l'extrémité de leur Pédicule :	IL n'en fut pas de même des Feuilles qui avaient pompé l'Eau par l'extrémité de leur Pédicule:
elles ſe fannèrent au bout de quelques jours, & peu après elles jaunirent. 	elles se fanèrent au bout de quelques jours, et peu après elles jaunirent. 
L'EXPLICATION de ce Fait n'eſt pas difficile. 	L'EXPLICATION de ce Fait n'est pas difficile. 
Les orifices des Vaiſſeaux ſéveux ſont plus grands dans le Pédicule qu’ils ne le ſont dans l'une ou l’autre Surface. 	Les orifices des Vaisseaux séveux sont plus grands dans le Pédicule qu'ils ne le sont dans l'une ou l'autre Surface. 
L'Eau doit donc s'inſinuër plus facilement & plus abondamment dans l'intérieur de la Feuille, par la première de ces voies que par la ſeconde. 	L'Eau doit donc s'insinuer plus facilement et plus abondamment dans l'intérieur de la Feuille, par la première de ces voies que par la seconde. 
De-là vient que les Feuilles dont le Pédicule eſt plongé dans l’Eau, ne ſe fannent point pendant les premiers jours. 	De-là vient que les Feuilles dont le Pédicule est plongé dans l'Eau, ne se fanent point pendant les premiers jours. 
Mais lorſque les Vaiſſeaux compris dans la partie du Pédicule qui demeure humectée, ont achevé de ſe remplir, ils s’obſtruent, ou s’engorgent, & la Feuille ne recevant plus de nouveaux ſucs, ſe fanne ou ſe deſsèche. 	Mais lorsque les Vaisseaux compris dans la partie du Pédicule qui demeure humectée, ont achevé de se remplir, ils s'obstruent, ou s'engorgent, et la Feuille ne recevant plus de nouveaux sucs, se fane ou se dessèche. 
TOUT ſe paſſe différemment dans les Feuilles qu’on poſe ſur l’Eau par l’une ou l’autre Surface. 	TOUT se passe différemment dans les Feuilles qu'on pose sur l'Eau par l'une ou l'autre Surface. 
La Tranſpiration fait d’abord perdre à ces Feuilles plus de ſucs qu’elles n’en recoivent par les Pores très fins de la Surface humectée. 	La Transpiration fait d'abord perdre à ces Feuilles plus de sucs qu'elles n'en reçoivent par les Pores très fins de la Surface humectée. 
Les Vaiſſeaux moins remplis ſe relâchent & ſe rident. 	Les Vaisseaux moins remplis se relâchent et se rident. 
Leurs Membranes ne réfléchiſſent plus la lumière avec la même vivacité. 	Leurs Membranes ne réfléchissent plus la lumière avec la même vivacité. 
Bientôt la Feuille eſt ſans couleur & ſans conſiſtence. 	Bientôt la Feuille est sans couleur et sans consistence. 
Mais l’Eau s’inſinuant peu-à-peu dans les Pores de la Surface qui lui eſt oppoſée, pénètre les Vaiſſeaux, & les remplit enfin entièrement. 	Mais l'Eau s'insinuant peu-à-peu dans les Pores de la Surface qui lui est opposée, pénètre les Vaisseaux, et les remplit enfin entièrement. 
Alors la Feuille reprend ſon luftre & ſa conſiſtence ordinaires. 	Alors la Feuille reprend son luftre WARNING et sa consistence ordinaires. 
ON comprend que cette fraîcheur ne peut durer qu’autant que les Pores abſorbans fourniſſent de nouveaux ſucs. 	ON comprend que cette fraîcheur ne peut durer qu'autant que les Pores absorbants fournissent de nouveaux sucs. 
Et comme ces Pores ſont extrêmement nombreux, qu’ils ne ſauroient être tous humectés à la fois, à cauſe des inégalités de la Feuille, & que les Vaiſſeaux auxquels ils correſpondent, ſe ramifient prodigieuſement, il arrive ordinairement que les Surfaces s’obſtruent plus tard que le Pédicule. 	Et comme ces Pores sont extrêmement nombreux, qu'ils ne sauraient être tous humectés à la fois, à cause des inégalités de la Feuille, et que les Vaisseaux auxquels ils correspondent, se ramifient prodigieusement, il arrive ordinairement que les Surfaces s'obstruent plus tard que le Pédicule. 
Je dis ordinairement, parce que j’ai rapporté ci-deſſus des exceptions à cette Règle. 	Je dis ordinairement, parce que j'ai rapporté ci-dessus des exceptions à cette Règle. 
L'OBSERVATION que je viens de décrire, me donne lieu de remarquer, que les Feuilles qui pompent l’Eau par leur Pédicule, ne périſſent pas de la même manière que celles qui ont une de leurs Surfaces continuellement humectée. 	L'OBSERVATION que je viens de décrire, me donne lieu de remarquer, que les Feuilles qui pompent l'Eau par leur Pédicule, ne périssent pas de la même manière que celles qui ont une de leurs Surfaces continuellement humectée. 
Dans celles-là, le Pédicule ſe corrompt & les Surfaces ſe deſsèchent. 	Dans celles-là, le Pédicule se corrompt et les Surfaces se dessèchent. 
Dans celles-ci, le Pédicule ſe deſsèche, & les Surfaces ſe corrompent. 	Dans celles-ci, le Pédicule se dessèche, et les Surfaces se corrompent. 
C’eſt ce qui arrive ſur-tout dans les Feuilles des Arbres, toujours moins ſpongieuſes que celles des Herbes. 	C'est ce qui arrive surtout dans les Feuilles des Arbres, toujours moins spongieuses que celles des Herbes. 
Aſſez ſouvent le Pédicule noircit en ſe deſſéchant. 	Assez souvent le Pédicule noircit en se desséchant. 
JE ne dis rien des Feuilles qui demeurent privées de nourriture (III. ):	JE ne dis rien des Feuilles qui demeurent privées de nourriture (III.):
on voit bien qu’elles doivent ſe deſſécher. 	on voit bien qu'elles doivent se dessécher. 
Je n’ai pas cru cependant devoir prendre ce deſſéchement pour terme de la vie des Feuilles des Herbes, laiſſées ſans nourriture. 	Je n'ai pas cru cependant devoir prendre ce desséchement pour terme de la vie des Feuilles des Herbes, laissées sans nourriture. 
Leur tiſſu lâche & ſpongieux retient trop longtems les ſucs dont il eſt imbibé. 	Leur tissu lâche et spongieux retient trop longtemps les sucs dont il est imbibé. 
Il m’a donc paru plus convenable de mettre ces Feuilles au rang des Feuilles paſſées ( IV. ), dés qu’elles ont perdu leur couleur & leur conſiſtence naturelles. 	Il m'a donc paru plus convenable de mettre ces Feuilles au rang des Feuilles passées (IV.), dés qu'elles ont perdu leur couleur et leur consistence naturelles. 
IL ſuit de ces Remarques, que lorſque j'ai dit ci-deſſus (IV.), qu’on devoit principalement obſerver de ne prendre pour terme dans chaque Expérience, qu'un même genre & un même dégré d’altération, cela doit s’appliquer principalement aux Feuilles qui pompent l’Eau par une de leurs Surfaces. 	IL suit de ces Remarques, que lorsque j'ai dit ci-dessus (IV.), qu'on devait principalement observer de ne prendre pour terme dans chaque Expérience, qu'un même genre et un même dégré d'altération, cela doit s'appliquer principalement aux Feuilles qui pompent l'Eau par une de leurs Surfaces. 
Il arrive cependant quelquefois que les Feuilles d’une même Eſpèce, celles qui ſont humectées dans leur Surface ſupérieure, ſe deſsèchent, tandis que celles qui le ſont dans la Surface oppoſée, ſe corrompent. 	Il arrive cependant quelquefois que les Feuilles d'une même Espèce, celles qui sont humectées dans leur Surface supérieure, se dessèchent, tandis que celles qui le sont dans la Surface opposée, se corrompent. 
Alors on eſt forcé de renoncer à l’unité de terme;	Alors on est forcé de renoncer à l'unité de terme;
& c’eſt ici un Fait très remarquable, mais ſur lequel je n’inſiſterai pas actuellement. 	et c'est ici un Fait très remarquable, mais sur lequel je n'insisterai pas actuellement. 
VI. 	VI. 
LES Expériences que j’ai tentées ſur les Feuilles des Arbres & des Arbriſſeaux, embrasſent ſeize Eſpèces;	LES Expériences que j'ai tentées sur les Feuilles des Arbres et des Arbrisseaux, embrassent seize Espèces;
1	1
Le Lilac, 2. 	Le Lilac, 2. 
Le Poirier, 3. 	Le Poirier, 3. 
La Vigne, 4. 	La Vigne, 4. 
Le Tremble, 5. 	Le Tremble, 5. 
Le Laurier Ceriſe, 6. 	Le Laurier Cerise, 6. 
Le Ceriſier, 7. 	Le Cerisier, 7. 
Le Prunier, 8. 	Le Prunier, 8. 
Le Maronnier d' lnde, 9. 	Le Maronnier d' lnde, 9.  WARNING
Le Meurier blanc, 10. 	Le Meurier blanc, 10. 
Le Tilieul, 11. 	Le Tilleul, 11. 
Le Peuplier, 12. 	Le Peuplier, 12. 
L’Abricotier, 13. 	L'Abricotier, 13. 
Le Noyer, 14. 	Le Noyer, 14. 
Le Coudrier ou Noiſettier, 15. 	Le Coudrier ou Noisettier, 15. 
Le Chêne, 16. 	Le Chêne, 16. 
La Vigne de Canada, DE toutes ces Eſpèces le Lilac & le Tremble ſont les ſeules où la Surface ſupérieure des Feuilles ait paru égaler l’inférieure en aptitude à pomper l’humidité. 	La Vigne de Canada, DE toutes ces Espèces le Lilac et le Tremble sont les seules où la Surface supérieure des Feuilles ait paru égaler l'inférieure en aptitude à pomper l'humidité. 
DANS toutes les autres Eſpèces, la Surface inférieure l’a emporté ſenſiblement à cet égard ſur la Surſace oppoſée. 	DANS toutes les autres Espèces, la Surface inférieure l'a emporté sensiblement à cet égard sur la Sursace WARNING opposée. 
CETTE différence entre les deux Surfaces des Feuilles a été très-frappante dans le Meurier blanc. 	CETTE différence entre les deux Surfaces des Feuilles a été très-frappante dans le Meurier blanc. 
Je n’ai pu voir ſans ſurpriſe que des Feuilles de cet Arbre qui pompoient l’Eau par leur Surface ſupérieure, ſe ſoient fannées dés le cinquième jour;	Je n'ai pu voir sans surprise que des Feuilles de cet Arbre qui pompoient l'Eau par leur Surface supérieure, se soient fanées dés le cinquième jour;
& que de ſemblables Feuilles qui pompoient l’Eau par leur Surface inférieure, ſe ſoient conſervées très vertes pendant prés de 6. mois. 	et que de semblables Feuilles qui pompaient l'Eau par leur Surface inférieure, se soient conservées très vertes pendant prés de 6. mois. 
La Vigne, le Peuplier, & le Noyer, m’ont encore fourni des exemples remarquables du peu de diſpoſition qu’a la Surface ſupérieure des Feuilles des Plantes Ligneuſes à tirer l’humidité. 	La Vigne, le Peuplier, et le Noyer, m'ont encore fourni des exemples remarquables du peu de disposition qu'a la Surface supérieure des Feuilles des Plantes Ligneuses à tirer l'humidité. 
J'ai obſervé que les Feuilles de ces trois Eſpèces, qui ont été appliquées ſur l’Eau par leur Surface ſupérieure, ont paſſé en auſſi peu de tems, ou à-peuprès, que celles qui ont été laiſſées ſans nourriture. 	J'ai observé que les Feuilles de ces trois Espèces, qui ont été appliquées sur l'Eau par leur Surface supérieure, ont passé en aussi peu de tems, ou à-peuprès, que celles qui ont été laissées sans nourriture. 
LES Feuilles du Poirier, du Meurier blanc, du Maronnier d’Inde, & de la Vigne de Canada, qui ont tiré l’Eau par l’extrémité de leur Pédicule, ont vécu autant que celles qui ont été humectées dans leur Surſace ſupérieure. 	LES Feuilles du Poirier, du Meurier blanc, du Maronnier d'Inde, et de la Vigne de Canada, qui ont tiré l'Eau par l'extrémité de leur Pédicule, ont vécu autant que celles qui ont été humectées dans leur Sursace supérieure. 
